"name"	"taxRank"	"taxID"	"Max"	"kraken2_16s_classification_june_BC01.cladeReads"	"kraken2_16s_classification_june_BC02.cladeReads"	"kraken2_16s_classification_june_BC03.cladeReads"	"kraken2_16s_classification_june_BC04.cladeReads"	"kraken2_16s_classification_june_BC05.cladeReads"	"kraken2_16s_classification_june_BC06.cladeReads"	"kraken2_16s_classification_june_BC07.cladeReads"	"kraken2_16s_classification_june_BC08.cladeReads"	"kraken2_16s_classification_june_BC09.cladeReads"	"kraken2_16s_classification_june_BC10.cladeReads"	"kraken2_16s_classification_june_BC11.cladeReads"	"kraken2_16s_classification_june_BC12.cladeReads"	"Max.1"	"kraken2_16s_classification_june_BC01.cladeReads.."	"kraken2_16s_classification_june_BC02.cladeReads.."	"kraken2_16s_classification_june_BC03.cladeReads.."	"kraken2_16s_classification_june_BC04.cladeReads.."	"kraken2_16s_classification_june_BC05.cladeReads.."	"kraken2_16s_classification_june_BC06.cladeReads.."	"kraken2_16s_classification_june_BC07.cladeReads.."	"kraken2_16s_classification_june_BC08.cladeReads.."	"kraken2_16s_classification_june_BC09.cladeReads.."	"kraken2_16s_classification_june_BC10.cladeReads.."	"kraken2_16s_classification_june_BC11.cladeReads.."	"kraken2_16s_classification_june_BC12.cladeReads.."	"lineage"
"Loktanella"	"G"	2587	27	10	NA	3	NA	27	NA	NA	NA	NA	NA	14	NA	0.01708	0.005159	NA	0.001899	NA	0.01494	NA	NA	NA	NA	NA	0.01708	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Ascidiaceihabitans"	"G"	11446	17	10	NA	2	NA	17	NA	NA	NA	NA	NA	7	NA	0.009405	0.005159	NA	0.001266	NA	0.009405	NA	NA	NA	NA	NA	0.008541	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Tropicimonas"	"G"	2662	8	8	1	2	NA	5	NA	NA	NA	NA	NA	6	NA	0.01421	0.004128	0.01421	0.001266	NA	0.002766	NA	NA	NA	NA	NA	0.007321	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Celeribacter"	"G"	2566	23	7	NA	1	NA	23	NA	NA	1	NA	NA	8	NA	0.01272	0.003612	NA	0.0006331	NA	0.01272	NA	NA	0.0005683	NA	NA	0.009762	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Actibacterium"	"G"	2559	32	7	1	3	NA	32	NA	NA	1	NA	NA	18	NA	0.02196	0.003612	0.01421	0.001899	NA	0.0177	NA	NA	0.0005683	NA	NA	0.02196	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Albirhodobacter"	"G"	14528	7	6	NA	NA	NA	7	NA	NA	NA	NA	NA	3	NA	0.003873	0.003096	NA	NA	NA	0.003873	NA	NA	NA	NA	NA	0.003661	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"HIMB11"	"G"	26162	8	6	NA	2	NA	8	NA	NA	NA	NA	NA	7	NA	0.008541	0.003096	NA	0.001266	NA	0.004426	NA	NA	NA	NA	NA	0.008541	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Halodurantibacterium"	"G"	26163	12	6	NA	4	NA	10	NA	NA	NA	NA	NA	12	NA	0.01464	0.003096	NA	0.002532	NA	0.005533	NA	NA	NA	NA	NA	0.01464	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Thioclava"	"G"	2659	15	6	3	2	NA	14	NA	NA	NA	NA	NA	15	NA	0.04263	0.003096	0.04263	0.001266	NA	0.007746	NA	NA	NA	NA	NA	0.0183	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Aliiroseovarius"	"G"	14529	11	5	2	NA	NA	11	NA	NA	NA	NA	NA	7	NA	0.02842	0.00258	0.02842	NA	NA	0.006086	NA	NA	NA	NA	NA	0.008541	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Rubellimicrobium"	"G"	2642	9	5	1	1	NA	9	NA	NA	NA	NA	NA	7	NA	0.01421	0.00258	0.01421	0.0006331	NA	0.004979	NA	NA	NA	NA	NA	0.008541	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Maritimibacter"	"G"	2593	4	4	NA	NA	NA	3	NA	NA	NA	NA	NA	4	NA	0.004881	0.002064	NA	NA	NA	0.00166	NA	NA	NA	NA	NA	0.004881	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Tateyamaria"	"G"	2655	4	3	NA	1	NA	4	NA	NA	NA	NA	NA	3	NA	0.003661	0.001548	NA	0.0006331	NA	0.002213	NA	NA	NA	NA	NA	0.003661	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Marinovum"	"G"	2592	4	3	NA	2	NA	4	NA	NA	NA	NA	NA	1	NA	0.002213	0.001548	NA	0.001266	NA	0.002213	NA	NA	NA	NA	NA	0.00122	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Ponticoccus"	"G"	2616	7	3	1	NA	NA	7	NA	NA	1	NA	NA	2	NA	0.01421	0.001548	0.01421	NA	NA	0.003873	NA	NA	0.0005683	NA	NA	0.00244	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Pseudophaeobacter"	"G"	11458	4	3	NA	NA	NA	4	NA	NA	NA	NA	NA	2	NA	0.00244	0.001548	NA	NA	NA	0.002213	NA	NA	NA	NA	NA	0.00244	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Vadicella"	"G"	2663	3	3	NA	NA	NA	3	NA	NA	NA	NA	NA	2	NA	0.00244	0.001548	NA	NA	NA	0.00166	NA	NA	NA	NA	NA	0.00244	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Marivita"	"G"	2594	4	2	NA	NA	NA	4	NA	NA	NA	NA	NA	1	NA	0.002213	0.001032	NA	NA	NA	0.002213	NA	NA	NA	NA	NA	0.00122	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Ketogulonicigenium"	"G"	2580	3	2	NA	NA	NA	3	NA	NA	NA	NA	NA	2	NA	0.00244	0.001032	NA	NA	NA	0.00166	NA	NA	NA	NA	NA	0.00244	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Rubrimonas"	"G"	2644	2	2	1	1	NA	1	NA	NA	NA	NA	NA	1	NA	0.01421	0.001032	0.01421	0.0006331	NA	0.0005533	NA	NA	NA	NA	NA	0.00122	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Frigidibacter"	"G"	14532	3	2	NA	2	NA	3	NA	NA	NA	NA	NA	1	NA	0.00166	0.001032	NA	0.001266	NA	0.00166	NA	NA	NA	NA	NA	0.00122	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Rubribacterium"	"G"	2643	4	2	NA	NA	NA	4	NA	NA	NA	NA	NA	2	NA	0.00244	0.001032	NA	NA	NA	0.002213	NA	NA	NA	NA	NA	0.00244	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Aestuariivita"	"G"	11444	3	2	NA	NA	NA	3	NA	NA	NA	NA	NA	2	NA	0.00244	0.001032	NA	NA	NA	0.00166	NA	NA	NA	NA	NA	0.00244	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Albidovulum"	"G"	2560	4	2	NA	4	NA	3	NA	NA	NA	NA	NA	4	NA	0.004881	0.001032	NA	0.002532	NA	0.00166	NA	NA	NA	NA	NA	0.004881	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Silicimonas"	"G"	26173	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0005533	0.0005159	NA	NA	NA	0.0005533	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Boseongicola"	"G"	11447	3	1	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	0.00166	0.0005159	NA	NA	NA	0.00166	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Roseicyclus"	"G"	2631	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005159	0.0005159	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Roseobacter"	"G"	2635	3	1	NA	2	NA	2	NA	NA	NA	NA	NA	3	NA	0.003661	0.0005159	NA	0.001266	NA	0.001107	NA	NA	NA	NA	NA	0.003661	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Hasllibacter"	"G"	2576	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005159	0.0005159	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Pelagibaca"	"G"	2608	3	1	NA	2	NA	3	NA	NA	NA	NA	NA	NA	NA	0.00166	0.0005159	NA	0.001266	NA	0.00166	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Dinoroseobacter"	"G"	2570	3	1	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	0.00166	0.0005159	NA	NA	NA	0.00166	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Oceanicola"	"G"	2601	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	0.00244	0.0005159	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00244	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Sagittula"	"G"	2646	1	1	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	0.0005683	0.0005159	NA	NA	NA	0.0005533	NA	NA	0.0005683	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Tranquillimonas"	"G"	2660	2	1	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	0.001107	0.0005159	NA	NA	NA	0.001107	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Thalassococcus"	"G"	2658	4	1	NA	NA	NA	4	NA	NA	NA	NA	NA	2	NA	0.00244	0.0005159	NA	NA	NA	0.002213	NA	NA	NA	NA	NA	0.00244	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Thalassobius"	"G"	2657	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.00122	0.0005159	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00122	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Methylarcula"	"G"	2595	3	1	NA	NA	NA	1	NA	NA	NA	NA	NA	3	NA	0.003661	0.0005159	NA	NA	NA	0.0005533	NA	NA	NA	NA	NA	0.003661	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Lutimaribacter"	"G"	2588	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.00122	0.0005159	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00122	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Sphingomonadales"	"O"	2823	1828	1159	61	461	NA	1828	NA	NA	16	NA	NA	1825	NA	2.227	0.598	0.8668	0.2919	NA	1.011	NA	NA	0.009092	NA	NA	2.227	NA	"Bacteria>Proteobacteria>Alphaproteobacteria"
"Sphingomonadaceae"	"F"	2844	1828	1159	61	461	NA	1828	NA	NA	16	NA	NA	1825	NA	2.227	0.598	0.8668	0.2919	NA	1.011	NA	NA	0.009092	NA	NA	2.227	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales"
"Novosphingobium"	"G"	2846	637	369	21	145	NA	605	NA	NA	7	NA	NA	637	NA	0.7773	0.1904	0.2984	0.0918	NA	0.3347	NA	NA	0.003978	NA	NA	0.7773	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae"
"Sphingomonas"	"G"	2852	471	298	18	115	NA	471	NA	NA	3	NA	NA	466	NA	0.5686	0.1538	0.2558	0.07281	NA	0.2606	NA	NA	0.001705	NA	NA	0.5686	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae"
"Sphingobium"	"G"	2850	151	95	3	35	NA	151	NA	NA	2	NA	NA	142	NA	0.1733	0.04901	0.04263	0.02216	NA	0.08354	NA	NA	0.001137	NA	NA	0.1733	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae"
"Sphingopyxis"	"G"	2853	117	82	2	36	NA	95	NA	NA	NA	NA	NA	117	NA	0.1428	0.04231	0.02842	0.02279	NA	0.05256	NA	NA	NA	NA	NA	0.1428	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae"
"uncultured"	"G"	2858	83	67	2	20	NA	59	NA	NA	1	NA	NA	83	NA	0.1013	0.03457	0.02842	0.01266	NA	0.03264	NA	NA	0.0005683	NA	NA	0.1013	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae"
"Sphingorhabdus"	"G"	2854	99	65	3	24	NA	99	NA	NA	NA	NA	NA	87	NA	0.1062	0.03354	0.04263	0.01519	NA	0.05477	NA	NA	NA	NA	NA	0.1062	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae"
"Altererythrobacter"	"G"	26240	59	25	3	14	NA	59	NA	NA	NA	NA	NA	54	NA	0.06589	0.0129	0.04263	0.008864	NA	0.03264	NA	NA	NA	NA	NA	0.06589	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae"
"Erythrobacter"	"G"	26245	55	25	NA	10	NA	55	NA	NA	2	NA	NA	38	NA	0.04637	0.0129	NA	0.006331	NA	0.03043	NA	NA	0.001137	NA	NA	0.04637	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae"
"Polymorphobacter"	"G"	11469	6	6	NA	1	NA	3	NA	NA	NA	NA	NA	3	NA	0.003661	0.003096	NA	0.0006331	NA	0.00166	NA	NA	NA	NA	NA	0.003661	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae"
"Zymomonas"	"G"	2857	6	5	NA	2	NA	4	NA	NA	NA	NA	NA	6	NA	0.007321	0.00258	NA	0.001266	NA	0.002213	NA	NA	NA	NA	NA	0.007321	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae"
"Qipengyuania"	"G"	26249	7	4	NA	NA	NA	7	NA	NA	NA	NA	NA	6	NA	0.007321	0.002064	NA	NA	NA	0.003873	NA	NA	NA	NA	NA	0.007321	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae"
"MN 122.2a"	"G"	26246	3	3	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001548	0.001548	NA	0.0006331	NA	NA	NA	NA	NA	NA	NA	0.00122	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae"
"Sphingoaurantiacus"	"G"	26251	9	3	NA	2	NA	9	NA	NA	1	NA	NA	2	NA	0.004979	0.001548	NA	0.001266	NA	0.004979	NA	NA	0.0005683	NA	NA	0.00244	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae"
"Ellin6055"	"G"	26244	5	2	1	1	NA	1	NA	NA	NA	NA	NA	5	NA	0.01421	0.001032	0.01421	0.0006331	NA	0.0005533	NA	NA	NA	NA	NA	0.006101	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae"
"Rhizorhapis"	"G"	14559	20	2	NA	NA	NA	20	NA	NA	NA	NA	NA	6	NA	0.01107	0.001032	NA	NA	NA	0.01107	NA	NA	NA	NA	NA	0.007321	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae"
"Parasphingopyxis"	"G"	2847	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005159	0.0005159	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae"
"Plot4-2H12"	"G"	26247	7	1	NA	NA	NA	7	NA	NA	NA	NA	NA	2	NA	0.003873	0.0005159	NA	NA	NA	0.003873	NA	NA	NA	NA	NA	0.00244	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae"
"Blastomonas"	"G"	2845	2	1	1	1	NA	1	NA	NA	NA	NA	NA	2	NA	0.01421	0.0005159	0.01421	0.0006331	NA	0.0005533	NA	NA	NA	NA	NA	0.00244	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae"
"Sandarakinorhabdus"	"G"	2849	3	1	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	0.00166	0.0005159	NA	NA	NA	0.00166	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae"
"Rhizobiales"	"O"	2421	757	425	25	234	NA	757	NA	NA	11	NA	NA	697	NA	0.8505	0.2193	0.3553	0.1481	NA	0.4188	NA	NA	0.006251	NA	NA	0.8505	NA	"Bacteria>Proteobacteria>Alphaproteobacteria"
"Rhizobiaceae"	"F"	2525	257	124	9	54	NA	244	NA	NA	4	NA	NA	257	NA	0.3136	0.06398	0.1279	0.03419	NA	0.135	NA	NA	0.002273	NA	NA	0.3136	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales"
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"	"G"	26091	146	52	7	20	NA	127	NA	NA	1	NA	NA	146	NA	0.1782	0.02683	0.09947	0.01266	NA	0.07026	NA	NA	0.0005683	NA	NA	0.1782	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae"
"Mesorhizobium"	"G"	26112	40	13	1	9	NA	40	NA	NA	1	NA	NA	26	NA	0.03173	0.006707	0.01421	0.005698	NA	0.02213	NA	NA	0.0005683	NA	NA	0.03173	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae"
"Ochrobactrum"	"G"	26115	12	11	NA	2	NA	8	NA	NA	NA	NA	NA	12	NA	0.01464	0.005675	NA	0.001266	NA	0.004426	NA	NA	NA	NA	NA	0.01464	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae"
"uncultured"	"G"	26127	13	7	1	6	NA	13	NA	NA	NA	NA	NA	12	NA	0.01464	0.003612	0.01421	0.003799	NA	0.007192	NA	NA	NA	NA	NA	0.01464	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae"
"Ensifer"	"G"	2526	13	5	NA	4	NA	11	NA	NA	NA	NA	NA	13	NA	0.01586	0.00258	NA	0.002532	NA	0.006086	NA	NA	NA	NA	NA	0.01586	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae"
"Nitratireductor"	"G"	26114	6	5	NA	2	NA	6	NA	NA	NA	NA	NA	6	NA	0.007321	0.00258	NA	0.001266	NA	0.00332	NA	NA	NA	NA	NA	0.007321	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae"
"Phyllobacterium"	"G"	26118	4	4	NA	NA	NA	1	NA	NA	NA	NA	NA	3	NA	0.003661	0.002064	NA	NA	NA	0.0005533	NA	NA	NA	NA	NA	0.003661	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae"
"Pseudahrensia"	"G"	26119	5	4	NA	NA	NA	5	NA	NA	1	NA	NA	2	NA	0.002766	0.002064	NA	NA	NA	0.002766	NA	NA	0.0005683	NA	NA	0.00244	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae"
"Pseudochrobactrum"	"G"	26121	4	3	NA	2	NA	4	NA	NA	NA	NA	NA	2	NA	0.00244	0.001548	NA	0.001266	NA	0.002213	NA	NA	NA	NA	NA	0.00244	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae"
"Candidatus Liberibacter"	"G"	26099	2	2	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	0.001107	0.001032	NA	NA	NA	0.001107	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae"
"Aureimonas"	"G"	26095	7	2	NA	NA	NA	3	NA	NA	NA	NA	NA	7	NA	0.008541	0.001032	NA	NA	NA	0.00166	NA	NA	NA	NA	NA	0.008541	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae"
"Aminobacter"	"G"	26092	2	2	NA	NA	NA	1	NA	NA	NA	NA	NA	1	NA	0.00122	0.001032	NA	NA	NA	0.0005533	NA	NA	NA	NA	NA	0.00122	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae"
"Bartonella"	"G"	26096	3	1	NA	1	NA	3	NA	NA	NA	NA	NA	2	NA	0.00244	0.0005159	NA	0.0006331	NA	0.00166	NA	NA	NA	NA	NA	0.00244	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae"
"Neorhizobium"	"G"	11436	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	1	NA	0.00122	0.0005159	NA	NA	NA	0.0005533	NA	NA	NA	NA	NA	0.00122	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae"
"Shinella"	"G"	2529	3	1	NA	1	NA	2	NA	NA	NA	NA	NA	3	NA	0.003661	0.0005159	NA	0.0006331	NA	0.001107	NA	NA	NA	NA	NA	0.003661	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae"
"Pseudaminobacter"	"G"	26120	2	1	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	0.001107	0.0005159	NA	NA	NA	0.001107	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae"
"Falsochrobactrum"	"G"	26106	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0005533	0.0005159	NA	NA	NA	0.0005533	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae"
"Rhizobiales Incertae Sedis"	"F"	2530	164	70	4	34	NA	164	NA	NA	NA	NA	NA	94	NA	0.1147	0.03612	0.05684	0.02153	NA	0.09073	NA	NA	NA	NA	NA	0.1147	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales"
"uncultured"	"G"	14525	134	53	4	23	NA	134	NA	NA	NA	NA	NA	59	NA	0.07414	0.02734	0.05684	0.01456	NA	0.07414	NA	NA	NA	NA	NA	0.07199	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiales&nbsp;Incertae&nbsp;Sedis"
"Nordella"	"G"	2534	15	9	NA	8	NA	15	NA	NA	NA	NA	NA	11	NA	0.01342	0.004643	NA	0.005065	NA	0.008299	NA	NA	NA	NA	NA	0.01342	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiales&nbsp;Incertae&nbsp;Sedis"
"Phreatobacter"	"G"	11439	17	5	NA	1	NA	7	NA	NA	NA	NA	NA	17	NA	0.02074	0.00258	NA	0.0006331	NA	0.003873	NA	NA	NA	NA	NA	0.02074	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiales&nbsp;Incertae&nbsp;Sedis"
"Bauldia"	"G"	2532	6	2	NA	1	NA	6	NA	NA	NA	NA	NA	5	NA	0.006101	0.001032	NA	0.0006331	NA	0.00332	NA	NA	NA	NA	NA	0.006101	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiales&nbsp;Incertae&nbsp;Sedis"
"Alsobacter"	"G"	11437	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005159	0.0005159	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiales&nbsp;Incertae&nbsp;Sedis"
"Hyphomicrobiaceae"	"F"	2472	95	64	1	45	NA	74	NA	NA	NA	NA	NA	95	NA	0.1159	0.03302	0.01421	0.02849	NA	0.04094	NA	NA	NA	NA	NA	0.1159	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales"
"Hyphomicrobium"	"G"	2480	65	45	1	34	NA	62	NA	NA	NA	NA	NA	65	NA	0.07931	0.02322	0.01421	0.02153	NA	0.0343	NA	NA	NA	NA	NA	0.07931	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Hyphomicrobiaceae"
"Pedomicrobium"	"G"	2483	20	10	NA	10	NA	7	NA	NA	NA	NA	NA	20	NA	0.0244	0.005159	NA	0.006331	NA	0.003873	NA	NA	NA	NA	NA	0.0244	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Hyphomicrobiaceae"
"Filomicrobium"	"G"	2479	5	5	NA	NA	NA	2	NA	NA	NA	NA	NA	4	NA	0.004881	0.00258	NA	NA	NA	0.001107	NA	NA	NA	NA	NA	0.004881	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Hyphomicrobiaceae"
"uncultured"	"G"	2490	4	2	NA	NA	NA	2	NA	NA	NA	NA	NA	4	NA	0.004881	0.001032	NA	NA	NA	0.001107	NA	NA	NA	NA	NA	0.004881	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Hyphomicrobiaceae"
"Xanthobacteraceae"	"F"	2545	103	58	4	29	NA	103	NA	NA	4	NA	NA	58	NA	0.07077	0.02992	0.05684	0.01836	NA	0.05699	NA	NA	0.002273	NA	NA	0.07077	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales"
