"name"	"taxRank"	"taxID"	"Max"	"BC01.txt.cladeReads"	"BC02.txt.cladeReads"	"BC03.txt.cladeReads"	"BC04.txt.cladeReads"	"BC05.txt.cladeReads"	"BC06.txt.cladeReads"	"BC07.txt.cladeReads"	"BC08.txt.cladeReads"	"BC09.txt.cladeReads"	"BC10.txt.cladeReads"	"BC11.txt.cladeReads"	"BC12.txt.cladeReads"	"Max.1"	"BC01.txt.cladeReads.."	"BC02.txt.cladeReads.."	"BC03.txt.cladeReads.."	"BC04.txt.cladeReads.."	"BC05.txt.cladeReads.."	"BC06.txt.cladeReads.."	"BC07.txt.cladeReads.."	"BC08.txt.cladeReads.."	"BC09.txt.cladeReads.."	"BC10.txt.cladeReads.."	"BC11.txt.cladeReads.."	"BC12.txt.cladeReads.."	"lineage"
"Nocardioides"	"G"	1839	4	4	NA	2	NA	1	NA	NA	1	NA	NA	4	NA	0.004511	0.002039	NA	0.001258	NA	0.0005289	NA	NA	0.0005618	NA	NA	0.004511	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Propionibacteriales>Nocardioidaceae"
"Nocardioides sp. 78"	"S"	2045452	3	3	NA	1	NA	1	NA	NA	NA	NA	NA	2	NA	0.002255	0.001529	NA	0.0006291	NA	0.0005289	NA	NA	NA	NA	NA	0.002255	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Propionibacteriales>Nocardioidaceae>Nocardioides"
"Nocardioides sp. JS614"	"S"	196162	1	1	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001128	0.0005097	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	0.001128	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Propionibacteriales>Nocardioidaceae>Nocardioides"
"Micropruina"	"G"	116071	4	3	NA	NA	NA	NA	NA	NA	1	NA	NA	4	NA	0.004511	0.001529	NA	NA	NA	NA	NA	NA	0.0005618	NA	NA	0.004511	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Propionibacteriales>Nocardioidaceae"
"Micropruina glycogenica"	"S"	75385	4	3	NA	NA	NA	NA	NA	NA	1	NA	NA	4	NA	0.004511	0.001529	NA	NA	NA	NA	NA	NA	0.0005618	NA	NA	0.004511	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Propionibacteriales>Nocardioidaceae>Micropruina"
"Candidatus Nanopelagicales"	"O"	2039638	504	152	11	38	NA	80	NA	NA	4	NA	NA	504	3	1.648	0.07748	0.1498	0.02391	NA	0.04231	NA	NA	0.002247	NA	NA	0.5684	1.648	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria"
"Candidatus Planktophila"	"G"	622681	485	145	11	36	NA	78	NA	NA	3	NA	NA	485	3	1.648	0.07391	0.1498	0.02265	NA	0.04125	NA	NA	0.001685	NA	NA	0.547	1.648	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Candidatus&nbsp;Nanopelagicales"
"Candidatus Planktophila sulfonica"	"S"	1884904	248	76	5	20	NA	32	NA	NA	1	NA	NA	248	NA	0.2797	0.03874	0.06809	0.01258	NA	0.01692	NA	NA	0.0005618	NA	NA	0.2797	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Candidatus&nbsp;Nanopelagicales>Candidatus&nbsp;Planktophila"
"Candidatus Planktophila versatilis"	"S"	1884905	133	33	4	7	NA	18	NA	NA	2	NA	NA	133	1	0.5495	0.01682	0.05447	0.004404	NA	0.00952	NA	NA	0.001124	NA	NA	0.15	0.5495	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Candidatus&nbsp;Nanopelagicales>Candidatus&nbsp;Planktophila"
"Candidatus Planktophila lacus"	"S"	1884913	33	12	NA	1	NA	7	NA	NA	NA	NA	NA	33	NA	0.03722	0.006117	NA	0.0006291	NA	0.003702	NA	NA	NA	NA	NA	0.03722	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Candidatus&nbsp;Nanopelagicales>Candidatus&nbsp;Planktophila"
"Candidatus Planktophila vernalis"	"S"	1884907	14	5	1	2	NA	2	NA	NA	NA	NA	NA	14	NA	0.01579	0.002549	0.01362	0.001258	NA	0.001058	NA	NA	NA	NA	NA	0.01579	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Candidatus&nbsp;Nanopelagicales>Candidatus&nbsp;Planktophila"
"Candidatus Planktophila limnetica"	"S"	573600	14	4	NA	1	NA	2	NA	NA	NA	NA	NA	14	NA	0.01579	0.002039	NA	0.0006291	NA	0.001058	NA	NA	NA	NA	NA	0.01579	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Candidatus&nbsp;Nanopelagicales>Candidatus&nbsp;Planktophila"
"Candidatus Nanopelagicus"	"G"	2039639	18	7	NA	1	NA	1	NA	NA	1	NA	NA	18	NA	0.0203	0.003568	NA	0.0006291	NA	0.0005289	NA	NA	0.0005618	NA	NA	0.0203	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Candidatus&nbsp;Nanopelagicales"
"Candidatus Nanopelagicus limnes"	"S"	1884634	10	5	NA	NA	NA	1	NA	NA	NA	NA	NA	10	NA	0.01128	0.002549	NA	NA	NA	0.0005289	NA	NA	NA	NA	NA	0.01128	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Candidatus&nbsp;Nanopelagicales>Candidatus&nbsp;Nanopelagicus"
"Candidatus Nanopelagicus abundans"	"S"	1884916	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	0.003383	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.003383	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Candidatus&nbsp;Nanopelagicales>Candidatus&nbsp;Nanopelagicus"
"Bifidobacteriales"	"O"	85004	103	103	3	83	NA	91	NA	NA	68	1	NA	79	NA	0.9259	0.0525	0.04086	0.05222	NA	0.04813	NA	NA	0.0382	0.9259	NA	0.08909	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria"
"Bifidobacteriaceae"	"F"	31953	103	103	3	83	NA	91	NA	NA	68	1	NA	79	NA	0.9259	0.0525	0.04086	0.05222	NA	0.04813	NA	NA	0.0382	0.9259	NA	0.08909	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Bifidobacteriales"
"Bifidobacterium"	"G"	1678	98	98	2	83	NA	90	NA	NA	68	1	NA	73	NA	0.9259	0.04995	0.02724	0.05222	NA	0.0476	NA	NA	0.0382	0.9259	NA	0.08232	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Bifidobacteriales>Bifidobacteriaceae"
"Bifidobacterium animalis"	"S"	28025	69	66	1	57	NA	69	NA	NA	15	NA	NA	68	NA	0.07669	0.03364	0.01362	0.03586	NA	0.03649	NA	NA	0.008427	NA	NA	0.07669	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Bifidobacteriales>Bifidobacteriaceae>Bifidobacterium"
"Bifidobacterium longum"	"S"	216816	14	14	NA	11	NA	7	NA	NA	8	NA	NA	2	NA	0.007136	0.007136	NA	0.00692	NA	0.003702	NA	NA	0.004494	NA	NA	0.002255	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Bifidobacteriales>Bifidobacteriaceae>Bifidobacterium"
"Bifidobacterium kashiwanohense"	"S"	630129	43	5	NA	2	NA	4	NA	NA	43	NA	NA	2	NA	0.02416	0.002549	NA	0.001258	NA	0.002116	NA	NA	0.02416	NA	NA	0.002255	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Bifidobacteriales>Bifidobacteriaceae>Bifidobacterium"
"Bifidobacterium coryneforme"	"S"	1687	5	3	NA	1	NA	5	NA	NA	1	NA	NA	NA	NA	0.002644	0.001529	NA	0.0006291	NA	0.002644	NA	NA	0.0005618	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Bifidobacteriales>Bifidobacteriaceae>Bifidobacterium"
"Bifidobacterium asteroides"	"S"	1684	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0005289	0.0005097	NA	NA	NA	0.0005289	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Bifidobacteriales>Bifidobacteriaceae>Bifidobacterium"
"Bifidobacterium breve"	"S"	1685	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005097	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Bifidobacteriales>Bifidobacteriaceae>Bifidobacterium"
"Parascardovia"	"G"	196082	3	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	0.003383	0.001019	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.003383	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Bifidobacteriales>Bifidobacteriaceae"
"Parascardovia denticolens"	"S"	78258	3	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	0.003383	0.001019	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.003383	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Bifidobacteriales>Bifidobacteriaceae>Parascardovia"
"Gardnerella"	"G"	2701	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005097	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Bifidobacteriales>Bifidobacteriaceae"
"Gardnerella vaginalis"	"S"	2702	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005097	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Bifidobacteriales>Bifidobacteriaceae>Gardnerella"
"Scardovia"	"G"	196081	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.01362	0.0005097	0.01362	NA	NA	NA	NA	NA	NA	NA	NA	0.001128	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Bifidobacteriales>Bifidobacteriaceae"
"Scardovia inopinata"	"S"	78259	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.01362	0.0005097	0.01362	NA	NA	NA	NA	NA	NA	NA	NA	0.001128	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Bifidobacteriales>Bifidobacteriaceae>Scardovia"
"Streptomycetales"	"O"	85011	105	76	14	69	1	65	NA	NA	105	1	1	34	3	1.786	0.03874	0.1907	0.04341	0.6289	0.03438	NA	NA	0.05899	0.9259	1.786	0.03834	1.648	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria"
"Streptomycetaceae"	"F"	2062	105	76	14	69	1	65	NA	NA	105	1	1	34	3	1.786	0.03874	0.1907	0.04341	0.6289	0.03438	NA	NA	0.05899	0.9259	1.786	0.03834	1.648	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales"
"Streptomyces"	"G"	1883	105	75	13	65	NA	63	NA	NA	105	1	1	31	3	1.786	0.03823	0.177	0.04089	NA	0.03332	NA	NA	0.05899	0.9259	1.786	0.03496	1.648	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae"
"Streptomyces sp. CMB-StM0423"	"S"	2059884	28	24	1	28	NA	23	NA	NA	1	NA	NA	4	NA	0.01761	0.01223	0.01362	0.01761	NA	0.01216	NA	NA	0.0005618	NA	NA	0.004511	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Streptomyces scabiei"	"S"	1930	21	21	NA	18	NA	18	NA	NA	1	NA	NA	1	NA	0.01132	0.0107	NA	0.01132	NA	0.00952	NA	NA	0.0005618	NA	NA	0.001128	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Streptomyces leeuwenhoekii"	"S"	1437453	10	10	NA	4	NA	8	NA	NA	3	NA	NA	1	1	0.5495	0.005097	NA	0.002516	NA	0.004231	NA	NA	0.001685	NA	NA	0.001128	0.5495	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Streptomyces albidoflavus group"	"-"	1477431	99	9	1	2	NA	5	NA	NA	99	NA	NA	6	NA	0.05562	0.004588	0.01362	0.001258	NA	0.002644	NA	NA	0.05562	NA	NA	0.006766	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Streptomyces sampsonii"	"S"	42239	99	8	NA	2	NA	5	NA	NA	99	NA	NA	6	NA	0.05562	0.004078	NA	0.001258	NA	0.002644	NA	NA	0.05562	NA	NA	0.006766	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces>Streptomyces&nbsp;albidoflavus&nbsp;group"
"Streptomyces coelicolor"	"S"	1902	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01362	0.0005097	0.01362	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces>Streptomyces&nbsp;albidoflavus&nbsp;group"
"Streptomyces cattleya"	"S"	29303	4	3	NA	4	NA	3	NA	NA	NA	NA	NA	NA	NA	0.002516	0.001529	NA	0.002516	NA	0.001587	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Streptomyces clavuligerus"	"S"	1901	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005097	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Streptomyces hygroscopicus"	"S"	1912	1	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0006291	0.0005097	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Streptomyces cyaneogriseus"	"S"	68192	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005097	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Streptomyces niveus"	"S"	193462	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005097	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Streptomyces bingchenggensis"	"S"	379067	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005097	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Streptomyces sp. Tue 6075"	"S"	1661694	1	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0006291	0.0005097	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Streptomyces sp. RTd22"	"S"	1841249	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005097	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Kitasatospora"	"G"	2063	4	1	1	4	NA	1	NA	NA	NA	NA	NA	3	NA	0.01362	0.0005097	0.01362	0.002516	NA	0.0005289	NA	NA	NA	NA	NA	0.003383	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae"
"Kitasatospora albolonga"	"S"	68173	3	1	NA	3	NA	1	NA	NA	NA	NA	NA	3	NA	0.003383	0.0005097	NA	0.001887	NA	0.0005289	NA	NA	NA	NA	NA	0.003383	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Kitasatospora"
"Actinobacteria incertae sedis"	"-"	1643818	45	42	NA	43	NA	45	NA	NA	1	NA	NA	7	NA	0.02705	0.02141	NA	0.02705	NA	0.0238	NA	NA	0.0005618	NA	NA	0.007894	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria"
"Thermobispora"	"G"	147067	45	42	NA	43	NA	45	NA	NA	1	NA	NA	7	NA	0.02705	0.02141	NA	0.02705	NA	0.0238	NA	NA	0.0005618	NA	NA	0.007894	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Actinobacteria&nbsp;incertae&nbsp;sedis"
"Thermobispora bispora"	"S"	2006	45	42	NA	43	NA	45	NA	NA	1	NA	NA	7	NA	0.02705	0.02141	NA	0.02705	NA	0.0238	NA	NA	0.0005618	NA	NA	0.007894	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Actinobacteria&nbsp;incertae&nbsp;sedis>Thermobispora"
"Frankiales"	"O"	85013	38	38	1	23	NA	31	NA	NA	12	NA	NA	1	NA	0.01937	0.01937	0.01362	0.01447	NA	0.0164	NA	NA	0.006741	NA	NA	0.001128	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria"
"Frankiaceae"	"F"	74712	38	38	1	23	NA	31	NA	NA	12	NA	NA	1	NA	0.01937	0.01937	0.01362	0.01447	NA	0.0164	NA	NA	0.006741	NA	NA	0.001128	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Frankiales"
"Frankia"	"G"	1854	38	38	1	23	NA	31	NA	NA	12	NA	NA	1	NA	0.01937	0.01937	0.01362	0.01447	NA	0.0164	NA	NA	0.006741	NA	NA	0.001128	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Frankiales>Frankiaceae"
"Frankia inefficax"	"S"	298654	28	28	NA	18	NA	21	NA	NA	NA	NA	NA	1	NA	0.01427	0.01427	NA	0.01132	NA	0.01111	NA	NA	NA	NA	NA	0.001128	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Frankiales>Frankiaceae>Frankia"
"Frankia symbiont of Datisca glomerata"	"S"	656024	5	1	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	0.002809	0.0005097	NA	NA	NA	NA	NA	NA	0.002809	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Frankiales>Frankiaceae>Frankia"
"unclassified Actinobacteria (class)"	"-"	52018	28	28	2	25	NA	10	NA	NA	16	NA	NA	5	NA	0.02724	0.01427	0.02724	0.01573	NA	0.005289	NA	NA	0.008989	NA	NA	0.005639	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria"
"unclassified Actinobacteria (class) (miscellaneous)"	"-"	78537	28	28	2	25	NA	10	NA	NA	16	NA	NA	5	NA	0.02724	0.01427	0.02724	0.01573	NA	0.005289	NA	NA	0.008989	NA	NA	0.005639	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>unclassified&nbsp;Actinobacteria&nbsp;(class)"
"Actinobacteria bacterium IMCC26256"	"S"	1650658	28	28	2	25	NA	10	NA	NA	16	NA	NA	5	NA	0.02724	0.01427	0.02724	0.01573	NA	0.005289	NA	NA	0.008989	NA	NA	0.005639	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>unclassified&nbsp;Actinobacteria&nbsp;(class)>unclassified&nbsp;Actinobacteria&nbsp;(class)&nbsp;(miscellaneous)"
"Pseudonocardiales"	"O"	85010	23	23	1	19	NA	19	1	1	3	NA	NA	10	NA	1.087	0.01172	0.01362	0.01195	NA	0.01005	0.6849	1.087	0.001685	NA	NA	0.01128	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria"
"Pseudonocardiaceae"	"F"	2070	23	23	1	19	NA	19	1	1	3	NA	NA	10	NA	1.087	0.01172	0.01362	0.01195	NA	0.01005	0.6849	1.087	0.001685	NA	NA	0.01128	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Pseudonocardiales"
"Actinosynnema"	"G"	40566	12	12	NA	6	NA	4	NA	NA	2	NA	NA	3	NA	0.006117	0.006117	NA	0.003775	NA	0.002116	NA	NA	0.001124	NA	NA	0.003383	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Pseudonocardiales>Pseudonocardiaceae"
"Actinosynnema mirum"	"S"	40567	8	8	NA	4	NA	4	NA	NA	NA	NA	NA	1	NA	0.004078	0.004078	NA	0.002516	NA	0.002116	NA	NA	NA	NA	NA	0.001128	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Pseudonocardiales>Pseudonocardiaceae>Actinosynnema"
"Actinosynnema pretiosum"	"S"	42197	2	2	NA	2	NA	NA	NA	NA	2	NA	NA	1	NA	0.001258	0.001019	NA	0.001258	NA	NA	NA	NA	0.001124	NA	NA	0.001128	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Pseudonocardiales>Pseudonocardiaceae>Actinosynnema"
"Saccharomonospora"	"G"	1851	7	3	NA	7	NA	5	NA	NA	NA	NA	NA	NA	NA	0.004404	0.001529	NA	0.004404	NA	0.002644	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Pseudonocardiales>Pseudonocardiaceae"
"Saccharomonospora viridis"	"S"	1852	7	3	NA	7	NA	5	NA	NA	NA	NA	NA	NA	NA	0.004404	0.001529	NA	0.004404	NA	0.002644	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Pseudonocardiales>Pseudonocardiaceae>Saccharomonospora"
"Amycolatopsis"	"G"	1813	2	1	NA	2	NA	1	NA	1	NA	NA	NA	1	NA	1.087	0.0005097	NA	0.001258	NA	0.0005289	NA	1.087	NA	NA	NA	0.001128	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Pseudonocardiales>Pseudonocardiaceae"
"Amycolatopsis methanolica"	"S"	1814	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005097	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Pseudonocardiales>Pseudonocardiaceae>Amycolatopsis"
"Kibdelosporangium"	"G"	2029	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005097	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Pseudonocardiales>Pseudonocardiaceae"
"Kibdelosporangium phytohabitans"	"S"	860235	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005097	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Pseudonocardiales>Pseudonocardiaceae>Kibdelosporangium"
"Actinoalloteichus"	"G"	65496	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005097	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Pseudonocardiales>Pseudonocardiaceae"
"Actinoalloteichus sp. ADI127-7"	"S"	1612552	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005097	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Pseudonocardiales>Pseudonocardiaceae>Actinoalloteichus"
"Actinomycetales"	"O"	2037	28	10	NA	5	NA	10	NA	NA	28	NA	NA	16	NA	0.01804	0.005097	NA	0.003146	NA	0.005289	NA	NA	0.01573	NA	NA	0.01804	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria"
"Actinomycetaceae"	"F"	2049	28	10	NA	5	NA	10	NA	NA	28	NA	NA	16	NA	0.01804	0.005097	NA	0.003146	NA	0.005289	NA	NA	0.01573	NA	NA	0.01804	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Actinomycetales"
