"name"	"taxRank"	"taxID"	"Max"	"centrifuge_16s_classification_june_BC01.cladeReads"	"centrifuge_16s_classification_june_BC02.cladeReads"	"centrifuge_16s_classification_june_BC03.cladeReads"	"centrifuge_16s_classification_june_BC05.cladeReads"	"centrifuge_16s_classification_june_BC06.cladeReads"	"centrifuge_16s_classification_june_BC08.cladeReads"	"centrifuge_16s_classification_june_BC09.cladeReads"	"centrifuge_16s_classification_june_BC10.cladeReads"	"centrifuge_16s_classification_june_BC11.cladeReads"	"centrifuge_16s_classification_june_BC12.cladeReads"	"Max.1"	"centrifuge_16s_classification_june_BC01.cladeReads.."	"centrifuge_16s_classification_june_BC02.cladeReads.."	"centrifuge_16s_classification_june_BC03.cladeReads.."	"centrifuge_16s_classification_june_BC05.cladeReads.."	"centrifuge_16s_classification_june_BC06.cladeReads.."	"centrifuge_16s_classification_june_BC08.cladeReads.."	"centrifuge_16s_classification_june_BC09.cladeReads.."	"centrifuge_16s_classification_june_BC10.cladeReads.."	"centrifuge_16s_classification_june_BC11.cladeReads.."	"centrifuge_16s_classification_june_BC12.cladeReads.."	"lineage"
"Family III"	"F"	2113	1	1	NA	1	1	NA	1	NA	NA	NA	NA	0.0006291	0.0005097	NA	0.0006291	0.0005289	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Firmicutes>Clostridia>Thermoanaerobacterales"
"Caldicellulosiruptor"	"G"	2115	1	1	NA	1	1	NA	1	NA	NA	NA	NA	0.0006291	0.0005097	NA	0.0006291	0.0005289	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Firmicutes>Clostridia>Thermoanaerobacterales>Family&nbsp;III"
"DTU014"	"O"	25673	3	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001529	0.001529	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Firmicutes>Clostridia"
"Negativicutes"	"C"	2164	11	10	NA	7	6	NA	11	NA	NA	4	NA	0.00618	0.005097	NA	0.004404	0.003173	NA	0.00618	NA	NA	0.004511	NA	"Bacteria>Firmicutes"
"Selenomonadales"	"O"	2165	11	10	NA	7	6	NA	11	NA	NA	4	NA	0.00618	0.005097	NA	0.004404	0.003173	NA	0.00618	NA	NA	0.004511	NA	"Bacteria>Firmicutes>Negativicutes"
"Veillonellaceae"	"F"	2172	8	8	NA	7	5	NA	8	NA	NA	4	NA	0.004511	0.004078	NA	0.004404	0.002644	NA	0.004494	NA	NA	0.004511	NA	"Bacteria>Firmicutes>Negativicutes>Selenomonadales"
"Dialister"	"G"	2183	4	4	NA	4	NA	NA	NA	NA	NA	1	NA	0.002516	0.002039	NA	0.002516	NA	NA	NA	NA	NA	0.001128	NA	"Bacteria>Firmicutes>Negativicutes>Selenomonadales>Veillonellaceae"
"Veillonella"	"G"	2198	3	2	NA	NA	3	NA	1	NA	NA	NA	NA	0.001587	0.001019	NA	NA	0.001587	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Firmicutes>Negativicutes>Selenomonadales>Veillonellaceae"
"Acidaminococcaceae"	"F"	2166	3	1	NA	NA	1	NA	3	NA	NA	NA	NA	0.001685	0.0005097	NA	NA	0.0005289	NA	0.001685	NA	NA	NA	NA	"Bacteria>Firmicutes>Negativicutes>Selenomonadales"
"Succiniclasticum"	"G"	2169	1	1	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005289	0.0005097	NA	NA	0.0005289	NA	NA	NA	NA	NA	NA	"Bacteria>Firmicutes>Negativicutes>Selenomonadales>Acidaminococcaceae"
"Erysipelotrichia"	"C"	2147	12	2	NA	1	6	NA	12	NA	NA	10	NA	0.01128	0.001019	NA	0.0006291	0.003173	NA	0.006741	NA	NA	0.01128	NA	"Bacteria>Firmicutes"
"Erysipelotrichales"	"O"	2148	12	2	NA	1	6	NA	12	NA	NA	10	NA	0.01128	0.001019	NA	0.0006291	0.003173	NA	0.006741	NA	NA	0.01128	NA	"Bacteria>Firmicutes>Erysipelotrichia"
"Erysipelotrichaceae"	"F"	2149	12	2	NA	1	6	NA	12	NA	NA	10	NA	0.01128	0.001019	NA	0.0006291	0.003173	NA	0.006741	NA	NA	0.01128	NA	"Bacteria>Firmicutes>Erysipelotrichia>Erysipelotrichales"
"Erysipelotrichaceae UCG-003"	"G"	11384	2	2	NA	NA	1	NA	NA	NA	NA	1	NA	0.001128	0.001019	NA	NA	0.0005289	NA	NA	NA	NA	0.001128	NA	"Bacteria>Firmicutes>Erysipelotrichia>Erysipelotrichales>Erysipelotrichaceae"
"Limnochordia"	"C"	14398	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005097	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Firmicutes"
"Limnochordales"	"O"	14399	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005097	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Firmicutes>Limnochordia"
"Limnochordaceae"	"F"	14400	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005097	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Firmicutes>Limnochordia>Limnochordales"
"Cyanobacteria"	"P"	1500	191	191	5	158	145	NA	65	NA	NA	102	NA	0.115	0.09736	0.06809	0.0994	0.07669	NA	0.03652	NA	NA	0.115	NA	"Bacteria"
"Oxyphotobacteria"	"C"	25227	185	185	5	158	144	NA	60	NA	NA	102	NA	0.115	0.0943	0.06809	0.0994	0.07616	NA	0.03371	NA	NA	0.115	NA	"Bacteria>Cyanobacteria"
"Chloroplast"	"O"	25228	147	147	4	127	114	NA	11	NA	NA	91	NA	0.1026	0.07493	0.05447	0.0799	0.06029	NA	0.00618	NA	NA	0.1026	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria"
"Nostocales"	"O"	25273	12	12	NA	9	10	NA	4	NA	NA	7	NA	0.007894	0.006117	NA	0.005662	0.005289	NA	0.002247	NA	NA	0.007894	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria"
"Rubidibacteraceae"	"F"	25447	5	5	NA	3	4	NA	NA	NA	NA	1	NA	0.002549	0.002549	NA	0.001887	0.002116	NA	NA	NA	NA	0.001128	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
"uncultured"	"G"	25450	5	5	NA	3	4	NA	NA	NA	NA	1	NA	0.002549	0.002549	NA	0.001887	0.002116	NA	NA	NA	NA	0.001128	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Rubidibacteraceae"
"uncultured"	"F"	25461	4	2	NA	4	NA	NA	NA	NA	NA	NA	NA	0.002516	0.001019	NA	0.002516	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
"Microcystaceae"	"F"	25317	1	1	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0006291	0.0005097	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
"Microcystis PCC-7914"	"G"	25326	1	1	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0006291	0.0005097	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Microcystaceae"
"Nostocaceae"	"F"	25335	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005097	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
"Fischerella PCC-9339"	"G"	25369	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005097	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Nostocaceae"
"Phormidiaceae"	"F"	25433	2	1	NA	NA	2	NA	NA	NA	NA	2	NA	0.002255	0.0005097	NA	NA	0.001058	NA	NA	NA	NA	0.002255	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
"Trichodesmium IMS101"	"G"	25442	2	1	NA	NA	2	NA	NA	NA	NA	2	NA	0.002255	0.0005097	NA	NA	0.001058	NA	NA	NA	NA	0.002255	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Phormidiaceae"
"Synechococcales"	"O"	25510	40	3	1	1	NA	NA	40	NA	NA	1	NA	0.02247	0.001529	0.01362	0.0006291	NA	NA	0.02247	NA	NA	0.001128	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria"
"Synechococcales Incertae Sedis"	"F"	25523	32	2	NA	NA	NA	NA	32	NA	NA	NA	NA	0.01798	0.001019	NA	NA	NA	NA	0.01798	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Synechococcales"
"Schizothrix LEGE 07164"	"G"	25524	32	2	NA	NA	NA	NA	32	NA	NA	NA	NA	0.01798	0.001019	NA	NA	NA	NA	0.01798	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Synechococcales>Synechococcales&nbsp;Incertae&nbsp;Sedis"
"Cyanobiaceae"	"F"	25511	8	1	1	1	NA	NA	8	NA	NA	1	NA	0.01362	0.0005097	0.01362	0.0006291	NA	NA	0.004494	NA	NA	0.001128	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Synechococcales"
"Prochlorococcus MIT9313"	"G"	25513	1	1	NA	1	NA	NA	NA	NA	NA	1	NA	0.001128	0.0005097	NA	0.0006291	NA	NA	NA	NA	NA	0.001128	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Synechococcales>Cyanobiaceae"
"Leptolyngbyales"	"O"	25243	2	2	NA	NA	2	NA	NA	NA	NA	NA	NA	0.001058	0.001019	NA	NA	0.001058	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria"
"Leptolyngbyaceae"	"F"	25244	2	2	NA	NA	2	NA	NA	NA	NA	NA	NA	0.001058	0.001019	NA	NA	0.001058	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Leptolyngbyales"
"Leptolyngbya SAG 2411"	"G"	25257	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005097	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Leptolyngbyales>Leptolyngbyaceae"
"uncultured"	"G"	25266	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005097	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Leptolyngbyales>Leptolyngbyaceae"
"Melainabacteria"	"C"	1589	4	4	NA	NA	1	NA	NA	NA	NA	NA	NA	0.002039	0.002039	NA	NA	0.0005289	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria"
"Gastranaerophilales"	"O"	1591	3	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001529	0.001529	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Melainabacteria"
"Obscuribacterales"	"O"	1592	1	1	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005289	0.0005097	NA	NA	0.0005289	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Melainabacteria"
"Sericytochromatia"	"C"	25536	5	2	NA	NA	NA	NA	5	NA	NA	NA	NA	0.002809	0.001019	NA	NA	NA	NA	0.002809	NA	NA	NA	NA	"Bacteria>Cyanobacteria"
"Actinobacteria"	"P"	400	159	101	12	59	113	NA	159	1	NA	154	NA	0.9259	0.05148	0.1634	0.03712	0.05976	NA	0.08932	0.9259	NA	0.1737	NA	"Bacteria"
"Actinobacteria"	"C"	419	133	59	5	37	67	NA	133	1	NA	107	NA	0.9259	0.03007	0.06809	0.02328	0.03543	NA	0.07472	0.9259	NA	0.1207	NA	"Bacteria>Actinobacteria"
"Streptosporangiales"	"O"	770	18	18	NA	12	8	NA	9	NA	NA	5	NA	0.009175	0.009175	NA	0.007549	0.004231	NA	0.005056	NA	NA	0.005639	NA	"Bacteria>Actinobacteria>Actinobacteria"
"Thermomonosporaceae"	"F"	800	17	17	NA	12	8	NA	8	NA	NA	5	NA	0.008666	0.008666	NA	0.007549	0.004231	NA	0.004494	NA	NA	0.005639	NA	"Bacteria>Actinobacteria>Actinobacteria>Streptosporangiales"
"Actinomadura"	"G"	803	17	17	NA	12	8	NA	8	NA	NA	5	NA	0.008666	0.008666	NA	0.007549	0.004231	NA	0.004494	NA	NA	0.005639	NA	"Bacteria>Actinobacteria>Actinobacteria>Streptosporangiales>Thermomonosporaceae"
"Nocardiopsaceae"	"F"	772	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005097	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Actinobacteria>Actinobacteria>Streptosporangiales"
"Nocardiopsis"	"G"	777	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005097	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Actinobacteria>Actinobacteria>Streptosporangiales>Nocardiopsaceae"
"Corynebacteriales"	"O"	447	27	9	NA	6	11	NA	27	NA	NA	7	NA	0.01517	0.004588	NA	0.003775	0.005818	NA	0.01517	NA	NA	0.007894	NA	"Bacteria>Actinobacteria>Actinobacteria"
"Nocardiaceae"	"F"	460	13	4	NA	5	1	NA	13	NA	NA	2	NA	0.007303	0.002039	NA	0.003146	0.0005289	NA	0.007303	NA	NA	0.002255	NA	"Bacteria>Actinobacteria>Actinobacteria>Corynebacteriales"
"Rhodococcus"	"G"	464	13	3	NA	5	1	NA	13	NA	NA	2	NA	0.007303	0.001529	NA	0.003146	0.0005289	NA	0.007303	NA	NA	0.002255	NA	"Bacteria>Actinobacteria>Actinobacteria>Corynebacteriales>Nocardiaceae"
"Gordonia"	"G"	461	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005097	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Actinobacteria>Actinobacteria>Corynebacteriales>Nocardiaceae"
"Corynebacteriaceae"	"F"	448	9	3	NA	1	8	NA	9	NA	NA	3	NA	0.005056	0.001529	NA	0.0006291	0.004231	NA	0.005056	NA	NA	0.003383	NA	"Bacteria>Actinobacteria>Actinobacteria>Corynebacteriales"
"Corynebacterium 1"	"G"	11143	9	3	NA	1	8	NA	9	NA	NA	3	NA	0.005056	0.001529	NA	0.0006291	0.004231	NA	0.005056	NA	NA	0.003383	NA	"Bacteria>Actinobacteria>Actinobacteria>Corynebacteriales>Corynebacteriaceae"
"Dietziaceae"	"F"	455	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001019	0.001019	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Actinobacteria>Actinobacteria>Corynebacteriales"
"Dietzia"	"G"	456	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001019	0.001019	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Actinobacteria>Actinobacteria>Corynebacteriales>Dietziaceae"
"Micrococcales"	"O"	510	19	9	2	4	19	NA	10	NA	NA	19	NA	0.02724	0.004588	0.02724	0.002516	0.01005	NA	0.005618	NA	NA	0.02143	NA	"Bacteria>Actinobacteria>Actinobacteria"
"Micrococcaceae"	"F"	636	8	4	1	3	8	NA	5	NA	NA	6	NA	0.01362	0.002039	0.01362	0.001887	0.004231	NA	0.002809	NA	NA	0.006766	NA	"Bacteria>Actinobacteria>Actinobacteria>Micrococcales"
"Kocuria"	"G"	642	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001019	0.001019	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Actinobacteria>Actinobacteria>Micrococcales>Micrococcaceae"
"Arthrobacter"	"G"	638	4	1	NA	1	4	NA	2	NA	NA	4	NA	0.004511	0.0005097	NA	0.0006291	0.002116	NA	0.001124	NA	NA	0.004511	NA	"Bacteria>Actinobacteria>Actinobacteria>Micrococcales>Micrococcaceae"
"Micrococcus"	"G"	643	1	1	NA	1	1	NA	1	NA	NA	NA	NA	0.0006291	0.0005097	NA	0.0006291	0.0005289	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Actinobacteria>Actinobacteria>Micrococcales>Micrococcaceae"
"Microbacteriaceae"	"F"	580	11	3	1	NA	9	NA	3	NA	NA	11	NA	0.01362	0.001529	0.01362	NA	0.00476	NA	0.001685	NA	NA	0.01241	NA	"Bacteria>Actinobacteria>Actinobacteria>Micrococcales"
"Amnibacterium"	"G"	585	6	2	1	NA	2	NA	NA	NA	NA	6	NA	0.01362	0.001019	0.01362	NA	0.001058	NA	NA	NA	NA	0.006766	NA	"Bacteria>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae"
"Candidatus Limnoluna"	"G"	589	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005097	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae"
"Promicromonosporaceae"	"F"	654	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005097	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Actinobacteria>Actinobacteria>Micrococcales"
"Cellulosimicrobium"	"G"	655	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005097	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Actinobacteria>Actinobacteria>Micrococcales>Promicromonosporaceae"
"Propionibacteriales"	"O"	704	26	7	1	4	9	NA	26	1	NA	14	NA	0.9259	0.003568	0.01362	0.002516	0.00476	NA	0.01461	0.9259	NA	0.01579	NA	"Bacteria>Actinobacteria>Actinobacteria"
"Propionibacteriaceae"	"F"	714	23	7	1	4	9	NA	23	1	NA	13	NA	0.9259	0.003568	0.01362	0.002516	0.00476	NA	0.01292	0.9259	NA	0.01466	NA	"Bacteria>Actinobacteria>Actinobacteria>Propionibacteriales"
"Cutibacterium"	"G"	24519	20	6	1	4	9	NA	20	NA	NA	12	NA	0.01362	0.003058	0.01362	0.002516	0.00476	NA	0.01124	NA	NA	0.01353	NA	"Bacteria>Actinobacteria>Actinobacteria>Propionibacteriales>Propionibacteriaceae"
"Frankiales"	"O"	475	20	5	NA	1	4	NA	11	NA	NA	20	NA	0.02255	0.002549	NA	0.0006291	0.002116	NA	0.00618	NA	NA	0.02255	NA	"Bacteria>Actinobacteria>Actinobacteria"
"Sporichthyaceae"	"F"	491	17	4	NA	1	3	NA	9	NA	NA	17	NA	0.01917	0.002039	NA	0.0006291	0.001587	NA	0.005056	NA	NA	0.01917	NA	"Bacteria>Actinobacteria>Actinobacteria>Frankiales"
"hgcI clade"	"G"	494	11	1	NA	1	2	NA	8	NA	NA	11	NA	0.01241	0.0005097	NA	0.0006291	0.001058	NA	0.004494	NA	NA	0.01241	NA	"Bacteria>Actinobacteria>Actinobacteria>Frankiales>Sporichthyaceae"
"Cryptosporangiaceae"	"F"	478	1	1	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001128	0.0005097	NA	NA	NA	NA	NA	NA	NA	0.001128	NA	"Bacteria>Actinobacteria>Actinobacteria>Frankiales"
"Cryptosporangium"	"G"	479	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005097	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Actinobacteria>Actinobacteria>Frankiales>Cryptosporangiaceae"
"Streptomycetales"	"O"	765	14	5	1	6	9	NA	14	NA	NA	10	NA	0.01362	0.002549	0.01362	0.003775	0.00476	NA	0.007865	NA	NA	0.01128	NA	"Bacteria>Actinobacteria>Actinobacteria"
"Streptomycetaceae"	"F"	766	14	5	1	6	9	NA	14	NA	NA	10	NA	0.01362	0.002549	0.01362	0.003775	0.00476	NA	0.007865	NA	NA	0.01128	NA	"Bacteria>Actinobacteria>Actinobacteria>Streptomycetales"
"Streptomyces"	"G"	769	14	5	1	6	9	NA	14	NA	NA	10	NA	0.01362	0.002549	0.01362	0.003775	0.00476	NA	0.007865	NA	NA	0.01128	NA	"Bacteria>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae"
"Glycomycetales"	"O"	497	2	1	NA	NA	NA	NA	NA	NA	NA	2	NA	0.002255	0.0005097	NA	NA	NA	NA	NA	NA	NA	0.002255	NA	"Bacteria>Actinobacteria>Actinobacteria"
"Glycomycetaceae"	"F"	498	2	1	NA	NA	NA	NA	NA	NA	NA	2	NA	0.002255	0.0005097	NA	NA	NA	NA	NA	NA	NA	0.002255	NA	"Bacteria>Actinobacteria>Actinobacteria>Glycomycetales"
"uncultured"	"G"	501	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005097	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Actinobacteria>Actinobacteria>Glycomycetales>Glycomycetaceae"
"Acidimicrobiia"	"C"	401	11	6	1	5	6	NA	11	NA	NA	8	NA	0.01362	0.003058	0.01362	0.003146	0.003173	NA	0.00618	NA	NA	0.009022	NA	"Bacteria>Actinobacteria"
"Microtrichales"	"O"	24483	6	4	1	5	2	NA	6	NA	NA	4	NA	0.01362	0.002039	0.01362	0.003146	0.001058	NA	0.003371	NA	NA	0.004511	NA	"Bacteria>Actinobacteria>Acidimicrobiia"
"Microtrichaceae"	"F"	24490	3	2	1	3	NA	NA	2	NA	NA	2	NA	0.01362	0.001019	0.01362	0.001887	NA	NA	0.001124	NA	NA	0.002255	NA	"Bacteria>Actinobacteria>Acidimicrobiia>Microtrichales"
"Sva0996 marine group"	"G"	24493	2	1	1	1	NA	NA	2	NA	NA	NA	NA	0.01362	0.0005097	0.01362	0.0006291	NA	NA	0.001124	NA	NA	NA	NA	"Bacteria>Actinobacteria>Acidimicrobiia>Microtrichales>Microtrichaceae"
"uncultured"	"G"	24494	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005097	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Actinobacteria>Acidimicrobiia>Microtrichales>Microtrichaceae"
"uncultured"	"F"	24495	1	1	NA	1	NA	NA	NA	NA	NA	1	NA	0.001128	0.0005097	NA	0.0006291	NA	NA	NA	NA	NA	0.001128	NA	"Bacteria>Actinobacteria>Acidimicrobiia>Microtrichales"
"Actinomarinales"	"O"	24478	4	2	NA	NA	3	NA	4	NA	NA	3	NA	0.003383	0.001019	NA	NA	0.001587	NA	0.002247	NA	NA	0.003383	NA	"Bacteria>Actinobacteria>Acidimicrobiia"
"uncultured"	"F"	24481	3	2	NA	NA	3	NA	3	NA	NA	3	NA	0.003383	0.001019	NA	NA	0.001587	NA	0.001685	NA	NA	0.003383	NA	"Bacteria>Actinobacteria>Acidimicrobiia>Actinomarinales"
"Thermoleophilia"	"C"	844	5	5	NA	2	1	NA	2	NA	NA	2	NA	0.002549	0.002549	NA	0.001258	0.0005289	NA	0.001124	NA	NA	0.002255	NA	"Bacteria>Actinobacteria"
"Solirubrobacterales"	"O"	849	5	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.002549	0.002549	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Actinobacteria>Thermoleophilia"
"67-14"	"F"	24563	3	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001529	0.001529	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Actinobacteria>Thermoleophilia>Solirubrobacterales"
"Solirubrobacteraceae"	"F"	863	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001019	0.001019	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Actinobacteria>Thermoleophilia>Solirubrobacterales"
"Solirubrobacter"	"G"	864	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001019	0.001019	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Actinobacteria>Thermoleophilia>Solirubrobacterales>Solirubrobacteraceae"
"Coriobacteriia"	"C"	809	4	2	NA	2	1	NA	4	NA	NA	1	NA	0.002247	0.001019	NA	0.001258	0.0005289	NA	0.002247	NA	NA	0.001128	NA	"Bacteria>Actinobacteria"
"Coriobacteriales"	"O"	810	4	2	NA	2	1	NA	4	NA	NA	1	NA	0.002247	0.001019	NA	0.001258	0.0005289	NA	0.002247	NA	NA	0.001128	NA	"Bacteria>Actinobacteria>Coriobacteriia"
"Eggerthellaceae"	"F"	24544	2	2	NA	1	NA	NA	2	NA	NA	1	NA	0.001128	0.001019	NA	0.0006291	NA	NA	0.001124	NA	NA	0.001128	NA	"Bacteria>Actinobacteria>Coriobacteriia>Coriobacteriales"
"uncultured"	"G"	24558	2	2	NA	NA	NA	NA	2	NA	NA	1	NA	0.001128	0.001019	NA	NA	NA	NA	0.001124	NA	NA	0.001128	NA	"Bacteria>Actinobacteria>Coriobacteriia>Coriobacteriales>Eggerthellaceae"
"Verrucomicrobia"	"P"	3982	99	63	2	31	99	NA	15	NA	NA	69	NA	0.07781	0.03211	0.02724	0.0195	0.05236	NA	0.008427	NA	NA	0.07781	NA	"Bacteria"
"Verrucomicrobiae"	"C"	4029	99	63	2	31	99	NA	15	NA	NA	69	NA	0.07781	0.03211	0.02724	0.0195	0.05236	NA	0.008427	NA	NA	0.07781	NA	"Bacteria>Verrucomicrobia"
"Verrucomicrobiales"	"O"	4030	31	6	NA	3	31	NA	1	NA	NA	22	NA	0.02481	0.003058	NA	0.001887	0.0164	NA	0.0005618	NA	NA	0.02481	NA	"Bacteria>Verrucomicrobia>Verrucomicrobiae"
"Akkermansiaceae"	"F"	27000	26	4	NA	1	26	NA	1	NA	NA	17	NA	0.01917	0.002039	NA	0.0006291	0.01375	NA	0.0005618	NA	NA	0.01917	NA	"Bacteria>Verrucomicrobia>Verrucomicrobiae>Verrucomicrobiales"
"Akkermansia"	"G"	27001	26	4	NA	1	26	NA	1	NA	NA	17	NA	0.01917	0.002039	NA	0.0006291	0.01375	NA	0.0005618	NA	NA	0.01917	NA	"Bacteria>Verrucomicrobia>Verrucomicrobiae>Verrucomicrobiales>Akkermansiaceae"
"Verrucomicrobiaceae"	"F"	4036	4	2	NA	1	4	NA	NA	NA	NA	2	NA	0.002255	0.001019	NA	0.0006291	0.002116	NA	NA	NA	NA	0.002255	NA	"Bacteria>Verrucomicrobia>Verrucomicrobiae>Verrucomicrobiales"
"Roseimicrobium"	"G"	4044	1	1	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001128	0.0005097	NA	NA	NA	NA	NA	NA	NA	0.001128	NA	"Bacteria>Verrucomicrobia>Verrucomicrobiae>Verrucomicrobiales>Verrucomicrobiaceae"
"Chthoniobacterales"	"O"	26955	18	3	NA	3	18	NA	6	NA	NA	12	NA	0.01353	0.001529	NA	0.001887	0.00952	NA	0.003371	NA	NA	0.01353	NA	"Bacteria>Verrucomicrobia>Verrucomicrobiae"
"Chthoniobacteraceae"	"F"	26957	16	3	NA	3	16	NA	6	NA	NA	11	NA	0.01241	0.001529	NA	0.001887	0.008462	NA	0.003371	NA	NA	0.01241	NA	"Bacteria>Verrucomicrobia>Verrucomicrobiae>Chthoniobacterales"
"Chthoniobacter"	"G"	26959	14	3	NA	3	14	NA	6	NA	NA	8	NA	0.009022	0.001529	NA	0.001887	0.007404	NA	0.003371	NA	NA	0.009022	NA	"Bacteria>Verrucomicrobia>Verrucomicrobiae>Chthoniobacterales>Chthoniobacteraceae"
"Opitutales"	"O"	26972	4	2	1	1	4	NA	NA	NA	NA	2	NA	0.01362	0.001019	0.01362	0.0006291	0.002116	NA	NA	NA	NA	0.002255	NA	"Bacteria>Verrucomicrobia>Verrucomicrobiae"
