"name"	"taxRank"	"taxID"	"Max"	"kraken2_classification_june_BC01.kreport.cladeReads"	"kraken2_classification_june_BC02.kreport.cladeReads"	"kraken2_classification_june_BC03.kreport.cladeReads"	"kraken2_classification_june_BC04.kreport.cladeReads"	"kraken2_classification_june_BC05.kreport.cladeReads"	"kraken2_classification_june_BC06.kreport.cladeReads"	"kraken2_classification_june_BC07.kreport.cladeReads"	"kraken2_classification_june_BC08.kreport.cladeReads"	"kraken2_classification_june_BC09.kreport.cladeReads"	"kraken2_classification_june_BC10.kreport.cladeReads"	"kraken2_classification_june_BC11.kreport.cladeReads"	"kraken2_classification_june_BC12.kreport.cladeReads"	"Max.1"	"kraken2_classification_june_BC01.kreport.cladeReads.."	"kraken2_classification_june_BC02.kreport.cladeReads.."	"kraken2_classification_june_BC03.kreport.cladeReads.."	"kraken2_classification_june_BC04.kreport.cladeReads.."	"kraken2_classification_june_BC05.kreport.cladeReads.."	"kraken2_classification_june_BC06.kreport.cladeReads.."	"kraken2_classification_june_BC07.kreport.cladeReads.."	"kraken2_classification_june_BC08.kreport.cladeReads.."	"kraken2_classification_june_BC09.kreport.cladeReads.."	"kraken2_classification_june_BC10.kreport.cladeReads.."	"kraken2_classification_june_BC11.kreport.cladeReads.."	"kraken2_classification_june_BC12.kreport.cladeReads.."	"lineage"
"Streptomycetaceae"	"F"	2062	197	164	13	115	1	120	2	NA	7	3	NA	197	4	2.778	0.0836	0.177	0.07235	0.6289	0.06347	1.37	NA	0.003933	2.778	NA	0.2222	2.198	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales"
"Streptomyces"	"G"	1883	195	160	12	115	1	120	2	NA	7	3	NA	195	4	2.778	0.08156	0.1634	0.07235	0.6289	0.06347	1.37	NA	0.003933	2.778	NA	0.2199	2.198	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae"
"Streptomyces scabiei"	"S"	1930	46	46	NA	42	NA	35	NA	NA	NA	NA	NA	8	NA	0.02642	0.02345	NA	0.02642	NA	0.01851	NA	NA	NA	NA	NA	0.009022	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Streptomyces scabiei 87.22"	"-"	680198	46	46	NA	42	NA	35	NA	NA	NA	NA	NA	8	NA	0.02642	0.02345	NA	0.02642	NA	0.01851	NA	NA	NA	NA	NA	0.009022	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces>Streptomyces&nbsp;scabiei"
"Streptomyces lunaelactis"	"S"	1535768	91	41	2	19	NA	21	NA	NA	3	NA	NA	91	NA	0.1026	0.0209	0.02724	0.01195	NA	0.01111	NA	NA	0.001685	NA	NA	0.1026	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Streptomyces nodosus"	"S"	40318	43	25	NA	20	NA	20	NA	NA	4	NA	NA	43	NA	0.04849	0.01274	NA	0.01258	NA	0.01058	NA	NA	0.002247	NA	NA	0.04849	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Streptomyces pristinaespiralis"	"S"	38300	10	9	1	3	NA	10	NA	NA	NA	NA	NA	1	NA	0.01362	0.004588	0.01362	0.001887	NA	0.005289	NA	NA	NA	NA	NA	0.001128	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Streptomyces pristinaespiralis ATCC 25486"	"-"	457429	10	9	1	3	NA	10	NA	NA	NA	NA	NA	1	NA	0.01362	0.004588	0.01362	0.001887	NA	0.005289	NA	NA	NA	NA	NA	0.001128	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces>Streptomyces&nbsp;pristinaespiralis"
"Streptomyces cattleya"	"S"	29303	10	9	1	10	NA	8	NA	NA	NA	NA	NA	1	NA	0.01362	0.004588	0.01362	0.006291	NA	0.004231	NA	NA	NA	NA	NA	0.001128	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Streptomyces cattleya NRRL 8057 = DSM 46488"	"-"	1003195	10	9	1	10	NA	8	NA	NA	NA	NA	NA	1	NA	0.01362	0.004588	0.01362	0.006291	NA	0.004231	NA	NA	NA	NA	NA	0.001128	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces>Streptomyces&nbsp;cattleya"
"Streptomyces ambofaciens"	"S"	1889	5	5	NA	3	NA	5	NA	NA	NA	NA	NA	NA	NA	0.002644	0.002549	NA	0.001887	NA	0.002644	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Streptomyces ambofaciens ATCC 23877"	"-"	278992	5	5	NA	3	NA	5	NA	NA	NA	NA	NA	NA	NA	0.002644	0.002549	NA	0.001887	NA	0.002644	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces>Streptomyces&nbsp;ambofaciens"
"Streptomyces sp. CMB-StM0423"	"S"	2059884	6	5	NA	3	NA	6	NA	NA	NA	NA	NA	NA	NA	0.003173	0.002549	NA	0.001887	NA	0.003173	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Streptomyces globosus"	"S"	68209	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001128	0.001019	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001128	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Streptomyces sp. PAMC 26508"	"S"	1265601	4	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	0.004511	0.001019	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.004511	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Streptomyces sp. Mg1"	"S"	465541	5	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	0.005639	0.001019	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.005639	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Streptomyces albidoflavus group"	"-"	1477431	2	2	NA	2	NA	2	NA	NA	NA	NA	NA	2	NA	0.002255	0.001019	NA	0.001258	NA	0.001058	NA	NA	NA	NA	NA	0.002255	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Streptomyces sampsonii"	"S"	42239	2	2	NA	2	NA	2	NA	NA	NA	NA	NA	2	NA	0.002255	0.001019	NA	0.001258	NA	0.001058	NA	NA	NA	NA	NA	0.002255	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces>Streptomyces&nbsp;albidoflavus&nbsp;group"
"Streptomyces albulus"	"S"	68570	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001019	0.001019	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Streptomyces albulus ZPM"	"-"	1434306	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001019	0.001019	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces>Streptomyces&nbsp;albulus"
"Streptomyces sp. S8"	"S"	1837283	5	2	NA	1	NA	1	NA	NA	NA	NA	NA	5	NA	0.005639	0.001019	NA	0.0006291	NA	0.0005289	NA	NA	NA	NA	NA	0.005639	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Streptomyces pratensis"	"S"	1169025	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.01362	0.0005097	0.01362	NA	NA	NA	NA	NA	NA	NA	NA	0.001128	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Streptomyces pratensis ATCC 33331"	"-"	591167	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.01362	0.0005097	0.01362	NA	NA	NA	NA	NA	NA	NA	NA	0.001128	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces>Streptomyces&nbsp;pratensis"
"Streptomyces clavuligerus"	"S"	1901	3	1	NA	NA	NA	1	NA	NA	NA	1	NA	3	NA	0.9259	0.0005097	NA	NA	NA	0.0005289	NA	NA	NA	0.9259	NA	0.003383	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Streptomyces clavuligerus ATCC 27064"	"-"	443255	3	1	NA	NA	NA	1	NA	NA	NA	NA	NA	3	NA	0.003383	0.0005097	NA	NA	NA	0.0005289	NA	NA	NA	NA	NA	0.003383	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces>Streptomyces&nbsp;clavuligerus"
"Streptomyces venezuelae"	"S"	54571	3	1	NA	3	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001887	0.0005097	NA	0.001887	NA	NA	NA	NA	NA	NA	NA	0.001128	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Streptomyces venezuelae ATCC 10712"	"-"	953739	3	1	NA	3	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001887	0.0005097	NA	0.001887	NA	NA	NA	NA	NA	NA	NA	0.001128	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces>Streptomyces&nbsp;venezuelae"
"Streptomyces lividans"	"S"	1916	5	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	0.005639	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.005639	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Streptomyces lividans 1326"	"-"	1200984	5	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	0.005639	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.005639	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces>Streptomyces&nbsp;lividans"
"Streptomyces peucetius"	"S"	1950	4	1	NA	1	NA	1	NA	NA	NA	NA	NA	4	NA	0.004511	0.0005097	NA	0.0006291	NA	0.0005289	NA	NA	NA	NA	NA	0.004511	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Streptomyces peucetius subsp. caesius"	"-"	55158	4	1	NA	1	NA	1	NA	NA	NA	NA	NA	4	NA	0.004511	0.0005097	NA	0.0006291	NA	0.0005289	NA	NA	NA	NA	NA	0.004511	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces>Streptomyces&nbsp;peucetius"
"Streptomyces peucetius subsp. caesius ATCC 27952"	"-"	316280	4	1	NA	1	NA	1	NA	NA	NA	NA	NA	4	NA	0.004511	0.0005097	NA	0.0006291	NA	0.0005289	NA	NA	NA	NA	NA	0.004511	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces>Streptomyces&nbsp;peucetius>Streptomyces&nbsp;peucetius&nbsp;subsp.&nbsp;caesius"
"Streptomyces hundungensis"	"S"	1077946	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0005289	0.0005097	NA	NA	NA	0.0005289	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Kitasatospora"	"G"	2063	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001128	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001128	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae"
"Kitasatospora sp. MMS16-BH015"	"S"	2018025	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001128	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001128	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Kitasatospora"
"Bifidobacteriales"	"O"	85004	130	130	7	92	NA	63	NA	NA	4	1	NA	39	NA	0.9259	0.06627	0.09533	0.05788	NA	0.03332	NA	NA	0.002247	0.9259	NA	0.04398	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria"
"Bifidobacteriaceae"	"F"	31953	130	130	7	92	NA	63	NA	NA	4	1	NA	39	NA	0.9259	0.06627	0.09533	0.05788	NA	0.03332	NA	NA	0.002247	0.9259	NA	0.04398	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Bifidobacteriales"
"Bifidobacterium"	"G"	1678	127	127	5	90	NA	58	NA	NA	4	1	NA	35	NA	0.9259	0.06474	0.06809	0.05662	NA	0.03068	NA	NA	0.002247	0.9259	NA	0.03947	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Bifidobacteriales>Bifidobacteriaceae"
"Bifidobacterium animalis"	"S"	28025	71	71	4	45	NA	39	NA	NA	2	NA	NA	8	NA	0.05447	0.03619	0.05447	0.02831	NA	0.02063	NA	NA	0.001124	NA	NA	0.009022	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Bifidobacteriales>Bifidobacteriaceae>Bifidobacterium"
"Bifidobacterium animalis subsp. lactis"	"-"	302911	71	71	4	45	NA	39	NA	NA	2	NA	NA	8	NA	0.05447	0.03619	0.05447	0.02831	NA	0.02063	NA	NA	0.001124	NA	NA	0.009022	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Bifidobacteriales>Bifidobacteriaceae>Bifidobacterium>Bifidobacterium&nbsp;animalis"
"Bifidobacterium animalis subsp. lactis AD011"	"-"	442563	47	47	2	31	NA	21	NA	NA	NA	NA	NA	1	NA	0.02724	0.02396	0.02724	0.0195	NA	0.01111	NA	NA	NA	NA	NA	0.001128	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Bifidobacteriales>Bifidobacteriaceae>Bifidobacterium>Bifidobacterium&nbsp;animalis>Bifidobacterium&nbsp;animalis&nbsp;subsp.&nbsp;lactis"
"Bifidobacterium animalis subsp. lactis KLDS2.0603"	"-"	1316911	24	24	2	14	NA	18	NA	NA	2	NA	NA	7	NA	0.02724	0.01223	0.02724	0.008807	NA	0.00952	NA	NA	0.001124	NA	NA	0.007894	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Bifidobacteriales>Bifidobacteriaceae>Bifidobacterium>Bifidobacterium&nbsp;animalis>Bifidobacterium&nbsp;animalis&nbsp;subsp.&nbsp;lactis"
"Bifidobacterium adolescentis"	"S"	1680	36	36	1	31	NA	9	NA	NA	NA	NA	NA	2	NA	0.0195	0.01835	0.01362	0.0195	NA	0.00476	NA	NA	NA	NA	NA	0.002255	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Bifidobacteriales>Bifidobacteriaceae>Bifidobacterium"
"Bifidobacterium adolescentis ATCC 15703"	"-"	367928	36	36	1	31	NA	9	NA	NA	NA	NA	NA	2	NA	0.0195	0.01835	0.01362	0.0195	NA	0.00476	NA	NA	NA	NA	NA	0.002255	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Bifidobacteriales>Bifidobacteriaceae>Bifidobacterium>Bifidobacterium&nbsp;adolescentis"
"Bifidobacterium longum"	"S"	216816	15	15	NA	11	NA	7	NA	NA	2	NA	NA	15	NA	0.01692	0.007646	NA	0.00692	NA	0.003702	NA	NA	0.001124	NA	NA	0.01692	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Bifidobacteriales>Bifidobacteriaceae>Bifidobacterium"
"Bifidobacterium longum subsp. longum"	"-"	1679	10	10	NA	8	NA	3	NA	NA	1	NA	NA	1	NA	0.005097	0.005097	NA	0.005033	NA	0.001587	NA	NA	0.0005618	NA	NA	0.001128	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Bifidobacteriales>Bifidobacteriaceae>Bifidobacterium>Bifidobacterium&nbsp;longum"
"Bifidobacterium longum subsp. infantis"	"-"	1682	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005097	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Bifidobacteriales>Bifidobacteriaceae>Bifidobacterium>Bifidobacterium&nbsp;longum"
"Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088"	"-"	391904	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005097	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Bifidobacteriales>Bifidobacteriaceae>Bifidobacterium>Bifidobacterium&nbsp;longum>Bifidobacterium&nbsp;longum&nbsp;subsp.&nbsp;infantis"
"Bifidobacterium kashiwanohense"	"S"	630129	9	5	NA	3	NA	3	NA	NA	NA	NA	NA	9	NA	0.01015	0.002549	NA	0.001887	NA	0.001587	NA	NA	NA	NA	NA	0.01015	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Bifidobacteriales>Bifidobacteriaceae>Bifidobacterium"
"Bifidobacterium kashiwanohense PV20-2"	"-"	1447716	9	5	NA	3	NA	3	NA	NA	NA	NA	NA	9	NA	0.01015	0.002549	NA	0.001887	NA	0.001587	NA	NA	NA	NA	NA	0.01015	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Bifidobacteriales>Bifidobacteriaceae>Bifidobacterium>Bifidobacterium&nbsp;kashiwanohense"
"Parascardovia"	"G"	196082	1	1	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0006291	0.0005097	NA	0.0006291	NA	0.0005289	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Bifidobacteriales>Bifidobacteriaceae"
"Parascardovia denticolens"	"S"	78258	1	1	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0006291	0.0005097	NA	0.0006291	NA	0.0005289	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Bifidobacteriales>Bifidobacteriaceae>Parascardovia"
"Parascardovia denticolens DSM 10105 = JCM 12538"	"-"	864564	1	1	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0006291	0.0005097	NA	0.0006291	NA	0.0005289	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Bifidobacteriales>Bifidobacteriaceae>Parascardovia>Parascardovia&nbsp;denticolens"
"Streptosporangiales"	"O"	85012	93	93	5	73	NA	68	NA	NA	2	NA	NA	14	1	0.5495	0.04741	0.06809	0.04592	NA	0.03596	NA	NA	0.001124	NA	NA	0.01579	0.5495	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria"
"Nocardiopsaceae"	"F"	83676	92	92	5	72	NA	67	NA	NA	2	NA	NA	11	1	0.5495	0.0469	0.06809	0.0453	NA	0.03543	NA	NA	0.001124	NA	NA	0.01241	0.5495	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptosporangiales"
"Nocardiopsis"	"G"	2013	92	92	5	72	NA	67	NA	NA	2	NA	NA	11	1	0.5495	0.0469	0.06809	0.0453	NA	0.03543	NA	NA	0.001124	NA	NA	0.01241	0.5495	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptosporangiales>Nocardiopsaceae"
"Nocardiopsis dassonvillei"	"S"	2014	89	89	5	71	NA	66	NA	NA	NA	NA	NA	6	NA	0.06809	0.04537	0.06809	0.04467	NA	0.03491	NA	NA	NA	NA	NA	0.006766	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptosporangiales>Nocardiopsaceae>Nocardiopsis"
"Nocardiopsis dassonvillei subsp. dassonvillei"	"-"	568208	89	89	5	71	NA	66	NA	NA	NA	NA	NA	6	NA	0.06809	0.04537	0.06809	0.04467	NA	0.03491	NA	NA	NA	NA	NA	0.006766	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptosporangiales>Nocardiopsaceae>Nocardiopsis>Nocardiopsis&nbsp;dassonvillei"
"Nocardiopsis dassonvillei subsp. dassonvillei DSM 43111"	"-"	446468	89	89	5	71	NA	66	NA	NA	NA	NA	NA	6	NA	0.06809	0.04537	0.06809	0.04467	NA	0.03491	NA	NA	NA	NA	NA	0.006766	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptosporangiales>Nocardiopsaceae>Nocardiopsis>Nocardiopsis&nbsp;dassonvillei>Nocardiopsis&nbsp;dassonvillei&nbsp;subsp.&nbsp;dassonvillei"
"Nocardiopsis gilva"	"S"	280236	5	3	NA	1	NA	1	NA	NA	2	NA	NA	5	1	0.5495	0.001529	NA	0.0006291	NA	0.0005289	NA	NA	0.001124	NA	NA	0.005639	0.5495	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptosporangiales>Nocardiopsaceae>Nocardiopsis"
"Nocardiopsis gilva YIM 90087"	"-"	1235441	5	3	NA	1	NA	1	NA	NA	2	NA	NA	5	1	0.5495	0.001529	NA	0.0006291	NA	0.0005289	NA	NA	0.001124	NA	NA	0.005639	0.5495	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptosporangiales>Nocardiopsaceae>Nocardiopsis>Nocardiopsis&nbsp;gilva"
"Candidatus Nanopelagicales"	"O"	2039638	343	83	6	17	1	49	NA	NA	2	NA	NA	343	3	1.648	0.04231	0.08171	0.01069	0.6289	0.02592	NA	NA	0.001124	NA	NA	0.3868	1.648	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria"
"Candidatus Nanopelagicaceae"	"F"	2162846	343	83	6	17	1	49	NA	NA	2	NA	NA	343	3	1.648	0.04231	0.08171	0.01069	0.6289	0.02592	NA	NA	0.001124	NA	NA	0.3868	1.648	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Candidatus&nbsp;Nanopelagicales"
"Candidatus Planktophila"	"G"	622681	319	75	5	15	1	47	NA	NA	2	NA	NA	319	3	1.648	0.03823	0.06809	0.009437	0.6289	0.02486	NA	NA	0.001124	NA	NA	0.3597	1.648	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Candidatus&nbsp;Nanopelagicales>Candidatus&nbsp;Nanopelagicaceae"
"Candidatus Planktophila versatilis"	"S"	1884905	231	50	5	7	NA	27	NA	NA	2	NA	NA	231	1	0.5495	0.02549	0.06809	0.004404	NA	0.01428	NA	NA	0.001124	NA	NA	0.2605	0.5495	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Candidatus&nbsp;Nanopelagicales>Candidatus&nbsp;Nanopelagicaceae>Candidatus&nbsp;Planktophila"
"Candidatus Planktophila limnetica"	"S"	573600	23	11	NA	4	NA	4	NA	NA	NA	NA	NA	23	NA	0.02594	0.005607	NA	0.002516	NA	0.002116	NA	NA	NA	NA	NA	0.02594	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Candidatus&nbsp;Nanopelagicales>Candidatus&nbsp;Nanopelagicaceae>Candidatus&nbsp;Planktophila"
"Candidatus Planktophila lacus"	"S"	1884913	17	4	NA	NA	NA	3	NA	NA	NA	NA	NA	17	NA	0.01917	0.002039	NA	NA	NA	0.001587	NA	NA	NA	NA	NA	0.01917	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Candidatus&nbsp;Nanopelagicales>Candidatus&nbsp;Nanopelagicaceae>Candidatus&nbsp;Planktophila"
