"name"	"taxRank"	"taxID"	"Max"	"BC01.txt.cladeReads"	"BC02.txt.cladeReads"	"BC03.txt.cladeReads"	"BC04.txt.cladeReads"	"BC05.txt.cladeReads"	"BC06.txt.cladeReads"	"BC07.txt.cladeReads"	"BC08.txt.cladeReads"	"BC09.txt.cladeReads"	"BC10.txt.cladeReads"	"BC11.txt.cladeReads"	"BC12.txt.cladeReads"	"Max.1"	"BC01.txt.cladeReads.."	"BC02.txt.cladeReads.."	"BC03.txt.cladeReads.."	"BC04.txt.cladeReads.."	"BC05.txt.cladeReads.."	"BC06.txt.cladeReads.."	"BC07.txt.cladeReads.."	"BC08.txt.cladeReads.."	"BC09.txt.cladeReads.."	"BC10.txt.cladeReads.."	"BC11.txt.cladeReads.."	"BC12.txt.cladeReads.."	"lineage"
"Pseudohongiella spirulinae"	"S"	1249552	9	3	NA	1	NA	6	NA	NA	5	NA	NA	9	NA	0.01271	0.002406	NA	0.001007	NA	0.004508	NA	NA	0.002859	NA	NA	0.01271	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>unclassified&nbsp;Gammaproteobacteria>Pseudohongiella"
"Thiolapillus brandeum"	"S"	1076588	4	3	NA	2	NA	NA	NA	NA	2	NA	NA	4	NA	0.005647	0.002406	NA	0.002015	NA	NA	NA	NA	0.001144	NA	NA	0.005647	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>unclassified&nbsp;Gammaproteobacteria>Thiolapillus"
"gamma proteobacterium HdN1"	"S"	83406	3	1	NA	2	NA	1	NA	NA	1	NA	NA	3	NA	0.004235	0.000802	NA	0.002015	NA	0.0007514	NA	NA	0.0005718	NA	NA	0.004235	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>unclassified&nbsp;Gammaproteobacteria>unclassified&nbsp;Gammaproteobacteria&nbsp;(miscellaneous)"
"endosymbiont of unidentified scaly snail isolate Monju"	"S"	1248727	2	1	NA	NA	NA	2	NA	NA	NA	NA	NA	2	NA	0.002823	0.000802	NA	NA	NA	0.001503	NA	NA	NA	NA	NA	0.002823	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>unclassified&nbsp;Gammaproteobacteria>unclassified&nbsp;Gammaproteobacteria&nbsp;(miscellaneous)"
"Thiohalobacter thiocyanaticus"	"S"	585455	3	2	NA	NA	NA	2	NA	NA	NA	NA	NA	3	NA	0.004235	0.001604	NA	NA	NA	0.001503	NA	NA	NA	NA	NA	0.004235	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>unclassified&nbsp;Gammaproteobacteria>Thiohalobacter"
"Dichelobacter nodosus"	"S"	870	158	158	6	121	NA	100	NA	NA	14	NA	NA	22	NA	0.1267	0.1267	0.1215	0.1219	NA	0.07514	NA	NA	0.008005	NA	NA	0.03106	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Cardiobacteriales>Cardiobacteriaceae>Dichelobacter"
"Mannheimia varigena"	"S"	85404	72	61	2	72	NA	54	NA	NA	59	NA	NA	9	NA	0.07252	0.04892	0.0405	0.07252	NA	0.04058	NA	NA	0.03374	NA	NA	0.01271	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Pasteurellales>Pasteurellaceae>Mannheimia"
"Actinobacillus pleuropneumoniae"	"S"	715	34	33	1	34	NA	23	NA	NA	6	NA	NA	3	NA	0.03425	0.02647	0.02025	0.03425	NA	0.01728	NA	NA	0.003431	NA	NA	0.004235	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Pasteurellales>Pasteurellaceae>Actinobacillus"
"Haemophilus influenzae"	"S"	727	207	24	1	24	NA	21	NA	NA	207	NA	NA	10	NA	0.1184	0.01925	0.02025	0.02417	NA	0.01578	NA	NA	0.1184	NA	NA	0.01412	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Pasteurellales>Pasteurellaceae>Haemophilus"
"Pasteurella multocida"	"S"	747	18	1	NA	NA	NA	3	NA	NA	18	NA	NA	NA	NA	0.01029	0.000802	NA	NA	NA	0.002254	NA	NA	0.01029	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Pasteurellales>Pasteurellaceae>Pasteurella"
"Histophilus somni"	"S"	731	140	1	NA	NA	NA	12	NA	NA	140	NA	NA	5	NA	0.08005	0.000802	NA	NA	NA	0.009017	NA	NA	0.08005	NA	NA	0.007059	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Pasteurellales>Pasteurellaceae>Histophilus"
"Bibersteinia trehalosi"	"S"	47735	21	1	NA	1	NA	NA	NA	NA	21	NA	NA	2	NA	0.01201	0.000802	NA	0.001007	NA	NA	NA	NA	0.01201	NA	NA	0.002823	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Pasteurellales>Pasteurellaceae>Bibersteinia"
"Shewanella japonica"	"S"	93973	55	52	NA	55	NA	31	NA	NA	15	NA	NA	2	NA	0.0554	0.04171	NA	0.0554	NA	0.02329	NA	NA	0.008577	NA	NA	0.002823	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Alteromonadales>Shewanellaceae>Shewanella"
"Shewanella baltica"	"S"	62322	245	5	1	4	NA	4	NA	NA	245	NA	NA	6	NA	0.1401	0.00401	0.02025	0.004029	NA	0.003006	NA	NA	0.1401	NA	NA	0.00847	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Alteromonadales>Shewanellaceae>Shewanella"
"Shewanella amazonensis"	"S"	60478	4	1	NA	NA	NA	4	NA	NA	NA	NA	NA	2	NA	0.003006	0.000802	NA	NA	NA	0.003006	NA	NA	NA	NA	NA	0.002823	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Alteromonadales>Shewanellaceae>Shewanella"
"Alteromonas macleodii"	"S"	28108	35	8	NA	4	NA	8	NA	NA	35	NA	NA	5	NA	0.02001	0.006416	NA	0.004029	NA	0.006011	NA	NA	0.02001	NA	NA	0.007059	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Alteromonadales>Alteromonadaceae>Alteromonas"
"Alteromonas mediterranea"	"S"	314275	18	8	NA	8	NA	8	NA	NA	18	NA	NA	1	NA	0.01029	0.006416	NA	0.008058	NA	0.006011	NA	NA	0.01029	NA	NA	0.001412	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Alteromonadales>Alteromonadaceae>Alteromonas"
"Alteromonas australica"	"S"	589873	42	6	NA	8	NA	12	NA	NA	42	NA	NA	2	NA	0.02402	0.004812	NA	0.008058	NA	0.009017	NA	NA	0.02402	NA	NA	0.002823	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Alteromonadales>Alteromonadaceae>Alteromonas"
"Alteromonas naphthalenivorans"	"S"	715451	327	6	NA	2	NA	6	1	NA	327	NA	NA	24	NA	1.333	0.004812	NA	0.002015	NA	0.004508	1.333	NA	0.187	NA	NA	0.03388	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Alteromonadales>Alteromonadaceae>Alteromonas"
"Agarivorans gilvus"	"S"	680279	206	6	NA	1	NA	6	NA	NA	206	NA	NA	7	NA	0.1178	0.004812	NA	0.001007	NA	0.004508	NA	NA	0.1178	NA	NA	0.009882	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Alteromonadales>Alteromonadaceae>Agarivorans"
"Pseudoalteromonas rubra"	"S"	43658	2	1	NA	NA	NA	1	NA	NA	2	NA	NA	NA	NA	0.001144	0.000802	NA	NA	NA	0.0007514	NA	NA	0.001144	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Alteromonadales>Pseudoalteromonadaceae>Pseudoalteromonas"
"Pseudoalteromonas arctica"	"S"	394751	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000802	0.000802	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Alteromonadales>Pseudoalteromonadaceae>Pseudoalteromonas"
"Psychromonas sp. CNPT3"	"S"	314282	2	1	NA	NA	NA	2	NA	NA	2	NA	NA	1	NA	0.001503	0.000802	NA	NA	NA	0.001503	NA	NA	0.001144	NA	NA	0.001412	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Alteromonadales>Psychromonadaceae>Psychromonas"
"Psychromonas ingrahamii"	"S"	357794	5	1	NA	2	NA	1	NA	NA	NA	NA	NA	5	NA	0.007059	0.000802	NA	0.002015	NA	0.0007514	NA	NA	NA	NA	NA	0.007059	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Alteromonadales>Psychromonadaceae>Psychromonas"
"Moritella viscosa"	"S"	80854	17	2	NA	1	NA	3	NA	NA	17	NA	NA	4	NA	0.00972	0.001604	NA	0.001007	NA	0.002254	NA	NA	0.00972	NA	NA	0.005647	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Alteromonadales>Moritellaceae>Moritella"
"Idiomarina sp. OT37-5b"	"S"	2100422	4	1	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	0.002287	0.000802	NA	NA	NA	NA	NA	NA	0.002287	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Alteromonadales>Idiomarinaceae>Idiomarina"
"Thiomicrospira aerophila"	"S"	92245	15	13	1	5	NA	15	NA	NA	3	NA	NA	6	NA	0.02025	0.01043	0.02025	0.005036	NA	0.01127	NA	NA	0.001715	NA	NA	0.00847	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Thiotrichales>Piscirickettsiaceae>Thiomicrospira"
"Piscirickettsia salmonis"	"S"	1238	33	26	1	21	NA	24	NA	1	33	NA	NA	1	NA	2.273	0.02085	0.02025	0.02115	NA	0.01803	NA	2.273	0.01887	NA	NA	0.001412	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Thiotrichales>Piscirickettsiaceae>Piscirickettsia"
"Methylophaga nitratireducenticrescens"	"S"	754476	31	4	NA	1	NA	31	NA	NA	NA	NA	NA	19	NA	0.02682	0.003208	NA	0.001007	NA	0.02329	NA	NA	NA	NA	NA	0.02682	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Thiotrichales>Piscirickettsiaceae>Methylophaga"
"Methylophaga frappieri"	"S"	754477	10	2	1	6	NA	10	NA	NA	9	NA	NA	7	NA	0.02025	0.001604	0.02025	0.006044	NA	0.007514	NA	NA	0.005146	NA	NA	0.009882	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Thiotrichales>Piscirickettsiaceae>Methylophaga"
"Hydrogenovibrio crunogenus"	"S"	39765	1	1	NA	1	NA	NA	NA	NA	1	NA	NA	NA	NA	0.001007	0.000802	NA	0.001007	NA	NA	NA	NA	0.0005718	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Thiotrichales>Piscirickettsiaceae>Hydrogenovibrio"
"Beggiatoa leptomitoformis"	"S"	288004	24	8	1	6	NA	18	NA	NA	16	NA	NA	24	NA	0.03388	0.006416	0.02025	0.006044	NA	0.01353	NA	NA	0.009149	NA	NA	0.03388	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Thiotrichales>Thiotrichaceae>Beggiatoa"
"Thioploca ingrica"	"S"	40754	3	3	NA	NA	NA	2	NA	NA	NA	NA	NA	3	NA	0.004235	0.002406	NA	NA	NA	0.001503	NA	NA	NA	NA	NA	0.004235	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Thiotrichales>Thiotrichaceae>Thioploca"
"Francisella tularensis"	"S"	263	2	2	NA	1	NA	1	NA	NA	NA	NA	NA	1	NA	0.001604	0.001604	NA	0.001007	NA	0.0007514	NA	NA	NA	NA	NA	0.001412	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Thiotrichales>Francisellaceae>Francisella"
"Francisella philomiragia"	"S"	28110	3	1	NA	1	NA	NA	NA	NA	3	NA	NA	NA	NA	0.001715	0.000802	NA	0.001007	NA	NA	NA	NA	0.001715	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Thiotrichales>Francisellaceae>Francisella"
"Steroidobacter denitrificans"	"S"	465721	73	25	NA	6	NA	69	NA	NA	7	NA	NA	73	NA	0.1031	0.02005	NA	0.006044	NA	0.05185	NA	NA	0.004003	NA	NA	0.1031	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Nevskiales>Sinobacteraceae>Steroidobacter"
"Sulfurifustis variabilis"	"S"	1675686	7	3	NA	NA	NA	7	NA	NA	NA	NA	NA	5	NA	0.007059	0.002406	NA	NA	NA	0.00526	NA	NA	NA	NA	NA	0.007059	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Acidiferrobacterales>Acidiferrobacteraceae>Sulfurifustis"
"Sulfuricaulis limicola"	"S"	1620215	10	1	NA	NA	NA	2	NA	NA	NA	NA	NA	10	NA	0.01412	0.000802	NA	NA	NA	0.001503	NA	NA	NA	NA	NA	0.01412	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Acidiferrobacterales>Acidiferrobacteraceae>Sulfuricaulis"
"Methylomonas denitrificans"	"S"	1538553	44	7	1	1	NA	44	NA	NA	4	NA	NA	26	NA	0.03671	0.005614	0.02025	0.001007	NA	0.03306	NA	NA	0.002287	NA	NA	0.03671	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Methylococcales>Methylococcaceae>Methylomonas"
"Methylomicrobium alcaliphilum"	"S"	271065	10	3	NA	2	NA	10	NA	NA	NA	NA	NA	3	NA	0.007514	0.002406	NA	0.002015	NA	0.007514	NA	NA	NA	NA	NA	0.004235	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Methylococcales>Methylococcaceae>Methylomicrobium"
"Methylococcus capsulatus"	"S"	414	9	1	NA	NA	NA	5	NA	NA	2	NA	NA	9	NA	0.01271	0.000802	NA	NA	NA	0.003757	NA	NA	0.001144	NA	NA	0.01271	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Methylococcales>Methylococcaceae>Methylococcus"
"Frischella perrara"	"S"	1267021	3	1	NA	NA	NA	3	NA	NA	3	NA	NA	NA	NA	0.002254	0.000802	NA	NA	NA	0.002254	NA	NA	0.001715	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Orbales>Orbaceae>Frischella"
"Immundisolibacter cernigliae"	"S"	1810504	12	1	NA	NA	NA	1	NA	NA	12	NA	NA	1	NA	0.006861	0.000802	NA	NA	NA	0.0007514	NA	NA	0.006861	NA	NA	0.001412	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Immundisolibacterales>Immundisolibacteraceae>Immundisolibacter"
"Limnohabitans sp. 63ED37-2"	"S"	1678128	21167	2934	501	697	2	21167	5	2	71	2	3	10435	2	15.9	2.353	10.15	0.7021	2.778	15.9	6.667	4.545	0.0406	3.03	14.29	14.73	2.353	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Limnohabitans"
"Limnohabitans sp. 103DPR2"	"S"	1678129	4696	601	68	233	4	4696	1	1	26	NA	2	2631	1	9.524	0.482	1.377	0.2347	5.556	3.529	1.333	2.273	0.01487	NA	9.524	3.714	1.176	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Limnohabitans"
"Rhodoferax saidenbachensis"	"S"	1484693	911	81	22	40	NA	911	1	1	2	NA	NA	458	NA	2.273	0.06496	0.4455	0.04029	NA	0.6845	1.333	2.273	0.001144	NA	NA	0.6466	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Rhodoferax ferrireducens"	"S"	192843	800	71	16	30	NA	800	NA	NA	6	NA	NA	355	NA	0.6011	0.05694	0.324	0.03022	NA	0.6011	NA	NA	0.003431	NA	NA	0.5012	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Rhodoferax koreense"	"S"	1842727	328	53	11	12	NA	328	NA	NA	NA	NA	NA	297	NA	0.4193	0.04251	0.2228	0.01209	NA	0.2465	NA	NA	NA	NA	NA	0.4193	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Rhodoferax antarcticus"	"S"	81479	254	50	4	18	NA	254	1	NA	NA	NA	NA	167	NA	1.333	0.0401	0.081	0.01813	NA	0.1909	1.333	NA	NA	NA	NA	0.2358	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Hydrogenophaga sp. RAC07"	"S"	1842537	1382	167	32	53	NA	1382	NA	NA	10	1	NA	853	1	1.515	0.1339	0.648	0.05339	NA	1.038	NA	NA	0.005718	1.515	NA	1.204	1.176	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Hydrogenophaga"
"Hydrogenophaga crassostreae"	"S"	1763535	413	49	14	8	1	393	NA	NA	NA	NA	NA	413	NA	1.389	0.0393	0.2835	0.008058	1.389	0.2953	NA	NA	NA	NA	NA	0.583	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Hydrogenophaga"
"Hydrogenophaga sp. PBC"	"S"	795665	336	41	7	17	NA	336	NA	NA	NA	NA	NA	249	NA	0.3515	0.03288	0.1418	0.01712	NA	0.2525	NA	NA	NA	NA	NA	0.3515	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Hydrogenophaga"
"Variovorax boronicumulans"	"S"	436515	700	102	13	32	NA	700	1	NA	4	1	NA	405	1	1.515	0.08181	0.2633	0.03223	NA	0.526	1.333	NA	0.002287	1.515	NA	0.5718	1.176	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Variovorax sp. PAMC 28711"	"S"	1795631	468	69	11	16	NA	468	NA	3	1	NA	NA	279	NA	6.818	0.05534	0.2228	0.01612	NA	0.3517	NA	6.818	0.0005718	NA	NA	0.3939	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Variovorax paradoxus"	"S"	34073	15	2	1	1	NA	15	NA	NA	NA	NA	NA	10	NA	0.02025	0.001604	0.02025	0.001007	NA	0.01127	NA	NA	NA	NA	NA	0.01412	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Acidovorax sp. RAC01"	"S"	1842533	653	76	16	20	NA	653	NA	NA	7	NA	NA	473	NA	0.6677	0.06095	0.324	0.02015	NA	0.4907	NA	NA	0.004003	NA	NA	0.6677	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Acidovorax sp. NA2"	"S"	1662456	258	15	2	7	NA	258	NA	NA	2	NA	NA	221	NA	0.312	0.01203	0.0405	0.007051	NA	0.1939	NA	NA	0.001144	NA	NA	0.312	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Acidovorax sp. KKS102"	"S"	358220	53	4	2	3	1	53	NA	NA	NA	NA	NA	31	NA	1.389	0.003208	0.0405	0.003022	1.389	0.03982	NA	NA	NA	NA	NA	0.04376	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Acidovorax sp. NA3"	"S"	553814	6	1	NA	1	NA	1	NA	NA	NA	NA	NA	6	NA	0.00847	0.000802	NA	0.001007	NA	0.0007514	NA	NA	NA	NA	NA	0.00847	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Acidovorax sp. T1"	"S"	1858609	18	1	NA	NA	NA	6	NA	NA	NA	NA	NA	18	NA	0.02541	0.000802	NA	NA	NA	0.004508	NA	NA	NA	NA	NA	0.02541	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Comamonadaceae bacterium B1"	"S"	1458426	652	80	23	23	1	652	NA	NA	2	NA	NA	447	NA	1.389	0.06416	0.4658	0.02317	1.389	0.4899	NA	NA	0.001144	NA	NA	0.631	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>unclassified&nbsp;Comamonadaceae"
"Comamonadaceae bacterium A1"	"S"	1458425	11	3	NA	1	1	11	NA	NA	NA	NA	NA	6	NA	1.389	0.002406	NA	0.001007	1.389	0.008265	NA	NA	NA	NA	NA	0.00847	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>unclassified&nbsp;Comamonadaceae"
"Polaromonas sp. JS666"	"S"	296591	676	58	9	26	NA	676	1	NA	2	NA	1	486	NA	4.762	0.04652	0.1823	0.02619	NA	0.5079	1.333	NA	0.001144	NA	4.762	0.6861	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Polaromonas"
"Polaromonas naphthalenivorans"	"S"	216465	195	33	3	13	NA	195	NA	NA	1	NA	NA	142	NA	0.2005	0.02647	0.06075	0.01309	NA	0.1465	NA	NA	0.0005718	NA	NA	0.2005	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Polaromonas"
"Comamonas testosteroni"	"S"	285	197	43	3	10	NA	197	NA	NA	2	NA	NA	164	NA	0.2315	0.03449	0.06075	0.01007	NA	0.148	NA	NA	0.001144	NA	NA	0.2315	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Comamonas serinivorans"	"S"	1082851	193	37	2	6	NA	193	NA	NA	3	NA	NA	91	NA	0.145	0.02967	0.0405	0.006044	NA	0.145	NA	NA	0.001715	NA	NA	0.1285	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Comamonas kerstersii"	"S"	225992	50	4	2	3	NA	31	NA	NA	NA	NA	NA	50	1	1.176	0.003208	0.0405	0.003022	NA	0.02329	NA	NA	NA	NA	NA	0.07059	1.176	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Ottowia sp. KADR8-3"	"S"	2109914	283	43	6	17	NA	283	NA	NA	2	NA	NA	183	NA	0.2583	0.03449	0.1215	0.01712	NA	0.2126	NA	NA	0.001144	NA	NA	0.2583	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Ottowia"
"Ottowia sp. oral taxon 894"	"S"	1658672	424	35	4	24	NA	424	NA	NA	1	NA	NA	293	1	1.176	0.02807	0.081	0.02417	NA	0.3186	NA	NA	0.0005718	NA	NA	0.4136	1.176	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Ottowia"
"Candidatus Symbiobacter mobilis"	"S"	1436290	110	50	2	28	NA	110	NA	NA	1	NA	NA	68	NA	0.096	0.0401	0.0405	0.0282	NA	0.08265	NA	NA	0.0005718	NA	NA	0.096	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Candidatus&nbsp;Symbiobacter"
"Ramlibacter tataouinensis"	"S"	94132	132	31	6	15	NA	132	NA	NA	NA	NA	NA	105	2	2.353	0.02486	0.1215	0.01511	NA	0.09919	NA	NA	NA	NA	NA	0.1482	2.353	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Ramlibacter"
"Verminephrobacter eiseniae"	"S"	364317	153	31	6	17	NA	153	NA	NA	NA	1	NA	97	NA	1.515	0.02486	0.1215	0.01712	NA	0.115	NA	NA	NA	1.515	NA	0.1369	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Verminephrobacter"
"Simplicispira sp. SC1-8"	"S"	2109915	90	22	2	13	NA	90	NA	NA	1	NA	NA	68	NA	0.096	0.01764	0.0405	0.01309	NA	0.06763	NA	NA	0.0005718	NA	NA	0.096	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Simplicispira"
"Delftia sp. Cs1-4"	"S"	742013	21	4	NA	1	NA	21	NA	NA	NA	NA	NA	16	NA	0.02259	0.003208	NA	0.001007	NA	0.01578	NA	NA	NA	NA	NA	0.02259	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Delftia"
"Delftia tsuruhatensis"	"S"	180282	19	2	NA	NA	1	19	NA	NA	NA	NA	NA	17	NA	1.389	0.001604	NA	NA	1.389	0.01428	NA	NA	NA	NA	NA	0.024	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Delftia"
"Melaminivora sp. SC2-9"	"S"	2109913	48	3	2	1	NA	48	NA	NA	NA	NA	NA	29	NA	0.04094	0.002406	0.0405	0.001007	NA	0.03607	NA	NA	NA	NA	NA	0.04094	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Melaminivora"
"Melaminivora sp. SC2-7"	"S"	2116657	72	2	1	6	NA	72	NA	NA	NA	NA	NA	66	NA	0.09317	0.001604	0.02025	0.006044	NA	0.0541	NA	NA	NA	NA	NA	0.09317	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Melaminivora"
"Alicycliphilus denitrificans"	"S"	179636	9	2	NA	NA	NA	7	NA	NA	NA	NA	NA	9	NA	0.01271	0.001604	NA	NA	NA	0.00526	NA	NA	NA	NA	NA	0.01271	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Alicycliphilus"
