"name"	"taxRank"	"taxID"	"Max"	"kraken2_16s_k21_classification_june_BC01.cladeReads"	"kraken2_16s_k21_classification_june_BC02.cladeReads"	"kraken2_16s_k21_classification_june_BC03.cladeReads"	"kraken2_16s_k21_classification_june_BC04.cladeReads"	"kraken2_16s_k21_classification_june_BC05.cladeReads"	"kraken2_16s_k21_classification_june_BC06.cladeReads"	"kraken2_16s_k21_classification_june_BC07.cladeReads"	"kraken2_16s_k21_classification_june_BC08.cladeReads"	"kraken2_16s_k21_classification_june_BC09.cladeReads"	"kraken2_16s_k21_classification_june_BC10.cladeReads"	"kraken2_16s_k21_classification_june_BC11.cladeReads"	"kraken2_16s_k21_classification_june_BC12.cladeReads"	"Max.1"	"kraken2_16s_k21_classification_june_BC01.cladeReads.."	"kraken2_16s_k21_classification_june_BC02.cladeReads.."	"kraken2_16s_k21_classification_june_BC03.cladeReads.."	"kraken2_16s_k21_classification_june_BC04.cladeReads.."	"kraken2_16s_k21_classification_june_BC05.cladeReads.."	"kraken2_16s_k21_classification_june_BC06.cladeReads.."	"kraken2_16s_k21_classification_june_BC07.cladeReads.."	"kraken2_16s_k21_classification_june_BC08.cladeReads.."	"kraken2_16s_k21_classification_june_BC09.cladeReads.."	"kraken2_16s_k21_classification_june_BC10.cladeReads.."	"kraken2_16s_k21_classification_june_BC11.cladeReads.."	"kraken2_16s_k21_classification_june_BC12.cladeReads.."	"lineage"
"Tropicimonas"	"G"	2662	8	8	1	2	NA	5	NA	NA	NA	NA	NA	6	NA	0.01362	0.004078	0.01362	0.001258	NA	0.002644	NA	NA	NA	NA	NA	0.006766	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Actibacterium"	"G"	2559	32	7	1	3	NA	32	NA	NA	1	NA	NA	18	NA	0.0203	0.003568	0.01362	0.001887	NA	0.01692	NA	NA	0.0005618	NA	NA	0.0203	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Celeribacter"	"G"	2566	23	7	NA	1	NA	23	NA	NA	1	NA	NA	8	NA	0.01216	0.003568	NA	0.0006291	NA	0.01216	NA	NA	0.0005618	NA	NA	0.009022	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Thioclava"	"G"	2659	15	6	3	2	NA	14	NA	NA	NA	NA	NA	15	NA	0.04086	0.003058	0.04086	0.001258	NA	0.007404	NA	NA	NA	NA	NA	0.01692	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Halodurantibacterium"	"G"	26163	12	6	NA	4	NA	10	NA	NA	NA	NA	NA	12	NA	0.01353	0.003058	NA	0.002516	NA	0.005289	NA	NA	NA	NA	NA	0.01353	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"HIMB11"	"G"	26162	8	6	NA	2	NA	8	NA	NA	NA	NA	NA	7	NA	0.007894	0.003058	NA	0.001258	NA	0.004231	NA	NA	NA	NA	NA	0.007894	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Albirhodobacter"	"G"	14528	7	6	NA	NA	NA	7	NA	NA	NA	NA	NA	3	NA	0.003702	0.003058	NA	NA	NA	0.003702	NA	NA	NA	NA	NA	0.003383	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Rubellimicrobium"	"G"	2642	9	5	1	1	NA	9	NA	NA	NA	NA	NA	7	NA	0.01362	0.002549	0.01362	0.0006291	NA	0.00476	NA	NA	NA	NA	NA	0.007894	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Aliiroseovarius"	"G"	14529	11	5	2	NA	NA	11	NA	NA	NA	NA	NA	7	NA	0.02724	0.002549	0.02724	NA	NA	0.005818	NA	NA	NA	NA	NA	0.007894	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Maritimibacter"	"G"	2593	4	4	NA	NA	NA	3	NA	NA	NA	NA	NA	4	NA	0.004511	0.002039	NA	NA	NA	0.001587	NA	NA	NA	NA	NA	0.004511	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Vadicella"	"G"	2663	3	3	NA	NA	NA	3	NA	NA	NA	NA	NA	2	NA	0.002255	0.001529	NA	NA	NA	0.001587	NA	NA	NA	NA	NA	0.002255	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Pseudophaeobacter"	"G"	11458	4	3	NA	NA	NA	4	NA	NA	NA	NA	NA	2	NA	0.002255	0.001529	NA	NA	NA	0.002116	NA	NA	NA	NA	NA	0.002255	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Ponticoccus"	"G"	2616	7	3	1	NA	NA	7	NA	NA	1	NA	NA	2	NA	0.01362	0.001529	0.01362	NA	NA	0.003702	NA	NA	0.0005618	NA	NA	0.002255	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Marinovum"	"G"	2592	4	3	NA	2	NA	4	NA	NA	NA	NA	NA	1	NA	0.002116	0.001529	NA	0.001258	NA	0.002116	NA	NA	NA	NA	NA	0.001128	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Tateyamaria"	"G"	2655	4	3	NA	1	NA	4	NA	NA	NA	NA	NA	3	NA	0.003383	0.001529	NA	0.0006291	NA	0.002116	NA	NA	NA	NA	NA	0.003383	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Albidovulum"	"G"	2560	4	2	NA	4	NA	3	NA	NA	NA	NA	NA	4	NA	0.004511	0.001019	NA	0.002516	NA	0.001587	NA	NA	NA	NA	NA	0.004511	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Aestuariivita"	"G"	11444	3	2	NA	NA	NA	3	NA	NA	NA	NA	NA	2	NA	0.002255	0.001019	NA	NA	NA	0.001587	NA	NA	NA	NA	NA	0.002255	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Rubribacterium"	"G"	2643	4	2	NA	NA	NA	4	NA	NA	NA	NA	NA	2	NA	0.002255	0.001019	NA	NA	NA	0.002116	NA	NA	NA	NA	NA	0.002255	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Frigidibacter"	"G"	14532	3	2	NA	2	NA	3	NA	NA	NA	NA	NA	1	NA	0.001587	0.001019	NA	0.001258	NA	0.001587	NA	NA	NA	NA	NA	0.001128	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Rubrimonas"	"G"	2644	2	2	1	1	NA	1	NA	NA	NA	NA	NA	1	NA	0.01362	0.001019	0.01362	0.0006291	NA	0.0005289	NA	NA	NA	NA	NA	0.001128	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Ketogulonicigenium"	"G"	2580	3	2	NA	NA	NA	3	NA	NA	NA	NA	NA	2	NA	0.002255	0.001019	NA	NA	NA	0.001587	NA	NA	NA	NA	NA	0.002255	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Marivita"	"G"	2594	4	2	NA	NA	NA	4	NA	NA	NA	NA	NA	1	NA	0.002116	0.001019	NA	NA	NA	0.002116	NA	NA	NA	NA	NA	0.001128	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Lutimaribacter"	"G"	2588	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001128	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001128	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Methylarcula"	"G"	2595	3	1	NA	NA	NA	1	NA	NA	NA	NA	NA	3	NA	0.003383	0.0005097	NA	NA	NA	0.0005289	NA	NA	NA	NA	NA	0.003383	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Thalassobius"	"G"	2657	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001128	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001128	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Thalassococcus"	"G"	2658	4	1	NA	NA	NA	4	NA	NA	NA	NA	NA	2	NA	0.002255	0.0005097	NA	NA	NA	0.002116	NA	NA	NA	NA	NA	0.002255	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Tranquillimonas"	"G"	2660	2	1	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	0.001058	0.0005097	NA	NA	NA	0.001058	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Sagittula"	"G"	2646	1	1	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	0.0005618	0.0005097	NA	NA	NA	0.0005289	NA	NA	0.0005618	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Oceanicola"	"G"	2601	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	0.002255	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.002255	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Dinoroseobacter"	"G"	2570	3	1	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	0.001587	0.0005097	NA	NA	NA	0.001587	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Pelagibaca"	"G"	2608	3	1	NA	2	NA	3	NA	NA	NA	NA	NA	NA	NA	0.001587	0.0005097	NA	0.001258	NA	0.001587	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Hasllibacter"	"G"	2576	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005097	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Roseobacter"	"G"	2635	3	1	NA	2	NA	2	NA	NA	NA	NA	NA	3	NA	0.003383	0.0005097	NA	0.001258	NA	0.001058	NA	NA	NA	NA	NA	0.003383	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Roseicyclus"	"G"	2631	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005097	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Boseongicola"	"G"	11447	3	1	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	0.001587	0.0005097	NA	NA	NA	0.001587	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Silicimonas"	"G"	26173	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0005289	0.0005097	NA	NA	NA	0.0005289	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Sphingomonadales"	"O"	2823	1828	1159	61	461	NA	1828	NA	NA	16	NA	NA	1825	NA	2.058	0.5908	0.8307	0.29	NA	0.9668	NA	NA	0.008989	NA	NA	2.058	NA	"Bacteria>Proteobacteria>Alphaproteobacteria"
"Sphingomonadaceae"	"F"	2844	1828	1159	61	461	NA	1828	NA	NA	16	NA	NA	1825	NA	2.058	0.5908	0.8307	0.29	NA	0.9668	NA	NA	0.008989	NA	NA	2.058	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales"
"Novosphingobium"	"G"	2846	637	369	21	145	NA	605	NA	NA	7	NA	NA	637	NA	0.7184	0.1881	0.286	0.09122	NA	0.32	NA	NA	0.003933	NA	NA	0.7184	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae"
"Sphingomonas"	"G"	2852	471	298	18	115	NA	471	NA	NA	3	NA	NA	466	NA	0.5255	0.1519	0.2451	0.07235	NA	0.2491	NA	NA	0.001685	NA	NA	0.5255	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae"
"Sphingobium"	"G"	2850	151	95	3	35	NA	151	NA	NA	2	NA	NA	142	NA	0.1601	0.04842	0.04086	0.02202	NA	0.07986	NA	NA	0.001124	NA	NA	0.1601	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae"
"Sphingopyxis"	"G"	2853	117	82	2	36	NA	95	NA	NA	NA	NA	NA	117	NA	0.1319	0.0418	0.02724	0.02265	NA	0.05024	NA	NA	NA	NA	NA	0.1319	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae"
"uncultured"	"G"	2858	83	67	2	20	NA	59	NA	NA	1	NA	NA	83	NA	0.0936	0.03415	0.02724	0.01258	NA	0.0312	NA	NA	0.0005618	NA	NA	0.0936	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae"
"Sphingorhabdus"	"G"	2854	99	65	3	24	NA	99	NA	NA	NA	NA	NA	87	NA	0.09811	0.03313	0.04086	0.0151	NA	0.05236	NA	NA	NA	NA	NA	0.09811	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae"
"Erythrobacter"	"G"	26245	55	25	NA	10	NA	55	NA	NA	2	NA	NA	38	NA	0.04285	0.01274	NA	0.006291	NA	0.02909	NA	NA	0.001124	NA	NA	0.04285	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae"
"Altererythrobacter"	"G"	26240	59	25	3	14	NA	59	NA	NA	NA	NA	NA	54	NA	0.0609	0.01274	0.04086	0.008807	NA	0.0312	NA	NA	NA	NA	NA	0.0609	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae"
"Polymorphobacter"	"G"	11469	6	6	NA	1	NA	3	NA	NA	NA	NA	NA	3	NA	0.003383	0.003058	NA	0.0006291	NA	0.001587	NA	NA	NA	NA	NA	0.003383	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae"
"Zymomonas"	"G"	2857	6	5	NA	2	NA	4	NA	NA	NA	NA	NA	6	NA	0.006766	0.002549	NA	0.001258	NA	0.002116	NA	NA	NA	NA	NA	0.006766	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae"
"Qipengyuania"	"G"	26249	7	4	NA	NA	NA	7	NA	NA	NA	NA	NA	6	NA	0.006766	0.002039	NA	NA	NA	0.003702	NA	NA	NA	NA	NA	0.006766	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae"
"Sphingoaurantiacus"	"G"	26251	9	3	NA	2	NA	9	NA	NA	1	NA	NA	2	NA	0.00476	0.001529	NA	0.001258	NA	0.00476	NA	NA	0.0005618	NA	NA	0.002255	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae"
"MN 122.2a"	"G"	26246	3	3	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001529	0.001529	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	0.001128	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae"
"Rhizorhapis"	"G"	14559	20	2	NA	NA	NA	20	NA	NA	NA	NA	NA	6	NA	0.01058	0.001019	NA	NA	NA	0.01058	NA	NA	NA	NA	NA	0.006766	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae"
"Ellin6055"	"G"	26244	5	2	1	1	NA	1	NA	NA	NA	NA	NA	5	NA	0.01362	0.001019	0.01362	0.0006291	NA	0.0005289	NA	NA	NA	NA	NA	0.005639	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae"
"Sandarakinorhabdus"	"G"	2849	3	1	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	0.001587	0.0005097	NA	NA	NA	0.001587	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae"
"Blastomonas"	"G"	2845	2	1	1	1	NA	1	NA	NA	NA	NA	NA	2	NA	0.01362	0.0005097	0.01362	0.0006291	NA	0.0005289	NA	NA	NA	NA	NA	0.002255	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae"
"Plot4-2H12"	"G"	26247	7	1	NA	NA	NA	7	NA	NA	NA	NA	NA	2	NA	0.003702	0.0005097	NA	NA	NA	0.003702	NA	NA	NA	NA	NA	0.002255	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae"
"Parasphingopyxis"	"G"	2847	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005097	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae"
"Rhizobiales"	"O"	2421	757	425	25	234	NA	757	NA	NA	11	NA	NA	697	NA	0.786	0.2166	0.3405	0.1472	NA	0.4004	NA	NA	0.00618	NA	NA	0.786	NA	"Bacteria>Proteobacteria>Alphaproteobacteria"
"Rhizobiaceae"	"F"	2525	257	124	9	54	NA	244	NA	NA	4	NA	NA	257	NA	0.2898	0.06321	0.1226	0.03397	NA	0.129	NA	NA	0.002247	NA	NA	0.2898	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales"
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"	"G"	26091	146	52	7	20	NA	127	NA	NA	1	NA	NA	146	NA	0.1646	0.02651	0.09533	0.01258	NA	0.06717	NA	NA	0.0005618	NA	NA	0.1646	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae"
"Mesorhizobium"	"G"	26112	40	13	1	9	NA	40	NA	NA	1	NA	NA	26	NA	0.02932	0.006627	0.01362	0.005662	NA	0.02116	NA	NA	0.0005618	NA	NA	0.02932	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae"
"Ochrobactrum"	"G"	26115	12	11	NA	2	NA	8	NA	NA	NA	NA	NA	12	NA	0.01353	0.005607	NA	0.001258	NA	0.004231	NA	NA	NA	NA	NA	0.01353	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae"
"uncultured"	"G"	26127	13	7	1	6	NA	13	NA	NA	NA	NA	NA	12	NA	0.01362	0.003568	0.01362	0.003775	NA	0.006875	NA	NA	NA	NA	NA	0.01353	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae"
"Nitratireductor"	"G"	26114	6	5	NA	2	NA	6	NA	NA	NA	NA	NA	6	NA	0.006766	0.002549	NA	0.001258	NA	0.003173	NA	NA	NA	NA	NA	0.006766	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae"
"Ensifer"	"G"	2526	13	5	NA	4	NA	11	NA	NA	NA	NA	NA	13	NA	0.01466	0.002549	NA	0.002516	NA	0.005818	NA	NA	NA	NA	NA	0.01466	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae"
"Pseudahrensia"	"G"	26119	5	4	NA	NA	NA	5	NA	NA	1	NA	NA	2	NA	0.002644	0.002039	NA	NA	NA	0.002644	NA	NA	0.0005618	NA	NA	0.002255	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae"
"Phyllobacterium"	"G"	26118	4	4	NA	NA	NA	1	NA	NA	NA	NA	NA	3	NA	0.003383	0.002039	NA	NA	NA	0.0005289	NA	NA	NA	NA	NA	0.003383	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae"
"Pseudochrobactrum"	"G"	26121	4	3	NA	2	NA	4	NA	NA	NA	NA	NA	2	NA	0.002255	0.001529	NA	0.001258	NA	0.002116	NA	NA	NA	NA	NA	0.002255	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae"
"Aminobacter"	"G"	26092	2	2	NA	NA	NA	1	NA	NA	NA	NA	NA	1	NA	0.001128	0.001019	NA	NA	NA	0.0005289	NA	NA	NA	NA	NA	0.001128	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae"
"Aureimonas"	"G"	26095	7	2	NA	NA	NA	3	NA	NA	NA	NA	NA	7	NA	0.007894	0.001019	NA	NA	NA	0.001587	NA	NA	NA	NA	NA	0.007894	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae"
"Candidatus Liberibacter"	"G"	26099	2	2	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	0.001058	0.001019	NA	NA	NA	0.001058	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae"
"Falsochrobactrum"	"G"	26106	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0005289	0.0005097	NA	NA	NA	0.0005289	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae"
"Pseudaminobacter"	"G"	26120	2	1	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	0.001058	0.0005097	NA	NA	NA	0.001058	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae"
"Shinella"	"G"	2529	3	1	NA	1	NA	2	NA	NA	NA	NA	NA	3	NA	0.003383	0.0005097	NA	0.0006291	NA	0.001058	NA	NA	NA	NA	NA	0.003383	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae"
"Neorhizobium"	"G"	11436	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	1	NA	0.001128	0.0005097	NA	NA	NA	0.0005289	NA	NA	NA	NA	NA	0.001128	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae"
"Bartonella"	"G"	26096	3	1	NA	1	NA	3	NA	NA	NA	NA	NA	2	NA	0.002255	0.0005097	NA	0.0006291	NA	0.001587	NA	NA	NA	NA	NA	0.002255	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae"
"Rhizobiales Incertae Sedis"	"F"	2530	164	70	4	34	NA	164	NA	NA	NA	NA	NA	94	NA	0.106	0.03568	0.05447	0.02139	NA	0.08674	NA	NA	NA	NA	NA	0.106	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales"
"uncultured"	"G"	14525	134	53	4	23	NA	134	NA	NA	NA	NA	NA	59	NA	0.07087	0.02702	0.05447	0.01447	NA	0.07087	NA	NA	NA	NA	NA	0.06654	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiales&nbsp;Incertae&nbsp;Sedis"
"Nordella"	"G"	2534	15	9	NA	8	NA	15	NA	NA	NA	NA	NA	11	NA	0.01241	0.004588	NA	0.005033	NA	0.007933	NA	NA	NA	NA	NA	0.01241	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiales&nbsp;Incertae&nbsp;Sedis"
"Phreatobacter"	"G"	11439	17	5	NA	1	NA	7	NA	NA	NA	NA	NA	17	NA	0.01917	0.002549	NA	0.0006291	NA	0.003702	NA	NA	NA	NA	NA	0.01917	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiales&nbsp;Incertae&nbsp;Sedis"
"Bauldia"	"G"	2532	6	2	NA	1	NA	6	NA	NA	NA	NA	NA	5	NA	0.005639	0.001019	NA	0.0006291	NA	0.003173	NA	NA	NA	NA	NA	0.005639	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiales&nbsp;Incertae&nbsp;Sedis"
"Alsobacter"	"G"	11437	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005097	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiales&nbsp;Incertae&nbsp;Sedis"
"Hyphomicrobiaceae"	"F"	2472	95	64	1	45	NA	74	NA	NA	NA	NA	NA	95	NA	0.1071	0.03262	0.01362	0.02831	NA	0.03914	NA	NA	NA	NA	NA	0.1071	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales"
"Hyphomicrobium"	"G"	2480	65	45	1	34	NA	62	NA	NA	NA	NA	NA	65	NA	0.0733	0.02294	0.01362	0.02139	NA	0.03279	NA	NA	NA	NA	NA	0.0733	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Hyphomicrobiaceae"
"Pedomicrobium"	"G"	2483	20	10	NA	10	NA	7	NA	NA	NA	NA	NA	20	NA	0.02255	0.005097	NA	0.006291	NA	0.003702	NA	NA	NA	NA	NA	0.02255	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Hyphomicrobiaceae"
"Filomicrobium"	"G"	2479	5	5	NA	NA	NA	2	NA	NA	NA	NA	NA	4	NA	0.004511	0.002549	NA	NA	NA	0.001058	NA	NA	NA	NA	NA	0.004511	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Hyphomicrobiaceae"
"uncultured"	"G"	2490	4	2	NA	NA	NA	2	NA	NA	NA	NA	NA	4	NA	0.004511	0.001019	NA	NA	NA	0.001058	NA	NA	NA	NA	NA	0.004511	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Hyphomicrobiaceae"
"Xanthobacteraceae"	"F"	2545	103	58	4	29	NA	103	NA	NA	4	NA	NA	58	NA	0.06541	0.02956	0.05447	0.01824	NA	0.05447	NA	NA	0.002247	NA	NA	0.06541	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales"
"Bradyrhizobium"	"G"	26151	37	37	1	12	NA	31	NA	NA	2	NA	NA	23	NA	0.02594	0.01886	0.01362	0.007549	NA	0.0164	NA	NA	0.001124	NA	NA	0.02594	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Xanthobacteraceae"
"uncultured"	"G"	2554	33	6	2	8	NA	33	NA	NA	2	NA	NA	18	NA	0.02724	0.003058	0.02724	0.005033	NA	0.01745	NA	NA	0.001124	NA	NA	0.0203	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Xanthobacteraceae"
