"name"	"taxRank"	"taxID"	"Max"	"kraken2_classification_loman_loman.kreport.cladeReads"	"Max.1"	"kraken2_classification_loman_loman.kreport.cladeReads.."	"lineage"
"Micropruina"	"G"	116071	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Propionibacteriales>Nocardioidaceae"
"Micropruina glycogenica"	"S"	75385	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Propionibacteriales>Nocardioidaceae>Micropruina"
"Kribbella"	"G"	182639	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Propionibacteriales>Nocardioidaceae"
"Kribbella flavida"	"S"	182640	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Propionibacteriales>Nocardioidaceae>Kribbella"
"Kribbella flavida DSM 17836"	"-"	479435	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Propionibacteriales>Nocardioidaceae>Kribbella>Kribbella&nbsp;flavida"
"Pseudonocardiales"	"O"	85010	9	9	0.007111	0.007111	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria"
"Pseudonocardiaceae"	"F"	2070	9	9	0.007111	0.007111	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Pseudonocardiales"
"Amycolatopsis"	"G"	1813	4	4	0.00316	0.00316	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Pseudonocardiales>Pseudonocardiaceae"
"Amycolatopsis mediterranei"	"S"	33910	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Pseudonocardiales>Pseudonocardiaceae>Amycolatopsis"
"Amycolatopsis japonica"	"S"	208439	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Pseudonocardiales>Pseudonocardiaceae>Amycolatopsis"
"Amycolatopsis albispora"	"S"	1804986	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Pseudonocardiales>Pseudonocardiaceae>Amycolatopsis"
"Pseudonocardia"	"G"	1847	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Pseudonocardiales>Pseudonocardiaceae"
"Pseudonocardia dioxanivorans"	"S"	240495	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Pseudonocardiales>Pseudonocardiaceae>Pseudonocardia"
"Pseudonocardia dioxanivorans CB1190"	"-"	675635	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Pseudonocardiales>Pseudonocardiaceae>Pseudonocardia>Pseudonocardia&nbsp;dioxanivorans"
"Saccharomonospora"	"G"	1851	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Pseudonocardiales>Pseudonocardiaceae"
"Saccharomonospora azurea"	"S"	40988	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Pseudonocardiales>Pseudonocardiaceae>Saccharomonospora"
"Saccharomonospora azurea NA-128"	"-"	882081	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Pseudonocardiales>Pseudonocardiaceae>Saccharomonospora>Saccharomonospora&nbsp;azurea"
"Saccharothrix"	"G"	2071	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Pseudonocardiales>Pseudonocardiaceae"
"Saccharothrix espanaensis"	"S"	103731	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Pseudonocardiales>Pseudonocardiaceae>Saccharothrix"
"Saccharothrix espanaensis DSM 44229"	"-"	1179773	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Pseudonocardiales>Pseudonocardiaceae>Saccharothrix>Saccharothrix&nbsp;espanaensis"
"Actinosynnema"	"G"	40566	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Pseudonocardiales>Pseudonocardiaceae"
"Actinoalloteichus"	"G"	65496	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Pseudonocardiales>Pseudonocardiaceae"
"Actinoalloteichus hymeniacidonis"	"S"	340345	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Pseudonocardiales>Pseudonocardiaceae>Actinoalloteichus"
"Micromonosporales"	"O"	85008	5	5	0.003951	0.003951	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria"
"Micromonosporaceae"	"F"	28056	5	5	0.003951	0.003951	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micromonosporales"
"Micromonospora"	"G"	1873	4	4	0.00316	0.00316	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micromonosporales>Micromonosporaceae"
"Micromonospora auratinigra"	"S"	261654	2	2	0.00158	0.00158	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micromonosporales>Micromonosporaceae>Micromonospora"
"Micromonospora sp. WMMA2032"	"S"	2039870	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micromonosporales>Micromonosporaceae>Micromonospora"
"Micromonospora echinospora"	"S"	1877	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micromonosporales>Micromonosporaceae>Micromonospora"
"Actinoplanes"	"G"	1865	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micromonosporales>Micromonosporaceae"
"Actinoplanes friuliensis"	"S"	196914	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micromonosporales>Micromonosporaceae>Actinoplanes"
"Actinoplanes friuliensis DSM 7358"	"-"	1246995	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micromonosporales>Micromonosporaceae>Actinoplanes>Actinoplanes&nbsp;friuliensis"
"Frankiales"	"O"	85013	4	4	0.00316	0.00316	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria"
"Frankiaceae"	"F"	74712	3	3	0.00237	0.00237	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Frankiales"
"Frankia"	"G"	1854	3	3	0.00237	0.00237	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Frankiales>Frankiaceae"
"Frankia sp. EAN1pec"	"S"	298653	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Frankiales>Frankiaceae>Frankia"
"Frankia inefficax"	"S"	298654	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Frankiales>Frankiaceae>Frankia"
"Frankia sp. QA3"	"S"	710111	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Frankiales>Frankiaceae>Frankia"
"unclassified Frankiales"	"-"	1837742	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Frankiales"
"unclassified Frankiales (miscellaneous)"	"-"	1920255	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Frankiales>unclassified&nbsp;Frankiales"
"Frankineae bacterium MT45"	"S"	1882833	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Frankiales>unclassified&nbsp;Frankiales>unclassified&nbsp;Frankiales&nbsp;(miscellaneous)"
"Jiangellales"	"O"	1217098	4	4	0.00316	0.00316	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria"
"Jiangellaceae"	"F"	1217100	4	4	0.00316	0.00316	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Jiangellales"
"Jiangella"	"G"	281472	4	4	0.00316	0.00316	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Jiangellales>Jiangellaceae"
"Jiangella alkaliphila"	"S"	419479	3	3	0.00237	0.00237	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Jiangellales>Jiangellaceae>Jiangella"
"Jiangella sp. DSM 45060"	"S"	1798224	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Jiangellales>Jiangellaceae>Jiangella"
"Geodermatophilales"	"O"	1643682	2	2	0.00158	0.00158	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria"
"Geodermatophilaceae"	"F"	85030	2	2	0.00158	0.00158	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Geodermatophilales"
"Modestobacter"	"G"	88138	2	2	0.00158	0.00158	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Geodermatophilales>Geodermatophilaceae"
"Modestobacter marinus"	"S"	477641	2	2	0.00158	0.00158	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Geodermatophilales>Geodermatophilaceae>Modestobacter"
"Bifidobacteriales"	"O"	85004	2	2	0.00158	0.00158	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria"
"Bifidobacteriaceae"	"F"	31953	2	2	0.00158	0.00158	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Bifidobacteriales"
"Bifidobacterium"	"G"	1678	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Bifidobacteriales>Bifidobacteriaceae"
"Bifidobacterium angulatum"	"S"	1683	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Bifidobacteriales>Bifidobacteriaceae>Bifidobacterium"
"Scardovia"	"G"	196081	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Bifidobacteriales>Bifidobacteriaceae"
"Scardovia inopinata"	"S"	78259	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Bifidobacteriales>Bifidobacteriaceae>Scardovia"
"Scardovia inopinata JCM 12537"	"-"	1150468	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Bifidobacteriales>Bifidobacteriaceae>Scardovia>Scardovia&nbsp;inopinata"
"Streptosporangiales"	"O"	85012	2	2	0.00158	0.00158	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria"
"Thermomonosporaceae"	"F"	2012	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptosporangiales"
"Thermomonospora"	"G"	2019	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptosporangiales>Thermomonosporaceae"
"Thermomonospora curvata"	"S"	2020	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptosporangiales>Thermomonosporaceae>Thermomonospora"
"Thermomonospora curvata DSM 43183"	"-"	471852	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptosporangiales>Thermomonosporaceae>Thermomonospora>Thermomonospora&nbsp;curvata"
"Nocardiopsaceae"	"F"	83676	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptosporangiales"
"Nocardiopsis"	"G"	2013	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptosporangiales>Nocardiopsaceae"
"Nocardiopsis alba"	"S"	53437	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptosporangiales>Nocardiopsaceae>Nocardiopsis"
"Nocardiopsis alba ATCC BAA-2165"	"-"	1205910	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptosporangiales>Nocardiopsaceae>Nocardiopsis>Nocardiopsis&nbsp;alba"
"Candidatus Nanopelagicales"	"O"	2039638	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria"
"Candidatus Nanopelagicaceae"	"F"	2162846	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Candidatus&nbsp;Nanopelagicales"
"Candidatus Planktophila"	"G"	622681	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Candidatus&nbsp;Nanopelagicales>Candidatus&nbsp;Nanopelagicaceae"
"Candidatus Planktophila limnetica"	"S"	573600	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Candidatus&nbsp;Nanopelagicales>Candidatus&nbsp;Nanopelagicaceae>Candidatus&nbsp;Planktophila"
"Coriobacteriia"	"C"	84998	2	2	0.00158	0.00158	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria"
"Eggerthellales"	"O"	1643822	2	2	0.00158	0.00158	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Coriobacteriia"
"Eggerthellaceae"	"F"	1643826	2	2	0.00158	0.00158	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Coriobacteriia>Eggerthellales"
"Eggerthella"	"G"	84111	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Coriobacteriia>Eggerthellales>Eggerthellaceae"
"Eggerthella lenta"	"S"	84112	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Coriobacteriia>Eggerthellales>Eggerthellaceae>Eggerthella"
"Gordonibacter"	"G"	644652	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Coriobacteriia>Eggerthellales>Eggerthellaceae"
"Gordonibacter massiliensis"	"S"	1841863	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Coriobacteriia>Eggerthellales>Eggerthellaceae>Gordonibacter"
"Rubrobacteria"	"C"	84995	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria"
"Rubrobacterales"	"O"	84996	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Rubrobacteria"
"Rubrobacteraceae"	"F"	84997	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Rubrobacteria>Rubrobacterales"
"Rubrobacter"	"G"	42255	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Rubrobacteria>Rubrobacterales>Rubrobacteraceae"
"Rubrobacter radiotolerans"	"S"	42256	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Rubrobacteria>Rubrobacterales>Rubrobacteraceae>Rubrobacter"
"Thermoleophilia"	"C"	1497346	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria"
"Solirubrobacterales"	"O"	588673	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Thermoleophilia"
"Conexibacteraceae"	"F"	320583	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Thermoleophilia>Solirubrobacterales"
"Conexibacter"	"G"	191494	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Thermoleophilia>Solirubrobacterales>Conexibacteraceae"
"Conexibacter woesei"	"S"	191495	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Thermoleophilia>Solirubrobacterales>Conexibacteraceae>Conexibacter"
"Conexibacter woesei DSM 14684"	"-"	469383	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Thermoleophilia>Solirubrobacterales>Conexibacteraceae>Conexibacter>Conexibacter&nbsp;woesei"
"Cyanobacteria/Melainabacteria group"	"-"	1798711	35	35	0.02765	0.02765	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group"
"Cyanobacteria"	"P"	1117	35	35	0.02765	0.02765	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group"
"Nostocales"	"O"	1161	15	15	0.01185	0.01185	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria"
"Rivulariaceae"	"F"	1185	8	8	0.006321	0.006321	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales"
"Calothrix"	"G"	1186	6	6	0.004741	0.004741	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Rivulariaceae"
"Calothrix brevissima"	"S"	938406	2	2	0.00158	0.00158	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Rivulariaceae>Calothrix"
"Calothrix brevissima NIES-22"	"-"	1973478	2	2	0.00158	0.00158	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Rivulariaceae>Calothrix>Calothrix&nbsp;brevissima"
"Calothrix sp. PCC 7507"	"S"	99598	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Rivulariaceae>Calothrix"
"Calothrix sp. 336/3"	"S"	1337936	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Rivulariaceae>Calothrix"
"Calothrix parasitica"	"S"	1973486	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Rivulariaceae>Calothrix"
"Calothrix parasitica NIES-267"	"-"	1973488	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Rivulariaceae>Calothrix>Calothrix&nbsp;parasitica"
"Microchaete"	"G"	188910	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Rivulariaceae"
"Microchaete diplosiphon"	"S"	1197	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Rivulariaceae>Microchaete"
"Fremyella diplosiphon NIES-3275"	"-"	1973485	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Rivulariaceae>Microchaete>Microchaete&nbsp;diplosiphon"
"Rivularia"	"G"	373984	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Rivulariaceae"
"Rivularia sp. PCC 7116"	"S"	373994	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Rivulariaceae>Rivularia"
"Nostocaceae"	"F"	1162	3	3	0.00237	0.00237	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales"
"Nostoc"	"G"	1177	2	2	0.00158	0.00158	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Nostocaceae"
"Nostoc sp. 'Peltigera membranacea cyanobiont' N6"	"S"	1261031	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Nostocaceae>Nostoc"
"Anabaena"	"G"	1163	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Nostocaceae"
"Anabaena sp. 90"	"S"	46234	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Nostocaceae>Anabaena"
"Scytonemataceae"	"F"	1182	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales"
"Scytonema"	"G"	1203	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Scytonemataceae"
"Scytonema sp. HK-05"	"S"	1137095	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Scytonemataceae>Scytonema"
"Aphanizomenonaceae"	"F"	1892259	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales"
"Raphidiopsis"	"G"	244599	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Aphanizomenonaceae"
"Raphidiopsis curvata"	"S"	312883	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Aphanizomenonaceae>Raphidiopsis"
"Raphidiopsis curvata NIES-932"	"-"	1973482	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Aphanizomenonaceae>Raphidiopsis>Raphidiopsis&nbsp;curvata"
"Hapalosiphonaceae"	"F"	1892263	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales"
"Fischerella"	"G"	1190	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Hapalosiphonaceae"
"Fischerella sp. NIES-3754"	"S"	1752063	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Hapalosiphonaceae>Fischerella"
"Oscillatoriophycideae"	"-"	1301283	9	9	0.007111	0.007111	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria"
"Oscillatoriales"	"O"	1150	5	5	0.003951	0.003951	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae"
"Oscillatoriaceae"	"F"	1892254	4	4	0.00316	0.00316	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales"
"Oscillatoria"	"G"	1158	3	3	0.00237	0.00237	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Oscillatoriaceae"
