"name"	"taxRank"	"taxID"	"Max"	"kraken2_16s_k21_classification_loman_loman.kreport.cladeReads"	"Max.1"	"kraken2_16s_k21_classification_loman_loman.kreport.cladeReads.."	"lineage"
"Wenzhouxiangella"	"G"	14660	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Gammaproteobacteria&nbsp;Incertae&nbsp;Sedis>Unknown&nbsp;Family"
"Legionellales"	"O"	3552	126	126	0.09955	0.09955	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Legionellaceae"	"F"	3559	126	126	0.09955	0.09955	"Bacteria>Proteobacteria>Gammaproteobacteria>Legionellales"
"Legionella"	"G"	3560	121	121	0.0956	0.0956	"Bacteria>Proteobacteria>Gammaproteobacteria>Legionellales>Legionellaceae"
"uncultured"	"G"	3561	4	4	0.00316	0.00316	"Bacteria>Proteobacteria>Gammaproteobacteria>Legionellales>Legionellaceae"
"Diplorickettsiales"	"O"	26616	113	113	0.08928	0.08928	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Diplorickettsiaceae"	"F"	26617	113	113	0.08928	0.08928	"Bacteria>Proteobacteria>Gammaproteobacteria>Diplorickettsiales"
"uncultured"	"G"	26621	71	71	0.0561	0.0561	"Bacteria>Proteobacteria>Gammaproteobacteria>Diplorickettsiales>Diplorickettsiaceae"
"Aquicella"	"G"	26618	39	39	0.03081	0.03081	"Bacteria>Proteobacteria>Gammaproteobacteria>Diplorickettsiales>Diplorickettsiaceae"
"Rickettsiella"	"G"	26620	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Gammaproteobacteria>Diplorickettsiales>Diplorickettsiaceae"
"Diplorickettsia"	"G"	26619	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Diplorickettsiales>Diplorickettsiaceae"
"Coxiellales"	"O"	26612	85	85	0.06716	0.06716	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Coxiellaceae"	"F"	26613	85	85	0.06716	0.06716	"Bacteria>Proteobacteria>Gammaproteobacteria>Coxiellales"
"Coxiella"	"G"	26614	85	85	0.06716	0.06716	"Bacteria>Proteobacteria>Gammaproteobacteria>Coxiellales>Coxiellaceae"
"SAR86 clade"	"O"	26808	71	71	0.0561	0.0561	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Cellvibrionales"	"O"	11512	46	46	0.03634	0.03634	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Halieaceae"	"F"	11528	21	21	0.01659	0.01659	"Bacteria>Proteobacteria>Gammaproteobacteria>Cellvibrionales"
"OM60(NOR5) clade"	"G"	11534	16	16	0.01264	0.01264	"Bacteria>Proteobacteria>Gammaproteobacteria>Cellvibrionales>Halieaceae"
"Halioglobus"	"G"	11532	3	3	0.00237	0.00237	"Bacteria>Proteobacteria>Gammaproteobacteria>Cellvibrionales>Halieaceae"
"Pseudohaliea"	"G"	11535	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Gammaproteobacteria>Cellvibrionales>Halieaceae"
"Cellvibrionaceae"	"F"	11514	10	10	0.007901	0.007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Cellvibrionales"
"uncultured"	"G"	11527	5	5	0.003951	0.003951	"Bacteria>Proteobacteria>Gammaproteobacteria>Cellvibrionales>Cellvibrionaceae"
"Cellvibrio"	"G"	11516	3	3	0.00237	0.00237	"Bacteria>Proteobacteria>Gammaproteobacteria>Cellvibrionales>Cellvibrionaceae"
"Marinimicrobium"	"G"	11520	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Cellvibrionales>Cellvibrionaceae"
"Marinagarivorans"	"G"	26599	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Cellvibrionales>Cellvibrionaceae"
"Porticoccaceae"	"F"	11538	9	9	0.007111	0.007111	"Bacteria>Proteobacteria>Gammaproteobacteria>Cellvibrionales"
"SAR92 clade"	"G"	11541	5	5	0.003951	0.003951	"Bacteria>Proteobacteria>Gammaproteobacteria>Cellvibrionales>Porticoccaceae"
"C1-B045"	"G"	11539	3	3	0.00237	0.00237	"Bacteria>Proteobacteria>Gammaproteobacteria>Cellvibrionales>Porticoccaceae"
"Porticoccus"	"G"	11540	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Cellvibrionales>Porticoccaceae"
"Spongiibacteraceae"	"F"	11542	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Gammaproteobacteria>Cellvibrionales"
"BD1-7 clade"	"G"	11543	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Cellvibrionales>Spongiibacteraceae"
"uncultured"	"G"	11548	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Cellvibrionales>Spongiibacteraceae"
"BD2-7"	"F"	11513	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Cellvibrionales"
"uncultured"	"O"	14692	34	34	0.02686	0.02686	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Acidithiobacillales"	"O"	3307	29	29	0.02291	0.02291	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Acidithiobacillaceae"	"F"	3309	29	29	0.02291	0.02291	"Bacteria>Proteobacteria>Gammaproteobacteria>Acidithiobacillales"
"Acidithiobacillus"	"G"	3310	27	27	0.02133	0.02133	"Bacteria>Proteobacteria>Gammaproteobacteria>Acidithiobacillales>Acidithiobacillaceae"
"9M32"	"G"	26300	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Acidithiobacillales>Acidithiobacillaceae"
"KCM-B-112"	"G"	26301	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Acidithiobacillales>Acidithiobacillaceae"
"Beggiatoales"	"O"	26326	22	22	0.01738	0.01738	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Beggiatoaceae"	"F"	26327	22	22	0.01738	0.01738	"Bacteria>Proteobacteria>Gammaproteobacteria>Beggiatoales"
"Candidatus Thiopilula"	"G"	26336	6	6	0.004741	0.004741	"Bacteria>Proteobacteria>Gammaproteobacteria>Beggiatoales>Beggiatoaceae"
"Candidatus Thiophysa"	"G"	26335	4	4	0.00316	0.00316	"Bacteria>Proteobacteria>Gammaproteobacteria>Beggiatoales>Beggiatoaceae"
"Thiomargarita"	"G"	26338	3	3	0.00237	0.00237	"Bacteria>Proteobacteria>Gammaproteobacteria>Beggiatoales>Beggiatoaceae"
"uncultured"	"G"	26340	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Gammaproteobacteria>Beggiatoales>Beggiatoaceae"
"Candidatus Isobeggiatoa"	"G"	26330	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Beggiatoales>Beggiatoaceae"
"Candidatus Marithioploca"	"G"	26332	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Beggiatoales>Beggiatoaceae"
"Candidatus Marithrix"	"G"	26333	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Beggiatoales>Beggiatoaceae"
"Thiomicrospirales"	"O"	26843	22	22	0.01738	0.01738	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Thiomicrospiraceae"	"F"	26852	14	14	0.01106	0.01106	"Bacteria>Proteobacteria>Gammaproteobacteria>Thiomicrospirales"
"endosymbionts"	"G"	26858	7	7	0.005531	0.005531	"Bacteria>Proteobacteria>Gammaproteobacteria>Thiomicrospirales>Thiomicrospiraceae"
"Thiomicrorhabdus"	"G"	26856	5	5	0.003951	0.003951	"Bacteria>Proteobacteria>Gammaproteobacteria>Thiomicrospirales>Thiomicrospiraceae"
"uncultured"	"G"	26859	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Thiomicrospirales>Thiomicrospiraceae"
"Thioglobaceae"	"F"	26844	8	8	0.006321	0.006321	"Bacteria>Proteobacteria>Gammaproteobacteria>Thiomicrospirales"
"SUP05 cluster"	"G"	26850	6	6	0.004741	0.004741	"Bacteria>Proteobacteria>Gammaproteobacteria>Thiomicrospirales>Thioglobaceae"
"IheB2-31"	"G"	26848	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Thiomicrospirales>Thioglobaceae"
"V38"	"G"	26851	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Thiomicrospirales>Thioglobaceae"
"Cardiobacteriales"	"O"	3409	18	18	0.01422	0.01422	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Cardiobacteriaceae"	"F"	3410	18	18	0.01422	0.01422	"Bacteria>Proteobacteria>Gammaproteobacteria>Cardiobacteriales"
"Cardiobacterium"	"G"	3411	9	9	0.007111	0.007111	"Bacteria>Proteobacteria>Gammaproteobacteria>Cardiobacteriales>Cardiobacteriaceae"
"uncultured"	"G"	3414	7	7	0.005531	0.005531	"Bacteria>Proteobacteria>Gammaproteobacteria>Cardiobacteriales>Cardiobacteriaceae"
"Suttonella"	"G"	3413	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Cardiobacteriales>Cardiobacteriaceae"
"EC3"	"O"	3467	18	18	0.01422	0.01422	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Methylococcales"	"O"	3563	16	16	0.01264	0.01264	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Methylomonaceae"	"F"	26694	12	12	0.009481	0.009481	"Bacteria>Proteobacteria>Gammaproteobacteria>Methylococcales"
"Marine Methylotrophic Group 2"	"G"	26698	3	3	0.00237	0.00237	"Bacteria>Proteobacteria>Gammaproteobacteria>Methylococcales>Methylomonaceae"
"pLW-20"	"G"	26712	3	3	0.00237	0.00237	"Bacteria>Proteobacteria>Gammaproteobacteria>Methylococcales>Methylomonaceae"
"IheB2-23"	"G"	26697	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Methylococcales>Methylomonaceae"
"Methylobacter"	"G"	26699	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Methylococcales>Methylomonaceae"
"Methyloglobulus"	"G"	26700	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Methylococcales>Methylomonaceae"
"Methylomonas"	"G"	26703	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Methylococcales>Methylomonaceae"
"Methyloprofundus"	"G"	26704	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Methylococcales>Methylomonaceae"
"Methylococcaceae"	"F"	3571	4	4	0.00316	0.00316	"Bacteria>Proteobacteria>Gammaproteobacteria>Methylococcales"
"uncultured"	"G"	3586	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Gammaproteobacteria>Methylococcales>Methylococcaceae"
"Methylocaldum"	"G"	3573	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Methylococcales>Methylococcaceae"
"Candidatus Methylospira"	"G"	14664	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Methylococcales>Methylococcaceae"
"Nitrosococcales"	"O"	26732	16	16	0.01264	0.01264	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Methylophagaceae"	"F"	26733	13	13	0.01027	0.01027	"Bacteria>Proteobacteria>Gammaproteobacteria>Nitrosococcales"
"Methylophaga"	"G"	26735	9	9	0.007111	0.007111	"Bacteria>Proteobacteria>Gammaproteobacteria>Nitrosococcales>Methylophagaceae"
"uncultured"	"G"	26736	3	3	0.00237	0.00237	"Bacteria>Proteobacteria>Gammaproteobacteria>Nitrosococcales>Methylophagaceae"
"Marine Methylotrophic Group 3"	"G"	26734	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Nitrosococcales>Methylophagaceae"
"Nitrosococcaceae"	"F"	26737	3	3	0.00237	0.00237	"Bacteria>Proteobacteria>Gammaproteobacteria>Nitrosococcales"
"Nitrosococcus"	"G"	26746	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Gammaproteobacteria>Nitrosococcales>Nitrosococcaceae"
"AqS1"	"G"	26739	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Nitrosococcales>Nitrosococcaceae"
"HOC36"	"O"	3546	16	16	0.01264	0.01264	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Salinisphaerales"	"O"	3728	11	11	0.008691	0.008691	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Solimonadaceae"	"F"	26815	10	10	0.007901	0.007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Salinisphaerales"
"uncultured"	"G"	26824	6	6	0.004741	0.004741	"Bacteria>Proteobacteria>Gammaproteobacteria>Salinisphaerales>Solimonadaceae"
"Polycyclovorans"	"G"	26822	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Gammaproteobacteria>Salinisphaerales>Solimonadaceae"
"Nevskia"	"G"	26819	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Salinisphaerales>Solimonadaceae"
"Salinisphaeraceae"	"F"	3729	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Salinisphaerales"
"Salinisphaera"	"G"	3730	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Salinisphaerales>Salinisphaeraceae"
"Thiotrichales"	"O"	3735	11	11	0.008691	0.008691	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Thiotrichaceae"	"F"	3754	11	11	0.008691	0.008691	"Bacteria>Proteobacteria>Gammaproteobacteria>Thiotrichales"
"uncultured"	"G"	3770	7	7	0.005531	0.005531	"Bacteria>Proteobacteria>Gammaproteobacteria>Thiotrichales>Thiotrichaceae"
"Thiothrix"	"G"	3769	3	3	0.00237	0.00237	"Bacteria>Proteobacteria>Gammaproteobacteria>Thiotrichales>Thiotrichaceae"
"Chromatiales"	"O"	3415	10	10	0.007901	0.007901	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Chromatiaceae"	"F"	3416	7	7	0.005531	0.005531	"Bacteria>Proteobacteria>Gammaproteobacteria>Chromatiales"
"Halochromatium"	"G"	3419	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Gammaproteobacteria>Chromatiales>Chromatiaceae"
"Achromatium"	"G"	26601	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Chromatiales>Chromatiaceae"
"uncultured"	"G"	3440	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Chromatiales>Chromatiaceae"
"Marichromatium"	"G"	3422	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Chromatiales>Chromatiaceae"
"Thiohalocapsa"	"G"	3435	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Chromatiales>Chromatiaceae"
"Thiocystis"	"G"	3431	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Chromatiales>Chromatiaceae"
"Sedimenticolaceae"	"F"	26603	3	3	0.00237	0.00237	"Bacteria>Proteobacteria>Gammaproteobacteria>Chromatiales"
"uncultured"	"G"	26606	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Gammaproteobacteria>Chromatiales>Sedimenticolaceae"
"Sedimenticola"	"G"	26605	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Chromatiales>Sedimenticolaceae"
"Competibacterales"	"O"	26607	8	8	0.006321	0.006321	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Competibacteraceae"	"F"	26608	8	8	0.006321	0.006321	"Bacteria>Proteobacteria>Gammaproteobacteria>Competibacterales"
"Candidatus Competibacter"	"G"	26609	6	6	0.004741	0.004741	"Bacteria>Proteobacteria>Gammaproteobacteria>Competibacterales>Competibacteraceae"
"Candidatus Contendobacter"	"G"	26610	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Competibacterales>Competibacteraceae"
"Plasticicumulans"	"G"	26611	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Competibacterales>Competibacteraceae"
"Ectothiorhodospirales"	"O"	26624	7	7	0.005531	0.005531	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Thioalkalispiraceae"	"F"	26638	5	5	0.003951	0.003951	"Bacteria>Proteobacteria>Gammaproteobacteria>Ectothiorhodospirales"
"Thioalkalispira"	"G"	26640	3	3	0.00237	0.00237	"Bacteria>Proteobacteria>Gammaproteobacteria>Ectothiorhodospirales>Thioalkalispiraceae"
"Thiohalophilus"	"G"	26641	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Ectothiorhodospirales>Thioalkalispiraceae"
"Thioprofundum"	"G"	26642	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Ectothiorhodospirales>Thioalkalispiraceae"
"Ectothiorhodospiraceae"	"F"	26627	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Gammaproteobacteria>Ectothiorhodospirales"
"uncultured"	"G"	26637	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Gammaproteobacteria>Ectothiorhodospirales>Ectothiorhodospiraceae"
"Francisellales"	"O"	26653	7	7	0.005531	0.005531	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Francisellaceae"	"F"	26654	7	7	0.005531	0.005531	"Bacteria>Proteobacteria>Gammaproteobacteria>Francisellales"
"uncultured"	"G"	26659	4	4	0.00316	0.00316	"Bacteria>Proteobacteria>Gammaproteobacteria>Francisellales>Francisellaceae"
"Fangia"	"G"	26656	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Gammaproteobacteria>Francisellales>Francisellaceae"
"Francisella"	"G"	26657	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Francisellales>Francisellaceae"
"Arenicellales"	"O"	11508	7	7	0.005531	0.005531	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Arenicellaceae"	"F"	11509	7	7	0.005531	0.005531	"Bacteria>Proteobacteria>Gammaproteobacteria>Arenicellales"
"uncultured"	"G"	14622	6	6	0.004741	0.004741	"Bacteria>Proteobacteria>Gammaproteobacteria>Arenicellales>Arenicellaceae"
"Candidatus Thiosymbion"	"G"	26320	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Arenicellales>Arenicellaceae"
"Steroidobacterales"	"O"	26825	7	7	0.005531	0.005531	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Woeseiaceae"	"F"	26830	4	4	0.00316	0.00316	"Bacteria>Proteobacteria>Gammaproteobacteria>Steroidobacterales"
"Woeseia"	"G"	26832	4	4	0.00316	0.00316	"Bacteria>Proteobacteria>Gammaproteobacteria>Steroidobacterales>Woeseiaceae"
"Steroidobacteraceae"	"F"	26826	3	3	0.00237	0.00237	"Bacteria>Proteobacteria>Gammaproteobacteria>Steroidobacterales"
"uncultured"	"G"	26829	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Gammaproteobacteria>Steroidobacterales>Steroidobacteraceae"
"Steroidobacter"	"G"	26828	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Steroidobacterales>Steroidobacteraceae"
"B2M28"	"O"	26324	6	6	0.004741	0.004741	"Bacteria>Proteobacteria>Gammaproteobacteria"
"EV818SWSAP88"	"O"	26623	6	6	0.004741	0.004741	"Bacteria>Proteobacteria>Gammaproteobacteria"
"eub62A3"	"O"	14690	4	4	0.00316	0.00316	"Bacteria>Proteobacteria>Gammaproteobacteria"
"KI89A clade"	"O"	3550	4	4	0.00316	0.00316	"Bacteria>Proteobacteria>Gammaproteobacteria"
"UBA10353 marine group"	"O"	26861	4	4	0.00316	0.00316	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Halothiobacillales"	"O"	26668	3	3	0.00237	0.00237	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Halothiobacillaceae"	"F"	26669	3	3	0.00237	0.00237	"Bacteria>Proteobacteria>Gammaproteobacteria>Halothiobacillales"
"Thiovirga"	"G"	26673	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Gammaproteobacteria>Halothiobacillales>Halothiobacillaceae"
"Halothiobacillus"	"G"	26670	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Halothiobacillales>Halothiobacillaceae"
"Nitrococcales"	"O"	26715	3	3	0.00237	0.00237	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Halorhodospiraceae"	"F"	26716	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Gammaproteobacteria>Nitrococcales"
"Halorhodospira"	"G"	26719	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Gammaproteobacteria>Nitrococcales>Halorhodospiraceae"
"Nitrococcaceae"	"F"	26722	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Nitrococcales"
"Spiribacter"	"G"	26727	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Nitrococcales>Nitrococcaceae"
"HglApr721"	"O"	26676	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Gammaproteobacteria"
"JTB23"	"O"	26683	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Gammaproteobacteria"
"BD72BR169"	"O"	3404	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Gammaproteobacteria"
"OM182 clade"	"O"	26750	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Gammaproteobacteria"
"MBAE14"	"O"	26685	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Orbales"	"O"	3676	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Orbaceae"	"F"	3677	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Gammaproteobacteria>Orbales"
"Gilliamella"	"G"	3679	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Gammaproteobacteria>Orbales>Orbaceae"
"KF-JG30-C25"	"O"	26684	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria"
"MBMPE27"	"O"	26686	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria"
"PLTA13"	"O"	26796	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria"
"R7C24"	"O"	26806	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Ga0077536"	"O"	26660	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria"
"S1-3-65"	"O"	26807	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Tenderiales"	"O"	26834	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Tenderiaceae"	"F"	26835	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Tenderiales"
"Candidatus Tenderia"	"G"	26836	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Tenderiales>Tenderiaceae"
"Thiohalorhabdales"	"O"	26837	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Thiohalorhabdaceae"	"F"	26838	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Thiohalorhabdales"
"Granulosicoccus"	"G"	26839	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Thiohalorhabdales>Thiohalorhabdaceae"
"pItb-vmat-80"	"O"	26882	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria"
"1013-28-CG33"	"O"	3304	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria"
"WD260"	"O"	26863	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria"
"F9P41300-M23"	"O"	14654	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria"
"I3A"	"O"	14663	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria"
"EPR3968-O8a-Bc78"	"O"	26622	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria"
"211ds20"	"O"	26297	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria"
"BD7-8"	"O"	26325	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Acidiferrobacterales"	"O"	14615	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Acidiferrobacteraceae"	"F"	14616	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Acidiferrobacterales"
"Sulfurifustis"	"G"	14618	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Acidiferrobacterales>Acidiferrobacteraceae"
"WN-HWB-116"	"O"	3785	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Run-SP154"	"O"	3725	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria"
"CHAB-XI-27"	"O"	26594	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Alphaproteobacteria"	"C"	2379	18725	18725	14.79	14.79	"Bacteria>Proteobacteria"
"Rickettsiales"	"O"	2761	16704	16704	13.2	13.2	"Bacteria>Proteobacteria>Alphaproteobacteria"
"Mitochondria"	"F"	2805	16609	16609	13.12	13.12	"Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales"
"SM2D12"	"F"	2801	20	20	0.0158	0.0158	"Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales"
"Anaplasmataceae"	"F"	2763	18	18	0.01422	0.01422	"Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales"
"Wolbachia"	"G"	2770	7	7	0.005531	0.005531	"Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>Anaplasmataceae"
"Anaplasma"	"G"	2764	3	3	0.00237	0.00237	"Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>Anaplasmataceae"
"Ehrlichia"	"G"	2768	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>Anaplasmataceae"
"Neorickettsia"	"G"	2769	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>Anaplasmataceae"
"Candidatus Xenohaliotis"	"G"	2766	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>Anaplasmataceae"
"uncultured"	"G"	2771	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>Anaplasmataceae"
"Candidatus Cryptoplasma"	"G"	14550	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>Anaplasmataceae"
"Rickettsiaceae"	"F"	2781	15	15	0.01185	0.01185	"Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales"
"uncultured"	"G"	2785	8	8	0.006321	0.006321	"Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>Rickettsiaceae"
"Candidatus Trichorickettsia"	"G"	11467	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>Rickettsiaceae"
