"name"	"taxRank"	"taxID"	"Max"	"centrifuge_16s_classification_june_BC01.cladeReads"	"centrifuge_16s_classification_june_BC02.cladeReads"	"centrifuge_16s_classification_june_BC03.cladeReads"	"centrifuge_16s_classification_june_BC04.cladeReads"	"centrifuge_16s_classification_june_BC05.cladeReads"	"centrifuge_16s_classification_june_BC06.cladeReads"	"centrifuge_16s_classification_june_BC07.cladeReads"	"centrifuge_16s_classification_june_BC08.cladeReads"	"centrifuge_16s_classification_june_BC09.cladeReads"	"centrifuge_16s_classification_june_BC10.cladeReads"	"centrifuge_16s_classification_june_BC11.cladeReads"	"centrifuge_16s_classification_june_BC12.cladeReads"	"Max.1"	"centrifuge_16s_classification_june_BC01.cladeReads.."	"centrifuge_16s_classification_june_BC02.cladeReads.."	"centrifuge_16s_classification_june_BC03.cladeReads.."	"centrifuge_16s_classification_june_BC04.cladeReads.."	"centrifuge_16s_classification_june_BC05.cladeReads.."	"centrifuge_16s_classification_june_BC06.cladeReads.."	"centrifuge_16s_classification_june_BC07.cladeReads.."	"centrifuge_16s_classification_june_BC08.cladeReads.."	"centrifuge_16s_classification_june_BC09.cladeReads.."	"centrifuge_16s_classification_june_BC10.cladeReads.."	"centrifuge_16s_classification_june_BC11.cladeReads.."	"centrifuge_16s_classification_june_BC12.cladeReads.."	"lineage"
"Parachela"	"O"	149990	2	NA	NA	2	NA	1	NA	NA	NA	NA	NA	NA	NA	0.001423	NA	NA	0.001423	NA	0.0005915	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Tardigrada>Eutardigrada"
"Hypsibioidea"	"-"	2558949	2	NA	NA	2	NA	1	NA	NA	NA	NA	NA	NA	NA	0.001423	NA	NA	0.001423	NA	0.0005915	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Tardigrada>Eutardigrada>Parachela"
"Hypsibiidae"	"F"	58669	2	NA	NA	2	NA	1	NA	NA	NA	NA	NA	NA	NA	0.001423	NA	NA	0.001423	NA	0.0005915	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Tardigrada>Eutardigrada>Parachela>Hypsibioidea"
"Hypsibius"	"G"	58670	2	NA	NA	2	NA	1	NA	NA	NA	NA	NA	NA	NA	0.001423	NA	NA	0.001423	NA	0.0005915	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Tardigrada>Eutardigrada>Parachela>Hypsibioidea>Hypsibiidae"
"Hypsibius dujardini"	"S"	232323	2	NA	NA	2	NA	1	NA	NA	NA	NA	NA	NA	NA	0.001423	NA	NA	0.001423	NA	0.0005915	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Tardigrada>Eutardigrada>Parachela>Hypsibioidea>Hypsibiidae>Hypsibius"
"Cnidaria"	"P"	6073	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001245	NA	NA	0.0007114	NA	NA	NA	NA	NA	NA	NA	0.001245	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa"
"Anthozoa"	"C"	6101	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0007114	NA	NA	0.0007114	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Cnidaria"
"Hexacorallia"	"-"	6102	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0007114	NA	NA	0.0007114	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Cnidaria>Anthozoa"
"Scleractinia"	"O"	6125	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0007114	NA	NA	0.0007114	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Cnidaria>Anthozoa>Hexacorallia"
"Fungiina"	"-"	123758	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0007114	NA	NA	0.0007114	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Cnidaria>Anthozoa>Hexacorallia>Scleractinia"
"Poritidae"	"F"	46718	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0007114	NA	NA	0.0007114	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Cnidaria>Anthozoa>Hexacorallia>Scleractinia>Fungiina"
"Porites"	"G"	46719	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0007114	NA	NA	0.0007114	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Cnidaria>Anthozoa>Hexacorallia>Scleractinia>Fungiina>Poritidae"
"Porites australiensis"	"S"	51061	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0007114	NA	NA	0.0007114	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Cnidaria>Anthozoa>Hexacorallia>Scleractinia>Fungiina>Poritidae>Porites"
"uncultured bacterium SA34"	"S"	125943	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0007114	NA	NA	0.0007114	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"ammonia oxidizing bacteria ensemble"	"-"	150483	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0007114	NA	NA	0.0007114	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured ammonia-oxidizing bacterium"	"S"	933470	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0007114	NA	NA	0.0007114	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples>ammonia&nbsp;oxidizing&nbsp;bacteria&nbsp;ensemble"
"uncultured bacteria "	"-"	150487	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0007114	NA	NA	0.0007114	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured bacterium "	"S"	117636	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0007114	NA	NA	0.0007114	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples>uncultured&nbsp;bacteria&nbsp;"
"iron-reducing bacterium enrichment culture clone FEA_2_C7"	"S"	631597	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0007114	NA	NA	0.0007114	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"iron-reducing bacterium enrichment culture clone FEA_2_F6"	"S"	631614	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0007114	NA	NA	0.0007114	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured sediment bacterium"	"S"	676241	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0007114	NA	NA	0.0007114	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"bacterium enrichment culture clone heteroB88_4W"	"S"	749163	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0007114	NA	NA	0.0007114	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"Dolichospermum"	"G"	748770	3	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	3	NA	0.003736	NA	NA	0.0007114	NA	NA	NA	NA	NA	NA	NA	0.003736	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Aphanizomenonaceae"
"Dolichospermum circinale"	"S"	109265	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0007114	NA	NA	0.0007114	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Aphanizomenonaceae>Dolichospermum"
"Dolichospermum circinale ACMB13"	"-"	556180	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0007114	NA	NA	0.0007114	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Aphanizomenonaceae>Dolichospermum>Dolichospermum&nbsp;circinale"
"Rivularia sp. XSP25A"	"S"	373985	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0007114	NA	NA	0.0007114	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Rivulariaceae>Rivularia"
"Anabaena sp. Ck1"	"S"	648738	1	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0007114	NA	NA	0.0007114	NA	0.0005915	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Nostocaceae>Anabaena"
"Westiellopsis sp. NTVKA05"	"S"	1577596	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0007114	NA	NA	0.0007114	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Hapalosiphonaceae>Westiellopsis"
"Gloeocapsopsis"	"G"	693222	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0007114	NA	NA	0.0007114	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Chroococcaceae"
"Gloeocapsopsis crepidinum"	"S"	693223	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0007114	NA	NA	0.0007114	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Chroococcaceae>Gloeocapsopsis"
"Gloeocapsopsis crepidinum BDU 20121"	"-"	1572697	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0007114	NA	NA	0.0007114	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Chroococcaceae>Gloeocapsopsis>Gloeocapsopsis&nbsp;crepidinum"
"Phormidium uncinatum"	"S"	60848	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0007114	NA	NA	0.0007114	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Oscillatoriaceae>Phormidium"
"environmental samples"	"-"	156209	2	NA	NA	2	NA	1	NA	NA	NA	NA	NA	NA	NA	0.001423	NA	NA	0.001423	NA	0.0005915	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales"
"uncultured Oscillatoriales cyanobacterium"	"S"	156210	2	NA	NA	2	NA	1	NA	NA	NA	NA	NA	NA	NA	0.001423	NA	NA	0.001423	NA	0.0005915	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>environmental&nbsp;samples"
"Coleofasciculus"	"G"	669368	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0007114	NA	NA	0.0007114	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Coleofasciculaceae"
"environmental samples"	"-"	1267455	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0007114	NA	NA	0.0007114	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Coleofasciculaceae>Coleofasciculus"
"uncultured Coleofasciculus sp."	"S"	1267456	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0007114	NA	NA	0.0007114	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Coleofasciculaceae>Coleofasciculus>environmental&nbsp;samples"
"unclassified Oscillatoriales"	"-"	1892256	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0007114	NA	NA	0.0007114	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales"
"unclassified Oscillatoriales (miscellaneous)"	"-"	44887	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0007114	NA	NA	0.0007114	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>unclassified&nbsp;Oscillatoriales"
"LPP-group cyanobacterium QSSC3cya"	"S"	101394	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0007114	NA	NA	0.0007114	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>unclassified&nbsp;Oscillatoriales>unclassified&nbsp;Oscillatoriales&nbsp;(miscellaneous)"
"Merismopedia glauca"	"S"	292586	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0007114	NA	NA	0.0007114	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Merismopediaceae>Merismopedia"
"Merismopedia glauca CCAP 1448/3"	"-"	1296344	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0007114	NA	NA	0.0007114	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Merismopediaceae>Merismopedia>Merismopedia&nbsp;glauca"
"environmental samples"	"-"	474410	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0007114	NA	NA	0.0007114	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Merismopediaceae>Merismopedia"
"uncultured Merismopedia sp."	"S"	474411	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0007114	NA	NA	0.0007114	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Merismopediaceae>Merismopedia>environmental&nbsp;samples"
"Leptolyngbyaceae"	"F"	1890438	2	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001423	NA	NA	0.001423	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Leptolyngbya"	"G"	47251	2	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001423	NA	NA	0.001423	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Leptolyngbyaceae"
"Leptolyngbya boryana"	"S"	1184	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0007114	NA	NA	0.0007114	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Leptolyngbyaceae>Leptolyngbya"
"Leptolyngbya sp. Sai001"	"S"	756661	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0007114	NA	NA	0.0007114	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Leptolyngbyaceae>Leptolyngbya"
"Prochloraceae"	"F"	1213	1	NA	NA	1	NA	1	NA	NA	1	NA	NA	NA	NA	0.0007114	NA	NA	0.0007114	NA	0.0005915	NA	NA	0.0005905	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Prochloron"	"G"	1214	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0007114	NA	NA	0.0007114	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochloraceae"
"environmental samples"	"-"	259941	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0007114	NA	NA	0.0007114	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochloraceae>Prochloron"
"uncultured Prochloron sp."	"S"	259942	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0007114	NA	NA	0.0007114	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochloraceae>Prochloron>environmental&nbsp;samples"
"unclassified Cyanobacteria"	"-"	34079	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0007114	NA	NA	0.0007114	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria"
"unclassified Cyanobacteria (miscellaneous)"	"-"	1983111	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0007114	NA	NA	0.0007114	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>unclassified&nbsp;Cyanobacteria"
"unidentified cyanobacterium Ni2-C1"	"S"	405206	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0007114	NA	NA	0.0007114	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>unclassified&nbsp;Cyanobacteria>unclassified&nbsp;Cyanobacteria&nbsp;(miscellaneous)"
"Streptomyces sp. HH47"	"S"	698374	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0007114	NA	NA	0.0007114	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Streptomyces sp. S72 (2010)"	"S"	725130	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0007114	NA	NA	0.0007114	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Streptomyces albus group"	"S"	1852274	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0007114	NA	NA	0.0007114	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Streptomyces albus"	"S"	1888	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0007114	NA	NA	0.0007114	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces>Streptomyces&nbsp;albus&nbsp;group"
"Microbacterium"	"G"	33882	18	NA	NA	1	NA	1	NA	NA	1	NA	NA	18	NA	0.02242	NA	NA	0.0007114	NA	0.0005915	NA	NA	0.0005905	NA	NA	0.02242	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae"
"Microbacterium oxydans"	"S"	82380	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0007114	NA	NA	0.0007114	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae>Microbacterium"
"Agrococcus"	"G"	46352	1	NA	NA	1	NA	1	NA	NA	NA	NA	NA	1	NA	0.001245	NA	NA	0.0007114	NA	0.0005915	NA	NA	NA	NA	NA	0.001245	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae"
"Agrococcus terreus"	"S"	574649	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0007114	NA	NA	0.0007114	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae>Agrococcus"
"Ornithinibacter"	"G"	1191515	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0007114	NA	NA	0.0007114	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Intrasporangiaceae"
"Ornithinibacter aureus"	"S"	622664	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0007114	NA	NA	0.0007114	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Intrasporangiaceae>Ornithinibacter"
"Rhodococcus sp."	"S"	1831	1	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0007114	NA	NA	0.0007114	NA	0.0005915	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Nocardiaceae>Rhodococcus"
"Nocardia sp."	"S"	1821	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0007114	NA	NA	0.0007114	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Nocardiaceae>Nocardia"
"Nocardia nova"	"S"	37330	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0007114	NA	NA	0.0007114	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Nocardiaceae>Nocardia"
"Nocardia sp. K1 TET"	"S"	653909	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0007114	NA	NA	0.0007114	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Nocardiaceae>Nocardia"
"Mycobacterium sp. RF002"	"S"	58092	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0007114	NA	NA	0.0007114	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Mycobacteriaceae>Mycobacterium"
"Mycolicibacterium"	"G"	1866885	2	NA	NA	1	NA	2	NA	NA	1	NA	NA	1	NA	0.001245	NA	NA	0.0007114	NA	0.001183	NA	NA	0.0005905	NA	NA	0.001245	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Mycobacteriaceae"
