"name"	"taxRank"	"taxID"	"Max"	"kraken_16S.cladeReads"	"Max.1"	"kraken_16S.cladeReads.."	"lineage"
"Oceanisphaera"	"G"	3320	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Aeromonadales>Aeromonadaceae"
"Cellvibrionales"	"O"	11512	4	4	0.00316	0.00316	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Halieaceae"	"F"	11528	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Gammaproteobacteria>Cellvibrionales"
"OM60(NOR5) clade"	"G"	11534	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Cellvibrionales>Halieaceae"
"Parahaliea"	"G"	14625	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Cellvibrionales>Halieaceae"
"Porticoccaceae"	"F"	11538	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Cellvibrionales"
"SAR92 clade"	"G"	11541	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Cellvibrionales>Porticoccaceae"
"Spongiibacteraceae"	"F"	11542	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Cellvibrionales"
"BD1-7 clade"	"G"	11543	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Cellvibrionales>Spongiibacteraceae"
"Diplorickettsiales"	"O"	26616	3	3	0.00237	0.00237	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Diplorickettsiaceae"	"F"	26617	3	3	0.00237	0.00237	"Bacteria>Proteobacteria>Gammaproteobacteria>Diplorickettsiales"
"uncultured"	"G"	26621	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Gammaproteobacteria>Diplorickettsiales>Diplorickettsiaceae"
"Aquicella"	"G"	26618	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Diplorickettsiales>Diplorickettsiaceae"
"Thiomicrospirales"	"O"	26843	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Thiomicrospiraceae"	"F"	26852	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Gammaproteobacteria>Thiomicrospirales"
"endosymbionts"	"G"	26858	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Thiomicrospirales>Thiomicrospiraceae"
"uncultured"	"G"	26859	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Thiomicrospirales>Thiomicrospiraceae"
"Coxiellales"	"O"	26612	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Coxiellaceae"	"F"	26613	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Gammaproteobacteria>Coxiellales"
"Coxiella"	"G"	26614	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Gammaproteobacteria>Coxiellales>Coxiellaceae"
"Alteromonadales"	"O"	3333	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Idiomarinaceae"	"F"	3385	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Alteromonadales"
"Idiomarina"	"G"	3387	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Alteromonadales>Idiomarinaceae"
"Shewanellaceae"	"F"	3399	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Alteromonadales"
"Shewanella"	"G"	3400	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Alteromonadales>Shewanellaceae"
"CCD24"	"O"	26591	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria"
"CCM19a"	"O"	26592	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria"
"MBMPE27"	"O"	26686	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria"
"SAR86 clade"	"O"	26808	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Thiohalorhabdales"	"O"	26837	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Thiohalorhabdaceae"	"F"	26838	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Thiohalorhabdales"
"Thiohalorhabdus"	"G"	26841	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Thiohalorhabdales>Thiohalorhabdaceae"
"Thiotrichales"	"O"	3735	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Thiotrichaceae"	"F"	3754	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Thiotrichales"
"Candidatus Navis"	"G"	26860	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Thiotrichales>Thiotrichaceae"
"Acidithiobacillales"	"O"	3307	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Acidithiobacillaceae"	"F"	3309	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Acidithiobacillales"
"Acidithiobacillus"	"G"	3310	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Acidithiobacillales>Acidithiobacillaceae"
"Chromatiales"	"O"	3415	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Chromatiaceae"	"F"	3416	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Chromatiales"
"Halochromatium"	"G"	3419	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Chromatiales>Chromatiaceae"
"BD72BR169"	"O"	3404	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Legionellales"	"O"	3552	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Legionellaceae"	"F"	3559	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Legionellales"
"Legionella"	"G"	3560	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Legionellales>Legionellaceae"
"Methylococcales"	"O"	3563	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Methylomonaceae"	"F"	26694	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Methylococcales"
"Marine Methylotrophic Group 2"	"G"	26698	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Gammaproteobacteria>Methylococcales>Methylomonaceae"
"Alphaproteobacteria"	"C"	2379	70	70	0.05531	0.05531	"Bacteria>Proteobacteria"
"Rickettsiales"	"O"	2761	13	13	0.01027	0.01027	"Bacteria>Proteobacteria>Alphaproteobacteria"
"Mitochondria"	"F"	2805	11	11	0.008691	0.008691	"Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales"
"SM2D12"	"F"	2801	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales"
"Rhizobiales"	"O"	2421	12	12	0.009481	0.009481	"Bacteria>Proteobacteria>Alphaproteobacteria"
"Rhizobiaceae"	"F"	2525	4	4	0.00316	0.00316	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales"
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"	"G"	26091	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae"
"Hoeflea"	"G"	26108	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae"
"Cohaesibacter"	"G"	26103	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae"
"Beijerinckiaceae"	"F"	2435	3	3	0.00237	0.00237	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales"
"Methylorosula"	"G"	2442	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Beijerinckiaceae"
"uncultured"	"G"	2444	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Beijerinckiaceae"
"Methylobacterium"	"G"	26045	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Beijerinckiaceae"
"Rhizobiales Incertae Sedis"	"F"	2530	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales"
"Dichotomicrobium"	"G"	26129	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiales&nbsp;Incertae&nbsp;Sedis"
"Xanthobacteraceae"	"F"	2545	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales"
"Bradyrhizobium"	"G"	26151	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Xanthobacteraceae"
"Devosiaceae"	"F"	26055	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales"
"Devosia"	"G"	26058	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Devosiaceae"
"Rhodobacterales"	"O"	2557	10	10	0.007901	0.007901	"Bacteria>Proteobacteria>Alphaproteobacteria"
"Rhodobacteraceae"	"F"	2558	10	10	0.007901	0.007901	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales"
"Ruegeria"	"G"	2645	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Planktomarina"	"G"	11455	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Paracoccus"	"G"	2607	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Loktanella"	"G"	2587	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"uncultured"	"G"	2666	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Rhodobacter"	"G"	2624	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Caulobacterales"	"O"	2386	5	5	0.003951	0.003951	"Bacteria>Proteobacteria>Alphaproteobacteria"
"Caulobacteraceae"	"F"	2387	5	5	0.003951	0.003951	"Bacteria>Proteobacteria>Alphaproteobacteria>Caulobacterales"
"Phenylobacterium"	"G"	2392	3	3	0.00237	0.00237	"Bacteria>Proteobacteria>Alphaproteobacteria>Caulobacterales>Caulobacteraceae"
"Brevundimonas"	"G"	2390	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Alphaproteobacteria>Caulobacterales>Caulobacteraceae"
"Sphingomonadales"	"O"	2823	5	5	0.003951	0.003951	"Bacteria>Proteobacteria>Alphaproteobacteria"
"Sphingomonadaceae"	"F"	2844	5	5	0.003951	0.003951	"Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales"
"Sphingomonas"	"G"	2852	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae"
"Sandarakinorhabdus"	"G"	2849	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae"
"Sphingopyxis"	"G"	2853	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae"
"SAR11 clade"	"O"	2808	4	4	0.00316	0.00316	"Bacteria>Proteobacteria>Alphaproteobacteria"
"Clade I"	"F"	26228	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Alphaproteobacteria>SAR11&nbsp;clade"
"Clade Ia"	"G"	26229	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Alphaproteobacteria>SAR11&nbsp;clade>Clade&nbsp;I"
"Clade II"	"F"	26232	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Alphaproteobacteria>SAR11&nbsp;clade"
"Micavibrionales"	"O"	25998	4	4	0.00316	0.00316	"Bacteria>Proteobacteria>Alphaproteobacteria"
"Micavibrionaceae"	"F"	25999	3	3	0.00237	0.00237	"Bacteria>Proteobacteria>Alphaproteobacteria>Micavibrionales"
"uncultured"	"G"	26001	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Alphaproteobacteria>Micavibrionales>Micavibrionaceae"
"uncultured"	"F"	26002	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Alphaproteobacteria>Micavibrionales"
"Rhodospirillales"	"O"	2667	3	3	0.00237	0.00237	"Bacteria>Proteobacteria>Alphaproteobacteria"
"uncultured"	"F"	26198	3	3	0.00237	0.00237	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales"
"Elsterales"	"O"	25978	3	3	0.00237	0.00237	"Bacteria>Proteobacteria>Alphaproteobacteria"
"uncultured"	"F"	25985	3	3	0.00237	0.00237	"Bacteria>Proteobacteria>Alphaproteobacteria>Elsterales"
"Acetobacterales"	"O"	25900	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Alphaproteobacteria"
"Acetobacteraceae"	"F"	25901	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Alphaproteobacteria>Acetobacterales"
"Acidiphilium"	"G"	25904	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Alphaproteobacteria>Acetobacterales>Acetobacteraceae"
"Craurococcus"	"G"	25914	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Alphaproteobacteria>Acetobacterales>Acetobacteraceae"
"Puniceispirillales"	"O"	26028	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Alphaproteobacteria"
"SAR116 clade"	"F"	26032	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Alphaproteobacteria>Puniceispirillales"
"uncultured"	"F"	26034	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Alphaproteobacteria>Puniceispirillales"
"Paracaedibacterales"	"O"	26009	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Alphaproteobacteria"
"Paracaedibacteraceae"	"F"	26010	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Alphaproteobacteria>Paracaedibacterales"
"Candidatus Captivus"	"G"	26011	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Alphaproteobacteria>Paracaedibacterales>Paracaedibacteraceae"
"uncultured"	"G"	26015	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Alphaproteobacteria>Paracaedibacterales>Paracaedibacteraceae"
"Kordiimonadales"	"O"	2411	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Alphaproteobacteria"
"Kordiimonadaceae"	"F"	2412	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Alphaproteobacteria>Kordiimonadales"
"Kordiimonas"	"G"	2413	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Alphaproteobacteria>Kordiimonadales>Kordiimonadaceae"
"Sneathiellales"	"O"	2818	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Alphaproteobacteria"
"Sneathiellaceae"	"F"	2819	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Alphaproteobacteria>Sneathiellales"
"AT-s3-44"	"G"	26236	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Alphaproteobacteria>Sneathiellales>Sneathiellaceae"
"Tistrellales"	"O"	26262	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Alphaproteobacteria"
"Geminicoccaceae"	"F"	26263	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Alphaproteobacteria>Tistrellales"
"uncultured"	"G"	26266	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Alphaproteobacteria>Tistrellales>Geminicoccaceae"
"Thalassobaculales"	"O"	26252	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Alphaproteobacteria"
"Thalassobaculaceae"	"F"	26258	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Alphaproteobacteria>Thalassobaculales"
"Thalassobaculum"	"G"	26260	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Alphaproteobacteria>Thalassobaculales>Thalassobaculaceae"
"Deltaproteobacteria"	"C"	3087	34	34	0.02686	0.02686	"Bacteria>Proteobacteria"
"Myxococcales"	"O"	3210	12	12	0.009481	0.009481	"Bacteria>Proteobacteria>Deltaproteobacteria"
"bacteriap25"	"F"	11496	3	3	0.00237	0.00237	"Bacteria>Proteobacteria>Deltaproteobacteria>Myxococcales"
"Archangiaceae"	"F"	14597	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Deltaproteobacteria>Myxococcales"
"Anaeromyxobacter"	"G"	14598	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Deltaproteobacteria>Myxococcales>Archangiaceae"
"Sandaracinaceae"	"F"	3241	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Deltaproteobacteria>Myxococcales"
"uncultured"	"G"	11491	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Deltaproteobacteria>Myxococcales>Sandaracinaceae"
"P3OB-42"	"F"	11486	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Deltaproteobacteria>Myxococcales"
"MidBa8"	"F"	11483	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Deltaproteobacteria>Myxococcales"
"VHS-B3-70"	"F"	3243	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Deltaproteobacteria>Myxococcales"
"Bdellovibrionales"	"O"	3091	4	4	0.00316	0.00316	"Bacteria>Proteobacteria>Deltaproteobacteria"
"Bdellovibrionaceae"	"F"	3098	4	4	0.00316	0.00316	"Bacteria>Proteobacteria>Deltaproteobacteria>Bdellovibrionales"
"OM27 clade"	"G"	3100	3	3	0.00237	0.00237	"Bacteria>Proteobacteria>Deltaproteobacteria>Bdellovibrionales>Bdellovibrionaceae"
"Bdellovibrio"	"G"	3099	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Deltaproteobacteria>Bdellovibrionales>Bdellovibrionaceae"
"Desulfobacterales"	"O"	3109	4	4	0.00316	0.00316	"Bacteria>Proteobacteria>Deltaproteobacteria"
"Desulfobacteraceae"	"F"	3110	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Deltaproteobacteria>Desulfobacterales"
"Candidatus Magnetananas"	"G"	3113	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Deltaproteobacteria>Desulfobacterales>Desulfobacteraceae"
"SEEP-SRB1"	"G"	3136	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Deltaproteobacteria>Desulfobacterales>Desulfobacteraceae"
"Desulfobulbaceae"	"F"	3139	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Deltaproteobacteria>Desulfobacterales"
"Desulfocapsa"	"G"	3141	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Deltaproteobacteria>Desulfobacterales>Desulfobulbaceae"
"Desulfopila"	"G"	3143	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Deltaproteobacteria>Desulfobacterales>Desulfobulbaceae"
"PB19"	"O"	26287	3	3	0.00237	0.00237	"Bacteria>Proteobacteria>Deltaproteobacteria"
"NB1-j"	"O"	14609	3	3	0.00237	0.00237	"Bacteria>Proteobacteria>Deltaproteobacteria"
"Oligoflexales"	"O"	11497	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Deltaproteobacteria"
"0319-6G20"	"F"	14610	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Deltaproteobacteria>Oligoflexales"
"SAR324 clade(Marine group B)"	"O"	3247	2	2	0.00158	0.00158	"Bacteria>Proteobacteria>Deltaproteobacteria"
"Desulfuromonadales"	"O"	3181	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Deltaproteobacteria"
"Geobacteraceae"	"F"	3195	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Deltaproteobacteria>Desulfuromonadales"
"Geobacter"	"G"	3197	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Deltaproteobacteria>Desulfuromonadales>Geobacteraceae"
"Syntrophobacterales"	"O"	3251	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Deltaproteobacteria"
"Syntrophaceae"	"F"	3252	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Deltaproteobacteria>Syntrophobacterales"
"uncultured"	"G"	3257	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Deltaproteobacteria>Syntrophobacterales>Syntrophaceae"
"Desulfovibrionales"	"O"	3156	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Deltaproteobacteria"
"Desulfomicrobiaceae"	"F"	3165	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Deltaproteobacteria>Desulfovibrionales"
"Desulfoplanes"	"G"	14593	1	1	0.0007901	0.0007901	"Bacteria>Proteobacteria>Deltaproteobacteria>Desulfovibrionales>Desulfomicrobiaceae"
"Bacteroidetes"	"P"	905	113	113	0.08928	0.08928	"Bacteria"
"Bacteroidia"	"C"	912	106	106	0.08375	0.08375	"Bacteria>Bacteroidetes"
"Bacteroidales"	"O"	913	61	61	0.0482	0.0482	"Bacteria>Bacteroidetes>Bacteroidia"
"Rikenellaceae"	"F"	967	13	13	0.01027	0.01027	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales"
"Rikenellaceae RC9 gut group"	"G"	11191	8	8	0.006321	0.006321	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales>Rikenellaceae"
"Rs-D38 termite group"	"G"	974	1	1	0.0007901	0.0007901	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales>Rikenellaceae"
"Anaerocella"	"G"	14281	1	1	0.0007901	0.0007901	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales>Rikenellaceae"
"Alistipes"	"G"	968	1	1	0.0007901	0.0007901	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales>Rikenellaceae"
"uncultured"	"G"	980	1	1	0.0007901	0.0007901	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales>Rikenellaceae"
"Prevotellaceae"	"F"	960	13	13	0.01027	0.01027	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales"
"Prevotella 9"	"G"	11183	5	5	0.003951	0.003951	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales>Prevotellaceae"
"Alloprevotella"	"G"	961	2	2	0.00158	0.00158	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales>Prevotellaceae"
"Prevotellaceae UCG-001"	"G"	11186	2	2	0.00158	0.00158	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales>Prevotellaceae"
"uncultured"	"G"	964	1	1	0.0007901	0.0007901	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales>Prevotellaceae"
"Prevotella 1"	"G"	11179	1	1	0.0007901	0.0007901	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales>Prevotellaceae"
"Prevotella 7"	"G"	11182	1	1	0.0007901	0.0007901	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales>Prevotellaceae"
"Bacteroidaceae"	"F"	917	6	6	0.004741	0.004741	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales"
"Bacteroides"	"G"	918	6	6	0.004741	0.004741	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales>Bacteroidaceae"
"Bacteroidetes BD2-2"	"F"	24595	3	3	0.00237	0.00237	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales"
"Dysgonomonadaceae"	"F"	24601	3	3	0.00237	0.00237	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales"
"Candidatus Armantifilum"	"G"	24602	1	1	0.0007901	0.0007901	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales>Dysgonomonadaceae"
"Petrimonas"	"G"	24607	1	1	0.0007901	0.0007901	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales>Dysgonomonadaceae"
"Marinilabiliaceae"	"F"	24619	3	3	0.00237	0.00237	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales"
"uncultured"	"G"	24633	3	3	0.00237	0.00237	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales>Marinilabiliaceae"
"Bacteroidales RF16 group"	"F"	11172	2	2	0.00158	0.00158	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales"
"Paludibacteraceae"	"F"	24637	2	2	0.00158	0.00158	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales"
"Paludibacter"	"G"	24641	1	1	0.0007901	0.0007901	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales>Paludibacteraceae"
"uncultured"	"G"	24642	1	1	0.0007901	0.0007901	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales>Paludibacteraceae"
"Porphyromonadaceae"	"F"	943	2	2	0.00158	0.00158	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales"
"Porphyromonas"	"G"	956	2	2	0.00158	0.00158	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales>Porphyromonadaceae"
"p-251-o5"	"F"	24663	1	1	0.0007901	0.0007901	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales"
"Prolixibacteraceae"	"F"	14273	1	1	0.0007901	0.0007901	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales"
"Draconibacterium"	"G"	24643	1	1	0.0007901	0.0007901	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales>Prolixibacteraceae"
"Barnesiellaceae"	"F"	24597	1	1	0.0007901	0.0007901	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales"
"Barnesiella"	"G"	24598	1	1	0.0007901	0.0007901	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales>Barnesiellaceae"
"Rs-E47 termite group"	"F"	982	1	1	0.0007901	0.0007901	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales"
"GWE2-42-42"	"G"	24652	1	1	0.0007901	0.0007901	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales>Rs&#x2011;E47&nbsp;termite&nbsp;group"
"PeH15"	"F"	942	1	1	0.0007901	0.0007901	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales"
"ML635J-40 aquatic group"	"F"	928	1	1	0.0007901	0.0007901	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales"
"Muribaculaceae"	"F"	24634	1	1	0.0007901	0.0007901	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales"
"SB-5"	"F"	24653	1	1	0.0007901	0.0007901	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales"
"Tannerellaceae"	"F"	24657	1	1	0.0007901	0.0007901	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales"
"Tannerella"	"G"	24661	1	1	0.0007901	0.0007901	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales>Tannerellaceae"
"Flavobacteriales"	"O"	24819	20	20	0.0158	0.0158	"Bacteria>Bacteroidetes>Bacteroidia"
"Flavobacteriaceae"	"F"	24841	16	16	0.01264	0.01264	"Bacteria>Bacteroidetes>Bacteroidia>Flavobacteriales"
