"name"	"taxRank"	"taxID"	"Max"	"kraken2_classification_loman_loman_bracken.kreport.cladeReads"	"Max.1"	"kraken2_classification_loman_loman_bracken.kreport.cladeReads.."	"lineage"
"Nocardia sp. Y48"	"S"	2213200	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Nocardiaceae>Nocardia"
"Nocardia cyriacigeorgica"	"S"	135487	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Nocardiaceae>Nocardia"
"Nocardia seriolae"	"S"	37332	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Nocardiaceae>Nocardia"
"Nocardia nova"	"S"	37330	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Nocardiaceae>Nocardia"
"Nocardia brasiliensis"	"S"	37326	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Nocardiaceae>Nocardia"
"Corynebacteriaceae"	"F"	1653	7	7	0.005535	0.005535	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales"
"Corynebacterium"	"G"	1716	7	7	0.005535	0.005535	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Corynebacteriaceae"
"Corynebacterium glutamicum"	"S"	1718	3	3	0.002372	0.002372	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Corynebacteriaceae>Corynebacterium"
"Corynebacterium deserti"	"S"	1408191	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Corynebacteriaceae>Corynebacterium"
"Corynebacterium xerosis"	"S"	1725	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Corynebacteriaceae>Corynebacterium"
"Corynebacterium sphenisci"	"S"	191493	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Corynebacteriaceae>Corynebacterium"
"Corynebacterium ureicelerivorans"	"S"	401472	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Corynebacteriaceae>Corynebacterium"
"Gordoniaceae"	"F"	85026	2	2	0.001581	0.001581	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales"
"Gordonia"	"G"	2053	2	2	0.001581	0.001581	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Gordoniaceae"
"Gordonia polyisoprenivorans"	"S"	84595	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Gordoniaceae>Gordonia"
"Tsukamurellaceae"	"F"	85028	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales"
"Tsukamurella"	"G"	2060	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Tsukamurellaceae"
"Tsukamurella tyrosinosolvens"	"S"	57704	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Tsukamurellaceae>Tsukamurella"
"Streptomycetales"	"O"	85011	33	33	0.02609	0.02609	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria"
"Streptomycetaceae"	"F"	2062	33	33	0.02609	0.02609	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales"
"Streptomyces"	"G"	1883	31	31	0.02451	0.02451	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae"
"Streptomyces chartreusis"	"S"	1969	2	2	0.001581	0.001581	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Streptomyces sp. P3"	"S"	2135430	4	4	0.003163	0.003163	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Streptomyces roseochromogenus"	"S"	285450	2	2	0.001581	0.001581	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Streptomyces antibioticus"	"S"	1890	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Streptomyces xinghaiensis"	"S"	1038928	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Streptomyces sp. ETH9427"	"S"	2211357	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Streptomyces sp. SirexAA-E"	"S"	862751	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Streptomyces griseus group"	"-"	629295	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Streptomyces anulatus subgroup"	"-"	1482561	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces>Streptomyces&nbsp;griseus&nbsp;group"
"Streptomyces anulatus"	"S"	1892	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces>Streptomyces&nbsp;griseus&nbsp;group>Streptomyces&nbsp;anulatus&nbsp;subgroup"
"Streptomyces sp. Tue 6075"	"S"	1661694	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Streptomyces lavendulae"	"S"	1914	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Streptomyces actuosus"	"S"	1885	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Streptomyces sp. WAC00288"	"S"	2094021	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Streptomyces sp. 4F"	"S"	1751294	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Streptomyces sp. fd1-xmd"	"S"	1812480	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Streptomyces noursei"	"S"	1971	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Streptomyces dengpaensis"	"S"	2049881	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Streptomyces leeuwenhoekii"	"S"	1437453	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Streptomyces koyangensis"	"S"	188770	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Streptomyces fungicidicus"	"S"	68203	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Streptomyces sp. 2323.1"	"S"	1938841	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Streptomyces sp. ADI95-16"	"S"	1522758	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Streptomyces sp. TLI_053"	"S"	1855352	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Streptomyces albus group"	"-"	1852274	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Streptomyces albus"	"S"	1888	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces>Streptomyces&nbsp;albus&nbsp;group"
"Streptomyces sp. RTd22"	"S"	1841249	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Streptomyces spongiicola"	"S"	1690221	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Streptacidiphilus"	"G"	228398	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae"
"Streptacidiphilus sp. DSM 106435"	"S"	2126346	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptacidiphilus"
"Kitasatospora"	"G"	2063	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae"
"Kitasatospora sp. MMS16-BH015"	"S"	2018025	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Kitasatospora"
"Micrococcales"	"O"	85006	14	14	0.01107	0.01107	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria"
"Microbacteriaceae"	"F"	85023	5	5	0.003953	0.003953	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales"
"Microterricola"	"G"	518733	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae"
"Microterricola viridarii"	"S"	412690	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae>Microterricola"
"Gryllotalpicola"	"G"	1195526	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae"
"Gryllotalpicola sp. 2DFW10M-5"	"S"	2419771	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae>Gryllotalpicola"
"Aurantimicrobium"	"G"	1705353	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae"
"Aurantimicrobium sp. MWH-Mo1"	"S"	1987356	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae>Aurantimicrobium"
"Microbacterium"	"G"	33882	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae"
"Microbacterium sp. PAMC 28756"	"S"	1795053	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae>Microbacterium"
"Agromyces"	"G"	33877	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae"
"Agromyces aureus"	"S"	453304	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae>Agromyces"
"Beutenbergiaceae"	"F"	125316	3	3	0.002372	0.002372	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales"
"Beutenbergia"	"G"	84756	2	2	0.001581	0.001581	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Beutenbergiaceae"
"Beutenbergia cavernae"	"S"	84757	2	2	0.001581	0.001581	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Beutenbergiaceae>Beutenbergia"
"Miniimonas"	"G"	947525	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Beutenbergiaceae"
"Miniimonas sp. S16"	"S"	2171623	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Beutenbergiaceae>Miniimonas"
"Micrococcaceae"	"F"	1268	3	3	0.002372	0.002372	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales"
"Pseudarthrobacter"	"G"	1742993	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Micrococcaceae"
"Pseudarthrobacter sulfonivorans"	"S"	121292	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Micrococcaceae>Pseudarthrobacter"
"Kocuria"	"G"	57493	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Micrococcaceae"
"Kocuria turfanensis"	"S"	388357	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Micrococcaceae>Kocuria"
"Arthrobacter"	"G"	1663	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Micrococcaceae"
"Arthrobacter sp. YC-RL1"	"S"	1652545	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Micrococcaceae>Arthrobacter"
"Intrasporangiaceae"	"F"	85021	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales"
"Ornithinimicrobium"	"G"	125287	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Intrasporangiaceae"
"Ornithinimicrobium sp. AMA3305"	"S"	2283195	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Intrasporangiaceae>Ornithinimicrobium"
"Dermabacteraceae"	"F"	85020	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales"
"Brachybacterium"	"G"	43668	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Dermabacteraceae"
"Brachybacterium ginsengisoli"	"S"	1331682	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Dermabacteraceae>Brachybacterium"
"Brevibacteriaceae"	"F"	85019	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales"
"Brevibacterium"	"G"	1696	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Brevibacteriaceae"
"Brevibacterium linens"	"S"	1703	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Brevibacteriaceae>Brevibacterium"
"Propionibacteriales"	"O"	85009	10	10	0.007907	0.007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria"
"Propionibacteriaceae"	"F"	31957	6	6	0.004744	0.004744	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Propionibacteriales"
"Acidipropionibacterium"	"G"	1912215	2	2	0.001581	0.001581	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Propionibacteriales>Propionibacteriaceae"
"Acidipropionibacterium virtanenii"	"S"	2057246	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Propionibacteriales>Propionibacteriaceae>Acidipropionibacterium"
"Acidipropionibacterium acidipropionici"	"S"	1748	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Propionibacteriales>Propionibacteriaceae>Acidipropionibacterium"
"Microlunatus"	"G"	29404	2	2	0.001581	0.001581	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Propionibacteriales>Propionibacteriaceae"
"Microlunatus soli"	"S"	630515	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Propionibacteriales>Propionibacteriaceae>Microlunatus"
"Microlunatus phosphovorus"	"S"	29405	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Propionibacteriales>Propionibacteriaceae>Microlunatus"
"Cutibacterium"	"G"	1912216	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Propionibacteriales>Propionibacteriaceae"
"Cutibacterium granulosum"	"S"	33011	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Propionibacteriales>Propionibacteriaceae>Cutibacterium"
"Propionimicrobium"	"G"	203133	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Propionibacteriales>Propionibacteriaceae"
"Propionimicrobium sp. Marseille-P3275"	"S"	1871034	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Propionibacteriales>Propionibacteriaceae>Propionimicrobium"
"Nocardioidaceae"	"F"	85015	4	4	0.003163	0.003163	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Propionibacteriales"
"Kribbella"	"G"	182639	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Propionibacteriales>Nocardioidaceae"
"Kribbella flavida"	"S"	182640	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Propionibacteriales>Nocardioidaceae>Kribbella"
"Micropruina"	"G"	116071	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Propionibacteriales>Nocardioidaceae"
"Micropruina glycogenica"	"S"	75385	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Propionibacteriales>Nocardioidaceae>Micropruina"
"Aeromicrobium"	"G"	2040	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Propionibacteriales>Nocardioidaceae"
"Aeromicrobium choanae"	"S"	1736691	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Propionibacteriales>Nocardioidaceae>Aeromicrobium"
"Nocardioides"	"G"	1839	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Propionibacteriales>Nocardioidaceae"
"Nocardioides sp. JS614"	"S"	196162	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Propionibacteriales>Nocardioidaceae>Nocardioides"
"Pseudonocardiales"	"O"	85010	9	9	0.007116	0.007116	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria"
"Pseudonocardiaceae"	"F"	2070	9	9	0.007116	0.007116	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Pseudonocardiales"
"Amycolatopsis"	"G"	1813	4	4	0.003163	0.003163	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Pseudonocardiales>Pseudonocardiaceae"
"Amycolatopsis albispora"	"S"	1804986	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Pseudonocardiales>Pseudonocardiaceae>Amycolatopsis"
"Amycolatopsis japonica"	"S"	208439	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Pseudonocardiales>Pseudonocardiaceae>Amycolatopsis"
"Amycolatopsis mediterranei"	"S"	33910	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Pseudonocardiales>Pseudonocardiaceae>Amycolatopsis"
"Actinoalloteichus"	"G"	65496	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Pseudonocardiales>Pseudonocardiaceae"
"Actinoalloteichus hymeniacidonis"	"S"	340345	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Pseudonocardiales>Pseudonocardiaceae>Actinoalloteichus"
"Actinosynnema"	"G"	40566	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Pseudonocardiales>Pseudonocardiaceae"
"Saccharothrix"	"G"	2071	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Pseudonocardiales>Pseudonocardiaceae"
"Saccharothrix espanaensis"	"S"	103731	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Pseudonocardiales>Pseudonocardiaceae>Saccharothrix"
"Saccharomonospora"	"G"	1851	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Pseudonocardiales>Pseudonocardiaceae"
"Saccharomonospora azurea"	"S"	40988	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Pseudonocardiales>Pseudonocardiaceae>Saccharomonospora"
"Pseudonocardia"	"G"	1847	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Pseudonocardiales>Pseudonocardiaceae"
"Pseudonocardia dioxanivorans"	"S"	240495	1	1	0.0007907	0.0007907	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Pseudonocardiales>Pseudonocardiaceae>Pseudonocardia"
"Micromonosporales"	"O"	85008	5	5	0.003953	0.003953	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria"
"Micromonosporaceae"	"F"	28056	5	5	0.003953	0.003953	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micromonosporales"
"Micromonospora"	"G"	1873	4	4	0.003163	0.003163	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micromonosporales>Micromonosporaceae"
"Micromonospora auratinigra"	"S"	261654	2	2	0.001581	0.001581	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micromonosporales>Micromonosporaceae>Micromonospora"
