"name"	"taxRank"	"taxID"	"Max"	"centrifuge_classification_june_BC01.cladeReads"	"centrifuge_classification_june_BC02.cladeReads"	"centrifuge_classification_june_BC03.cladeReads"	"centrifuge_classification_june_BC04.cladeReads"	"centrifuge_classification_june_BC05.cladeReads"	"centrifuge_classification_june_BC06.cladeReads"	"centrifuge_classification_june_BC07.cladeReads"	"centrifuge_classification_june_BC08.cladeReads"	"centrifuge_classification_june_BC09.cladeReads"	"centrifuge_classification_june_BC10.cladeReads"	"centrifuge_classification_june_BC11.cladeReads"	"centrifuge_classification_june_BC12.cladeReads"	"Max.1"	"centrifuge_classification_june_BC01.cladeReads.."	"centrifuge_classification_june_BC02.cladeReads.."	"centrifuge_classification_june_BC03.cladeReads.."	"centrifuge_classification_june_BC04.cladeReads.."	"centrifuge_classification_june_BC05.cladeReads.."	"centrifuge_classification_june_BC06.cladeReads.."	"centrifuge_classification_june_BC07.cladeReads.."	"centrifuge_classification_june_BC08.cladeReads.."	"centrifuge_classification_june_BC09.cladeReads.."	"centrifuge_classification_june_BC10.cladeReads.."	"centrifuge_classification_june_BC11.cladeReads.."	"centrifuge_classification_june_BC12.cladeReads.."	"lineage"
"Segniliparus rotundus"	"S"	286802	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001245	0.000581	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001245	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Segniliparaceae>Segniliparus"
"Segniliparus rotundus DSM 44985"	"-"	640132	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001245	0.000581	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001245	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Segniliparaceae>Segniliparus>Segniliparus&nbsp;rotundus"
"Candidatus Nanopelagicales"	"O"	2039638	499	135	9	36	NA	85	NA	1	2	NA	NA	499	NA	4.167	0.07843	0.1601	0.02561	NA	0.05027	NA	4.167	0.001181	NA	NA	0.6214	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria"
"Candidatus Nanopelagicaceae"	"F"	2162846	499	135	9	36	NA	85	NA	1	2	NA	NA	499	NA	4.167	0.07843	0.1601	0.02561	NA	0.05027	NA	4.167	0.001181	NA	NA	0.6214	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Candidatus&nbsp;Nanopelagicales"
"Candidatus Planktophila"	"G"	622681	487	133	9	34	NA	81	NA	1	2	NA	NA	487	NA	4.167	0.07727	0.1601	0.02419	NA	0.04791	NA	4.167	0.001181	NA	NA	0.6065	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Candidatus&nbsp;Nanopelagicales>Candidatus&nbsp;Nanopelagicaceae"
"Candidatus Planktophila sulfonica"	"S"	1884904	250	73	6	19	NA	47	NA	NA	1	NA	NA	250	NA	0.3113	0.04241	0.1068	0.01352	NA	0.0278	NA	NA	0.0005905	NA	NA	0.3113	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Candidatus&nbsp;Nanopelagicales>Candidatus&nbsp;Nanopelagicaceae>Candidatus&nbsp;Planktophila"
"Candidatus Planktophila versatilis"	"S"	1884905	160	29	3	6	NA	19	NA	NA	NA	NA	NA	160	NA	0.1993	0.01685	0.05338	0.004268	NA	0.01124	NA	NA	NA	NA	NA	0.1993	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Candidatus&nbsp;Nanopelagicales>Candidatus&nbsp;Nanopelagicaceae>Candidatus&nbsp;Planktophila"
"Candidatus Planktophila lacus"	"S"	1884913	22	11	NA	2	NA	4	NA	NA	NA	NA	NA	22	NA	0.0274	0.006391	NA	0.001423	NA	0.002366	NA	NA	NA	NA	NA	0.0274	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Candidatus&nbsp;Nanopelagicales>Candidatus&nbsp;Nanopelagicaceae>Candidatus&nbsp;Planktophila"
"Candidatus Planktophila vernalis"	"S"	1884907	9	8	NA	1	NA	2	NA	1	1	NA	NA	9	NA	4.167	0.004648	NA	0.0007114	NA	0.001183	NA	4.167	0.0005905	NA	NA	0.01121	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Candidatus&nbsp;Nanopelagicales>Candidatus&nbsp;Nanopelagicaceae>Candidatus&nbsp;Planktophila"
"Candidatus Planktophila dulcis"	"S"	1884914	15	3	NA	1	NA	2	NA	NA	NA	NA	NA	15	NA	0.01868	0.001743	NA	0.0007114	NA	0.001183	NA	NA	NA	NA	NA	0.01868	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Candidatus&nbsp;Nanopelagicales>Candidatus&nbsp;Nanopelagicaceae>Candidatus&nbsp;Planktophila"
"Candidatus Planktophila limnetica"	"S"	573600	14	2	NA	1	NA	2	NA	NA	NA	NA	NA	14	NA	0.01743	0.001162	NA	0.0007114	NA	0.001183	NA	NA	NA	NA	NA	0.01743	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Candidatus&nbsp;Nanopelagicales>Candidatus&nbsp;Nanopelagicaceae>Candidatus&nbsp;Planktophila"
"Candidatus Nanopelagicus"	"G"	2039639	12	2	NA	2	NA	4	NA	NA	NA	NA	NA	12	NA	0.01494	0.001162	NA	0.001423	NA	0.002366	NA	NA	NA	NA	NA	0.01494	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Candidatus&nbsp;Nanopelagicales>Candidatus&nbsp;Nanopelagicaceae"
"Candidatus Nanopelagicus limnes"	"S"	1884634	8	1	NA	2	NA	4	NA	NA	NA	NA	NA	8	NA	0.009963	0.000581	NA	0.001423	NA	0.002366	NA	NA	NA	NA	NA	0.009963	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Candidatus&nbsp;Nanopelagicales>Candidatus&nbsp;Nanopelagicaceae>Candidatus&nbsp;Nanopelagicus"
"Streptosporangiales"	"O"	85012	122	122	6	117	NA	81	NA	NA	NA	NA	NA	12	NA	0.1068	0.07088	0.1068	0.08323	NA	0.04791	NA	NA	NA	NA	NA	0.01494	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria"
"Streptosporangiaceae"	"F"	2004	107	107	5	86	NA	68	NA	NA	NA	NA	NA	4	NA	0.08897	0.06216	0.08897	0.06118	NA	0.04022	NA	NA	NA	NA	NA	0.004981	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptosporangiales"
"Nonomuraea"	"G"	83681	107	107	5	86	NA	68	NA	NA	NA	NA	NA	4	NA	0.08897	0.06216	0.08897	0.06118	NA	0.04022	NA	NA	NA	NA	NA	0.004981	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptosporangiales>Streptosporangiaceae"
"Nonomuraea sp. ATCC 55076"	"S"	1909395	107	107	5	86	NA	68	NA	NA	NA	NA	NA	4	NA	0.08897	0.06216	0.08897	0.06118	NA	0.04022	NA	NA	NA	NA	NA	0.004981	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptosporangiales>Streptosporangiaceae>Nonomuraea"
"Nocardiopsaceae"	"F"	83676	31	15	1	31	NA	13	NA	NA	NA	NA	NA	6	NA	0.02205	0.008715	0.01779	0.02205	NA	0.007689	NA	NA	NA	NA	NA	0.007472	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptosporangiales"
"Nocardiopsis"	"G"	2013	31	14	1	31	NA	13	NA	NA	NA	NA	NA	6	NA	0.02205	0.008134	0.01779	0.02205	NA	0.007689	NA	NA	NA	NA	NA	0.007472	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptosporangiales>Nocardiopsaceae"
"Nocardiopsis dassonvillei"	"S"	2014	30	14	1	30	NA	13	NA	NA	NA	NA	NA	3	NA	0.02134	0.008134	0.01779	0.02134	NA	0.007689	NA	NA	NA	NA	NA	0.003736	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptosporangiales>Nocardiopsaceae>Nocardiopsis"
"Nocardiopsis dassonvillei subsp. dassonvillei"	"-"	568208	30	14	1	30	NA	13	NA	NA	NA	NA	NA	2	NA	0.02134	0.008134	0.01779	0.02134	NA	0.007689	NA	NA	NA	NA	NA	0.002491	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptosporangiales>Nocardiopsaceae>Nocardiopsis>Nocardiopsis&nbsp;dassonvillei"
"Nocardiopsis dassonvillei subsp. dassonvillei DSM 43111"	"-"	446468	30	14	1	30	NA	13	NA	NA	NA	NA	NA	2	NA	0.02134	0.008134	0.01779	0.02134	NA	0.007689	NA	NA	NA	NA	NA	0.002491	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptosporangiales>Nocardiopsaceae>Nocardiopsis>Nocardiopsis&nbsp;dassonvillei>Nocardiopsis&nbsp;dassonvillei&nbsp;subsp.&nbsp;dassonvillei"
"Streptomycetales"	"O"	85011	86	86	3	63	NA	48	NA	NA	19	NA	NA	22	NA	0.05338	0.04996	0.05338	0.04482	NA	0.02839	NA	NA	0.01122	NA	NA	0.0274	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria"
"Streptomycetaceae"	"F"	2062	86	86	3	63	NA	48	NA	NA	19	NA	NA	22	NA	0.05338	0.04996	0.05338	0.04482	NA	0.02839	NA	NA	0.01122	NA	NA	0.0274	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales"
"Streptomyces"	"G"	1883	21	17	2	20	NA	14	NA	NA	19	NA	NA	21	NA	0.03559	0.009877	0.03559	0.01423	NA	0.00828	NA	NA	0.01122	NA	NA	0.02615	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae"
"Streptomyces sp. CMB-StM0423"	"S"	2059884	13	7	NA	13	NA	10	NA	NA	NA	NA	NA	1	NA	0.009248	0.004067	NA	0.009248	NA	0.005915	NA	NA	NA	NA	NA	0.001245	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Streptomyces lydicus"	"S"	47763	3	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001743	0.001743	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Streptomyces scabiei"	"S"	1930	2	2	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.001162	0.001162	NA	NA	NA	0.0005915	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Streptomyces scabiei 87.22"	"-"	680198	2	2	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.001162	0.001162	NA	NA	NA	0.0005915	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces>Streptomyces&nbsp;scabiei"
"Streptomyces sp. Mg1"	"S"	465541	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001245	0.000581	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001245	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Streptomyces albidoflavus group"	"S"	1477431	17	1	NA	1	NA	NA	NA	NA	17	NA	NA	2	NA	0.01004	0.000581	NA	0.0007114	NA	NA	NA	NA	0.01004	NA	NA	0.002491	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Streptomyces sampsonii"	"S"	42239	17	1	NA	1	NA	NA	NA	NA	17	NA	NA	2	NA	0.01004	0.000581	NA	0.0007114	NA	NA	NA	NA	0.01004	NA	NA	0.002491	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces>Streptomyces&nbsp;albidoflavus&nbsp;group"
"Streptomyces lunaelactis"	"S"	1535768	4	1	NA	2	NA	2	NA	NA	2	NA	NA	4	NA	0.004981	0.000581	NA	0.001423	NA	0.001183	NA	NA	0.001181	NA	NA	0.004981	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Streptomyces spongiicola"	"S"	1690221	1	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0007114	0.000581	NA	0.0007114	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Kitasatospora"	"G"	2063	3	3	NA	2	NA	2	NA	NA	NA	NA	NA	NA	NA	0.001743	0.001743	NA	0.001423	NA	0.001183	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae"
"Micromonosporales"	"O"	85008	78	78	4	64	NA	48	NA	NA	2	NA	NA	18	1	4.167	0.04532	0.07117	0.04553	NA	0.02839	NA	NA	0.001181	NA	NA	0.02242	4.167	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria"
"Micromonosporaceae"	"F"	28056	78	78	4	64	NA	48	NA	NA	2	NA	NA	18	1	4.167	0.04532	0.07117	0.04553	NA	0.02839	NA	NA	0.001181	NA	NA	0.02242	4.167	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micromonosporales"
"Verrucosispora"	"G"	84593	72	72	4	57	NA	48	NA	NA	1	NA	NA	5	NA	0.07117	0.04183	0.07117	0.04055	NA	0.02839	NA	NA	0.0005905	NA	NA	0.006227	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micromonosporales>Micromonosporaceae"
"Verrucosispora maris"	"S"	1003110	72	72	4	57	NA	48	NA	NA	1	NA	NA	5	NA	0.07117	0.04183	0.07117	0.04055	NA	0.02839	NA	NA	0.0005905	NA	NA	0.006227	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micromonosporales>Micromonosporaceae>Verrucosispora"
"Verrucosispora maris AB-18-032"	"-"	263358	72	72	4	57	NA	48	NA	NA	1	NA	NA	5	NA	0.07117	0.04183	0.07117	0.04055	NA	0.02839	NA	NA	0.0005905	NA	NA	0.006227	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micromonosporales>Micromonosporaceae>Verrucosispora>Verrucosispora&nbsp;maris"
"Plantactinospora"	"G"	673534	2	2	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001245	0.001162	NA	0.0007114	NA	NA	NA	NA	NA	NA	NA	0.001245	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micromonosporales>Micromonosporaceae"
"Actinobacteria incertae sedis"	"-"	1643818	26	25	NA	26	NA	14	NA	NA	NA	NA	NA	2	NA	0.0185	0.01452	NA	0.0185	NA	0.00828	NA	NA	NA	NA	NA	0.002491	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria"
"Thermobispora"	"G"	147067	26	25	NA	26	NA	14	NA	NA	NA	NA	NA	2	NA	0.0185	0.01452	NA	0.0185	NA	0.00828	NA	NA	NA	NA	NA	0.002491	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Actinobacteria&nbsp;incertae&nbsp;sedis"
"Thermobispora bispora"	"S"	2006	26	25	NA	26	NA	14	NA	NA	NA	NA	NA	2	NA	0.0185	0.01452	NA	0.0185	NA	0.00828	NA	NA	NA	NA	NA	0.002491	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Actinobacteria&nbsp;incertae&nbsp;sedis>Thermobispora"
"Thermobispora bispora DSM 43833"	"-"	469371	26	25	NA	26	NA	14	NA	NA	NA	NA	NA	2	NA	0.0185	0.01452	NA	0.0185	NA	0.00828	NA	NA	NA	NA	NA	0.002491	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Actinobacteria&nbsp;incertae&nbsp;sedis>Thermobispora>Thermobispora&nbsp;bispora"
"Bifidobacteriales"	"O"	85004	18	18	2	12	NA	8	NA	NA	5	NA	NA	11	NA	0.03559	0.01046	0.03559	0.008537	NA	0.004732	NA	NA	0.002952	NA	NA	0.0137	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria"
"Bifidobacteriaceae"	"F"	31953	18	18	2	12	NA	8	NA	NA	5	NA	NA	11	NA	0.03559	0.01046	0.03559	0.008537	NA	0.004732	NA	NA	0.002952	NA	NA	0.0137	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Bifidobacteriales"
"Bifidobacterium"	"G"	1678	17	17	2	12	NA	8	NA	NA	5	NA	NA	10	NA	0.03559	0.009877	0.03559	0.008537	NA	0.004732	NA	NA	0.002952	NA	NA	0.01245	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Bifidobacteriales>Bifidobacteriaceae"
"Bifidobacterium animalis"	"S"	28025	14	14	NA	9	NA	4	NA	NA	4	NA	NA	8	NA	0.009963	0.008134	NA	0.006403	NA	0.002366	NA	NA	0.002362	NA	NA	0.009963	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Bifidobacteriales>Bifidobacteriaceae>Bifidobacterium"
"Bifidobacterium animalis subsp. lactis"	"-"	302911	14	14	NA	9	NA	4	NA	NA	4	NA	NA	8	NA	0.009963	0.008134	NA	0.006403	NA	0.002366	NA	NA	0.002362	NA	NA	0.009963	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Bifidobacteriales>Bifidobacteriaceae>Bifidobacterium>Bifidobacterium&nbsp;animalis"
"Bifidobacterium animalis subsp. lactis KLDS2.0603"	"-"	1316911	14	14	NA	9	NA	4	NA	NA	4	NA	NA	8	NA	0.009963	0.008134	NA	0.006403	NA	0.002366	NA	NA	0.002362	NA	NA	0.009963	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Bifidobacteriales>Bifidobacteriaceae>Bifidobacterium>Bifidobacterium&nbsp;animalis>Bifidobacterium&nbsp;animalis&nbsp;subsp.&nbsp;lactis"
"Bifidobacterium adolescentis"	"S"	1680	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0005915	0.000581	NA	NA	NA	0.0005915	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Bifidobacteriales>Bifidobacteriaceae>Bifidobacterium"
"Bifidobacterium adolescentis ATCC 15703"	"-"	367928	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0005915	0.000581	NA	NA	NA	0.0005915	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Bifidobacteriales>Bifidobacteriaceae>Bifidobacterium>Bifidobacterium&nbsp;adolescentis"
"Bifidobacterium longum"	"S"	216816	3	1	NA	3	NA	3	NA	NA	NA	NA	NA	1	NA	0.002134	0.000581	NA	0.002134	NA	0.001774	NA	NA	NA	NA	NA	0.001245	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Bifidobacteriales>Bifidobacteriaceae>Bifidobacterium"
"Bifidobacterium longum subsp. longum"	"-"	1679	3	1	NA	3	NA	3	NA	NA	NA	NA	NA	1	NA	0.002134	0.000581	NA	0.002134	NA	0.001774	NA	NA	NA	NA	NA	0.001245	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Bifidobacteriales>Bifidobacteriaceae>Bifidobacterium>Bifidobacterium&nbsp;longum"
"Parascardovia"	"G"	196082	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000581	0.000581	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Bifidobacteriales>Bifidobacteriaceae"
"Parascardovia denticolens"	"S"	78258	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000581	0.000581	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Bifidobacteriales>Bifidobacteriaceae>Parascardovia"
"Parascardovia denticolens DSM 10105 = JCM 12538"	"-"	864564	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000581	0.000581	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Bifidobacteriales>Bifidobacteriaceae>Parascardovia>Parascardovia&nbsp;denticolens"
"Frankiales"	"O"	85013	15	15	1	14	NA	6	NA	NA	2	NA	NA	3	NA	0.01779	0.008715	0.01779	0.00996	NA	0.003549	NA	NA	0.001181	NA	NA	0.003736	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria"
"Frankiaceae"	"F"	74712	15	15	1	14	NA	6	NA	NA	2	NA	NA	3	NA	0.01779	0.008715	0.01779	0.00996	NA	0.003549	NA	NA	0.001181	NA	NA	0.003736	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Frankiales"
"Frankia"	"G"	1854	15	15	1	14	NA	6	NA	NA	2	NA	NA	3	NA	0.01779	0.008715	0.01779	0.00996	NA	0.003549	NA	NA	0.001181	NA	NA	0.003736	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Frankiales>Frankiaceae"
"Frankia inefficax"	"S"	298654	10	7	1	10	NA	5	NA	NA	1	NA	NA	2	NA	0.01779	0.004067	0.01779	0.007114	NA	0.002957	NA	NA	0.0005905	NA	NA	0.002491	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Frankiales>Frankiaceae>Frankia"
"Frankia sp. EAN1pec"	"S"	298653	3	3	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001743	0.001743	NA	0.0007114	NA	NA	NA	NA	NA	NA	NA	0.001245	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Frankiales>Frankiaceae>Frankia"
"Pseudonocardiales"	"O"	85010	16	14	2	16	NA	10	1	NA	1	NA	NA	2	NA	4	0.008134	0.03559	0.01138	NA	0.005915	4	NA	0.0005905	NA	NA	0.002491	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria"
"Pseudonocardiaceae"	"F"	2070	16	14	2	16	NA	10	1	NA	1	NA	NA	2	NA	4	0.008134	0.03559	0.01138	NA	0.005915	4	NA	0.0005905	NA	NA	0.002491	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Pseudonocardiales"
"Saccharomonospora"	"G"	1851	5	5	NA	4	NA	4	NA	NA	NA	NA	NA	NA	NA	0.002905	0.002905	NA	0.002846	NA	0.002366	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Pseudonocardiales>Pseudonocardiaceae"
"Saccharomonospora viridis"	"S"	1852	5	5	NA	4	NA	4	NA	NA	NA	NA	NA	NA	NA	0.002905	0.002905	NA	0.002846	NA	0.002366	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Pseudonocardiales>Pseudonocardiaceae>Saccharomonospora"
"Saccharomonospora viridis DSM 43017"	"-"	471857	5	5	NA	4	NA	4	NA	NA	NA	NA	NA	NA	NA	0.002905	0.002905	NA	0.002846	NA	0.002366	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Pseudonocardiales>Pseudonocardiaceae>Saccharomonospora>Saccharomonospora&nbsp;viridis"
"Pseudonocardia"	"G"	1847	4	2	2	4	NA	1	NA	NA	NA	NA	NA	NA	NA	0.03559	0.001162	0.03559	0.002846	NA	0.0005915	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Pseudonocardiales>Pseudonocardiaceae"
"Actinosynnema"	"G"	40566	1	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0005905	0.000581	NA	NA	NA	NA	NA	NA	0.0005905	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Pseudonocardiales>Pseudonocardiaceae"
"Alloactinosynnema"	"G"	674734	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000581	0.000581	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Pseudonocardiales>Pseudonocardiaceae"
