"name"	"taxRank"	"taxID"	"Max"	"kraken2_16s_k21_classification_august_BC01.cladeReads"	"kraken2_16s_k21_classification_august_BC02.cladeReads"	"kraken2_16s_k21_classification_august_BC03.cladeReads"	"kraken2_16s_k21_classification_august_BC04.cladeReads"	"kraken2_16s_k21_classification_august_BC05.cladeReads"	"kraken2_16s_k21_classification_august_BC06.cladeReads"	"kraken2_16s_k21_classification_august_BC07.cladeReads"	"kraken2_16s_k21_classification_august_BC08.cladeReads"	"kraken2_16s_k21_classification_august_BC09.cladeReads"	"kraken2_16s_k21_classification_august_BC10.cladeReads"	"kraken2_16s_k21_classification_august_BC11.cladeReads"	"kraken2_16s_k21_classification_august_BC12.cladeReads"	"Max.1"	"kraken2_16s_k21_classification_august_BC01.cladeReads.."	"kraken2_16s_k21_classification_august_BC02.cladeReads.."	"kraken2_16s_k21_classification_august_BC03.cladeReads.."	"kraken2_16s_k21_classification_august_BC04.cladeReads.."	"kraken2_16s_k21_classification_august_BC05.cladeReads.."	"kraken2_16s_k21_classification_august_BC06.cladeReads.."	"kraken2_16s_k21_classification_august_BC07.cladeReads.."	"kraken2_16s_k21_classification_august_BC08.cladeReads.."	"kraken2_16s_k21_classification_august_BC09.cladeReads.."	"kraken2_16s_k21_classification_august_BC10.cladeReads.."	"kraken2_16s_k21_classification_august_BC11.cladeReads.."	"kraken2_16s_k21_classification_august_BC12.cladeReads.."	"lineage"
"Ideonella"	"G"	26401	3479	255	65	NA	1	3109	2665	2670	12	1	475	3479	88	0.4184	0.08413	0.1463	NA	0.3096	0.3604	0.3074	0.3716	0.0007177	0.4184	0.3629	0.41	0.2013	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Duganella"	"G"	26391	2309	236	52	NA	1	2271	1876	2075	9	NA	301	2309	64	0.3096	0.07786	0.117	NA	0.3096	0.2633	0.2164	0.2888	0.0005383	NA	0.23	0.2721	0.1464	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Janthinobacterium"	"G"	26403	1643	213	38	NA	NA	1643	1188	1133	26	NA	144	1250	47	0.1905	0.07027	0.08551	NA	NA	0.1905	0.137	0.1577	0.001555	NA	0.11	0.1473	0.1075	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Pusillimonas"	"G"	26441	395	180	42	NA	NA	395	291	260	3	NA	25	206	19	0.09451	0.05938	0.09451	NA	NA	0.04579	0.03357	0.03618	0.0001794	NA	0.0191	0.02428	0.04347	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Sphaerotilus"	"G"	26453	1458	173	45	1	NA	1458	1268	1240	23	NA	170	1415	50	0.4695	0.05707	0.1013	0.4695	NA	0.169	0.1463	0.1726	0.001376	NA	0.1299	0.1668	0.1144	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Lautropia"	"G"	26407	1093	153	32	NA	1	1093	917	879	30	1	97	940	47	0.4184	0.05048	0.07201	NA	0.3096	0.1267	0.1058	0.1223	0.001794	0.4184	0.07411	0.1108	0.1075	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Rhizobacter"	"G"	26445	1534	146	48	NA	NA	1375	1156	1355	13	NA	192	1534	78	0.1886	0.04817	0.108	NA	NA	0.1594	0.1333	0.1886	0.0007775	NA	0.1467	0.1808	0.1785	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Leptothrix"	"G"	26408	975	140	41	NA	NA	947	836	855	11	NA	143	975	20	0.119	0.04619	0.09226	NA	NA	0.1098	0.09643	0.119	0.0006579	NA	0.1093	0.1149	0.04576	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Herbaspirillum"	"G"	26397	881	131	30	NA	NA	881	632	724	18	NA	76	744	17	0.1021	0.04322	0.06751	NA	NA	0.1021	0.0729	0.1008	0.001077	NA	0.05806	0.08768	0.03889	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"MWH-UniP1 aquatic group"	"G"	26411	947	126	37	NA	NA	925	812	817	15	NA	111	947	20	0.1137	0.04157	0.08326	NA	NA	0.1072	0.09366	0.1137	0.0008971	NA	0.0848	0.1116	0.04576	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Undibacterium"	"G"	26461	929	111	27	NA	1	928	733	749	7	NA	95	929	38	0.3096	0.03662	0.06075	NA	0.3096	0.1076	0.08455	0.1042	0.0004187	NA	0.07258	0.1095	0.08694	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Bordetella"	"G"	26365	473	99	19	NA	NA	473	395	390	10	NA	48	413	21	0.05484	0.03266	0.04275	NA	NA	0.05484	0.04556	0.05428	0.0005981	NA	0.03667	0.04867	0.04805	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Ottowia"	"G"	26421	1009	88	32	NA	NA	1009	858	846	11	NA	124	957	13	0.1177	0.02903	0.07201	NA	NA	0.117	0.09897	0.1177	0.0006579	NA	0.09473	0.1128	0.02974	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Limnobacter"	"G"	26409	705	88	18	NA	NA	664	559	613	11	NA	80	705	25	0.08531	0.02903	0.0405	NA	NA	0.07698	0.06448	0.08531	0.0006579	NA	0.06112	0.08309	0.0572	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Sutterella"	"G"	26454	650	88	17	1	1	594	551	650	13	NA	71	588	26	0.4695	0.02903	0.03825	0.4695	0.3096	0.06887	0.06356	0.09046	0.0007775	NA	0.05424	0.0693	0.05948	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Parasutterella"	"G"	26429	795	79	25	NA	NA	727	692	682	15	NA	104	795	22	0.09491	0.02606	0.05625	NA	NA	0.08429	0.07982	0.09491	0.0008971	NA	0.07945	0.09369	0.05033	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Candidatus Zinderia"	"G"	26380	646	74	17	NA	1	516	458	430	11	NA	80	646	18	0.3096	0.02441	0.03825	NA	0.3096	0.05982	0.05283	0.05984	0.0006579	NA	0.06112	0.07613	0.04118	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Herminiimonas"	"G"	26398	412	68	22	NA	NA	412	288	320	8	NA	28	362	13	0.0495	0.02243	0.0495	NA	NA	0.04777	0.03322	0.04453	0.0004785	NA	0.02139	0.04266	0.02974	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Alicycliphilus"	"G"	26359	996	61	22	NA	NA	510	512	996	3	NA	90	807	25	0.1386	0.02012	0.0495	NA	NA	0.05913	0.05906	0.1386	0.0001794	NA	0.06876	0.09511	0.0572	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Collimonas"	"G"	26383	414	59	9	NA	NA	306	233	199	2	NA	39	414	5	0.04879	0.01946	0.02025	NA	NA	0.03548	0.02688	0.02769	0.0001196	NA	0.0298	0.04879	0.01144	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Simplicispira"	"G"	26452	459	57	20	NA	NA	459	333	336	10	NA	56	372	14	0.05321	0.0188	0.045	NA	NA	0.05321	0.03841	0.04676	0.0005981	NA	0.04278	0.04384	0.03203	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Advenella"	"G"	26357	270	51	13	NA	NA	270	200	214	3	NA	29	240	6	0.0313	0.01683	0.02925	NA	NA	0.0313	0.02307	0.02978	0.0001794	NA	0.02216	0.02828	0.01373	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Castellaniella"	"G"	26382	173	50	7	NA	NA	173	159	119	NA	NA	20	132	7	0.02006	0.0165	0.01575	NA	NA	0.02006	0.01834	0.01656	NA	NA	0.01528	0.01556	0.01602	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Thiomonas"	"G"	26459	265	47	7	NA	NA	265	192	167	9	NA	30	228	12	0.03072	0.01551	0.01575	NA	NA	0.03072	0.02215	0.02324	0.0005383	NA	0.02292	0.02687	0.02745	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Oxalicibacterium"	"G"	26422	371	42	10	NA	1	337	323	319	3	NA	53	371	6	0.3096	0.01386	0.0225	NA	0.3096	0.03907	0.03726	0.04439	0.0001794	NA	0.04049	0.04372	0.01373	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Parapusillimonas"	"G"	26428	259	42	5	NA	NA	259	201	253	3	NA	33	244	6	0.03521	0.01386	0.01125	NA	NA	0.03003	0.02318	0.03521	0.0001794	NA	0.02521	0.02876	0.01373	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Caenimonas"	"G"	26370	380	40	10	NA	NA	380	335	336	3	NA	53	379	15	0.04676	0.0132	0.0225	NA	NA	0.04406	0.03864	0.04676	0.0001794	NA	0.04049	0.04467	0.03432	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Tibeticola"	"G"	26460	417	38	12	NA	NA	417	380	363	1	NA	57	403	3	0.05052	0.01254	0.027	NA	NA	0.04835	0.04383	0.05052	5.981e-05	NA	0.04355	0.04749	0.006864	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Roseateles"	"G"	26448	254	37	4	NA	NA	240	197	254	NA	NA	20	228	4	0.03535	0.01221	0.009001	NA	NA	0.02782	0.02272	0.03535	NA	NA	0.01528	0.02687	0.009151	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Pigmentiphaga"	"G"	26434	197	36	10	NA	NA	197	154	170	6	NA	21	158	5	0.02366	0.01188	0.0225	NA	NA	0.02284	0.01776	0.02366	0.0003588	NA	0.01604	0.01862	0.01144	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Candidatus Tremblaya"	"G"	26378	221	35	10	NA	NA	221	172	171	6	NA	12	206	7	0.02562	0.01155	0.0225	NA	NA	0.02562	0.01984	0.0238	0.0003588	NA	0.009168	0.02428	0.01602	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Inhella"	"G"	26402	204	33	4	NA	NA	137	152	204	4	NA	16	153	15	0.03432	0.01089	0.009001	NA	NA	0.01588	0.01753	0.02839	0.0002392	NA	0.01222	0.01803	0.03432	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Candidatus Kinetoplastibacterium"	"G"	26373	127	32	7	NA	NA	127	90	63	2	NA	10	114	2	0.01575	0.01056	0.01575	NA	NA	0.01472	0.01038	0.008768	0.0001196	NA	0.00764	0.01344	0.004576	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Pandoraea"	"G"	26425	162	29	5	NA	NA	157	125	112	26	NA	17	162	5	0.01909	0.009567	0.01125	NA	NA	0.0182	0.01442	0.01559	0.001555	NA	0.01299	0.01909	0.01144	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Verticia"	"G"	26464	135	24	14	NA	NA	135	105	103	3	NA	18	103	3	0.0315	0.007918	0.0315	NA	NA	0.01565	0.01211	0.01433	0.0001794	NA	0.01375	0.01214	0.006864	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Candidatus Nasuia"	"G"	26374	138	22	2	NA	NA	138	129	109	14	NA	18	122	3	0.016	0.007258	0.0045	NA	NA	0.016	0.01488	0.01517	0.0008373	NA	0.01375	0.01438	0.006864	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Piscinibacter"	"G"	26435	257	22	5	1	NA	139	153	257	NA	NA	11	175	14	0.4695	0.007258	0.01125	0.4695	NA	0.01612	0.01765	0.03577	NA	NA	0.008404	0.02062	0.03203	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Paucibacter"	"G"	26430	254	22	9	NA	NA	234	195	233	1	NA	43	254	4	0.03285	0.007258	0.02025	NA	NA	0.02713	0.02249	0.03243	5.981e-05	NA	0.03285	0.02993	0.009151	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Pseudorhodoferax"	"G"	26440	254	21	5	NA	NA	236	187	228	3	NA	31	254	5	0.03173	0.006928	0.01125	NA	NA	0.02736	0.02157	0.03173	0.0001794	NA	0.02368	0.02993	0.01144	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Paenalcaligenes"	"G"	26424	132	20	5	NA	NA	132	108	131	2	NA	16	120	6	0.01823	0.006598	0.01125	NA	NA	0.0153	0.01246	0.01823	0.0001196	NA	0.01222	0.01414	0.01373	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"AAP99"	"G"	26353	157	18	3	NA	NA	82	99	157	3	NA	10	126	3	0.02185	0.005938	0.006751	NA	NA	0.009507	0.01142	0.02185	0.0001794	NA	0.00764	0.01485	0.006864	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Candidatus Vidania"	"G"	26379	188	17	5	NA	NA	185	155	168	7	NA	28	188	6	0.02338	0.005608	0.01125	NA	NA	0.02145	0.01788	0.02338	0.0004187	NA	0.02139	0.02216	0.01373	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Candidatus Symbiobacter"	"G"	26377	231	17	3	NA	NA	184	186	178	1	NA	28	231	8	0.02722	0.005608	0.006751	NA	NA	0.02133	0.02145	0.02477	5.981e-05	NA	0.02139	0.02722	0.0183	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Extensimonas"	"G"	26393	198	17	4	NA	NA	186	142	173	NA	NA	25	198	4	0.02408	0.005608	0.009001	NA	NA	0.02156	0.01638	0.02408	NA	NA	0.0191	0.02333	0.009151	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Xylophilus"	"G"	26466	85	14	2	NA	NA	85	54	66	1	NA	8	80	NA	0.009855	0.004619	0.0045	NA	NA	0.009855	0.006229	0.009185	5.981e-05	NA	0.006112	0.009428	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Telluria"	"G"	26456	123	14	3	NA	NA	119	78	101	1	NA	10	123	2	0.0145	0.004619	0.006751	NA	NA	0.0138	0.008997	0.01406	5.981e-05	NA	0.00764	0.0145	0.004576	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Mitsuaria"	"G"	26416	89	13	3	NA	NA	89	74	70	13	NA	13	59	5	0.01144	0.004289	0.006751	NA	NA	0.01032	0.008536	0.009742	0.0007775	NA	0.009932	0.006953	0.01144	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Methylibium"	"G"	26415	92	13	5	NA	1	83	92	47	1	NA	8	88	NA	0.3096	0.004289	0.01125	NA	0.3096	0.009623	0.01061	0.006541	5.981e-05	NA	0.006112	0.01037	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Macromonas"	"G"	26412	194	13	5	NA	NA	129	154	111	1	NA	16	194	6	0.02286	0.004289	0.01125	NA	NA	0.01496	0.01776	0.01545	5.981e-05	NA	0.01222	0.02286	0.01373	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Verminephrobacter"	"G"	26463	112	13	7	NA	NA	100	87	112	3	NA	15	95	5	0.01575	0.004289	0.01575	NA	NA	0.01159	0.01004	0.01559	0.0001794	NA	0.01146	0.0112	0.01144	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Oligella"	"G"	26419	57	12	2	NA	NA	54	53	44	1	NA	5	57	4	0.009151	0.003959	0.0045	NA	NA	0.006261	0.006113	0.006123	5.981e-05	NA	0.00382	0.006718	0.009151	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Rubrivivax"	"G"	26449	86	12	2	NA	NA	86	67	72	NA	NA	7	71	1	0.01002	0.003959	0.0045	NA	NA	0.009971	0.007728	0.01002	NA	NA	0.005348	0.008368	0.002288	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Oxalobacter"	"G"	26423	114	11	6	NA	NA	114	84	70	4	NA	11	110	2	0.0135	0.003629	0.0135	NA	NA	0.01322	0.009689	0.009742	0.0002392	NA	0.008404	0.01296	0.004576	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Kerstersia"	"G"	26404	71	11	3	NA	NA	59	45	60	NA	NA	8	71	2	0.008368	0.003629	0.006751	NA	NA	0.00684	0.005191	0.00835	NA	NA	0.006112	0.008368	0.004576	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Candidimonas"	"G"	26381	56	11	1	NA	NA	40	42	42	5	NA	8	56	2	0.0066	0.003629	0.00225	NA	NA	0.004637	0.004845	0.005845	0.000299	NA	0.006112	0.0066	0.004576	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Hylemonella"	"G"	26400	178	10	1	NA	NA	100	96	178	1	NA	16	122	2	0.02477	0.003299	0.00225	NA	NA	0.01159	0.01107	0.02477	5.981e-05	NA	0.01222	0.01438	0.004576	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Xenophilus"	"G"	26465	108	7	2	NA	NA	108	90	74	1	NA	18	93	2	0.01375	0.002309	0.0045	NA	NA	0.01252	0.01038	0.0103	5.981e-05	NA	0.01375	0.01096	0.004576	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Schlegelella"	"G"	26451	71	7	2	NA	NA	69	48	71	1	NA	9	68	3	0.009881	0.002309	0.0045	NA	NA	0.008	0.005537	0.009881	5.981e-05	NA	0.006876	0.008014	0.006864	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Candidatus Profftella"	"G"	26375	22	7	NA	NA	NA	18	15	21	1	NA	5	22	NA	0.00382	0.002309	NA	NA	NA	0.002087	0.00173	0.002923	5.981e-05	NA	0.00382	0.002593	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Derxia"	"G"	26389	17	7	1	NA	NA	17	9	13	NA	NA	NA	12	NA	0.002309	0.002309	0.00225	NA	NA	0.001971	0.001038	0.001809	NA	NA	NA	0.001414	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"RS62 marine group"	"G"	26442	70	7	4	NA	NA	63	70	70	2	NA	8	66	1	0.009742	0.002309	0.009001	NA	NA	0.007304	0.008074	0.009742	0.0001196	NA	0.006112	0.007778	0.002288	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"[Polyangium] brachysporum group"	"G"	26469	44	6	3	NA	NA	44	39	43	2	NA	4	44	1	0.006751	0.001979	0.006751	NA	NA	0.005101	0.004499	0.005984	0.0001196	NA	0.003056	0.005186	0.002288	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Tepidimonas"	"G"	26458	23	6	NA	NA	NA	14	23	22	4	NA	NA	21	2	0.004576	0.001979	NA	NA	NA	0.001623	0.002653	0.003062	0.0002392	NA	NA	0.002475	0.004576	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Malikia"	"G"	26413	48	6	1	NA	NA	48	29	33	NA	NA	6	34	1	0.005565	0.001979	0.00225	NA	NA	0.005565	0.003345	0.004593	NA	NA	0.004584	0.004007	0.002288	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Rivibacter"	"G"	26447	41	6	NA	NA	NA	41	28	30	NA	NA	5	31	1	0.004753	0.001979	NA	NA	NA	0.004753	0.00323	0.004175	NA	NA	0.00382	0.003653	0.002288	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Orrella"	"G"	26420	10	4	NA	NA	NA	7	10	3	NA	NA	2	5	1	0.002288	0.00132	NA	NA	NA	0.0008116	0.001153	0.0004175	NA	NA	0.001528	0.0005893	0.002288	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Candidatus Glomeribacter"	"G"	26372	26	4	1	NA	NA	22	18	24	1	NA	3	26	1	0.00334	0.00132	0.00225	NA	NA	0.002551	0.002076	0.00334	5.981e-05	NA	0.002292	0.003064	0.002288	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"[Aquaspirillum] arcticum group"	"G"	26468	36	4	1	NA	NA	25	15	23	1	NA	2	36	NA	0.004243	0.00132	0.00225	NA	NA	0.002898	0.00173	0.003201	5.981e-05	NA	0.001528	0.004243	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Actimicrobium"	"G"	26356	35	4	1	NA	NA	34	28	35	1	NA	7	35	4	0.009151	0.00132	0.00225	NA	NA	0.003942	0.00323	0.004871	5.981e-05	NA	0.005348	0.004125	0.009151	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Azohydromonas"	"G"	26363	48	4	NA	NA	NA	46	33	26	NA	NA	11	48	1	0.008404	0.00132	NA	NA	NA	0.005333	0.003806	0.003618	NA	NA	0.008404	0.005657	0.002288	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Taylorella"	"G"	26455	37	3	2	NA	NA	31	26	37	NA	NA	1	28	2	0.005149	0.0009897	0.0045	NA	NA	0.003594	0.002999	0.005149	NA	NA	0.000764	0.0033	0.004576	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Pseudacidovorax"	"G"	26438	58	3	1	NA	NA	54	49	42	NA	NA	1	58	2	0.006836	0.0009897	0.00225	NA	NA	0.006261	0.005652	0.005845	NA	NA	0.000764	0.006836	0.004576	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Pseudoduganella"	"G"	26439	24	3	NA	NA	NA	24	14	12	NA	NA	2	20	1	0.002782	0.0009897	NA	NA	NA	0.002782	0.001615	0.00167	NA	NA	0.001528	0.002357	0.002288	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Giesbergeria"	"G"	26395	15	3	1	NA	NA	5	7	4	1	NA	1	15	NA	0.00225	0.0009897	0.00225	NA	NA	0.0005797	0.0008074	0.0005567	5.981e-05	NA	0.000764	0.001768	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Kinneretia"	"G"	26405	15	3	NA	NA	NA	15	10	9	NA	NA	1	10	NA	0.001739	0.0009897	NA	NA	NA	0.001739	0.001153	0.001253	NA	NA	0.000764	0.001179	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Glaciimonas"	"G"	26396	24	3	1	NA	NA	16	16	24	NA	NA	3	14	3	0.006864	0.0009897	0.00225	NA	NA	0.001855	0.001846	0.00334	NA	NA	0.002292	0.00165	0.006864	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Lampropedia"	"G"	26406	34	3	1	NA	NA	34	27	25	NA	NA	3	26	NA	0.003942	0.0009897	0.00225	NA	NA	0.003942	0.003114	0.003479	NA	NA	0.002292	0.003064	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Paralcaligenes"	"G"	26427	8	2	NA	NA	NA	6	6	8	NA	NA	2	8	NA	0.001528	0.0006598	NA	NA	NA	0.0006956	0.0006921	0.001113	NA	NA	0.001528	0.0009428	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Eoetvoesia"	"G"	26392	12	2	NA	NA	NA	8	8	8	NA	NA	NA	12	NA	0.001414	0.0006598	NA	NA	NA	0.0009275	0.0009228	0.001113	NA	NA	NA	0.001414	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Paucimonas"	"G"	26431	5	1	NA	NA	NA	5	2	2	NA	NA	NA	4	NA	0.0005797	0.0003299	NA	NA	NA	0.0005797	0.0002307	0.0002783	NA	NA	NA	0.0004714	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Caldimonas"	"G"	26371	34	1	1	NA	NA	15	23	34	NA	NA	4	25	1	0.004732	0.0003299	0.00225	NA	NA	0.001739	0.002653	0.004732	NA	NA	0.003056	0.002946	0.002288	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Pelistega"	"G"	26432	37	1	NA	NA	NA	13	15	15	NA	NA	4	37	2	0.004576	0.0003299	NA	NA	NA	0.001507	0.00173	0.002088	NA	NA	0.003056	0.004361	0.004576	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Zhizhongheella"	"G"	26467	15	1	1	NA	NA	5	7	15	NA	NA	3	11	NA	0.002292	0.0003299	0.00225	NA	NA	0.0005797	0.0008074	0.002088	NA	NA	0.002292	0.001296	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Mycoavidus"	"G"	26417	9	1	NA	NA	NA	9	1	7	NA	NA	1	9	NA	0.001061	0.0003299	NA	NA	NA	0.001043	0.0001153	0.0009742	NA	NA	0.000764	0.001061	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Rhodocyclaceae"	"F"	26555	2554	467	125	NA	NA	1443	1431	2420	66	NA	325	2554	84	0.3368	0.1541	0.2813	NA	NA	0.1673	0.1651	0.3368	0.003947	NA	0.2483	0.301	0.1922	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales"
"C39"	"G"	26560	145	67	21	NA	NA	69	79	128	1	NA	23	145	16	0.04725	0.0221	0.04725	NA	NA	0.008	0.009112	0.01781	5.981e-05	NA	0.01757	0.01709	0.03661	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Rhodocyclaceae"
