"name"	"taxRank"	"taxID"	"Max"	"kraken2_16s_k21_classification_june_BC01.cladeReads"	"kraken2_16s_k21_classification_june_BC02.cladeReads"	"kraken2_16s_k21_classification_june_BC03.cladeReads"	"kraken2_16s_k21_classification_june_BC04.cladeReads"	"kraken2_16s_k21_classification_june_BC05.cladeReads"	"kraken2_16s_k21_classification_june_BC06.cladeReads"	"kraken2_16s_k21_classification_june_BC07.cladeReads"	"kraken2_16s_k21_classification_june_BC08.cladeReads"	"kraken2_16s_k21_classification_june_BC09.cladeReads"	"kraken2_16s_k21_classification_june_BC10.cladeReads"	"kraken2_16s_k21_classification_june_BC11.cladeReads"	"kraken2_16s_k21_classification_june_BC12.cladeReads"	"Max.1"	"kraken2_16s_k21_classification_june_BC01.cladeReads.."	"kraken2_16s_k21_classification_june_BC02.cladeReads.."	"kraken2_16s_k21_classification_june_BC03.cladeReads.."	"kraken2_16s_k21_classification_june_BC04.cladeReads.."	"kraken2_16s_k21_classification_june_BC05.cladeReads.."	"kraken2_16s_k21_classification_june_BC06.cladeReads.."	"kraken2_16s_k21_classification_june_BC07.cladeReads.."	"kraken2_16s_k21_classification_june_BC08.cladeReads.."	"kraken2_16s_k21_classification_june_BC09.cladeReads.."	"kraken2_16s_k21_classification_june_BC10.cladeReads.."	"kraken2_16s_k21_classification_june_BC11.cladeReads.."	"kraken2_16s_k21_classification_june_BC12.cladeReads.."	"lineage"
"Thermomonas"	"G"	3820	20	5	NA	2	NA	20	NA	NA	NA	NA	NA	4	NA	0.01183	0.002905	NA	0.001423	NA	0.01183	NA	NA	NA	NA	NA	0.004981	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Xanthomonadales>Xanthomonadaceae"
"uncultured"	"G"	3824	6	5	NA	6	NA	4	NA	NA	NA	NA	NA	1	NA	0.004268	0.002905	NA	0.004268	NA	0.002366	NA	NA	NA	NA	NA	0.001245	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Xanthomonadales>Xanthomonadaceae"
"Pseudoxanthomonas"	"G"	3813	11	2	NA	1	NA	11	NA	NA	NA	NA	NA	7	NA	0.008717	0.001162	NA	0.0007114	NA	0.006506	NA	NA	NA	NA	NA	0.008717	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Xanthomonadales>Xanthomonadaceae"
"Xanthomonas"	"G"	3822	2	2	NA	1	NA	1	NA	NA	NA	NA	NA	2	NA	0.002491	0.001162	NA	0.0007114	NA	0.0005915	NA	NA	NA	NA	NA	0.002491	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Xanthomonadales>Xanthomonadaceae"
"Vulcaniibacterium"	"G"	14689	1	1	NA	1	NA	1	NA	NA	NA	NA	NA	1	NA	0.001245	0.000581	NA	0.0007114	NA	0.0005915	NA	NA	NA	NA	NA	0.001245	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Xanthomonadales>Xanthomonadaceae"
"Rhodanobacteraceae"	"F"	26864	54	37	NA	54	NA	43	NA	NA	1	NA	NA	42	NA	0.0523	0.0215	NA	0.03842	NA	0.02543	NA	NA	0.0005905	NA	NA	0.0523	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Xanthomonadales"
"uncultured"	"G"	26880	38	27	NA	26	NA	38	NA	NA	NA	NA	NA	34	NA	0.04234	0.01569	NA	0.0185	NA	0.02248	NA	NA	NA	NA	NA	0.04234	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Xanthomonadales>Rhodanobacteraceae"
"Dokdonella"	"G"	26868	14	5	NA	14	NA	3	NA	NA	NA	NA	NA	2	NA	0.00996	0.002905	NA	0.00996	NA	0.001774	NA	NA	NA	NA	NA	0.002491	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Xanthomonadales>Rhodanobacteraceae"
"Rhodanobacter"	"G"	26877	5	3	NA	5	NA	1	NA	NA	NA	NA	NA	1	NA	0.003557	0.001743	NA	0.003557	NA	0.0005915	NA	NA	NA	NA	NA	0.001245	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Xanthomonadales>Rhodanobacteraceae"
"Tahibacter"	"G"	26879	3	1	NA	3	NA	1	NA	NA	NA	NA	NA	NA	NA	0.002134	0.000581	NA	0.002134	NA	0.0005915	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Xanthomonadales>Rhodanobacteraceae"
"uncultured"	"F"	3830	5	2	NA	1	NA	5	NA	NA	NA	NA	NA	1	NA	0.002957	0.001162	NA	0.0007114	NA	0.002957	NA	NA	NA	NA	NA	0.001245	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Xanthomonadales"
"Diplorickettsiales"	"O"	26616	721	70	1	56	NA	721	NA	NA	5	NA	NA	364	NA	0.4533	0.04067	0.01779	0.03984	NA	0.4264	NA	NA	0.002952	NA	NA	0.4533	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Diplorickettsiaceae"	"F"	26617	721	70	1	56	NA	721	NA	NA	5	NA	NA	364	NA	0.4533	0.04067	0.01779	0.03984	NA	0.4264	NA	NA	0.002952	NA	NA	0.4533	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Diplorickettsiales"
"Rickettsiella"	"G"	26620	710	56	1	32	NA	710	NA	NA	5	NA	NA	351	NA	0.4371	0.03253	0.01779	0.02276	NA	0.4199	NA	NA	0.002952	NA	NA	0.4371	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Diplorickettsiales>Diplorickettsiaceae"
"uncultured"	"G"	26621	11	8	NA	10	NA	8	NA	NA	NA	NA	NA	11	NA	0.0137	0.004648	NA	0.007114	NA	0.004732	NA	NA	NA	NA	NA	0.0137	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Diplorickettsiales>Diplorickettsiaceae"
"Aquicella"	"G"	26618	14	6	NA	14	NA	1	NA	NA	NA	NA	NA	2	NA	0.00996	0.003486	NA	0.00996	NA	0.0005915	NA	NA	NA	NA	NA	0.002491	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Diplorickettsiales>Diplorickettsiaceae"
"Pseudomonadales"	"O"	3709	1302	44	6	31	NA	75	NA	NA	1302	NA	NA	411	NA	0.7688	0.02556	0.1068	0.02205	NA	0.04436	NA	NA	0.7688	NA	NA	0.5118	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Pseudomonadaceae"	"F"	3718	1300	32	6	19	NA	48	NA	NA	1300	NA	NA	237	NA	0.7676	0.01859	0.1068	0.01352	NA	0.02839	NA	NA	0.7676	NA	NA	0.2951	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales"
"Pseudomonas"	"G"	3723	1300	32	6	19	NA	48	NA	NA	1300	NA	NA	235	NA	0.7676	0.01859	0.1068	0.01352	NA	0.02839	NA	NA	0.7676	NA	NA	0.2927	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae"
"Moraxellaceae"	"F"	3710	174	12	NA	12	NA	27	NA	NA	2	NA	NA	174	NA	0.2167	0.006972	NA	0.008537	NA	0.01597	NA	NA	0.001181	NA	NA	0.2167	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales"
"[Agitococcus] lubricus group"	"G"	14681	7	5	NA	7	NA	2	NA	NA	NA	NA	NA	5	NA	0.006227	0.002905	NA	0.00498	NA	0.001183	NA	NA	NA	NA	NA	0.006227	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Moraxellaceae"
"Acinetobacter"	"G"	3711	86	4	NA	4	NA	9	NA	NA	NA	NA	NA	86	NA	0.1071	0.002324	NA	0.002846	NA	0.005323	NA	NA	NA	NA	NA	0.1071	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Moraxellaceae"
"uncultured"	"G"	3717	25	2	NA	1	NA	9	NA	NA	1	NA	NA	25	NA	0.03113	0.001162	NA	0.0007114	NA	0.005323	NA	NA	0.0005905	NA	NA	0.03113	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Moraxellaceae"
"Fluviicoccus"	"G"	14680	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	1	NA	0.001245	0.000581	NA	NA	NA	0.0005915	NA	NA	NA	NA	NA	0.001245	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Moraxellaceae"
"Alteromonadales"	"O"	3333	108	28	NA	14	NA	43	NA	NA	1	NA	NA	108	NA	0.1345	0.01627	NA	0.00996	NA	0.02543	NA	NA	0.0005905	NA	NA	0.1345	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Alteromonadaceae"	"F"	3334	98	23	NA	13	NA	40	NA	NA	1	NA	NA	98	NA	0.122	0.01336	NA	0.009248	NA	0.02366	NA	NA	0.0005905	NA	NA	0.122	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Alteromonadales"
"Rheinheimera"	"G"	26307	92	20	NA	11	NA	39	NA	NA	NA	NA	NA	92	NA	0.1146	0.01162	NA	0.007825	NA	0.02307	NA	NA	NA	NA	NA	0.1146	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Alteromonadales>Alteromonadaceae"
"Alishewanella"	"G"	3338	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	0.003736	0.000581	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.003736	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Alteromonadales>Alteromonadaceae"
"uncultured"	"G"	3375	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000581	0.000581	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Alteromonadales>Alteromonadaceae"
"Shewanellaceae"	"F"	3399	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001245	0.001162	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001245	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Alteromonadales"
"Shewanella"	"G"	3400	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001245	0.001162	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001245	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Alteromonadales>Shewanellaceae"
"Pseudoalteromonadaceae"	"F"	3392	5	1	NA	1	NA	1	NA	NA	NA	NA	NA	5	NA	0.006227	0.000581	NA	0.0007114	NA	0.0005915	NA	NA	NA	NA	NA	0.006227	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Alteromonadales"
"Pseudoalteromonas"	"G"	3394	5	1	NA	1	NA	1	NA	NA	NA	NA	NA	5	NA	0.006227	0.000581	NA	0.0007114	NA	0.0005915	NA	NA	NA	NA	NA	0.006227	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Alteromonadales>Pseudoalteromonadaceae"
"Aeromonadales"	"O"	3316	454	21	NA	5	NA	55	NA	NA	3	NA	NA	454	NA	0.5654	0.0122	NA	0.003557	NA	0.03253	NA	NA	0.001771	NA	NA	0.5654	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Aeromonadaceae"	"F"	3317	450	20	NA	5	NA	55	NA	NA	3	NA	NA	450	NA	0.5604	0.01162	NA	0.003557	NA	0.03253	NA	NA	0.001771	NA	NA	0.5604	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Aeromonadales"
"Aeromonas"	"G"	3318	237	11	NA	3	NA	49	NA	NA	1	NA	NA	237	NA	0.2951	0.006391	NA	0.002134	NA	0.02898	NA	NA	0.0005905	NA	NA	0.2951	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Aeromonadales>Aeromonadaceae"
"Tolumonas"	"G"	3321	208	8	NA	2	NA	6	NA	NA	2	NA	NA	208	NA	0.259	0.004648	NA	0.001423	NA	0.003549	NA	NA	0.001181	NA	NA	0.259	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Aeromonadales>Aeromonadaceae"
"Succinivibrionaceae"	"F"	3326	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	0.003736	0.000581	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.003736	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Aeromonadales"
"Succinivibrio"	"G"	3331	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	0.002491	0.000581	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.002491	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Aeromonadales>Succinivibrionaceae"
"Steroidobacterales"	"O"	26825	61	13	NA	3	NA	41	NA	NA	1	NA	NA	61	NA	0.07597	0.007553	NA	0.002134	NA	0.02425	NA	NA	0.0005905	NA	NA	0.07597	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Steroidobacteraceae"	"F"	26826	60	12	NA	3	NA	40	NA	NA	1	NA	NA	60	NA	0.07472	0.006972	NA	0.002134	NA	0.02366	NA	NA	0.0005905	NA	NA	0.07472	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Steroidobacterales"
"uncultured"	"G"	26829	56	11	NA	3	NA	39	NA	NA	1	NA	NA	56	NA	0.06974	0.006391	NA	0.002134	NA	0.02307	NA	NA	0.0005905	NA	NA	0.06974	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Steroidobacterales>Steroidobacteraceae"
"Steroidobacter"	"G"	26828	3	1	NA	NA	NA	1	NA	NA	NA	NA	NA	3	NA	0.003736	0.000581	NA	NA	NA	0.0005915	NA	NA	NA	NA	NA	0.003736	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Steroidobacterales>Steroidobacteraceae"
"Woeseiaceae"	"F"	26830	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	1	NA	0.001245	0.000581	NA	NA	NA	0.0005915	NA	NA	NA	NA	NA	0.001245	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Steroidobacterales"
"Woeseia"	"G"	26832	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	1	NA	0.001245	0.000581	NA	NA	NA	0.0005915	NA	NA	NA	NA	NA	0.001245	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Steroidobacterales>Woeseiaceae"
"Gammaproteobacteria Incertae Sedis"	"O"	3535	37	10	NA	13	NA	37	NA	NA	1	NA	NA	36	NA	0.04483	0.00581	NA	0.009248	NA	0.02188	NA	NA	0.0005905	NA	NA	0.04483	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Unknown Family"	"F"	3536	37	10	NA	13	NA	37	NA	NA	1	NA	NA	36	NA	0.04483	0.00581	NA	0.009248	NA	0.02188	NA	NA	0.0005905	NA	NA	0.04483	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Gammaproteobacteria&nbsp;Incertae&nbsp;Sedis"
"uncultured"	"G"	14661	23	3	NA	2	NA	21	NA	NA	NA	NA	NA	23	NA	0.02864	0.001743	NA	0.001423	NA	0.01242	NA	NA	NA	NA	NA	0.02864	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Gammaproteobacteria&nbsp;Incertae&nbsp;Sedis>Unknown&nbsp;Family"
"Candidatus Berkiella"	"G"	26663	3	3	NA	3	NA	NA	NA	NA	NA	NA	NA	2	NA	0.002491	0.001743	NA	0.002134	NA	NA	NA	NA	NA	NA	NA	0.002491	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Gammaproteobacteria&nbsp;Incertae&nbsp;Sedis>Unknown&nbsp;Family"
"Acidibacter"	"G"	26661	7	1	NA	3	NA	2	NA	NA	NA	NA	NA	7	NA	0.008717	0.000581	NA	0.002134	NA	0.001183	NA	NA	NA	NA	NA	0.008717	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Gammaproteobacteria&nbsp;Incertae&nbsp;Sedis>Unknown&nbsp;Family"
"Candidatus Ovatusbacter"	"G"	26665	4	1	NA	1	NA	4	NA	NA	NA	NA	NA	1	NA	0.002366	0.000581	NA	0.0007114	NA	0.002366	NA	NA	NA	NA	NA	0.001245	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Gammaproteobacteria&nbsp;Incertae&nbsp;Sedis>Unknown&nbsp;Family"
"Legionellales"	"O"	3552	30	9	NA	5	NA	29	NA	NA	NA	NA	NA	30	NA	0.03736	0.005229	NA	0.003557	NA	0.01715	NA	NA	NA	NA	NA	0.03736	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Legionellaceae"	"F"	3559	30	9	NA	5	NA	29	NA	NA	NA	NA	NA	30	NA	0.03736	0.005229	NA	0.003557	NA	0.01715	NA	NA	NA	NA	NA	0.03736	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Legionellales"
"Legionella"	"G"	3560	30	9	NA	5	NA	29	NA	NA	NA	NA	NA	30	NA	0.03736	0.005229	NA	0.003557	NA	0.01715	NA	NA	NA	NA	NA	0.03736	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Legionellales>Legionellaceae"
"Oceanospirillales"	"O"	3593	25	6	NA	1	NA	9	NA	NA	NA	NA	NA	25	NA	0.03113	0.003486	NA	0.0007114	NA	0.005323	NA	NA	NA	NA	NA	0.03113	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Pseudohongiellaceae"	"F"	26780	16	4	NA	1	NA	5	NA	NA	NA	NA	NA	16	NA	0.01993	0.002324	NA	0.0007114	NA	0.002957	NA	NA	NA	NA	NA	0.01993	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Oceanospirillales"
"Pseudohongiella"	"G"	26782	12	4	NA	NA	NA	4	NA	NA	NA	NA	NA	12	NA	0.01494	0.002324	NA	NA	NA	0.002366	NA	NA	NA	NA	NA	0.01494	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Oceanospirillales>Pseudohongiellaceae"
"Endozoicomonadaceae"	"F"	26751	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001162	0.001162	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Oceanospirillales"
"Endozoicomonas"	"G"	26752	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001162	0.001162	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Oceanospirillales>Endozoicomonadaceae"
"CCM19a"	"O"	26592	12	5	NA	NA	NA	9	NA	NA	NA	NA	NA	12	NA	0.01494	0.002905	NA	NA	NA	0.005323	NA	NA	NA	NA	NA	0.01494	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Coxiellales"	"O"	26612	6	4	NA	3	NA	1	NA	NA	1	NA	NA	6	NA	0.007472	0.002324	NA	0.002134	NA	0.0005915	NA	NA	0.0005905	NA	NA	0.007472	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Coxiellaceae"	"F"	26613	6	4	NA	3	NA	1	NA	NA	1	NA	NA	6	NA	0.007472	0.002324	NA	0.002134	NA	0.0005915	NA	NA	0.0005905	NA	NA	0.007472	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Coxiellales"
"Coxiella"	"G"	26614	6	4	NA	3	NA	1	NA	NA	1	NA	NA	6	NA	0.007472	0.002324	NA	0.002134	NA	0.0005915	NA	NA	0.0005905	NA	NA	0.007472	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Coxiellales>Coxiellaceae"
"Cellvibrionales"	"O"	11512	29	3	1	3	NA	11	NA	NA	NA	NA	NA	29	NA	0.03611	0.001743	0.01779	0.002134	NA	0.006506	NA	NA	NA	NA	NA	0.03611	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Spongiibacteraceae"	"F"	11542	16	2	NA	1	NA	8	NA	NA	NA	NA	NA	16	NA	0.01993	0.001162	NA	0.0007114	NA	0.004732	NA	NA	NA	NA	NA	0.01993	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Cellvibrionales"
"BD1-7 clade"	"G"	11543	16	2	NA	1	NA	8	NA	NA	NA	NA	NA	16	NA	0.01993	0.001162	NA	0.0007114	NA	0.004732	NA	NA	NA	NA	NA	0.01993	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Cellvibrionales>Spongiibacteraceae"
"Halieaceae"	"F"	11528	3	1	1	2	NA	3	NA	NA	NA	NA	NA	1	NA	0.01779	0.000581	0.01779	0.001423	NA	0.001774	NA	NA	NA	NA	NA	0.001245	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Cellvibrionales"
"OM60(NOR5) clade"	"G"	11534	2	1	NA	1	NA	2	NA	NA	NA	NA	NA	NA	NA	0.001183	0.000581	NA	0.0007114	NA	0.001183	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Cellvibrionales>Halieaceae"
"Thiotrichales"	"O"	3735	17	2	NA	3	NA	2	NA	NA	NA	NA	NA	17	NA	0.02117	0.001162	NA	0.002134	NA	0.001183	NA	NA	NA	NA	NA	0.02117	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Thiotrichaceae"	"F"	3754	17	2	NA	3	NA	2	NA	NA	NA	NA	NA	17	NA	0.02117	0.001162	NA	0.002134	NA	0.001183	NA	NA	NA	NA	NA	0.02117	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Thiotrichales"
"Thiothrix"	"G"	3769	17	2	NA	3	NA	2	NA	NA	NA	NA	NA	17	NA	0.02117	0.001162	NA	0.002134	NA	0.001183	NA	NA	NA	NA	NA	0.02117	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Thiotrichales>Thiotrichaceae"
"PLTA13"	"O"	26796	10	2	NA	1	NA	3	NA	NA	NA	NA	NA	10	NA	0.01245	0.001162	NA	0.0007114	NA	0.001774	NA	NA	NA	NA	NA	0.01245	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Methylococcales"	"O"	3563	2	2	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001245	0.001162	NA	0.0007114	NA	NA	NA	NA	NA	NA	NA	0.001245	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Methylococcaceae"	"F"	3571	1	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0007114	0.000581	NA	0.0007114	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Methylococcales"
"uncultured"	"G"	3586	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000581	0.000581	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Methylococcales>Methylococcaceae"
"Methylomonaceae"	"F"	26694	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001245	0.000581	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001245	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Methylococcales"
"Milano-WF1B-03"	"G"	26709	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000581	0.000581	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Methylococcales>Methylomonaceae"
"Competibacterales"	"O"	26607	2	2	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001245	0.001162	NA	0.0007114	NA	NA	NA	NA	NA	NA	NA	0.001245	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Competibacteraceae"	"F"	26608	2	2	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001245	0.001162	NA	0.0007114	NA	NA	NA	NA	NA	NA	NA	0.001245	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Competibacterales"
"Plasticicumulans"	"G"	26611	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001162	0.001162	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Competibacterales>Competibacteraceae"
"KF-JG30-C25"	"O"	26684	3	2	NA	NA	NA	2	NA	NA	NA	NA	NA	3	NA	0.003736	0.001162	NA	NA	NA	0.001183	NA	NA	NA	NA	NA	0.003736	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Ga0077536"	"O"	26660	1	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0007114	0.000581	NA	0.0007114	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Acidiferrobacterales"	"O"	14615	11	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	NA	0.0137	0.000581	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0137	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Acidiferrobacteraceae"	"F"	14616	11	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	NA	0.0137	0.000581	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0137	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Acidiferrobacterales"
"Sulfurifustis"	"G"	14618	11	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	NA	0.0137	0.000581	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0137	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Acidiferrobacterales>Acidiferrobacteraceae"
"Run-SP154"	"O"	3725	9	1	NA	NA	NA	9	NA	NA	NA	NA	NA	NA	NA	0.005323	0.000581	NA	NA	NA	0.005323	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"EPR3968-O8a-Bc78"	"O"	26622	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000581	0.000581	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Vibrionales"	"O"	3775	5	1	NA	NA	NA	3	NA	NA	5	NA	NA	2	NA	0.002952	0.000581	NA	NA	NA	0.001774	NA	NA	0.002952	NA	NA	0.002491	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Vibrionaceae"	"F"	3776	5	1	NA	NA	NA	3	NA	NA	5	NA	NA	2	NA	0.002952	0.000581	NA	NA	NA	0.001774	NA	NA	0.002952	NA	NA	0.002491	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Vibrionales"
"Vibrio"	"G"	3783	4	1	NA	NA	NA	3	NA	NA	4	NA	NA	2	NA	0.002491	0.000581	NA	NA	NA	0.001774	NA	NA	0.002362	NA	NA	0.002491	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Vibrionales>Vibrionaceae"
"UBA4486"	"O"	26862	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000581	0.000581	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"WD260"	"O"	26863	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000581	0.000581	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Alphaproteobacteria"	"C"	2379	6710	3793	392	1288	NA	6710	2	3	60	1	NA	4828	NA	12.5	2.204	6.975	0.9163	NA	3.969	8	12.5	0.03543	5	NA	6.012	NA	"Bacteria>Proteobacteria"
"Rhodobacterales"	"O"	2557	4288	2217	314	600	NA	4288	1	3	41	1	NA	2405	NA	12.5	1.288	5.587	0.4268	NA	2.536	4	12.5	0.02421	5	NA	2.995	NA	"Bacteria>Proteobacteria>Alphaproteobacteria"
