"name"	"taxRank"	"taxID"	"Max"	"centrifuge_16s_classification_august_BC01.cladeReads"	"centrifuge_16s_classification_august_BC02.cladeReads"	"centrifuge_16s_classification_august_BC03.cladeReads"	"centrifuge_16s_classification_august_BC04.cladeReads"	"centrifuge_16s_classification_august_BC05.cladeReads"	"centrifuge_16s_classification_august_BC06.cladeReads"	"centrifuge_16s_classification_august_BC07.cladeReads"	"centrifuge_16s_classification_august_BC08.cladeReads"	"centrifuge_16s_classification_august_BC09.cladeReads"	"centrifuge_16s_classification_august_BC10.cladeReads"	"centrifuge_16s_classification_august_BC11.cladeReads"	"centrifuge_16s_classification_august_BC12.cladeReads"	"Max.1"	"centrifuge_16s_classification_august_BC01.cladeReads.."	"centrifuge_16s_classification_august_BC02.cladeReads.."	"centrifuge_16s_classification_august_BC03.cladeReads.."	"centrifuge_16s_classification_august_BC04.cladeReads.."	"centrifuge_16s_classification_august_BC05.cladeReads.."	"centrifuge_16s_classification_august_BC06.cladeReads.."	"centrifuge_16s_classification_august_BC07.cladeReads.."	"centrifuge_16s_classification_august_BC08.cladeReads.."	"centrifuge_16s_classification_august_BC09.cladeReads.."	"centrifuge_16s_classification_august_BC10.cladeReads.."	"centrifuge_16s_classification_august_BC11.cladeReads.."	"centrifuge_16s_classification_august_BC12.cladeReads.."	"lineage"
"Diplorickettsia"	"G"	26619	19	1	NA	NA	NA	8	13	19	NA	NA	1	18	NA	0.002447	0.0002939	NA	NA	NA	0.0008504	0.00139	0.002447	NA	NA	0.0006684	0.001957	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Diplorickettsiales>Diplorickettsiaceae"
"Oceanospirillales"	"O"	3593	122	18	4	NA	NA	46	48	69	122	NA	14	55	NA	0.009358	0.00529	0.007727	NA	NA	0.00489	0.005133	0.008888	0.007135	NA	0.009358	0.00598	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Halomonadaceae"	"F"	3610	108	16	4	NA	NA	37	41	58	108	NA	13	38	NA	0.00869	0.004702	0.007727	NA	NA	0.003933	0.004384	0.007471	0.006316	NA	0.00869	0.004131	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Oceanospirillales"
"Halomonas"	"G"	3616	39	8	1	NA	NA	17	25	31	39	NA	9	32	NA	0.006016	0.002351	0.001932	NA	NA	0.001807	0.002673	0.003993	0.002281	NA	0.006016	0.003479	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Oceanospirillales>Halomonadaceae"
"Candidatus Portiera"	"G"	3612	51	5	2	NA	NA	14	11	17	51	NA	2	5	NA	0.003864	0.001469	0.003864	NA	NA	0.001488	0.001176	0.00219	0.002983	NA	0.001337	0.0005436	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Oceanospirillales>Halomonadaceae"
"Chromohalobacter"	"G"	3614	8	2	NA	NA	NA	4	2	4	8	NA	NA	NA	NA	0.0005878	0.0005878	NA	NA	NA	0.0004252	0.0002139	0.0005153	0.0004679	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Oceanospirillales>Halomonadaceae"
"Cobetia"	"G"	3615	3	1	NA	NA	NA	NA	3	NA	NA	NA	1	NA	NA	0.0006684	0.0002939	NA	NA	NA	NA	0.0003208	NA	NA	NA	0.0006684	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Oceanospirillales>Halomonadaceae"
"Alcanivoracaceae"	"F"	3595	3	1	NA	NA	NA	2	3	3	1	NA	NA	3	NA	0.0003864	0.0002939	NA	NA	NA	0.0002126	0.0003208	0.0003864	5.848e-05	NA	NA	0.0003262	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Oceanospirillales"
"Alcanivorax"	"G"	3596	3	1	NA	NA	NA	2	3	3	1	NA	NA	3	NA	0.0003864	0.0002939	NA	NA	NA	0.0002126	0.0003208	0.0003864	5.848e-05	NA	NA	0.0003262	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Oceanospirillales>Alcanivoracaceae"
"Endozoicomonadaceae"	"F"	26751	7	1	NA	NA	NA	4	1	3	2	NA	NA	7	NA	0.000761	0.0002939	NA	NA	NA	0.0004252	0.0001069	0.0003864	0.000117	NA	NA	0.000761	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Oceanospirillales"
"Endozoicomonas"	"G"	26752	5	1	NA	NA	NA	3	1	3	2	NA	NA	5	NA	0.0005436	0.0002939	NA	NA	NA	0.0003189	0.0001069	0.0003864	0.000117	NA	NA	0.0005436	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Oceanospirillales>Endozoicomonadaceae"
"Aeromonadales"	"O"	3316	206	13	NA	NA	NA	30	27	84	186	NA	22	206	NA	0.0224	0.00382	NA	NA	NA	0.003189	0.002887	0.01082	0.01088	NA	0.01471	0.0224	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Aeromonadaceae"	"F"	3317	193	10	NA	NA	NA	19	18	74	147	NA	19	193	NA	0.02098	0.002939	NA	NA	NA	0.00202	0.001925	0.009532	0.008597	NA	0.0127	0.02098	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Aeromonadales"
"Tolumonas"	"G"	3321	184	8	NA	NA	NA	9	8	68	NA	NA	18	184	NA	0.02	0.002351	NA	NA	NA	0.0009567	0.0008555	0.008759	NA	NA	0.01203	0.02	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Aeromonadales>Aeromonadaceae"
"Aeromonas"	"G"	3318	144	2	NA	NA	NA	8	9	6	144	NA	1	8	NA	0.008421	0.0005878	NA	NA	NA	0.0008504	0.0009624	0.0007729	0.008421	NA	0.0006684	0.0008698	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Aeromonadales>Aeromonadaceae"
"Succinivibrionaceae"	"F"	3326	39	3	NA	NA	NA	11	9	10	39	NA	3	13	NA	0.002281	0.0008816	NA	NA	NA	0.001169	0.0009624	0.001288	0.002281	NA	0.002005	0.001413	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Aeromonadales"
"Succinivibrio"	"G"	3331	31	3	NA	NA	NA	8	4	7	31	NA	2	7	NA	0.001813	0.0008816	NA	NA	NA	0.0008504	0.0004277	0.0009017	0.001813	NA	0.001337	0.000761	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Aeromonadales>Succinivibrionaceae"
"Nitrosococcales"	"O"	26732	47	13	3	1	NA	30	47	44	9	NA	3	30	8	0.1155	0.00382	0.005795	0.1155	NA	0.003189	0.005026	0.005668	0.0005263	NA	0.002005	0.003262	0.01654	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Methylophagaceae"	"F"	26733	26	10	1	1	NA	20	26	11	1	NA	NA	10	NA	0.1155	0.002939	0.001932	0.1155	NA	0.002126	0.00278	0.001417	5.848e-05	NA	NA	0.001087	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Nitrosococcales"
"Methylophaga"	"G"	26735	26	10	1	1	NA	20	26	10	1	NA	NA	10	NA	0.1155	0.002939	0.001932	0.1155	NA	0.002126	0.00278	0.001288	5.848e-05	NA	NA	0.001087	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Nitrosococcales>Methylophagaceae"
"Nitrosococcaceae"	"F"	26737	33	3	2	NA	NA	10	21	33	8	NA	3	20	8	0.01654	0.0008816	0.003864	NA	NA	0.001063	0.002246	0.004251	0.0004679	NA	0.002005	0.002174	0.01654	"Bacteria>Proteobacteria>Gammaproteobacteria>Nitrosococcales"
"Cm1-21"	"G"	26742	2	2	2	NA	NA	NA	2	1	NA	NA	NA	2	1	0.003864	0.0005878	0.003864	NA	NA	NA	0.0002139	0.0001288	NA	NA	NA	0.0002174	0.002068	"Bacteria>Proteobacteria>Gammaproteobacteria>Nitrosococcales>Nitrosococcaceae"
"wb1-P19"	"G"	26749	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0002939	0.0002939	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Nitrosococcales>Nitrosococcaceae"
"Gammaproteobacteria Incertae Sedis"	"O"	3535	82	8	2	NA	1	56	61	82	25	NA	1	73	3	0.07364	0.002351	0.003864	NA	0.07364	0.005953	0.006523	0.01056	0.001462	NA	0.0006684	0.007937	0.006203	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Unknown Family"	"F"	3536	82	8	2	NA	1	56	61	82	25	NA	1	73	3	0.07364	0.002351	0.003864	NA	0.07364	0.005953	0.006523	0.01056	0.001462	NA	0.0006684	0.007937	0.006203	"Bacteria>Proteobacteria>Gammaproteobacteria>Gammaproteobacteria&nbsp;Incertae&nbsp;Sedis"
"Candidatus Carsonella"	"G"	14656	3	2	1	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	0.001932	0.0005878	0.001932	NA	NA	NA	NA	0.0003864	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Gammaproteobacteria&nbsp;Incertae&nbsp;Sedis>Unknown&nbsp;Family"
"Candidatus Berkiella"	"G"	26663	65	2	1	NA	1	46	53	65	1	NA	1	56	2	0.07364	0.0005878	0.001932	NA	0.07364	0.00489	0.005667	0.008373	5.848e-05	NA	0.0006684	0.006088	0.004135	"Bacteria>Proteobacteria>Gammaproteobacteria>Gammaproteobacteria&nbsp;Incertae&nbsp;Sedis>Unknown&nbsp;Family"
"Wenzhouxiangella"	"G"	14660	1	1	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	0.0002939	0.0002939	NA	NA	NA	0.0001063	NA	0.0001288	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Gammaproteobacteria&nbsp;Incertae&nbsp;Sedis>Unknown&nbsp;Family"
"Legionellales"	"O"	3552	43	5	NA	NA	NA	13	10	43	5	NA	1	29	NA	0.005539	0.001469	NA	NA	NA	0.001382	0.001069	0.005539	0.0002924	NA	0.0006684	0.003153	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Legionellaceae"	"F"	3559	43	5	NA	NA	NA	13	10	43	5	NA	1	29	NA	0.005539	0.001469	NA	NA	NA	0.001382	0.001069	0.005539	0.0002924	NA	0.0006684	0.003153	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Legionellales"
"Legionella"	"G"	3560	42	4	NA	NA	NA	13	10	42	5	NA	1	29	NA	0.00541	0.001176	NA	NA	NA	0.001382	0.001069	0.00541	0.0002924	NA	0.0006684	0.003153	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Legionellales>Legionellaceae"
"uncultured"	"G"	3561	1	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	0.0002939	0.0002939	NA	NA	NA	NA	NA	0.0001288	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Legionellales>Legionellaceae"
"Methylococcales"	"O"	3563	16	5	NA	NA	NA	9	15	12	3	NA	NA	16	1	0.002068	0.001469	NA	NA	NA	0.0009567	0.001604	0.001546	0.0001754	NA	NA	0.00174	0.002068	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Methylococcaceae"	"F"	3571	8	3	NA	NA	NA	3	8	3	NA	NA	NA	2	NA	0.0008816	0.0008816	NA	NA	NA	0.0003189	0.0008555	0.0003864	NA	NA	NA	0.0002174	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Methylococcales"
"Methylocaldum"	"G"	3573	5	2	NA	NA	NA	2	5	2	NA	NA	NA	1	NA	0.0005878	0.0005878	NA	NA	NA	0.0002126	0.0005347	0.0002576	NA	NA	NA	0.0001087	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Methylococcales>Methylococcaceae"
"Methylohalobiaceae"	"F"	26690	2	1	NA	NA	NA	NA	2	2	NA	NA	NA	1	NA	0.0002939	0.0002939	NA	NA	NA	NA	0.0002139	0.0002576	NA	NA	NA	0.0001087	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Methylococcales"
"Methylothermus"	"G"	26693	2	1	NA	NA	NA	NA	2	1	NA	NA	NA	1	NA	0.0002939	0.0002939	NA	NA	NA	NA	0.0002139	0.0001288	NA	NA	NA	0.0001087	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Methylococcales>Methylohalobiaceae"
"Methylomonaceae"	"F"	26694	13	1	NA	NA	NA	5	5	7	3	NA	NA	13	1	0.002068	0.0002939	NA	NA	NA	0.0005315	0.0005347	0.0009017	0.0001754	NA	NA	0.001413	0.002068	"Bacteria>Proteobacteria>Gammaproteobacteria>Methylococcales"
"Methylomonas"	"G"	26703	12	1	NA	NA	NA	1	2	5	NA	NA	NA	12	1	0.002068	0.0002939	NA	NA	NA	0.0001063	0.0002139	0.0006441	NA	NA	NA	0.001305	0.002068	"Bacteria>Proteobacteria>Gammaproteobacteria>Methylococcales>Methylomonaceae"
"Vibrionales"	"O"	3775	68	5	1	1	NA	22	13	12	68	NA	1	5	NA	0.1155	0.001469	0.001932	0.1155	NA	0.002338	0.00139	0.001546	0.003977	NA	0.0006684	0.0005436	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Vibrionaceae"	"F"	3776	68	5	1	1	NA	22	13	12	68	NA	1	5	NA	0.1155	0.001469	0.001932	0.1155	NA	0.002338	0.00139	0.001546	0.003977	NA	0.0006684	0.0005436	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Vibrionales"
"Vibrio"	"G"	3783	57	4	1	1	NA	22	13	11	57	NA	1	5	NA	0.1155	0.001176	0.001932	0.1155	NA	0.002338	0.00139	0.001417	0.003333	NA	0.0006684	0.0005436	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Vibrionales>Vibrionaceae"
"Aliivibrio"	"G"	3777	4	1	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	0.0002939	0.0002939	NA	NA	NA	NA	NA	NA	0.0002339	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Vibrionales>Vibrionaceae"
"EPR3968-O8a-Bc78"	"O"	26622	6	5	1	NA	NA	6	1	2	1	NA	NA	5	NA	0.001932	0.001469	0.001932	NA	NA	0.0006378	0.0001069	0.0002576	5.848e-05	NA	NA	0.0005436	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Thiotrichales"	"O"	3735	13	4	1	NA	NA	13	13	5	2	NA	1	7	2	0.004135	0.001176	0.001932	NA	NA	0.001382	0.00139	0.0006441	0.000117	NA	0.0006684	0.000761	0.004135	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Thiotrichaceae"	"F"	3754	13	4	1	NA	NA	13	13	5	2	NA	1	7	2	0.004135	0.001176	0.001932	NA	NA	0.001382	0.00139	0.0006441	0.000117	NA	0.0006684	0.000761	0.004135	"Bacteria>Proteobacteria>Gammaproteobacteria>Thiotrichales"
"Thiothrix"	"G"	3769	13	4	1	NA	NA	13	13	5	1	NA	1	5	2	0.004135	0.001176	0.001932	NA	NA	0.001382	0.00139	0.0006441	5.848e-05	NA	0.0006684	0.0005436	0.004135	"Bacteria>Proteobacteria>Gammaproteobacteria>Thiotrichales>Thiotrichaceae"
"R7C24"	"O"	26806	177	4	NA	NA	NA	112	123	177	3	NA	5	109	10	0.0228	0.001176	NA	NA	NA	0.01191	0.01315	0.0228	0.0001754	NA	0.003342	0.01185	0.02068	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Cellvibrionales"	"O"	11512	19	3	1	NA	NA	19	9	13	19	NA	1	11	1	0.002068	0.0008816	0.001932	NA	NA	0.00202	0.0009624	0.001675	0.001111	NA	0.0006684	0.001196	0.002068	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Halieaceae"	"F"	11528	9	2	1	NA	NA	7	5	9	2	NA	NA	6	1	0.002068	0.0005878	0.001932	NA	NA	0.0007441	0.0005347	0.001159	0.000117	NA	NA	0.0006523	0.002068	"Bacteria>Proteobacteria>Gammaproteobacteria>Cellvibrionales"
"Halioglobus"	"G"	11532	5	2	NA	NA	NA	1	5	2	NA	NA	NA	1	NA	0.0005878	0.0005878	NA	NA	NA	0.0001063	0.0005347	0.0002576	NA	NA	NA	0.0001087	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Cellvibrionales>Halieaceae"
"Porticoccaceae"	"F"	11538	14	1	NA	NA	NA	12	3	4	14	NA	1	4	NA	0.001276	0.0002939	NA	NA	NA	0.001276	0.0003208	0.0005153	0.0008187	NA	0.0006684	0.0004349	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Cellvibrionales"
"Porticoccus"	"G"	11540	10	1	NA	NA	NA	10	3	4	10	NA	1	4	NA	0.001063	0.0002939	NA	NA	NA	0.001063	0.0003208	0.0005153	0.0005848	NA	0.0006684	0.0004349	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Cellvibrionales>Porticoccaceae"
"uncultured"	"O"	14692	32	3	NA	NA	NA	16	17	32	3	NA	1	17	NA	0.004122	0.0008816	NA	NA	NA	0.001701	0.001818	0.004122	0.0001754	NA	0.0006684	0.001848	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Steroidobacterales"	"O"	26825	43	3	1	NA	NA	39	36	37	11	NA	2	43	8	0.01654	0.0008816	0.001932	NA	NA	0.004145	0.00385	0.004766	0.0006433	NA	0.001337	0.004675	0.01654	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Steroidobacteraceae"	"F"	26826	40	3	1	NA	NA	36	33	31	6	NA	2	40	8	0.01654	0.0008816	0.001932	NA	NA	0.003827	0.003529	0.003993	0.0003509	NA	0.001337	0.004349	0.01654	"Bacteria>Proteobacteria>Gammaproteobacteria>Steroidobacterales"
"uncultured"	"G"	26829	12	3	1	NA	NA	6	7	10	2	NA	NA	12	3	0.006203	0.0008816	0.001932	NA	NA	0.0006378	0.0007485	0.001288	0.000117	NA	NA	0.001305	0.006203	"Bacteria>Proteobacteria>Gammaproteobacteria>Steroidobacterales>Steroidobacteraceae"
"Thiomicrospirales"	"O"	26843	12	3	NA	NA	NA	5	5	10	9	NA	2	12	NA	0.001337	0.0008816	NA	NA	NA	0.0005315	0.0005347	0.001288	0.0005263	NA	0.001337	0.001305	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Thiomicrospiraceae"	"F"	26852	11	2	NA	NA	NA	2	5	9	9	NA	1	11	NA	0.001196	0.0005878	NA	NA	NA	0.0002126	0.0005347	0.001159	0.0005263	NA	0.0006684	0.001196	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Thiomicrospirales"
"Thiomicrospira"	"G"	26857	11	2	NA	NA	NA	2	5	8	6	NA	1	11	NA	0.001196	0.0005878	NA	NA	NA	0.0002126	0.0005347	0.001031	0.0003509	NA	0.0006684	0.001196	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Thiomicrospirales>Thiomicrospiraceae"
"Thioglobaceae"	"F"	26844	3	1	NA	NA	NA	3	NA	1	NA	NA	1	1	NA	0.0006684	0.0002939	NA	NA	NA	0.0003189	NA	0.0001288	NA	NA	0.0006684	0.0001087	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Thiomicrospirales"
"SUP05 cluster"	"G"	26850	2	1	NA	NA	NA	2	NA	1	NA	NA	NA	NA	NA	0.0002939	0.0002939	NA	NA	NA	0.0002126	NA	0.0001288	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Thiomicrospirales>Thioglobaceae"
"Chromatiales"	"O"	3415	8	2	1	NA	NA	NA	3	3	8	NA	1	4	1	0.002068	0.0005878	0.001932	NA	NA	NA	0.0003208	0.0003864	0.0004679	NA	0.0006684	0.0004349	0.002068	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Chromatiaceae"	"F"	3416	8	2	1	NA	NA	NA	3	3	8	NA	NA	2	1	0.002068	0.0005878	0.001932	NA	NA	NA	0.0003208	0.0003864	0.0004679	NA	NA	0.0002174	0.002068	"Bacteria>Proteobacteria>Gammaproteobacteria>Chromatiales"
"Halochromatium"	"G"	3419	6	1	NA	NA	NA	NA	1	3	6	NA	NA	1	NA	0.0003864	0.0002939	NA	NA	NA	NA	0.0001069	0.0003864	0.0003509	NA	NA	0.0001087	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Chromatiales>Chromatiaceae"
"Thiohalocapsa"	"G"	3435	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0002939	0.0002939	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Chromatiales>Chromatiaceae"
"Arenicellales"	"O"	11508	5	2	NA	NA	NA	NA	5	1	3	NA	NA	2	NA	0.0005878	0.0005878	NA	NA	NA	NA	0.0005347	0.0001288	0.0001754	NA	NA	0.0002174	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Arenicellaceae"	"F"	11509	5	2	NA	NA	NA	NA	5	1	3	NA	NA	2	NA	0.0005878	0.0005878	NA	NA	NA	NA	0.0005347	0.0001288	0.0001754	NA	NA	0.0002174	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Arenicellales"
"uncultured"	"G"	14622	5	2	NA	NA	NA	NA	5	1	3	NA	NA	1	NA	0.0005878	0.0005878	NA	NA	NA	NA	0.0005347	0.0001288	0.0001754	NA	NA	0.0001087	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Arenicellales>Arenicellaceae"
"Coxiellales"	"O"	26612	12	2	NA	NA	NA	6	10	7	6	NA	NA	12	NA	0.001305	0.0005878	NA	NA	NA	0.0006378	0.001069	0.0009017	0.0003509	NA	NA	0.001305	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Coxiellaceae"	"F"	26613	12	2	NA	NA	NA	6	10	7	6	NA	NA	12	NA	0.001305	0.0005878	NA	NA	NA	0.0006378	0.001069	0.0009017	0.0003509	NA	NA	0.001305	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Coxiellales"
"Coxiella"	"G"	26614	12	2	NA	NA	NA	6	10	7	6	NA	NA	12	NA	0.001305	0.0005878	NA	NA	NA	0.0006378	0.001069	0.0009017	0.0003509	NA	NA	0.001305	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Coxiellales>Coxiellaceae"
"Ga0077536"	"O"	26660	9	2	1	NA	NA	5	5	5	1	NA	1	9	NA	0.001932	0.0005878	0.001932	NA	NA	0.0005315	0.0005347	0.0006441	5.848e-05	NA	0.0006684	0.0009785	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Cardiobacteriales"	"O"	3409	9	1	NA	NA	NA	6	8	2	9	NA	1	7	NA	0.0008555	0.0002939	NA	NA	NA	0.0006378	0.0008555	0.0002576	0.0005263	NA	0.0006684	0.000761	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Cardiobacteriaceae"	"F"	3410	9	1	NA	NA	NA	6	8	2	9	NA	1	7	NA	0.0008555	0.0002939	NA	NA	NA	0.0006378	0.0008555	0.0002576	0.0005263	NA	0.0006684	0.000761	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Cardiobacteriales"
"uncultured"	"G"	3414	3	1	NA	NA	NA	2	2	1	NA	NA	1	3	NA	0.0006684	0.0002939	NA	NA	NA	0.0002126	0.0002139	0.0001288	NA	NA	0.0006684	0.0003262	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Cardiobacteriales>Cardiobacteriaceae"
"HOC36"	"O"	3546	15	1	NA	NA	NA	3	4	3	15	NA	NA	3	NA	0.0008772	0.0002939	NA	NA	NA	0.0003189	0.0004277	0.0003864	0.0008772	NA	NA	0.0003262	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Run-SP154"	"O"	3725	1	1	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	0.0002939	0.0002939	NA	NA	NA	0.0001063	NA	0.0001288	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Salinisphaerales"	"O"	3728	13	1	NA	NA	NA	10	13	10	2	NA	NA	11	2	0.004135	0.0002939	NA	NA	NA	0.001063	0.00139	0.001288	0.000117	NA	NA	0.001196	0.004135	"Bacteria>Proteobacteria>Gammaproteobacteria"
"CCD24"	"O"	26591	2	1	NA	NA	NA	NA	1	NA	NA	NA	NA	2	NA	0.0002939	0.0002939	NA	NA	NA	NA	0.0001069	NA	NA	NA	NA	0.0002174	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"CHAB-XI-27"	"O"	26594	5	1	NA	NA	NA	3	5	5	1	NA	NA	2	NA	0.0006441	0.0002939	NA	NA	NA	0.0003189	0.0005347	0.0006441	5.848e-05	NA	NA	0.0002174	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Competibacterales"	"O"	26607	5	1	NA	NA	NA	4	1	1	2	NA	NA	5	NA	0.0005436	0.0002939	NA	NA	NA	0.0004252	0.0001069	0.0001288	0.000117	NA	NA	0.0005436	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Competibacteraceae"	"F"	26608	5	1	NA	NA	NA	4	1	1	2	NA	NA	5	NA	0.0005436	0.0002939	NA	NA	NA	0.0004252	0.0001069	0.0001288	0.000117	NA	NA	0.0005436	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Competibacterales"
"Ectothiorhodospirales"	"O"	26624	5	1	NA	NA	NA	2	5	3	3	NA	1	NA	NA	0.0006684	0.0002939	NA	NA	NA	0.0002126	0.0005347	0.0003864	0.0001754	NA	0.0006684	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Ectothiorhodospiraceae"	"F"	26627	3	1	NA	NA	NA	2	3	3	2	NA	1	NA	NA	0.0006684	0.0002939	NA	NA	NA	0.0002126	0.0003208	0.0003864	0.000117	NA	0.0006684	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Ectothiorhodospirales"
"Thiohalospira"	"G"	26635	1	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0002939	0.0002939	NA	NA	NA	NA	0.0001069	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Ectothiorhodospirales>Ectothiorhodospiraceae"
"Nitrococcales"	"O"	26715	27	1	NA	NA	NA	2	2	3	27	1	2	1	NA	0.1205	0.0002939	NA	NA	NA	0.0002126	0.0002139	0.0003864	0.001579	0.1205	0.001337	0.0001087	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Nitrococcaceae"	"F"	26722	27	1	NA	NA	NA	2	2	1	27	1	2	1	NA	0.1205	0.0002939	NA	NA	NA	0.0002126	0.0002139	0.0001288	0.001579	0.1205	0.001337	0.0001087	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Nitrococcales"
"Arhodomonas"	"G"	26724	27	1	NA	NA	NA	2	2	1	27	1	2	1	NA	0.1205	0.0002939	NA	NA	NA	0.0002126	0.0002139	0.0001288	0.001579	0.1205	0.001337	0.0001087	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Nitrococcales>Nitrococcaceae"
"Tenderiales"	"O"	26834	1	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	0.0006684	0.0002939	NA	NA	NA	NA	NA	NA	NA	NA	0.0006684	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Tenderiaceae"	"F"	26835	1	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	0.0006684	0.0002939	NA	NA	NA	NA	NA	NA	NA	NA	0.0006684	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Tenderiales"
"Candidatus Tenderia"	"G"	26836	1	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	0.0006684	0.0002939	NA	NA	NA	NA	NA	NA	NA	NA	0.0006684	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Tenderiales>Tenderiaceae"
