"name"	"taxRank"	"taxID"	"Max"	"kraken2_classification_june_BC01.cladeReads"	"kraken2_classification_june_BC02.cladeReads"	"kraken2_classification_june_BC03.cladeReads"	"kraken2_classification_june_BC04.cladeReads"	"kraken2_classification_june_BC05.cladeReads"	"kraken2_classification_june_BC06.cladeReads"	"kraken2_classification_june_BC08.cladeReads"	"kraken2_classification_june_BC09.cladeReads"	"kraken2_classification_june_BC10.cladeReads"	"kraken2_classification_june_BC11.cladeReads"	"kraken2_classification_june_BC12.cladeReads"	"Max.1"	"kraken2_classification_june_BC01.cladeReads.."	"kraken2_classification_june_BC02.cladeReads.."	"kraken2_classification_june_BC03.cladeReads.."	"kraken2_classification_june_BC04.cladeReads.."	"kraken2_classification_june_BC05.cladeReads.."	"kraken2_classification_june_BC06.cladeReads.."	"kraken2_classification_june_BC08.cladeReads.."	"kraken2_classification_june_BC09.cladeReads.."	"kraken2_classification_june_BC10.cladeReads.."	"kraken2_classification_june_BC11.cladeReads.."	"kraken2_classification_june_BC12.cladeReads.."	"lineage"
"Salmonella enterica subsp. houtenae str. ATCC BAA-1581"	"-"	523831	840	21	NA	11	NA	16	NA	840	NA	NA	4	NA	0.4617	0.01047	NA	0.006742	NA	0.008227	NA	0.4617	NA	NA	0.004396	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Salmonella>Salmonella&nbsp;enterica>Salmonella&nbsp;enterica&nbsp;subsp.&nbsp;houtenae"
"Salmonella enterica subsp. diarizonae"	"-"	59204	58	2	NA	1	NA	1	NA	58	NA	NA	NA	NA	0.03188	0.0009973	NA	0.000613	NA	0.0005142	NA	0.03188	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Salmonella>Salmonella&nbsp;enterica"
"Candidatus Ishikawaella"	"G"	409304	78	77	1	60	NA	60	NA	78	NA	NA	16	NA	0.04287	0.03839	0.01356	0.03678	NA	0.03085	NA	0.04287	NA	NA	0.01758	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae"
"Candidatus Ishikawaella capsulata"	"S"	168169	78	77	1	60	NA	60	NA	78	NA	NA	16	NA	0.04287	0.03839	0.01356	0.03678	NA	0.03085	NA	0.04287	NA	NA	0.01758	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Candidatus&nbsp;Ishikawaella"
"Candidatus Ishikawaella capsulata Mpkobe"	"-"	476281	78	77	1	60	NA	60	NA	78	NA	NA	16	NA	0.04287	0.03839	0.01356	0.03678	NA	0.03085	NA	0.04287	NA	NA	0.01758	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Candidatus&nbsp;Ishikawaella>Candidatus&nbsp;Ishikawaella&nbsp;capsulata"
"unclassified Enterobacteriaceae"	"-"	191675	217	21	1	23	NA	20	NA	217	NA	NA	14	NA	0.1193	0.01047	0.01356	0.0141	NA	0.01028	NA	0.1193	NA	NA	0.01538	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae"
"ant, tsetse, mealybug, aphid, etc. endosymbionts"	"-"	84563	145	14	1	14	NA	13	NA	145	NA	NA	10	NA	0.0797	0.006981	0.01356	0.008581	NA	0.006684	NA	0.0797	NA	NA	0.01099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>unclassified&nbsp;Enterobacteriaceae"
"Candidatus Purcelliella"	"G"	472825	7	6	NA	7	NA	4	NA	2	NA	NA	1	NA	0.004291	0.002992	NA	0.004291	NA	0.002057	NA	0.001099	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>unclassified&nbsp;Enterobacteriaceae>ant,&nbsp;tsetse,&nbsp;mealybug,&nbsp;aphid,&nbsp;etc.&nbsp;endosymbionts"
"Candidatus Purcelliella pentastirinorum"	"S"	472834	7	6	NA	7	NA	4	NA	2	NA	NA	1	NA	0.004291	0.002992	NA	0.004291	NA	0.002057	NA	0.001099	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>unclassified&nbsp;Enterobacteriaceae>ant,&nbsp;tsetse,&nbsp;mealybug,&nbsp;aphid,&nbsp;etc.&nbsp;endosymbionts>Candidatus&nbsp;Purcelliella"
"mealybug secondary endosymbionts"	"-"	199891	5	5	NA	3	NA	4	NA	4	NA	NA	1	NA	0.002493	0.002493	NA	0.001839	NA	0.002057	NA	0.002199	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>unclassified&nbsp;Enterobacteriaceae>ant,&nbsp;tsetse,&nbsp;mealybug,&nbsp;aphid,&nbsp;etc.&nbsp;endosymbionts"
"secondary endosymbiont of Trabutina mannipara"	"S"	1835721	5	5	NA	3	NA	4	NA	4	NA	NA	1	NA	0.002493	0.002493	NA	0.001839	NA	0.002057	NA	0.002199	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>unclassified&nbsp;Enterobacteriaceae>ant,&nbsp;tsetse,&nbsp;mealybug,&nbsp;aphid,&nbsp;etc.&nbsp;endosymbionts>mealybug&nbsp;secondary&nbsp;endosymbionts"
"ant endosymbionts"	"-"	84564	13	1	NA	NA	NA	1	NA	13	NA	NA	4	NA	0.007146	0.0004986	NA	NA	NA	0.0005142	NA	0.007146	NA	NA	0.004396	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>unclassified&nbsp;Enterobacteriaceae>ant,&nbsp;tsetse,&nbsp;mealybug,&nbsp;aphid,&nbsp;etc.&nbsp;endosymbionts"
"Candidatus Blochmannia"	"G"	203804	13	1	NA	NA	NA	1	NA	13	NA	NA	4	NA	0.007146	0.0004986	NA	NA	NA	0.0005142	NA	0.007146	NA	NA	0.004396	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>unclassified&nbsp;Enterobacteriaceae>ant,&nbsp;tsetse,&nbsp;mealybug,&nbsp;aphid,&nbsp;etc.&nbsp;endosymbionts>ant&nbsp;endosymbionts"
"unclassified Candidatus Blochmannia endosymbionts"	"-"	711328	8	1	NA	NA	NA	NA	NA	8	NA	NA	3	NA	0.004397	0.0004986	NA	NA	NA	NA	NA	0.004397	NA	NA	0.003297	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>unclassified&nbsp;Enterobacteriaceae>ant,&nbsp;tsetse,&nbsp;mealybug,&nbsp;aphid,&nbsp;etc.&nbsp;endosymbionts>ant&nbsp;endosymbionts>Candidatus&nbsp;Blochmannia"
"Blochmannia endosymbiont of Polyrhachis (Hedomyrma) turneri"	"S"	1505596	4	1	NA	NA	NA	NA	NA	4	NA	NA	3	NA	0.003297	0.0004986	NA	NA	NA	NA	NA	0.002199	NA	NA	0.003297	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>unclassified&nbsp;Enterobacteriaceae>ant,&nbsp;tsetse,&nbsp;mealybug,&nbsp;aphid,&nbsp;etc.&nbsp;endosymbionts>ant&nbsp;endosymbionts>Candidatus&nbsp;Blochmannia>unclassified&nbsp;Candidatus&nbsp;Blochmannia&nbsp;endosymbionts"
"Candidatus Hoaglandella"	"G"	1906659	7	1	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	0.003848	0.0004986	NA	NA	NA	NA	NA	0.003848	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>unclassified&nbsp;Enterobacteriaceae>ant,&nbsp;tsetse,&nbsp;mealybug,&nbsp;aphid,&nbsp;etc.&nbsp;endosymbionts"
"Candidatus Hoaglandella endobia"	"S"	1778263	7	1	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	0.003848	0.0004986	NA	NA	NA	NA	NA	0.003848	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>unclassified&nbsp;Enterobacteriaceae>ant,&nbsp;tsetse,&nbsp;mealybug,&nbsp;aphid,&nbsp;etc.&nbsp;endosymbionts>Candidatus&nbsp;Hoaglandella"
"Candidatus Mikella"	"G"	1906660	10	1	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	0.005497	0.0004986	NA	NA	NA	NA	NA	0.005497	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>unclassified&nbsp;Enterobacteriaceae>ant,&nbsp;tsetse,&nbsp;mealybug,&nbsp;aphid,&nbsp;etc.&nbsp;endosymbionts"
"Candidatus Mikella endobia"	"S"	1778264	10	1	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	0.005497	0.0004986	NA	NA	NA	NA	NA	0.005497	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>unclassified&nbsp;Enterobacteriaceae>ant,&nbsp;tsetse,&nbsp;mealybug,&nbsp;aphid,&nbsp;etc.&nbsp;endosymbionts>Candidatus&nbsp;Mikella"
"unclassified Enterobacteriaceae (miscellaneous)"	"-"	36866	72	7	NA	9	NA	7	NA	72	NA	NA	4	NA	0.03958	0.00349	NA	0.005517	NA	0.003599	NA	0.03958	NA	NA	0.004396	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>unclassified&nbsp;Enterobacteriaceae"
"Plautia stali symbiont"	"S"	891974	65	6	NA	9	NA	6	NA	65	NA	NA	1	NA	0.03573	0.002992	NA	0.005517	NA	0.003085	NA	0.03573	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>unclassified&nbsp;Enterobacteriaceae>unclassified&nbsp;Enterobacteriaceae&nbsp;(miscellaneous)"
"Enterobacteriaceae bacterium strain FGI 57"	"S"	693444	2	1	NA	NA	NA	NA	NA	1	NA	NA	2	NA	0.002198	0.0004986	NA	NA	NA	NA	NA	0.0005497	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>unclassified&nbsp;Enterobacteriaceae>unclassified&nbsp;Enterobacteriaceae&nbsp;(miscellaneous)"
"Enterobacter"	"G"	547	2577	20	1	13	1	22	1	2577	1	NA	29	1	1.417	0.009973	0.01356	0.007968	0.625	0.01131	0.6757	1.417	0.9174	NA	0.03187	0.5435	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae"
"Enterobacter cloacae complex"	"-"	354276	1775	15	1	7	NA	14	NA	1775	1	NA	20	NA	0.9757	0.00748	0.01356	0.004291	NA	0.007198	NA	0.9757	0.9174	NA	0.02198	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Enterobacter"
"Enterobacter ludwigii"	"S"	299767	823	6	NA	1	NA	1	NA	823	NA	NA	3	NA	0.4524	0.002992	NA	0.000613	NA	0.0005142	NA	0.4524	NA	NA	0.003297	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Enterobacter>Enterobacter&nbsp;cloacae&nbsp;complex"
"Enterobacter cloacae"	"S"	550	708	5	1	4	NA	7	NA	708	1	NA	9	NA	0.9174	0.002493	0.01356	0.002452	NA	0.003599	NA	0.3892	0.9174	NA	0.00989	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Enterobacter>Enterobacter&nbsp;cloacae&nbsp;complex"
"Enterobacter cloacae subsp. cloacae"	"-"	336306	632	2	1	2	NA	2	NA	632	1	NA	6	NA	0.9174	0.0009973	0.01356	0.001226	NA	0.001028	NA	0.3474	0.9174	NA	0.006593	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Enterobacter>Enterobacter&nbsp;cloacae&nbsp;complex>Enterobacter&nbsp;cloacae"
"Enterobacter cloacae subsp. cloacae ATCC 13047"	"-"	716541	406	2	NA	2	NA	2	NA	406	1	NA	3	NA	0.9174	0.0009973	NA	0.001226	NA	0.001028	NA	0.2232	0.9174	NA	0.003297	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Enterobacter>Enterobacter&nbsp;cloacae&nbsp;complex>Enterobacter&nbsp;cloacae>Enterobacter&nbsp;cloacae&nbsp;subsp.&nbsp;cloacae"
"Enterobacter cloacae P101"	"-"	1354030	14	1	NA	1	NA	2	NA	14	NA	NA	1	NA	0.007695	0.0004986	NA	0.000613	NA	0.001028	NA	0.007695	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Enterobacter>Enterobacter&nbsp;cloacae&nbsp;complex>Enterobacter&nbsp;cloacae"
"Enterobacter asburiae"	"S"	61645	211	4	NA	1	NA	6	NA	211	NA	NA	6	NA	0.116	0.001995	NA	0.000613	NA	0.003085	NA	0.116	NA	NA	0.006593	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Enterobacter>Enterobacter&nbsp;cloacae&nbsp;complex"
"Enterobacter bugandensis"	"S"	881260	710	4	NA	6	NA	3	1	710	NA	NA	6	1	0.6757	0.001995	NA	0.003678	NA	0.001543	0.6757	0.3903	NA	NA	0.006593	0.5435	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Enterobacter"
"Kosakonia"	"G"	1330547	1081	19	NA	22	NA	29	NA	1081	1	NA	4	NA	0.9174	0.009474	NA	0.01348	NA	0.01491	NA	0.5942	0.9174	NA	0.004396	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae"
"Kosakonia cowanii"	"S"	208223	1071	19	NA	22	NA	29	NA	1071	1	NA	3	NA	0.9174	0.009474	NA	0.01348	NA	0.01491	NA	0.5887	0.9174	NA	0.003297	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Kosakonia"
"Kosakonia cowanii JCM 10956 = DSM 18146"	"-"	1300165	8	1	NA	NA	NA	2	NA	8	NA	NA	NA	NA	0.004397	0.0004986	NA	NA	NA	0.001028	NA	0.004397	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Kosakonia>Kosakonia&nbsp;cowanii"
"Citrobacter"	"G"	544	490	6	NA	7	NA	6	NA	490	NA	NA	12	NA	0.2693	0.002992	NA	0.004291	NA	0.003085	NA	0.2693	NA	NA	0.01319	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae"
"Citrobacter freundii complex"	"-"	1344959	353	5	NA	6	NA	6	NA	353	NA	NA	11	NA	0.194	0.002493	NA	0.003678	NA	0.003085	NA	0.194	NA	NA	0.01209	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Citrobacter"
"Citrobacter freundii"	"S"	546	346	5	NA	5	NA	6	NA	346	NA	NA	5	NA	0.1902	0.002493	NA	0.003065	NA	0.003085	NA	0.1902	NA	NA	0.005494	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Citrobacter>Citrobacter&nbsp;freundii&nbsp;complex"
"Citrobacter rodentium"	"S"	67825	114	1	NA	NA	NA	NA	NA	114	NA	NA	NA	NA	0.06266	0.0004986	NA	NA	NA	NA	NA	0.06266	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Citrobacter"
"Citrobacter rodentium ICC168"	"-"	637910	114	1	NA	NA	NA	NA	NA	114	NA	NA	NA	NA	0.06266	0.0004986	NA	NA	NA	NA	NA	0.06266	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Citrobacter>Citrobacter&nbsp;rodentium"
"Cronobacter"	"G"	413496	122	4	NA	1	NA	9	NA	122	NA	NA	6	NA	0.06706	0.001995	NA	0.000613	NA	0.004628	NA	0.06706	NA	NA	0.006593	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae"
"Cronobacter sakazakii"	"S"	28141	110	4	NA	1	NA	9	NA	110	NA	NA	3	NA	0.06046	0.001995	NA	0.000613	NA	0.004628	NA	0.06046	NA	NA	0.003297	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Cronobacter"
"Cronobacter sakazakii SP291"	"-"	956149	110	4	NA	1	NA	9	NA	110	NA	NA	3	NA	0.06046	0.001995	NA	0.000613	NA	0.004628	NA	0.06046	NA	NA	0.003297	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Cronobacter>Cronobacter&nbsp;sakazakii"
"Leclercia"	"G"	83654	70	1	NA	NA	NA	NA	NA	70	NA	NA	3	NA	0.03848	0.0004986	NA	NA	NA	NA	NA	0.03848	NA	NA	0.003297	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae"
"Leclercia sp. LSNIH1"	"S"	1920114	27	1	NA	NA	NA	NA	NA	27	NA	NA	2	NA	0.01484	0.0004986	NA	NA	NA	NA	NA	0.01484	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Leclercia"
"Candidatus Riesia"	"G"	401618	47	1	NA	3	NA	2	NA	47	NA	NA	3	NA	0.02583	0.0004986	NA	0.001839	NA	0.001028	NA	0.02583	NA	NA	0.003297	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae"
"Candidatus Riesia pediculischaeffi"	"S"	428411	35	1	NA	1	NA	NA	NA	35	NA	NA	2	NA	0.01924	0.0004986	NA	0.000613	NA	NA	NA	0.01924	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Candidatus&nbsp;Riesia"
"Erwiniaceae"	"F"	1903409	1632	1632	44	1526	NA	1198	NA	234	2	NA	122	NA	1.835	0.8138	0.5967	0.9354	NA	0.616	NA	0.1286	1.835	NA	0.1341	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales"
"Buchnera"	"G"	32199	916	916	24	862	NA	611	NA	33	NA	NA	43	NA	0.5284	0.4567	0.3255	0.5284	NA	0.3142	NA	0.01814	NA	NA	0.04725	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Erwiniaceae"
"Buchnera aphidicola"	"S"	9	916	916	24	862	NA	611	NA	33	NA	NA	43	NA	0.5284	0.4567	0.3255	0.5284	NA	0.3142	NA	0.01814	NA	NA	0.04725	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Erwiniaceae>Buchnera"
"Buchnera aphidicola (Diuraphis noxia)"	"-"	118101	32	32	1	29	NA	25	NA	NA	NA	NA	2	NA	0.01778	0.01596	0.01356	0.01778	NA	0.01285	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Erwiniaceae>Buchnera>Buchnera&nbsp;aphidicola"
"Buchnera aphidicola (Myzus persicae)"	"-"	98795	6	6	NA	4	NA	3	NA	NA	NA	NA	NA	NA	0.002992	0.002992	NA	0.002452	NA	0.001543	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Erwiniaceae>Buchnera>Buchnera&nbsp;aphidicola"
"Buchnera aphidicola (Cinara tujafilina)"	"-"	261317	3	1	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	0.001649	0.0004986	NA	NA	NA	NA	NA	0.001649	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Erwiniaceae>Buchnera>Buchnera&nbsp;aphidicola"
"Erwinia"	"G"	551	154	154	5	143	NA	105	NA	145	2	NA	28	NA	1.835	0.07679	0.06781	0.08765	NA	0.05399	NA	0.0797	1.835	NA	0.03077	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Erwiniaceae"
"Erwinia sp. Ejp617"	"S"	215689	114	94	4	73	NA	49	NA	114	NA	NA	19	NA	0.06266	0.04687	0.05424	0.04475	NA	0.02519	NA	0.06266	NA	NA	0.02088	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Erwiniaceae>Erwinia"
"Candidatus Erwinia sp. ErCipseudotaxifoliae"	"S"	1922217	69	60	1	69	NA	54	NA	12	NA	NA	7	NA	0.04229	0.02992	0.01356	0.04229	NA	0.02777	NA	0.006596	NA	NA	0.007692	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Erwiniaceae>Erwinia"
"Pantoea"	"G"	53335	35	30	NA	28	NA	30	NA	35	NA	NA	24	NA	0.02637	0.01496	NA	0.01716	NA	0.01543	NA	0.01924	NA	NA	0.02637	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Erwiniaceae"
"Candidatus Pantoea carbekii"	"S"	1235990	28	28	NA	27	NA	24	NA	2	NA	NA	2	NA	0.01655	0.01396	NA	0.01655	NA	0.01234	NA	0.001099	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Erwiniaceae>Pantoea"
"Pantoea stewartii"	"S"	66269	3	1	NA	NA	NA	NA	NA	3	NA	NA	3	NA	0.003297	0.0004986	NA	NA	NA	NA	NA	0.001649	NA	NA	0.003297	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Erwiniaceae>Pantoea"
"Pantoea stewartii subsp. stewartii"	"-"	66271	3	1	NA	NA	NA	NA	NA	3	NA	NA	3	NA	0.003297	0.0004986	NA	NA	NA	NA	NA	0.001649	NA	NA	0.003297	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Erwiniaceae>Pantoea>Pantoea&nbsp;stewartii"
"Pantoea stewartii subsp. stewartii DC283"	"-"	660596	3	1	NA	NA	NA	NA	NA	3	NA	NA	3	NA	0.003297	0.0004986	NA	NA	NA	NA	NA	0.001649	NA	NA	0.003297	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Erwiniaceae>Pantoea>Pantoea&nbsp;stewartii>Pantoea&nbsp;stewartii&nbsp;subsp.&nbsp;stewartii"
"Pantoea sp. PSNIH1"	"S"	1484158	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004986	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Erwiniaceae>Pantoea"
"Hafniaceae"	"F"	1903412	1082	202	4	143	1	148	NA	1082	1	1	47	NA	1.754	0.1007	0.05424	0.08765	0.625	0.0761	NA	0.5947	0.9174	1.754	0.05165	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales"
"Edwardsiella"	"G"	635	1070	202	4	143	1	148	NA	1070	1	1	47	NA	1.754	0.1007	0.05424	0.08765	0.625	0.0761	NA	0.5881	0.9174	1.754	0.05165	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Hafniaceae"
"Edwardsiella ictaluri"	"S"	67780	1065	202	4	143	NA	148	NA	1065	1	1	47	NA	1.754	0.1007	0.05424	0.08765	NA	0.0761	NA	0.5854	0.9174	1.754	0.05165	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Hafniaceae>Edwardsiella"
"Yersiniaceae"	"F"	1903411	769	138	3	99	NA	112	NA	769	1	NA	100	NA	0.9174	0.06881	0.04068	0.06068	NA	0.05759	NA	0.4227	0.9174	NA	0.1099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales"
"Yersinia"	"G"	629	513	118	2	84	NA	93	NA	513	1	NA	83	NA	0.9174	0.05884	0.02712	0.05149	NA	0.04782	NA	0.282	0.9174	NA	0.09121	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Yersiniaceae"
"Yersinia pseudotuberculosis complex"	"-"	1649845	140	61	1	40	NA	53	NA	140	NA	NA	23	NA	0.07695	0.03042	0.01356	0.02452	NA	0.02725	NA	0.07695	NA	NA	0.02527	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Yersiniaceae>Yersinia"
"Yersinia pestis"	"S"	632	86	60	1	40	NA	47	NA	86	NA	NA	11	NA	0.04727	0.02992	0.01356	0.02452	NA	0.02417	NA	0.04727	NA	NA	0.01209	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Yersiniaceae>Yersinia>Yersinia&nbsp;pseudotuberculosis&nbsp;complex"
"Yersinia pestis 2944"	"-"	1345702	4	4	NA	NA	NA	1	NA	4	NA	NA	1	NA	0.002199	0.001995	NA	NA	NA	0.0005142	NA	0.002199	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Yersiniaceae>Yersinia>Yersinia&nbsp;pseudotuberculosis&nbsp;complex>Yersinia&nbsp;pestis"
"Yersinia pestis A1122"	"-"	1035377	6	4	NA	NA	NA	3	NA	6	NA	NA	5	NA	0.005494	0.001995	NA	NA	NA	0.001543	NA	0.003298	NA	NA	0.005494	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Yersiniaceae>Yersinia>Yersinia&nbsp;pseudotuberculosis&nbsp;complex>Yersinia&nbsp;pestis"
