"name"	"taxRank"	"taxID"	"Max"	"kraken2_classification_june_BC01.cladeReads"	"kraken2_classification_june_BC02.cladeReads"	"kraken2_classification_june_BC03.cladeReads"	"kraken2_classification_june_BC04.cladeReads"	"kraken2_classification_june_BC05.cladeReads"	"kraken2_classification_june_BC06.cladeReads"	"kraken2_classification_june_BC08.cladeReads"	"kraken2_classification_june_BC09.cladeReads"	"kraken2_classification_june_BC10.cladeReads"	"kraken2_classification_june_BC11.cladeReads"	"kraken2_classification_june_BC12.cladeReads"	"Max.1"	"kraken2_classification_june_BC01.cladeReads.."	"kraken2_classification_june_BC02.cladeReads.."	"kraken2_classification_june_BC03.cladeReads.."	"kraken2_classification_june_BC04.cladeReads.."	"kraken2_classification_june_BC05.cladeReads.."	"kraken2_classification_june_BC06.cladeReads.."	"kraken2_classification_june_BC08.cladeReads.."	"kraken2_classification_june_BC09.cladeReads.."	"kraken2_classification_june_BC10.cladeReads.."	"kraken2_classification_june_BC11.cladeReads.."	"kraken2_classification_june_BC12.cladeReads.."	"lineage"
"Acholeplasma palmae"	"S"	38986	17	3	NA	5	NA	17	NA	NA	NA	NA	9	NA	0.01077	0.001645	NA	0.003377	NA	0.009421	NA	NA	NA	NA	0.01077	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Tenericutes>Mollicutes>Acholeplasmatales>Acholeplasmataceae>Acholeplasma"
"Actinobacteria"	"P"	201174	4420	2054	94	1526	9	1474	10	54	9	2	4420	22	13.25	1.127	1.415	1.031	5.921	0.8169	7.407	0.02971	8.824	3.571	5.288	13.25	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group"
"Actinobacteria"	"C"	1760	4396	2003	92	1479	9	1423	10	52	9	2	4396	21	12.65	1.099	1.385	0.9989	5.921	0.7886	7.407	0.02861	8.824	3.571	5.259	12.65	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria"
"Micrococcales"	"O"	85006	3328	678	22	483	2	500	4	17	1	NA	3328	7	4.217	0.3718	0.3312	0.3262	1.316	0.2771	2.963	0.009355	0.9804	NA	3.982	4.217	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria"
"Micrococcaceae"	"F"	1268	413	413	9	378	NA	95	NA	3	NA	NA	66	3	1.807	0.2265	0.1355	0.2553	NA	0.05265	NA	0.001651	NA	NA	0.07896	1.807	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales"
"Arthrobacter"	"G"	1663	400	400	9	370	NA	88	NA	3	NA	NA	41	1	0.6024	0.2194	0.1355	0.2499	NA	0.04877	NA	0.001651	NA	NA	0.04905	0.6024	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Micrococcaceae"
"Arthrobacter sp. YN"	"S"	2020486	392	392	8	362	NA	75	NA	2	NA	NA	16	1	0.6024	0.215	0.1204	0.2445	NA	0.04156	NA	0.001101	NA	NA	0.01914	0.6024	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Micrococcaceae>Arthrobacter"
"Arthrobacter crystallopoietes"	"S"	37928	23	7	NA	7	NA	8	NA	1	NA	NA	23	NA	0.02752	0.003839	NA	0.004727	NA	0.004433	NA	0.0005503	NA	NA	0.02752	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Micrococcaceae>Arthrobacter"
"Arthrobacter sp. DCT-5"	"S"	2211210	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005485	0.0005485	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Micrococcaceae>Arthrobacter"
"Auritidibacter"	"G"	1160973	22	12	NA	7	NA	6	NA	NA	NA	NA	22	NA	0.02632	0.006581	NA	0.004727	NA	0.003325	NA	NA	NA	NA	0.02632	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Micrococcaceae"
"Auritidibacter sp. NML130574"	"S"	2170745	22	12	NA	7	NA	6	NA	NA	NA	NA	22	NA	0.02632	0.006581	NA	0.004727	NA	0.003325	NA	NA	NA	NA	0.02632	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Micrococcaceae>Auritidibacter"
"Microbacteriaceae"	"F"	85023	3211	240	11	80	2	397	3	14	1	NA	3211	2	3.842	0.1316	0.1656	0.05403	1.316	0.22	2.222	0.007704	0.9804	NA	3.842	1.205	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales"
"Luna cluster"	"-"	1655488	2341	164	5	55	1	257	1	7	NA	NA	2341	NA	2.801	0.08995	0.07528	0.03714	0.6579	0.1424	0.7407	0.003852	NA	NA	2.801	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae"
"Luna-1 subcluster"	"-"	1655489	2341	164	5	55	1	257	1	7	NA	NA	2341	NA	2.801	0.08995	0.07528	0.03714	0.6579	0.1424	0.7407	0.003852	NA	NA	2.801	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae>Luna&nbsp;cluster"
"Rhodoluna"	"G"	529883	2069	142	5	50	1	227	1	5	NA	NA	2069	NA	2.475	0.07788	0.07528	0.03377	0.6579	0.1258	0.7407	0.002751	NA	NA	2.475	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae>Luna&nbsp;cluster>Luna&#x2011;1&nbsp;subcluster"
"Rhodoluna lacicola"	"S"	529884	1263	93	4	28	1	137	1	2	NA	NA	1263	NA	1.511	0.05101	0.06022	0.01891	0.6579	0.07592	0.7407	0.001101	NA	NA	1.511	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae>Luna&nbsp;cluster>Luna&#x2011;1&nbsp;subcluster>Rhodoluna"
"Candidatus Rhodoluna planktonica"	"S"	535712	646	22	1	11	NA	67	NA	3	NA	NA	646	NA	0.7729	0.01207	0.01506	0.007429	NA	0.03713	NA	0.001651	NA	NA	0.7729	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae>Luna&nbsp;cluster>Luna&#x2011;1&nbsp;subcluster>Rhodoluna"
"Candidatus Aquiluna"	"G"	529881	162	14	NA	5	NA	20	NA	1	NA	NA	162	NA	0.1938	0.007678	NA	0.003377	NA	0.01108	NA	0.0005503	NA	NA	0.1938	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae>Luna&nbsp;cluster>Luna&#x2011;1&nbsp;subcluster"
"Candidatus Aquiluna sp. UB-MaderosW2red"	"S"	1855377	162	14	NA	5	NA	20	NA	1	NA	NA	162	NA	0.1938	0.007678	NA	0.003377	NA	0.01108	NA	0.0005503	NA	NA	0.1938	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae>Luna&nbsp;cluster>Luna&#x2011;1&nbsp;subcluster>Candidatus&nbsp;Aquiluna"
"Aurantimicrobium"	"G"	1705353	587	44	4	11	1	87	2	4	NA	NA	587	1	1.481	0.02413	0.06022	0.007429	0.6579	0.04821	1.481	0.002201	NA	NA	0.7023	0.6024	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae"
"Aurantimicrobium sp. MWH-Mo1"	"S"	1987356	258	23	2	6	NA	36	2	NA	NA	NA	258	1	1.481	0.01261	0.03011	0.004052	NA	0.01995	1.481	NA	NA	NA	0.3087	0.6024	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae>Aurantimicrobium"
"Microbacterium"	"G"	33882	187	8	NA	3	NA	37	NA	1	NA	NA	187	1	0.6024	0.004388	NA	0.002026	NA	0.0205	NA	0.0005503	NA	NA	0.2237	0.6024	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae"
"Microbacterium aurum"	"S"	36805	4	4	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	0.003589	0.002194	NA	NA	NA	NA	NA	NA	NA	NA	0.003589	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae>Microbacterium"
"Microbacterium hominis"	"S"	162426	18	1	NA	1	NA	3	NA	NA	NA	NA	18	NA	0.02154	0.0005485	NA	0.0006754	NA	0.001663	NA	NA	NA	NA	0.02154	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae>Microbacterium"
"Microbacterium sp. XT11"	"S"	367477	1	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.0006754	0.0005485	NA	0.0006754	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae>Microbacterium"
"Microbacterium sp. TPU 3598"	"S"	1938334	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005485	0.0005485	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae>Microbacterium"
"Microbacterium sp. str. 'China'"	"S"	2103230	161	1	NA	NA	NA	31	NA	1	NA	NA	161	NA	0.1926	0.0005485	NA	NA	NA	0.01718	NA	0.0005503	NA	NA	0.1926	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae>Microbacterium"
"Frondihabitans"	"G"	447237	11	2	NA	NA	NA	1	NA	NA	NA	NA	11	NA	0.01316	0.001097	NA	NA	NA	0.0005542	NA	NA	NA	NA	0.01316	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae"
"Gryllotalpicola"	"G"	1195526	33	2	NA	2	NA	6	NA	NA	NA	NA	33	NA	0.03948	0.001097	NA	0.001351	NA	0.003325	NA	NA	NA	NA	0.03948	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae"
"Gryllotalpicola sp. 2DFW10M-5"	"S"	2419771	33	2	NA	2	NA	6	NA	NA	NA	NA	33	NA	0.03948	0.001097	NA	0.001351	NA	0.003325	NA	NA	NA	NA	0.03948	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae>Gryllotalpicola"
"Salinibacterium"	"G"	235888	3	2	NA	3	NA	NA	NA	NA	NA	NA	2	NA	0.002393	0.001097	NA	0.002026	NA	NA	NA	NA	NA	NA	0.002393	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae"
"Salinibacterium sp. CGMCC 1.16371"	"S"	2079791	3	2	NA	3	NA	NA	NA	NA	NA	NA	2	NA	0.002393	0.001097	NA	0.002026	NA	NA	NA	NA	NA	NA	0.002393	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae>Salinibacterium"
"Microcella"	"G"	337004	10	1	NA	NA	NA	NA	NA	1	NA	NA	10	NA	0.01196	0.0005485	NA	NA	NA	NA	NA	0.0005503	NA	NA	0.01196	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae"
"Microcella alkaliphila"	"S"	279828	10	1	NA	NA	NA	NA	NA	1	NA	NA	10	NA	0.01196	0.0005485	NA	NA	NA	NA	NA	0.0005503	NA	NA	0.01196	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae>Microcella"
"Lysinimonas"	"G"	1434018	1	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001196	0.0005485	NA	NA	NA	NA	NA	NA	NA	NA	0.001196	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae"
"Lysinimonas sp. 2DFWR-13"	"S"	2419774	1	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001196	0.0005485	NA	NA	NA	NA	NA	NA	NA	NA	0.001196	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae>Lysinimonas"
"Leifsonia"	"G"	110932	2	1	NA	1	NA	1	NA	NA	1	NA	2	NA	0.9804	0.0005485	NA	0.0006754	NA	0.0005542	NA	NA	0.9804	NA	0.002393	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae"
"Leifsonia xyli"	"S"	1575	2	1	NA	1	NA	1	NA	NA	1	NA	2	NA	0.9804	0.0005485	NA	0.0006754	NA	0.0005542	NA	NA	0.9804	NA	0.002393	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae>Leifsonia"
"Pontimonas"	"G"	1434032	10	1	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	0.01196	0.0005485	NA	NA	NA	NA	NA	NA	NA	NA	0.01196	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae"
"Pontimonas salivibrio"	"S"	1159327	10	1	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	0.01196	0.0005485	NA	NA	NA	NA	NA	NA	NA	NA	0.01196	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae>Pontimonas"
"Rathayibacter"	"G"	33886	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005485	0.0005485	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae"
"Rathayibacter toxicus"	"S"	145458	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005485	0.0005485	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae>Rathayibacter"
"Agromyces"	"G"	33877	13	1	NA	NA	NA	1	NA	NA	NA	NA	13	NA	0.01555	0.0005485	NA	NA	NA	0.0005542	NA	NA	NA	NA	0.01555	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae"
"Agromyces sp. 30A"	"S"	2080742	13	1	NA	NA	NA	1	NA	NA	NA	NA	13	NA	0.01555	0.0005485	NA	NA	NA	0.0005542	NA	NA	NA	NA	0.01555	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae>Agromyces"
"Intrasporangiaceae"	"F"	85021	12	8	1	12	NA	3	NA	NA	NA	NA	7	2	1.205	0.004388	0.01506	0.008104	NA	0.001663	NA	NA	NA	NA	0.008375	1.205	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales"
"Phycicoccus"	"G"	367298	7	7	NA	6	NA	1	NA	NA	NA	NA	5	NA	0.005982	0.003839	NA	0.004052	NA	0.0005542	NA	NA	NA	NA	0.005982	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Intrasporangiaceae"
"Phycicoccus dokdonensis"	"S"	443156	7	7	NA	6	NA	1	NA	NA	NA	NA	5	NA	0.005982	0.003839	NA	0.004052	NA	0.0005542	NA	NA	NA	NA	0.005982	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Intrasporangiaceae>Phycicoccus"
"Arsenicicoccus"	"G"	267408	1	1	NA	1	NA	NA	NA	NA	NA	NA	NA	1	0.6024	0.0005485	NA	0.0006754	NA	NA	NA	NA	NA	NA	NA	0.6024	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Intrasporangiaceae"
"Arsenicicoccus sp. oral taxon 190"	"S"	1658671	1	1	NA	1	NA	NA	NA	NA	NA	NA	NA	1	0.6024	0.0005485	NA	0.0006754	NA	NA	NA	NA	NA	NA	NA	0.6024	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Intrasporangiaceae>Arsenicicoccus"
"Bogoriellaceae"	"F"	145358	2	2	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	0.001351	0.001097	NA	0.001351	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales"
"Georgenia"	"G"	154116	2	2	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	0.001351	0.001097	NA	0.001351	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Bogoriellaceae"
"Georgenia sp. ZLJ0423"	"S"	2483799	2	2	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	0.001351	0.001097	NA	0.001351	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Bogoriellaceae>Georgenia"
"Dermacoccaceae"	"F"	145357	3	2	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	0.003589	0.001097	NA	NA	NA	NA	NA	NA	NA	NA	0.003589	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales"
"Luteipulveratus"	"G"	745364	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005485	0.0005485	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Dermacoccaceae"
"Luteipulveratus mongoliensis"	"S"	571913	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005485	0.0005485	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Dermacoccaceae>Luteipulveratus"
"Kytococcus"	"G"	57499	3	1	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	0.003589	0.0005485	NA	NA	NA	NA	NA	NA	NA	NA	0.003589	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Dermacoccaceae"
"Kytococcus sedentarius"	"S"	1276	3	1	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	0.003589	0.0005485	NA	NA	NA	NA	NA	NA	NA	NA	0.003589	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Dermacoccaceae>Kytococcus"
"Brevibacteriaceae"	"F"	85019	9	9	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	0.004936	0.004936	NA	NA	NA	NA	NA	NA	NA	NA	0.004786	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales"
"Brevibacterium"	"G"	1696	9	9	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	0.004936	0.004936	NA	NA	NA	NA	NA	NA	NA	NA	0.004786	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Brevibacteriaceae"
"Brevibacterium aurantiacum"	"S"	273384	9	9	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.004936	0.004936	NA	NA	NA	NA	NA	NA	NA	NA	0.001196	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Brevibacteriaceae>Brevibacterium"
"Dermatophilaceae"	"F"	85018	6	2	NA	1	NA	NA	NA	NA	NA	NA	6	NA	0.007178	0.001097	NA	0.0006754	NA	NA	NA	NA	NA	NA	0.007178	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales"
"Austwickia"	"G"	1184606	3	1	NA	1	NA	NA	NA	NA	NA	NA	3	NA	0.003589	0.0005485	NA	0.0006754	NA	NA	NA	NA	NA	NA	0.003589	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Dermatophilaceae"
"Austwickia chelonae"	"S"	100225	3	1	NA	1	NA	NA	NA	NA	NA	NA	3	NA	0.003589	0.0005485	NA	0.0006754	NA	NA	NA	NA	NA	NA	0.003589	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Dermatophilaceae>Austwickia"
"Dermatophilus"	"G"	1862	3	1	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	0.003589	0.0005485	NA	NA	NA	NA	NA	NA	NA	NA	0.003589	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Dermatophilaceae"
"Dermatophilus congolensis"	"S"	1863	3	1	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	0.003589	0.0005485	NA	NA	NA	NA	NA	NA	NA	NA	0.003589	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Dermatophilaceae>Dermatophilus"
"Jonesiaceae"	"F"	85022	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005485	0.0005485	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales"
"Jonesia"	"G"	43673	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005485	0.0005485	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Jonesiaceae"
"Jonesia denitrificans"	"S"	43674	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005485	0.0005485	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Jonesiaceae>Jonesia"
"Promicromonosporaceae"	"F"	85017	1	1	NA	1	NA	1	NA	NA	NA	NA	1	NA	0.001196	0.0005485	NA	0.0006754	NA	0.0005542	NA	NA	NA	NA	0.001196	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales"
"Xylanimonas"	"G"	186188	1	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.0006754	0.0005485	NA	0.0006754	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Promicromonosporaceae"
"Xylanimonas cellulosilytica"	"S"	186189	1	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.0006754	0.0005485	NA	0.0006754	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Promicromonosporaceae>Xylanimonas"
"Corynebacteriales"	"O"	85007	642	642	29	546	3	483	3	11	2	NA	258	5	3.012	0.3521	0.4366	0.3687	1.974	0.2677	2.222	0.006053	1.961	NA	0.3087	3.012	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria"
"Corynebacteriaceae"	"F"	1653	583	583	21	498	NA	432	NA	5	NA	NA	210	NA	0.3363	0.3197	0.3162	0.3363	NA	0.2394	NA	0.002751	NA	NA	0.2512	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales"
"Corynebacterium"	"G"	1716	583	583	21	498	NA	432	NA	5	NA	NA	210	NA	0.3363	0.3197	0.3162	0.3363	NA	0.2394	NA	0.002751	NA	NA	0.2512	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Corynebacteriaceae"
"Corynebacterium glutamicum"	"S"	1718	486	486	15	399	NA	325	NA	NA	NA	NA	33	NA	0.2695	0.2665	0.2258	0.2695	NA	0.1801	NA	NA	NA	NA	0.03948	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Corynebacteriaceae>Corynebacterium"
"Corynebacterium timonense"	"S"	441500	55	55	2	38	NA	34	NA	5	NA	NA	6	NA	0.03016	0.03016	0.03011	0.02566	NA	0.01884	NA	0.002751	NA	NA	0.007178	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Corynebacteriaceae>Corynebacterium"
"Corynebacterium diphtheriae"	"S"	1717	29	29	1	17	NA	17	NA	NA	NA	NA	23	NA	0.02752	0.01591	0.01506	0.01148	NA	0.009421	NA	NA	NA	NA	0.02752	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Corynebacteriaceae>Corynebacterium"
"Corynebacterium pseudotuberculosis"	"S"	1719	4	4	NA	1	NA	4	NA	NA	NA	NA	2	NA	0.002393	0.002194	NA	0.0006754	NA	0.002217	NA	NA	NA	NA	0.002393	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Corynebacteriaceae>Corynebacterium"
