"name"	"taxRank"	"taxID"	"Max"	"BC01.cladeReads"	"BC02.cladeReads"	"BC03.cladeReads"	"BC04.cladeReads"	"BC05.cladeReads"	"BC06.cladeReads"	"BC07.cladeReads"	"BC08.cladeReads"	"BC09.cladeReads"	"BC10.cladeReads"	"BC11.cladeReads"	"BC12.cladeReads"	"Max.1"	"BC01.cladeReads.."	"BC02.cladeReads.."	"BC03.cladeReads.."	"BC04.cladeReads.."	"BC05.cladeReads.."	"BC06.cladeReads.."	"BC07.cladeReads.."	"BC08.cladeReads.."	"BC09.cladeReads.."	"BC10.cladeReads.."	"BC11.cladeReads.."	"BC12.cladeReads.."	"lineage"
"Candidatus Kinetoplastibacterium crithidii"	"S"	33056	120	3	1	36	39	NA	30	33	NA	25	120	42	NA	0.04554	0.02516	0.007052	0.01837	0.01431	NA	0.01801	0.01653	NA	0.01326	0.04554	0.02397	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>unclassified&nbsp;Betaproteobacteria>Kinetoplastibacterium"
"Candidatus Kinetoplastibacterium galatii"	"S"	994695	184	2	NA	46	184	NA	13	24	81	18	71	19	NA	0.06754	0.01677	NA	0.02348	0.06754	NA	0.007803	0.01202	0.02181	0.009544	0.02695	0.01084	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>unclassified&nbsp;Betaproteobacteria>Kinetoplastibacterium"
"Betaproteobacteria bacterium GR16-43"	"S"	1904640	373	12	5	137	177	NA	89	75	1	31	373	46	NA	0.1416	0.1006	0.03526	0.06992	0.06497	NA	0.05342	0.03758	0.0002692	0.01644	0.1416	0.02625	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>unclassified&nbsp;Betaproteobacteria>unclassified&nbsp;Betaproteobacteria&nbsp;(miscellaneous)"
"beta proteobacterium CB"	"S"	543913	62	5	1	39	37	1	32	62	1	23	48	56	NA	0.05886	0.04193	0.007052	0.0199	0.01358	0.05886	0.01921	0.03106	0.0002692	0.01219	0.01822	0.03196	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>unclassified&nbsp;Betaproteobacteria>unclassified&nbsp;Betaproteobacteria&nbsp;(miscellaneous)"
"Candidatus Accumulibacter phosphatis"	"S"	327160	795	14	11	530	795	2	73	77	7	38	232	69	NA	0.2918	0.1174	0.07757	0.2705	0.2918	0.1177	0.04382	0.03858	0.001885	0.02015	0.08805	0.03937	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>unclassified&nbsp;Betaproteobacteria>Candidatus&nbsp;Accumulibacter"
"Candidatus Tremblaya princeps"	"S"	189385	242	10	11	146	242	1	77	106	14	63	217	80	NA	0.08882	0.08386	0.07757	0.07451	0.08882	0.05886	0.04622	0.05311	0.003769	0.0334	0.08236	0.04565	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>unclassified&nbsp;Betaproteobacteria>Candidatus&nbsp;Tremblaya"
"Candidatus Nasuia deltocephalinicola"	"S"	1160784	293	10	22	145	163	2	87	170	24	92	293	110	NA	0.1551	0.08386	0.1551	0.074	0.05983	0.1177	0.05222	0.08517	0.006461	0.04878	0.1112	0.06277	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>unclassified&nbsp;Betaproteobacteria>Candidatus&nbsp;Nasuia"
"Candidatus Profftella armatura"	"S"	669502	115	5	5	45	67	NA	46	59	10	40	115	50	1	0.2625	0.04193	0.03526	0.02297	0.02459	NA	0.02761	0.02956	0.002692	0.02121	0.04365	0.02853	0.2625	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>unclassified&nbsp;Betaproteobacteria>Candidatus&nbsp;Profftella"
"Escherichia coli"	"S"	562	50755	104	104	1145	2292	40	1478	1315	50755	1151	1669	1387	12	13.66	0.8722	0.7334	0.5843	0.8413	2.354	0.8872	0.6588	13.66	0.6103	0.6334	0.7915	3.15	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia"
"Escherichia albertii"	"S"	208962	332	1	1	1	18	NA	1	4	332	2	5	3	NA	0.08938	0.008386	0.007052	0.0005103	0.006607	NA	0.0006003	0.002004	0.08938	0.00106	0.001898	0.001712	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia"
"Salmonella enterica"	"S"	28901	29279	28	16	266	473	36	175	227	29279	174	345	214	4	7.883	0.2348	0.1128	0.1358	0.1736	2.119	0.105	0.1137	7.883	0.09226	0.1309	0.1221	1.05	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Salmonella"
"Citrobacter freundii complex"	"S"	1344959	2873	10	6	48	127	3	40	62	2873	34	67	62	NA	0.7735	0.08386	0.04231	0.0245	0.04661	0.1766	0.02401	0.03106	0.7735	0.01803	0.02543	0.03538	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Citrobacter"
"Citrobacter freundii"	"S"	546	1963	7	5	27	93	3	35	49	1963	26	58	42	NA	0.5285	0.05871	0.03526	0.01378	0.03413	0.1766	0.02101	0.02455	0.5285	0.01379	0.02201	0.02397	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Citrobacter>Citrobacter&nbsp;freundii&nbsp;complex"
"Citrobacter braakii"	"S"	57706	775	1	1	6	12	NA	1	3	775	4	3	7	NA	0.2086	0.008386	0.007052	0.003062	0.004404	NA	0.0006003	0.001503	0.2086	0.002121	0.001139	0.003994	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Citrobacter>Citrobacter&nbsp;freundii&nbsp;complex"
"Citrobacter freundii complex sp. CFNIH2"	"S"	2066049	6	1	NA	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	0.008386	0.008386	NA	NA	NA	NA	NA	NA	0.001615	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Citrobacter>Citrobacter&nbsp;freundii&nbsp;complex"
"Citrobacter rodentium"	"S"	67825	1431	3	2	6	26	2	4	7	1431	6	15	7	1	0.3853	0.02516	0.0141	0.003062	0.009543	0.1177	0.002401	0.003507	0.3853	0.003181	0.005693	0.003994	0.2625	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Citrobacter"
"Citrobacter sp. FDAARGOS_156"	"S"	1702170	5	1	NA	1	5	NA	NA	1	1	1	1	1	NA	0.008386	0.008386	NA	0.0005103	0.001835	NA	NA	0.000501	0.0002692	0.0005302	0.0003795	0.0005706	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Citrobacter"
"Enterobacter cloacae complex"	"S"	354276	12624	14	27	218	279	12	196	223	12624	172	302	235	1	3.399	0.1174	0.1904	0.1113	0.1024	0.7063	0.1177	0.1117	3.399	0.0912	0.1146	0.1341	0.2625	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Enterobacter"
"Enterobacter cloacae"	"S"	550	9021	10	15	138	160	7	88	128	9021	79	188	135	1	2.429	0.08386	0.1058	0.07043	0.05873	0.412	0.05282	0.06413	2.429	0.04189	0.07135	0.07704	0.2625	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Enterobacter>Enterobacter&nbsp;cloacae&nbsp;complex"
"Enterobacter ludwigii"	"S"	299767	2063	3	2	26	33	2	18	22	2063	17	53	29	NA	0.5554	0.02516	0.0141	0.01327	0.01211	0.1177	0.0108	0.01102	0.5554	0.009014	0.02012	0.01655	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Enterobacter>Enterobacter&nbsp;cloacae&nbsp;complex"
"Enterobacter asburiae"	"S"	61645	497	1	9	40	58	1	84	65	497	68	47	63	NA	0.1338	0.008386	0.06347	0.02041	0.02129	0.05886	0.05042	0.03257	0.1338	0.03605	0.01784	0.03595	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Enterobacter>Enterobacter&nbsp;cloacae&nbsp;complex"
"Enterobacteriaceae bacterium strain FGI 57"	"S"	693444	837	6	2	69	259	2	199	113	837	134	58	104	NA	0.2253	0.05032	0.0141	0.03521	0.09506	0.1177	0.1195	0.05662	0.2253	0.07105	0.02201	0.05935	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>unclassified&nbsp;Enterobacteriaceae>unclassified&nbsp;Enterobacteriaceae&nbsp;(miscellaneous)"
"Plautia stali symbiont"	"S"	891974	709	1	3	14	38	NA	12	19	709	10	21	20	NA	0.1909	0.008386	0.02116	0.007145	0.01395	NA	0.007203	0.009519	0.1909	0.005302	0.00797	0.01141	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>unclassified&nbsp;Enterobacteriaceae>unclassified&nbsp;Enterobacteriaceae&nbsp;(miscellaneous)"
"Enterobacteriaceae bacterium ENNIH1"	"S"	2066051	44	1	NA	NA	1	NA	2	1	44	2	4	5	NA	0.01185	0.008386	NA	NA	0.000367	NA	0.001201	0.000501	0.01185	0.00106	0.001518	0.002853	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>unclassified&nbsp;Enterobacteriaceae>unclassified&nbsp;Enterobacteriaceae&nbsp;(miscellaneous)"
"Candidatus Tachikawaea gelatinosa"	"S"	1410383	211	2	1	27	75	NA	26	28	211	37	27	28	1	0.2625	0.01677	0.007052	0.01378	0.02753	NA	0.01561	0.01403	0.05681	0.01962	0.01025	0.01598	0.2625	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>unclassified&nbsp;Enterobacteriaceae>ant,&nbsp;tsetse,&nbsp;mealybug,&nbsp;aphid,&nbsp;etc.&nbsp;endosymbionts>Candidatus&nbsp;Tachikawaea"
"Candidatus Blochmannia vafer"	"S"	251535	7	1	1	4	2	NA	4	3	2	3	7	2	NA	0.008386	0.008386	0.007052	0.002041	0.0007341	NA	0.002401	0.001503	0.0005384	0.001591	0.002657	0.001141	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>unclassified&nbsp;Enterobacteriaceae>ant,&nbsp;tsetse,&nbsp;mealybug,&nbsp;aphid,&nbsp;etc.&nbsp;endosymbionts>ant&nbsp;endosymbionts>Candidatus&nbsp;Blochmannia"
"secondary endosymbiont of Heteropsylla cubana"	"S"	134287	74	1	NA	1	3	NA	3	1	74	NA	6	1	NA	0.01992	0.008386	NA	0.0005103	0.001101	NA	0.001801	0.000501	0.01992	NA	0.002277	0.0005706	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>unclassified&nbsp;Enterobacteriaceae>ant,&nbsp;tsetse,&nbsp;mealybug,&nbsp;aphid,&nbsp;etc.&nbsp;endosymbionts>aphid&nbsp;secondary&nbsp;symbionts"
"Candidatus Hoaglandella endobia"	"S"	1778263	87	1	NA	3	9	NA	1	1	87	4	3	2	NA	0.02342	0.008386	NA	0.001531	0.003303	NA	0.0006003	0.000501	0.02342	0.002121	0.001139	0.001141	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>unclassified&nbsp;Enterobacteriaceae>ant,&nbsp;tsetse,&nbsp;mealybug,&nbsp;aphid,&nbsp;etc.&nbsp;endosymbionts>Candidatus&nbsp;Hoaglandella"
"Candidatus Mikella endobia"	"S"	1778264	56	1	4	16	21	NA	7	13	56	7	28	11	NA	0.02821	0.008386	0.02821	0.008165	0.007708	NA	0.004202	0.006513	0.01508	0.003712	0.01063	0.006277	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>unclassified&nbsp;Enterobacteriaceae>ant,&nbsp;tsetse,&nbsp;mealybug,&nbsp;aphid,&nbsp;etc.&nbsp;endosymbionts>Candidatus&nbsp;Mikella"
"Klebsiella pneumoniae"	"S"	573	1983	6	7	59	104	NA	34	35	1983	23	68	47	NA	0.5339	0.05032	0.04937	0.03011	0.03817	NA	0.02041	0.01754	0.5339	0.01219	0.02581	0.02682	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Klebsiella"
"Klebsiella oxytoca"	"S"	571	914	2	2	25	44	1	28	36	914	34	42	36	NA	0.2461	0.01677	0.0141	0.01276	0.01615	0.05886	0.01681	0.01804	0.2461	0.01803	0.01594	0.02054	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Klebsiella"
"Klebsiella michiganensis"	"S"	1134687	547	1	NA	1	21	NA	1	8	547	4	14	3	NA	0.1473	0.008386	NA	0.0005103	0.007708	NA	0.0006003	0.004008	0.1473	0.002121	0.005314	0.001712	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Klebsiella"
"Shigella dysenteriae"	"S"	622	1676	7	3	49	165	1	9	34	1676	13	59	19	NA	0.4512	0.05871	0.02116	0.02501	0.06056	0.05886	0.005402	0.01703	0.4512	0.006893	0.02239	0.01084	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Shigella"
"Candidatus Riesia pediculicola"	"S"	401619	71	3	2	33	51	NA	18	14	71	19	65	23	NA	0.02516	0.02516	0.0141	0.01684	0.01872	NA	0.0108	0.007014	0.01911	0.01007	0.02467	0.01312	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Candidatus&nbsp;Riesia"
"Candidatus Ishikawaella capsulata"	"S"	168169	173	2	3	25	123	NA	62	46	173	36	36	32	1	0.2625	0.01677	0.02116	0.01276	0.04515	NA	0.03722	0.02305	0.04658	0.01909	0.01366	0.01826	0.2625	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Candidatus&nbsp;Ishikawaella"
"Lelliottia amnigena"	"S"	61646	703	2	1	6	12	1	4	6	703	6	9	5	NA	0.1893	0.01677	0.007052	0.003062	0.004404	0.05886	0.002401	0.003006	0.1893	0.003181	0.003416	0.002853	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Lelliottia"
"Shimwellia blattae"	"S"	563	1658	2	1	8	12	3	5	5	1658	4	16	6	NA	0.4464	0.01677	0.007052	0.004083	0.004404	0.1766	0.003001	0.002505	0.4464	0.002121	0.006073	0.003424	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Shimwellia"
"Leclercia sp. LSNIH3"	"S"	1920116	138	1	NA	NA	NA	NA	1	NA	138	NA	2	1	NA	0.03715	0.008386	NA	NA	NA	NA	0.0006003	NA	0.03715	NA	0.0007591	0.0005706	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Leclercia"
"Gibbsiella quercinecans"	"S"	929813	6	1	1	6	4	NA	NA	1	NA	1	3	3	NA	0.008386	0.008386	0.007052	0.003062	0.001468	NA	NA	0.000501	NA	0.0005302	0.001139	0.001712	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Gibbsiella"
"Pluralibacter gergoviae"	"S"	61647	420	1	NA	7	9	1	NA	5	420	2	7	6	NA	0.1131	0.008386	NA	0.003572	0.003303	0.05886	NA	0.002505	0.1131	0.00106	0.002657	0.003424	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Pluralibacter"
"Edwardsiella ictaluri"	"S"	67780	37364	92	101	994	1876	37	1137	1048	37364	1127	1180	1192	9	10.06	0.7716	0.7123	0.5073	0.6886	2.178	0.6825	0.5251	10.06	0.5976	0.4479	0.6802	2.362	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Hafniaceae>Edwardsiella"
"Pantoea vagans"	"S"	470934	2341	9	14	84	224	1	356	150	2341	220	106	198	1	0.6302	0.07548	0.09873	0.04287	0.08222	0.05886	0.2137	0.07515	0.6302	0.1166	0.04023	0.113	0.2625	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Erwiniaceae>Pantoea"
"Pantoea sp. At-9b"	"S"	592316	154	7	3	34	91	NA	30	19	154	13	35	25	NA	0.05871	0.05871	0.02116	0.01735	0.0334	NA	0.01801	0.009519	0.04146	0.006893	0.01328	0.01427	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Erwiniaceae>Pantoea"
"Candidatus Pantoea carbekii"	"S"	1235990	667	6	7	105	234	3	667	268	337	411	57	326	NA	0.4004	0.05032	0.04937	0.05359	0.08589	0.1766	0.4004	0.1343	0.09073	0.2179	0.02163	0.186	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Erwiniaceae>Pantoea"
"Pantoea calida"	"S"	665913	3814	2	2	8	22	1	18	15	3814	15	28	16	1	1.027	0.01677	0.0141	0.004083	0.008075	0.05886	0.0108	0.007515	1.027	0.007953	0.01063	0.00913	0.2625	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Erwiniaceae>Pantoea"
"Pantoea agglomerans group"	"S"	1654067	75	1	NA	3	7	NA	3	5	75	1	6	3	NA	0.02019	0.008386	NA	0.001531	0.002569	NA	0.001801	0.002505	0.02019	0.0005302	0.002277	0.001712	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Erwiniaceae>Pantoea"
"Pantoea agglomerans"	"S"	549	75	1	NA	3	7	NA	3	5	75	1	6	3	NA	0.02019	0.008386	NA	0.001531	0.002569	NA	0.001801	0.002505	0.02019	0.0005302	0.002277	0.001712	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Erwiniaceae>Pantoea>Pantoea&nbsp;agglomerans&nbsp;group"
"Buchnera aphidicola"	"S"	9	1686	20	35	167	208	4	357	372	1686	224	399	234	NA	0.4539	0.1677	0.2468	0.08523	0.07634	0.2354	0.2143	0.1864	0.4539	0.1188	0.1514	0.1335	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Erwiniaceae>Buchnera"
"Erwinia sp. Ejp617"	"S"	215689	2064	10	11	96	199	5	170	153	2064	153	139	133	2	0.5557	0.08386	0.07757	0.04899	0.07304	0.2943	0.102	0.07666	0.5557	0.08112	0.05276	0.07589	0.5249	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Erwiniaceae>Erwinia"
"Candidatus Erwinia sp. ErCipseudotaxifoliae"	"S"	1922217	208	2	4	29	34	NA	35	34	208	28	52	30	NA	0.056	0.01677	0.02821	0.0148	0.01248	NA	0.02101	0.01703	0.056	0.01485	0.01974	0.01712	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Erwiniaceae>Erwinia"
"Yersinia enterocolitica"	"S"	630	959	9	7	62	138	2	120	62	959	99	67	116	1	0.2625	0.07548	0.04937	0.03164	0.05065	0.1177	0.07203	0.03106	0.2582	0.05249	0.02543	0.06619	0.2625	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Yersiniaceae>Yersinia"
"Yersinia frederiksenii"	"S"	29484	639	3	1	17	71	1	5	16	639	5	36	15	NA	0.172	0.02516	0.007052	0.008676	0.02606	0.05886	0.003001	0.008016	0.172	0.002651	0.01366	0.008559	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Yersiniaceae>Yersinia"
"Yersinia pseudotuberculosis complex"	"S"	1649845	1151	3	3	36	138	NA	59	57	1151	39	64	53	1	0.3099	0.02516	0.02116	0.01837	0.05065	NA	0.03542	0.02856	0.3099	0.02068	0.02429	0.03024	0.2625	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Yersiniaceae>Yersinia"
"Yersinia pestis"	"S"	632	558	2	1	13	37	NA	49	33	558	30	19	37	1	0.2625	0.01677	0.007052	0.006634	0.01358	NA	0.02941	0.01653	0.1502	0.01591	0.007211	0.02111	0.2625	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Yersiniaceae>Yersinia>Yersinia&nbsp;pseudotuberculosis&nbsp;complex"
"Yersinia pseudotuberculosis"	"S"	633	96	1	1	16	96	NA	9	21	60	8	36	11	NA	0.03524	0.008386	0.007052	0.008165	0.03524	NA	0.005402	0.01052	0.01615	0.004242	0.01366	0.006277	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Yersiniaceae>Yersinia>Yersinia&nbsp;pseudotuberculosis&nbsp;complex"
"Yersinia rohdei"	"S"	29485	1313	2	1	14	20	3	4	8	1313	3	9	7	NA	0.3535	0.01677	0.007052	0.007145	0.007341	0.1766	0.002401	0.004008	0.3535	0.001591	0.003416	0.003994	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Yersiniaceae>Yersinia"
"Yersinia aleksiciae"	"S"	263819	3	1	NA	2	NA	NA	NA	NA	NA	NA	1	3	NA	0.008386	0.008386	NA	0.001021	NA	NA	NA	NA	NA	NA	0.0003795	0.001712	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Yersiniaceae>Yersinia"
"Serratia plymuthica"	"S"	82996	305	3	NA	3	7	NA	3	5	305	NA	6	3	NA	0.08211	0.02516	NA	0.001531	0.002569	NA	0.001801	0.002505	0.08211	NA	0.002277	0.001712	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Yersiniaceae>Serratia"
"Serratia fonticola"	"S"	47917	329	2	1	11	22	1	4	7	329	4	18	11	NA	0.08857	0.01677	0.007052	0.005614	0.008075	0.05886	0.002401	0.003507	0.08857	0.002121	0.006832	0.006277	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Yersiniaceae>Serratia"
"Serratia marcescens"	"S"	615	261	1	2	32	60	NA	21	43	261	25	45	32	1	0.2625	0.008386	0.0141	0.01633	0.02202	NA	0.01261	0.02154	0.07027	0.01326	0.01708	0.01826	0.2625	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Yersiniaceae>Serratia"
"Rahnella aquatilis"	"S"	34038	289	1	2	21	26	NA	31	13	289	20	24	18	NA	0.07781	0.008386	0.0141	0.01072	0.009543	NA	0.01861	0.006513	0.07781	0.0106	0.009109	0.01027	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Yersiniaceae>Rahnella"
"Rahnella sp. Y9602"	"S"	741091	52	1	NA	3	2	NA	NA	2	52	1	6	NA	NA	0.014	0.008386	NA	0.001531	0.0007341	NA	NA	0.001002	0.014	0.0005302	0.002277	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Yersiniaceae>Rahnella"
"Candidatus Sodalis pierantonius"	"S"	1486991	1229	13	9	112	268	3	309	181	1229	225	131	186	NA	0.3309	0.109	0.06347	0.05716	0.09837	0.1766	0.1855	0.09068	0.3309	0.1193	0.04972	0.1061	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Pectobacteriaceae>Sodalis"
"Sodalis glossinidius"	"S"	63612	2370	6	NA	38	87	2	37	35	2370	24	34	32	NA	0.6381	0.05032	NA	0.01939	0.03193	0.1177	0.02221	0.01754	0.6381	0.01273	0.0129	0.01826	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Pectobacteriaceae>Sodalis"
"Dickeya zeae"	"S"	204042	799	2	2	11	31	2	3	15	799	8	21	12	NA	0.2151	0.01677	0.0141	0.005614	0.01138	0.1177	0.001801	0.007515	0.2151	0.004242	0.00797	0.006848	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Pectobacteriaceae>Dickeya"
"Pectobacterium carotovorum"	"S"	554	8	1	NA	1	8	NA	NA	4	4	1	5	2	NA	0.008386	0.008386	NA	0.0005103	0.002936	NA	NA	0.002004	0.001077	0.0005302	0.001898	0.001141	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Pectobacteriaceae>Pectobacterium"
"Photorhabdus luminescens"	"S"	29488	3	2	NA	NA	NA	NA	NA	NA	3	NA	NA	1	NA	0.01677	0.01677	NA	NA	NA	NA	NA	NA	0.0008077	NA	NA	0.0005706	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Morganellaceae>Photorhabdus"
"Providencia stuartii"	"S"	588	238	2	NA	27	49	NA	18	27	238	16	33	22	NA	0.06407	0.01677	NA	0.01378	0.01799	NA	0.0108	0.01353	0.06407	0.008483	0.01252	0.01255	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Morganellaceae>Providencia"
"Providencia alcalifaciens"	"S"	126385	8	1	1	3	8	NA	1	4	7	NA	2	5	NA	0.008386	0.008386	0.007052	0.001531	0.002936	NA	0.0006003	0.002004	0.001885	NA	0.0007591	0.002853	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Morganellaceae>Providencia"
"Proteus vulgaris"	"S"	585	31	2	NA	2	20	NA	NA	2	31	2	9	7	NA	0.01677	0.01677	NA	0.001021	0.007341	NA	NA	0.001002	0.008346	0.00106	0.003416	0.003994	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Morganellaceae>Proteus"
"Pragia fontium"	"S"	82985	269	3	1	43	113	2	176	96	269	101	47	92	NA	0.1177	0.02516	0.007052	0.02194	0.04148	0.1177	0.1056	0.0481	0.07242	0.05355	0.01784	0.0525	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Budviciaceae>Pragia"
