"name"	"taxRank"	"taxID"	"Max"	"centrifuge_16s_classification_april_BC01.cladeReads"	"centrifuge_16s_classification_april_BC02.cladeReads"	"centrifuge_16s_classification_april_BC03.cladeReads"	"centrifuge_16s_classification_april_BC04.cladeReads"	"centrifuge_16s_classification_april_BC05.cladeReads"	"centrifuge_16s_classification_april_BC06.cladeReads"	"centrifuge_16s_classification_april_BC07.cladeReads"	"centrifuge_16s_classification_april_BC08.cladeReads"	"centrifuge_16s_classification_april_BC09.cladeReads"	"centrifuge_16s_classification_april_BC10.cladeReads"	"centrifuge_16s_classification_april_BC11.cladeReads"	"centrifuge_16s_classification_april_BC12.cladeReads"	"Max.1"	"centrifuge_16s_classification_april_BC01.cladeReads.."	"centrifuge_16s_classification_april_BC02.cladeReads.."	"centrifuge_16s_classification_april_BC03.cladeReads.."	"centrifuge_16s_classification_april_BC04.cladeReads.."	"centrifuge_16s_classification_april_BC05.cladeReads.."	"centrifuge_16s_classification_april_BC06.cladeReads.."	"centrifuge_16s_classification_april_BC07.cladeReads.."	"centrifuge_16s_classification_april_BC08.cladeReads.."	"centrifuge_16s_classification_april_BC09.cladeReads.."	"centrifuge_16s_classification_april_BC10.cladeReads.."	"centrifuge_16s_classification_april_BC11.cladeReads.."	"centrifuge_16s_classification_april_BC12.cladeReads.."	"lineage"
"Eumetazoa"	"-"	12883	26	1	1	10	13	NA	17	26	23	20	16	13	NA	0.009691	0.00631	0.005277	0.003891	0.003464	NA	0.007112	0.009691	0.005893	0.007734	0.004556	0.005417	NA	"Eukaryota>Opisthokonta>Holozoa>Metazoa&nbsp;(Animalia)"
"Bilateria"	"-"	12884	26	1	1	10	13	NA	17	26	23	20	15	13	NA	0.009691	0.00631	0.005277	0.003891	0.003464	NA	0.007112	0.009691	0.005893	0.007734	0.004271	0.005417	NA	"Eukaryota>Opisthokonta>Holozoa>Metazoa&nbsp;(Animalia)>Eumetazoa"
"Platyhelminthes"	"P"	13286	14	1	NA	2	7	NA	9	14	11	8	8	3	NA	0.00631	0.00631	NA	0.0007782	0.001865	NA	0.003765	0.005218	0.002818	0.003094	0.002278	0.00125	NA	"Eukaryota>Opisthokonta>Holozoa>Metazoa&nbsp;(Animalia)>Eumetazoa>Bilateria"
"Rhabditophora"	"C"	13342	2	1	NA	NA	NA	NA	NA	2	NA	1	1	NA	NA	0.00631	0.00631	NA	NA	NA	NA	NA	0.0007454	NA	0.0003867	0.0002847	NA	NA	"Eukaryota>Opisthokonta>Holozoa>Metazoa&nbsp;(Animalia)>Eumetazoa>Bilateria>Platyhelminthes"
"Rhabdocoela"	"O"	13350	2	1	NA	NA	NA	NA	NA	2	NA	NA	1	NA	NA	0.00631	0.00631	NA	NA	NA	NA	NA	0.0007454	NA	NA	0.0002847	NA	NA	"Eukaryota>Opisthokonta>Holozoa>Metazoa&nbsp;(Animalia)>Eumetazoa>Bilateria>Platyhelminthes>Rhabditophora"
"SAR"	"-"	8770	12	1	1	7	12	1	8	5	9	8	5	3	1	0.1783	0.00631	0.005277	0.002724	0.003197	0.04227	0.003347	0.001864	0.002306	0.003094	0.001424	0.00125	0.1783	"Eukaryota"
"Alveolata"	"K"	8771	6	1	1	1	6	NA	NA	NA	1	2	1	NA	NA	0.00631	0.00631	0.005277	0.0003891	0.001599	NA	NA	NA	0.0002562	0.0007734	0.0002847	NA	NA	"Eukaryota>SAR"
"Ciliophora"	"P"	8848	5	1	NA	NA	5	NA	NA	NA	1	2	NA	NA	NA	0.00631	0.00631	NA	NA	0.001332	NA	NA	NA	0.0002562	0.0007734	NA	NA	NA	"Eukaryota>SAR>Alveolata"
"Intramacronucleata"	"C"	8849	5	1	NA	NA	5	NA	NA	NA	1	2	NA	NA	NA	0.00631	0.00631	NA	NA	0.001332	NA	NA	NA	0.0002562	0.0007734	NA	NA	NA	"Eukaryota>SAR>Alveolata>Ciliophora"
"Litostomatea"	"O"	9030	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00631	0.00631	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Eukaryota>SAR>Alveolata>Ciliophora>Intramacronucleata"
"Archaea"	"D"	2	43	2	NA	24	40	NA	25	43	10	37	23	29	NA	0.01603	0.01262	NA	0.009339	0.01066	NA	0.01046	0.01603	0.002562	0.01431	0.006549	0.01208	NA	"root"
"Euryarchaeota"	"P"	55	31	2	NA	15	13	NA	15	29	6	31	11	24	NA	0.01262	0.01262	NA	0.005837	0.003464	NA	0.006275	0.01081	0.001537	0.01199	0.003132	0.01	NA	"Archaea"
"Polaromonas"	"G"	26436	48	NA	4	32	13	NA	8	24	NA	16	48	14	NA	0.02111	NA	0.02111	0.01245	0.003464	NA	0.003347	0.008945	NA	0.006188	0.01367	0.005834	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Brachymonas"	"G"	26366	52	NA	3	15	12	1	12	33	2	10	52	17	NA	0.04227	NA	0.01583	0.005837	0.003197	0.04227	0.00502	0.0123	0.0005124	0.003867	0.01481	0.007084	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Lautropia"	"G"	26407	10	NA	2	8	4	NA	3	8	5	4	10	3	NA	0.01055	NA	0.01055	0.003113	0.001066	NA	0.001255	0.002982	0.001281	0.001547	0.002847	0.00125	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Verminephrobacter"	"G"	26463	22	NA	2	13	20	NA	4	9	NA	5	22	4	NA	0.01055	NA	0.01055	0.005058	0.005329	NA	0.001673	0.003355	NA	0.001934	0.006264	0.001667	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Bordetella"	"G"	26365	1	NA	1	NA	1	NA	NA	1	NA	NA	NA	NA	NA	0.005277	NA	0.005277	NA	0.0002664	NA	NA	0.0003727	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Caenimonas"	"G"	26370	3	NA	1	1	3	NA	1	NA	NA	NA	2	NA	NA	0.005277	NA	0.005277	0.0003891	0.0007993	NA	0.0004183	NA	NA	NA	0.0005695	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Curvibacter"	"G"	26387	15	NA	1	2	5	NA	4	8	NA	2	15	4	NA	0.005277	NA	0.005277	0.0007782	0.001332	NA	0.001673	0.002982	NA	0.0007734	0.004271	0.001667	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Herminiimonas"	"G"	26398	3	NA	1	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	0.005277	NA	0.005277	NA	NA	NA	NA	NA	NA	NA	0.0008542	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"MWH-UniP1 aquatic group"	"G"	26411	8	NA	1	4	1	NA	2	7	NA	2	8	5	NA	0.005277	NA	0.005277	0.001556	0.0002664	NA	0.0008367	0.002609	NA	0.0007734	0.002278	0.002083	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Ottowia"	"G"	26421	4	NA	1	3	2	NA	2	2	NA	1	4	2	NA	0.005277	NA	0.005277	0.001167	0.0005329	NA	0.0008367	0.0007454	NA	0.0003867	0.001139	0.0008334	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Sphaerotilus"	"G"	26453	8	NA	1	8	3	NA	NA	3	NA	2	6	2	NA	0.005277	NA	0.005277	0.003113	0.0007993	NA	NA	0.001118	NA	0.0007734	0.001708	0.0008334	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Dechloromonas"	"G"	26563	11	NA	2	11	7	NA	1	3	NA	1	8	2	NA	0.01055	NA	0.01055	0.00428	0.001865	NA	0.0004183	0.001118	NA	0.0003867	0.002278	0.0008334	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Rhodocyclaceae"
"Azospira"	"G"	26558	1	NA	1	1	1	NA	NA	1	1	NA	1	1	NA	0.005277	NA	0.005277	0.0003891	0.0002664	NA	NA	0.0003727	0.0002562	NA	0.0002847	0.0004167	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Rhodocyclaceae"
"Methyloversatilis"	"G"	26569	1	NA	1	1	NA	NA	NA	NA	NA	NA	1	1	NA	0.005277	NA	0.005277	0.0003891	NA	NA	NA	NA	NA	NA	0.0002847	0.0004167	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Rhodocyclaceae"
"P3OB-51"	"G"	26548	5	NA	2	1	NA	NA	NA	5	NA	NA	3	NA	NA	0.01055	NA	0.01055	0.0003891	NA	NA	NA	0.001864	NA	NA	0.0008542	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Nitrosomonadaceae"
"oc32"	"G"	26551	11	NA	1	2	4	NA	2	3	NA	NA	11	1	NA	0.005277	NA	0.005277	0.0007782	0.001066	NA	0.0008367	0.001118	NA	NA	0.003132	0.0004167	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Nitrosomonadaceae"
"Methylophilaceae"	"F"	26515	66	NA	2	15	66	NA	7	19	4	6	23	12	NA	0.01758	NA	0.01055	0.005837	0.01758	NA	0.002928	0.007082	0.001025	0.00232	0.006549	0.005	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales"
"OM43 clade"	"G"	26523	56	NA	2	9	56	NA	2	7	NA	2	9	6	NA	0.01492	NA	0.01055	0.003502	0.01492	NA	0.0008367	0.002609	NA	0.0007734	0.002563	0.0025	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Methylophilaceae"
"Ferrovaceae"	"F"	26495	2	NA	1	2	2	NA	1	NA	NA	NA	1	NA	NA	0.005277	NA	0.005277	0.0007782	0.0005329	NA	0.0004183	NA	NA	NA	0.0002847	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales"
"Ferrovum"	"G"	26496	2	NA	1	2	2	NA	1	NA	NA	NA	1	NA	NA	0.005277	NA	0.005277	0.0007782	0.0005329	NA	0.0004183	NA	NA	NA	0.0002847	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Ferrovaceae"
"uncultured"	"G"	26511	16	NA	1	2	11	NA	1	4	NA	5	16	1	NA	0.005277	NA	0.005277	0.0007782	0.002931	NA	0.0004183	0.001491	NA	0.001934	0.004556	0.0004167	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Hydrogenophilaceae"
"Izhakiella"	"G"	26647	6	NA	2	2	6	NA	NA	1	3	2	6	2	NA	0.01055	NA	0.01055	0.0007782	0.001599	NA	NA	0.0003727	0.0007687	0.0007734	0.001708	0.0008334	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacteriales>Enterobacteriaceae"
"Pantoea"	"G"	3513	92	NA	1	9	7	NA	5	7	92	4	9	5	NA	0.02357	NA	0.005277	0.003502	0.001865	NA	0.002092	0.002609	0.02357	0.001547	0.002563	0.002083	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacteriales>Enterobacteriaceae"
"Sodalis"	"G"	3525	44	NA	1	1	3	NA	NA	1	44	1	NA	NA	NA	0.01127	NA	0.005277	0.0003891	0.0007993	NA	NA	0.0003727	0.01127	0.0003867	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacteriales>Enterobacteriaceae"
"Enhydrobacter"	"G"	3713	2	NA	1	1	2	NA	1	2	NA	1	1	2	NA	0.005277	NA	0.005277	0.0003891	0.0005329	NA	0.0004183	0.0007454	NA	0.0003867	0.0002847	0.0008334	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Moraxellaceae"
"Psychrobacter"	"G"	3716	8	NA	1	NA	4	1	NA	2	8	NA	3	1	NA	0.04227	NA	0.005277	NA	0.001066	0.04227	NA	0.0007454	0.00205	NA	0.0008542	0.0004167	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Moraxellaceae"
"Arenimonas"	"G"	3801	25	NA	3	22	17	NA	9	7	2	2	25	5	NA	0.01583	NA	0.01583	0.00856	0.004529	NA	0.003765	0.002609	0.0005124	0.0007734	0.007119	0.002083	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Xanthomonadales>Xanthomonadaceae"
"Luteimonas"	"G"	3808	7	NA	2	4	3	NA	2	4	NA	4	7	5	NA	0.01055	NA	0.01055	0.001556	0.0007993	NA	0.0008367	0.001491	NA	0.001547	0.001993	0.002083	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Xanthomonadales>Xanthomonadaceae"
"Shewanellaceae"	"F"	3399	10	NA	1	2	4	NA	2	4	10	1	10	2	NA	0.005277	NA	0.005277	0.0007782	0.001066	NA	0.0008367	0.001491	0.002562	0.0003867	0.002847	0.0008334	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Alteromonadales"
"Shewanella"	"G"	3400	10	NA	1	2	4	NA	2	4	9	1	10	2	NA	0.005277	NA	0.005277	0.0007782	0.001066	NA	0.0008367	0.001491	0.002306	0.0003867	0.002847	0.0008334	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Alteromonadales>Shewanellaceae"
"Pasteurellales"	"O"	3688	73	NA	2	23	69	NA	13	10	73	8	27	11	NA	0.0187	NA	0.01055	0.00895	0.01838	NA	0.005438	0.003727	0.0187	0.003094	0.007688	0.004583	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Pasteurellaceae"	"F"	3689	73	NA	2	23	69	NA	13	10	73	8	27	11	NA	0.0187	NA	0.01055	0.00895	0.01838	NA	0.005438	0.003727	0.0187	0.003094	0.007688	0.004583	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Pasteurellales"
"Aggregatibacter"	"G"	3691	35	NA	1	7	35	NA	4	7	5	2	13	3	NA	0.009325	NA	0.005277	0.002724	0.009325	NA	0.001673	0.002609	0.001281	0.0007734	0.003702	0.00125	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Pasteurellales>Pasteurellaceae"
"Haemophilus"	"G"	3698	54	NA	1	7	19	NA	5	2	54	5	7	6	NA	0.01384	NA	0.005277	0.002724	0.005062	NA	0.002092	0.0007454	0.01384	0.001934	0.001993	0.0025	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Pasteurellales>Pasteurellaceae"
"Gammaproteobacteria Incertae Sedis"	"O"	3535	36	NA	1	29	36	NA	6	10	8	9	33	6	NA	0.01128	NA	0.005277	0.01128	0.009592	NA	0.00251	0.003727	0.00205	0.00348	0.009396	0.0025	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Unknown Family"	"F"	3536	36	NA	1	29	36	NA	6	10	8	9	33	6	NA	0.01128	NA	0.005277	0.01128	0.009592	NA	0.00251	0.003727	0.00205	0.00348	0.009396	0.0025	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Gammaproteobacteria&nbsp;Incertae&nbsp;Sedis"
"Candidatus Berkiella"	"G"	26663	18	NA	1	15	18	NA	2	4	NA	3	16	1	NA	0.005837	NA	0.005277	0.005837	0.004796	NA	0.0008367	0.001491	NA	0.00116	0.004556	0.0004167	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Gammaproteobacteria&nbsp;Incertae&nbsp;Sedis>Unknown&nbsp;Family"
"Salinisphaerales"	"O"	3728	10	NA	1	10	5	1	3	4	1	NA	8	1	NA	0.04227	NA	0.005277	0.003891	0.001332	0.04227	0.001255	0.001491	0.0002562	NA	0.002278	0.0004167	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"B2M28"	"O"	26324	2	NA	1	NA	2	NA	NA	1	NA	NA	1	2	NA	0.005277	NA	0.005277	NA	0.0005329	NA	NA	0.0003727	NA	NA	0.0002847	0.0008334	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Diplorickettsiales"	"O"	26616	163	NA	1	35	163	NA	13	22	NA	16	48	23	NA	0.04343	NA	0.005277	0.01362	0.04343	NA	0.005438	0.0082	NA	0.006188	0.01367	0.009584	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Diplorickettsiaceae"	"F"	26617	163	NA	1	35	163	NA	13	22	NA	16	48	23	NA	0.04343	NA	0.005277	0.01362	0.04343	NA	0.005438	0.0082	NA	0.006188	0.01367	0.009584	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Diplorickettsiales"
"uncultured"	"G"	26621	17	NA	1	12	15	NA	3	4	NA	5	17	10	NA	0.005277	NA	0.005277	0.004669	0.003996	NA	0.001255	0.001491	NA	0.001934	0.004841	0.004167	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Diplorickettsiales>Diplorickettsiaceae"
"Steroidobacteraceae"	"F"	26826	30	NA	1	8	13	NA	11	12	2	11	30	13	NA	0.008542	NA	0.005277	0.003113	0.003464	NA	0.004602	0.004473	0.0005124	0.004254	0.008542	0.005417	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Steroidobacterales"
"Steroidobacter"	"G"	26828	25	NA	1	7	8	NA	10	7	2	10	25	11	NA	0.007119	NA	0.005277	0.002724	0.002131	NA	0.004183	0.002609	0.0005124	0.003867	0.007119	0.004583	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Steroidobacterales>Steroidobacteraceae"
"Bradyrhizobium"	"G"	26151	78	NA	2	38	78	NA	10	17	1	11	28	8	NA	0.02078	NA	0.01055	0.01479	0.02078	NA	0.004183	0.006336	0.0002562	0.004254	0.007973	0.003333	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Xanthobacteraceae"
"uncultured"	"G"	2554	64	NA	1	13	64	NA	4	9	NA	1	30	4	NA	0.01705	NA	0.005277	0.005058	0.01705	NA	0.001673	0.003355	NA	0.0003867	0.008542	0.001667	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Xanthobacteraceae"
"Cereibacter"	"G"	14530	4	NA	1	NA	2	NA	NA	NA	NA	NA	4	NA	NA	0.005277	NA	0.005277	NA	0.0005329	NA	NA	NA	NA	NA	0.001139	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"SAR11 clade"	"O"	2808	13	NA	3	5	8	NA	4	5	1	3	13	6	NA	0.01583	NA	0.01583	0.001946	0.002131	NA	0.001673	0.001864	0.0002562	0.00116	0.003702	0.0025	NA	"Bacteria>Proteobacteria>Alphaproteobacteria"
"Clade II"	"F"	26232	5	NA	2	2	1	NA	2	3	1	1	5	4	NA	0.01055	NA	0.01055	0.0007782	0.0002664	NA	0.0008367	0.001118	0.0002562	0.0003867	0.001424	0.001667	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>SAR11&nbsp;clade"
"Clade I"	"F"	26228	3	NA	1	1	1	NA	1	NA	NA	NA	3	NA	NA	0.005277	NA	0.005277	0.0003891	0.0002664	NA	0.0004183	NA	NA	NA	0.0008542	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>SAR11&nbsp;clade"
"uncultured"	"G"	26231	1	NA	1	NA	NA	NA	1	NA	NA	NA	1	NA	NA	0.005277	NA	0.005277	NA	NA	NA	0.0004183	NA	NA	NA	0.0002847	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>SAR11&nbsp;clade>Clade&nbsp;I"
"Holosporales"	"O"	25986	11	NA	2	6	7	NA	5	3	NA	3	11	3	NA	0.01055	NA	0.01055	0.002335	0.001865	NA	0.002092	0.001118	NA	0.00116	0.003132	0.00125	NA	"Bacteria>Proteobacteria>Alphaproteobacteria"
"Holosporaceae"	"F"	25987	11	NA	2	6	7	NA	5	3	NA	3	11	3	NA	0.01055	NA	0.01055	0.002335	0.001865	NA	0.002092	0.001118	NA	0.00116	0.003132	0.00125	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Holosporales"
"uncultured"	"G"	25992	10	NA	2	6	6	NA	4	3	NA	3	10	3	NA	0.01055	NA	0.01055	0.002335	0.001599	NA	0.001673	0.001118	NA	0.00116	0.002847	0.00125	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Holosporales>Holosporaceae"
"Rhodospirillales"	"O"	2667	115	NA	1	31	115	NA	18	18	9	20	39	17	NA	0.03064	NA	0.005277	0.01206	0.03064	NA	0.00753	0.006709	0.002306	0.007734	0.0111	0.007084	NA	"Bacteria>Proteobacteria>Alphaproteobacteria"
"Magnetospiraceae"	"F"	26178	10	NA	1	6	10	NA	9	3	NA	8	2	8	NA	0.005277	NA	0.005277	0.002335	0.002664	NA	0.003765	0.001118	NA	0.003094	0.0005695	0.003333	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales"
"uncultured"	"G"	26182	9	NA	1	4	7	NA	9	2	NA	8	2	8	NA	0.005277	NA	0.005277	0.001556	0.001865	NA	0.003765	0.0007454	NA	0.003094	0.0005695	0.003333	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Magnetospiraceae"
"Mitochondria"	"F"	2805	17	NA	1	7	17	NA	10	10	7	4	9	7	NA	0.005277	NA	0.005277	0.002724	0.004529	NA	0.004183	0.003727	0.001794	0.001547	0.002563	0.002917	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales"
"Azospirillales"	"O"	25946	97	NA	1	20	97	NA	4	15	18	6	34	7	NA	0.02584	NA	0.005277	0.007782	0.02584	NA	0.001673	0.005591	0.004612	0.00232	0.009681	0.002917	NA	"Bacteria>Proteobacteria>Alphaproteobacteria"
"Azospirillaceae"	"F"	25947	95	NA	1	20	95	NA	4	15	17	5	32	7	NA	0.02531	NA	0.005277	0.007782	0.02531	NA	0.001673	0.005591	0.004356	0.001934	0.009112	0.002917	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Azospirillales"
"Azospirillum"	"G"	25948	67	NA	1	14	67	NA	4	11	15	5	20	4	NA	0.01785	NA	0.005277	0.005448	0.01785	NA	0.001673	0.0041	0.003843	0.001934	0.005695	0.001667	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Azospirillales>Azospirillaceae"
"Micavibrionales"	"O"	25998	12	NA	1	6	12	NA	5	6	3	5	6	3	NA	0.005277	NA	0.005277	0.002335	0.003197	NA	0.002092	0.002236	0.0007687	0.001934	0.001708	0.00125	NA	"Bacteria>Proteobacteria>Alphaproteobacteria"
"Micavibrionaceae"	"F"	25999	2	NA	1	NA	1	NA	2	1	1	NA	1	1	NA	0.005277	NA	0.005277	NA	0.0002664	NA	0.0008367	0.0003727	0.0002562	NA	0.0002847	0.0004167	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Micavibrionales"
"uncultured"	"G"	26001	2	NA	1	NA	1	NA	2	1	1	NA	1	1	NA	0.005277	NA	0.005277	NA	0.0002664	NA	0.0008367	0.0003727	0.0002562	NA	0.0002847	0.0004167	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Micavibrionales>Micavibrionaceae"
"Desulfovibrionales"	"O"	3156	259	NA	2	16	21	NA	9	11	259	11	12	9	NA	0.06636	NA	0.01055	0.006226	0.005595	NA	0.003765	0.0041	0.06636	0.004254	0.003417	0.00375	NA	"Bacteria>Proteobacteria>Deltaproteobacteria"
"Desulfovibrionaceae"	"F"	3169	255	NA	2	12	11	NA	5	8	255	6	9	5	NA	0.06534	NA	0.01055	0.004669	0.002931	NA	0.002092	0.002982	0.06534	0.00232	0.002563	0.002083	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Desulfovibrionales"
"Desulfovibrio"	"G"	3173	254	NA	2	12	11	NA	4	8	254	6	8	5	NA	0.06508	NA	0.01055	0.004669	0.002931	NA	0.001673	0.002982	0.06508	0.00232	0.002278	0.002083	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Desulfovibrionales>Desulfovibrionaceae"
"Desulfuromonadales"	"O"	3181	12	NA	1	7	12	NA	6	6	2	5	5	9	NA	0.005277	NA	0.005277	0.002724	0.003197	NA	0.00251	0.002236	0.0005124	0.001934	0.001424	0.00375	NA	"Bacteria>Proteobacteria>Deltaproteobacteria"
"Geobacteraceae"	"F"	3195	8	NA	1	6	8	NA	5	4	2	5	4	7	NA	0.005277	NA	0.005277	0.002335	0.002131	NA	0.002092	0.001491	0.0005124	0.001934	0.001139	0.002917	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Desulfuromonadales"
"Geopsychrobacter"	"G"	3198	1	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.005277	NA	0.005277	0.0003891	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Desulfuromonadales>Geobacteraceae"
"Syntrophobacterales"	"O"	3251	35	NA	1	20	27	NA	25	12	5	16	35	22	NA	0.01046	NA	0.005277	0.007782	0.007194	NA	0.01046	0.004473	0.001281	0.006188	0.009966	0.009167	NA	"Bacteria>Proteobacteria>Deltaproteobacteria"
"Syntrophobacteraceae"	"F"	3258	31	NA	1	15	17	NA	12	8	1	6	31	19	NA	0.008827	NA	0.005277	0.005837	0.004529	NA	0.00502	0.002982	0.0002562	0.00232	0.008827	0.007917	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Syntrophobacterales"
"uncultured"	"G"	3266	21	NA	1	6	7	NA	8	6	NA	3	21	13	NA	0.00598	NA	0.005277	0.002335	0.001865	NA	0.003347	0.002236	NA	0.00116	0.00598	0.005417	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Syntrophobacterales>Syntrophobacteraceae"
"Pseudarcicella"	"G"	24809	5	NA	1	4	2	NA	1	1	NA	3	3	5	NA	0.005277	NA	0.005277	0.001556	0.0005329	NA	0.0004183	0.0003727	NA	0.00116	0.0008542	0.002083	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Hymenobacteraceae"	"F"	24776	11	NA	1	2	3	NA	4	4	NA	11	1	2	NA	0.005277	NA	0.005277	0.0007782	0.0007993	NA	0.001673	0.001491	NA	0.004254	0.0002847	0.0008334	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales"
"Hymenobacter"	"G"	24778	7	NA	1	NA	2	NA	4	2	NA	7	1	2	NA	0.005277	NA	0.005277	NA	0.0005329	NA	0.001673	0.0007454	NA	0.002707	0.0002847	0.0008334	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Hymenobacteraceae"
"BCf9-17 termite group"	"G"	969	6	NA	2	3	1	NA	3	5	NA	2	6	1	NA	0.01055	NA	0.01055	0.001167	0.0002664	NA	0.001255	0.001864	NA	0.0007734	0.001708	0.0004167	NA	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales>Rikenellaceae"
"ML635J-40 aquatic group"	"F"	928	38	NA	1	13	20	NA	34	21	NA	38	26	23	NA	0.0147	NA	0.005277	0.005058	0.005329	NA	0.01422	0.007827	NA	0.0147	0.007403	0.009584	NA	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales"
"Bacteroidetes BD2-2"	"F"	24595	15	NA	1	5	9	NA	6	6	7	10	11	15	NA	0.00625	NA	0.005277	0.001946	0.002398	NA	0.00251	0.002236	0.001794	0.003867	0.003132	0.00625	NA	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales"
