"name"	"taxRank"	"taxID"	"Max"	"centrifuge_16s_classification_june_BC01.cladeReads"	"centrifuge_16s_classification_june_BC02.cladeReads"	"centrifuge_16s_classification_june_BC03.cladeReads"	"centrifuge_16s_classification_june_BC04.cladeReads"	"centrifuge_16s_classification_june_BC05.cladeReads"	"centrifuge_16s_classification_june_BC06.cladeReads"	"centrifuge_16s_classification_june_BC08.cladeReads"	"centrifuge_16s_classification_june_BC09.cladeReads"	"centrifuge_16s_classification_june_BC10.cladeReads"	"centrifuge_16s_classification_june_BC11.cladeReads"	"centrifuge_16s_classification_june_BC12.cladeReads"	"Max.1"	"centrifuge_16s_classification_june_BC01.cladeReads.."	"centrifuge_16s_classification_june_BC02.cladeReads.."	"centrifuge_16s_classification_june_BC03.cladeReads.."	"centrifuge_16s_classification_june_BC04.cladeReads.."	"centrifuge_16s_classification_june_BC05.cladeReads.."	"centrifuge_16s_classification_june_BC06.cladeReads.."	"centrifuge_16s_classification_june_BC08.cladeReads.."	"centrifuge_16s_classification_june_BC09.cladeReads.."	"centrifuge_16s_classification_june_BC10.cladeReads.."	"centrifuge_16s_classification_june_BC11.cladeReads.."	"centrifuge_16s_classification_june_BC12.cladeReads.."	"lineage"
"Aquabacterium"	"G"	92793	69	7	2	1	NA	12	NA	1	NA	NA	69	NA	0.07582	0.00349	0.02712	0.000613	NA	0.00617	NA	0.0005497	NA	NA	0.07582	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>unclassified&nbsp;Burkholderiales>Burkholderiales&nbsp;Genera&nbsp;incertae&nbsp;sedis"
"environmental samples"	"-"	158752	36	7	2	1	NA	9	NA	1	NA	NA	36	NA	0.03956	0.00349	0.02712	0.000613	NA	0.004628	NA	0.0005497	NA	NA	0.03956	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>unclassified&nbsp;Burkholderiales>Burkholderiales&nbsp;Genera&nbsp;incertae&nbsp;sedis>Aquabacterium"
"uncultured Aquabacterium sp."	"S"	158753	36	7	2	1	NA	9	NA	1	NA	NA	36	NA	0.03956	0.00349	0.02712	0.000613	NA	0.004628	NA	0.0005497	NA	NA	0.03956	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>unclassified&nbsp;Burkholderiales>Burkholderiales&nbsp;Genera&nbsp;incertae&nbsp;sedis>Aquabacterium>environmental&nbsp;samples"
"Rhizobacter"	"G"	212743	10	5	NA	NA	NA	6	NA	NA	NA	NA	10	NA	0.01099	0.002493	NA	NA	NA	0.003085	NA	NA	NA	NA	0.01099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>unclassified&nbsp;Burkholderiales>Burkholderiales&nbsp;Genera&nbsp;incertae&nbsp;sedis"
"Rhizobacter dauci"	"S"	431677	5	3	NA	NA	NA	4	NA	NA	NA	NA	5	NA	0.005494	0.001496	NA	NA	NA	0.002057	NA	NA	NA	NA	0.005494	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>unclassified&nbsp;Burkholderiales>Burkholderiales&nbsp;Genera&nbsp;incertae&nbsp;sedis>Rhizobacter"
"environmental samples"	"-"	498727	2	2	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	0.001028	0.0009973	NA	NA	NA	0.001028	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>unclassified&nbsp;Burkholderiales>Burkholderiales&nbsp;Genera&nbsp;incertae&nbsp;sedis>Rhizobacter"
"uncultured Rhizobacter sp."	"S"	498728	2	2	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	0.001028	0.0009973	NA	NA	NA	0.001028	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>unclassified&nbsp;Burkholderiales>Burkholderiales&nbsp;Genera&nbsp;incertae&nbsp;sedis>Rhizobacter>environmental&nbsp;samples"
"Mitsuaria"	"G"	65047	12	3	NA	NA	NA	12	NA	NA	NA	NA	11	NA	0.01209	0.001496	NA	NA	NA	0.00617	NA	NA	NA	NA	0.01209	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>unclassified&nbsp;Burkholderiales>Burkholderiales&nbsp;Genera&nbsp;incertae&nbsp;sedis"
"Mitsuaria chitosanitabida"	"S"	65048	10	2	NA	NA	NA	10	NA	NA	NA	NA	9	NA	0.00989	0.0009973	NA	NA	NA	0.005142	NA	NA	NA	NA	0.00989	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>unclassified&nbsp;Burkholderiales>Burkholderiales&nbsp;Genera&nbsp;incertae&nbsp;sedis>Mitsuaria"
"Mitsuaria sp. YN-7"	"S"	1191413	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004986	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>unclassified&nbsp;Burkholderiales>Burkholderiales&nbsp;Genera&nbsp;incertae&nbsp;sedis>Mitsuaria"
"Rivibacter"	"G"	1146865	2	2	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	0.002198	0.0009973	NA	NA	NA	NA	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>unclassified&nbsp;Burkholderiales>Burkholderiales&nbsp;Genera&nbsp;incertae&nbsp;sedis"
"Rivibacter sp. VITPRS2"	"S"	1298731	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004986	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>unclassified&nbsp;Burkholderiales>Burkholderiales&nbsp;Genera&nbsp;incertae&nbsp;sedis>Rivibacter"
"Rivibacter sp. VITPRS3"	"S"	1298732	1	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001099	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>unclassified&nbsp;Burkholderiales>Burkholderiales&nbsp;Genera&nbsp;incertae&nbsp;sedis>Rivibacter"
"Rubrivivax"	"G"	28067	3	1	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	0.003297	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	0.003297	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>unclassified&nbsp;Burkholderiales>Burkholderiales&nbsp;Genera&nbsp;incertae&nbsp;sedis"
"Rubrivivax benzoatilyticus"	"S"	316997	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004986	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>unclassified&nbsp;Burkholderiales>Burkholderiales&nbsp;Genera&nbsp;incertae&nbsp;sedis>Rubrivivax"
"Ideonella"	"G"	36862	11	1	NA	NA	NA	6	NA	NA	NA	NA	11	NA	0.01209	0.0004986	NA	NA	NA	0.003085	NA	NA	NA	NA	0.01209	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>unclassified&nbsp;Burkholderiales>Burkholderiales&nbsp;Genera&nbsp;incertae&nbsp;sedis"
"environmental samples"	"-"	260758	6	1	NA	NA	NA	1	NA	NA	NA	NA	6	NA	0.006593	0.0004986	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.006593	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>unclassified&nbsp;Burkholderiales>Burkholderiales&nbsp;Genera&nbsp;incertae&nbsp;sedis>Ideonella"
"uncultured Ideonella sp."	"S"	260759	6	1	NA	NA	NA	1	NA	NA	NA	NA	6	NA	0.006593	0.0004986	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.006593	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>unclassified&nbsp;Burkholderiales>Burkholderiales&nbsp;Genera&nbsp;incertae&nbsp;sedis>Ideonella>environmental&nbsp;samples"
"Aquincola"	"G"	391952	3	1	NA	1	NA	3	NA	NA	NA	NA	1	NA	0.001543	0.0004986	NA	0.000613	NA	0.001543	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>unclassified&nbsp;Burkholderiales>Burkholderiales&nbsp;Genera&nbsp;incertae&nbsp;sedis"
"environmental samples"	"-"	886555	2	1	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	0.001028	0.0004986	NA	NA	NA	0.001028	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>unclassified&nbsp;Burkholderiales>Burkholderiales&nbsp;Genera&nbsp;incertae&nbsp;sedis>Aquincola"
"uncultured Aquincola sp."	"S"	886556	2	1	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	0.001028	0.0004986	NA	NA	NA	0.001028	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>unclassified&nbsp;Burkholderiales>Burkholderiales&nbsp;Genera&nbsp;incertae&nbsp;sedis>Aquincola>environmental&nbsp;samples"
"environmental samples"	"-"	47926	2328	362	49	175	NA	2328	NA	19	NA	NA	1690	NA	1.857	0.1805	0.6645	0.1073	NA	1.197	NA	0.01044	NA	NA	1.857	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria"
"uncultured beta proteobacterium"	"S"	86027	2198	336	45	165	NA	2198	NA	18	NA	NA	1589	NA	1.746	0.1675	0.6103	0.1011	NA	1.13	NA	0.009894	NA	NA	1.746	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>environmental&nbsp;samples"
"humic substances enrichment clone B32"	"S"	118425	35	9	3	1	NA	35	NA	NA	NA	NA	16	NA	0.04068	0.004488	0.04068	0.000613	NA	0.018	NA	NA	NA	NA	0.01758	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>environmental&nbsp;samples"
"uncultured sludge bacterium A26b"	"S"	117413	13	5	NA	NA	NA	2	NA	NA	NA	NA	13	NA	0.01429	0.002493	NA	NA	NA	0.001028	NA	NA	NA	NA	0.01429	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>environmental&nbsp;samples"
"uncultured Green Bay ferromanganous micronodule bacterium MNA1"	"S"	140608	29	5	1	1	NA	29	NA	NA	NA	NA	18	NA	0.01978	0.002493	0.01356	0.000613	NA	0.01491	NA	NA	NA	NA	0.01978	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>environmental&nbsp;samples"
"uncultured bacterium SJA-21"	"S"	78935	2	2	NA	1	NA	2	NA	NA	NA	NA	1	NA	0.001099	0.0009973	NA	0.000613	NA	0.001028	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>environmental&nbsp;samples"
"uncultured bacterium SJA-155"	"S"	78977	7	1	NA	NA	NA	7	NA	NA	NA	NA	2	NA	0.003599	0.0004986	NA	NA	NA	0.003599	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>environmental&nbsp;samples"
"uncultured sludge bacterium A15"	"S"	117411	2	1	NA	NA	NA	1	NA	NA	NA	NA	2	NA	0.002198	0.0004986	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>environmental&nbsp;samples"
"uncultured marine bacterium ZD0412"	"S"	119517	2	1	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	0.002198	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>environmental&nbsp;samples"
"uncultured bacterium FukuS93"	"S"	124627	1	1	NA	NA	NA	1	NA	NA	NA	NA	1	NA	0.001099	0.0004986	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>environmental&nbsp;samples"
"uncultured Green Bay ferromanganous micronodule bacterium MND1"	"S"	140610	1	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001099	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>environmental&nbsp;samples"
"Rhodocyclales"	"O"	206389	102	58	1	47	NA	74	NA	1	NA	NA	102	NA	0.1121	0.02892	0.01356	0.02881	NA	0.03805	NA	0.0005497	NA	NA	0.1121	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria"
"Zoogloeaceae"	"F"	2008794	47	25	NA	24	NA	33	NA	NA	NA	NA	47	NA	0.05165	0.01247	NA	0.01471	NA	0.01697	NA	NA	NA	NA	0.05165	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Rhodocyclales"
"Azoarcus"	"G"	12960	30	11	NA	13	NA	30	NA	NA	NA	NA	28	NA	0.03077	0.005485	NA	0.007968	NA	0.01543	NA	NA	NA	NA	0.03077	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Rhodocyclales>Zoogloeaceae"
"Azoarcus indigens"	"S"	29545	7	4	NA	7	NA	1	NA	NA	NA	NA	1	NA	0.004291	0.001995	NA	0.004291	NA	0.0005142	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Rhodocyclales>Zoogloeaceae>Azoarcus"
"environmental samples"	"-"	69837	17	4	NA	3	NA	13	NA	NA	NA	NA	17	NA	0.01868	0.001995	NA	0.001839	NA	0.006684	NA	NA	NA	NA	0.01868	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Rhodocyclales>Zoogloeaceae>Azoarcus"
"uncultured Azoarcus sp."	"S"	187273	17	4	NA	3	NA	13	NA	NA	NA	NA	17	NA	0.01868	0.001995	NA	0.001839	NA	0.006684	NA	NA	NA	NA	0.01868	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Rhodocyclales>Zoogloeaceae>Azoarcus>environmental&nbsp;samples"
"Azoarcus tolulyticus"	"S"	34027	13	2	NA	2	NA	13	NA	NA	NA	NA	7	NA	0.007692	0.0009973	NA	0.001226	NA	0.006684	NA	NA	NA	NA	0.007692	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Rhodocyclales>Zoogloeaceae>Azoarcus"
"Azoarcus sp. JMC-UBL 43"	"S"	859294	2	1	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	0.002198	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Rhodocyclales>Zoogloeaceae>Azoarcus"
"Thauera"	"G"	33057	9	9	NA	6	NA	NA	NA	NA	NA	NA	4	NA	0.004488	0.004488	NA	0.003678	NA	NA	NA	NA	NA	NA	0.004396	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Rhodocyclales>Zoogloeaceae"
"environmental samples"	"-"	161488	5	5	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	0.002493	0.002493	NA	0.001226	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Rhodocyclales>Zoogloeaceae>Thauera"
"uncultured Thauera sp."	"S"	161489	5	5	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	0.002493	0.002493	NA	0.001226	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Rhodocyclales>Zoogloeaceae>Thauera>environmental&nbsp;samples"
"Thauera selenatis"	"S"	33058	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004986	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Rhodocyclales>Zoogloeaceae>Thauera"
"Thauera aromatica"	"S"	59405	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004986	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Rhodocyclales>Zoogloeaceae>Thauera"
"Thauera butanivorans"	"S"	86174	1	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	0.0004986	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Rhodocyclales>Zoogloeaceae>Thauera"
"Thauera phenylacetica"	"S"	164400	2	1	NA	2	NA	NA	NA	NA	NA	NA	2	NA	0.002198	0.0004986	NA	0.001226	NA	NA	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Rhodocyclales>Zoogloeaceae>Thauera"
"Zoogloea"	"G"	349	4	4	NA	4	NA	3	NA	NA	NA	NA	3	NA	0.003297	0.001995	NA	0.002452	NA	0.001543	NA	NA	NA	NA	0.003297	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Rhodocyclales>Zoogloeaceae"
"environmental samples"	"-"	62665	4	2	NA	4	NA	2	NA	NA	NA	NA	1	NA	0.002452	0.0009973	NA	0.002452	NA	0.001028	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Rhodocyclales>Zoogloeaceae>Zoogloea"
"uncultured Zoogloea sp."	"S"	160237	4	2	NA	4	NA	2	NA	NA	NA	NA	1	NA	0.002452	0.0009973	NA	0.002452	NA	0.001028	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Rhodocyclales>Zoogloeaceae>Zoogloea>environmental&nbsp;samples"
"Zoogloea sp. UNPF74"	"S"	1141200	2	2	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001099	0.0009973	NA	NA	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Rhodocyclales>Zoogloeaceae>Zoogloea"
"Rhodocyclaceae"	"F"	75787	38	18	NA	8	NA	33	NA	1	NA	NA	38	NA	0.04176	0.008975	NA	0.004904	NA	0.01697	NA	0.0005497	NA	NA	0.04176	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Rhodocyclales"
"environmental samples"	"-"	90628	26	13	NA	4	NA	26	NA	1	NA	NA	25	NA	0.02747	0.006482	NA	0.002452	NA	0.01337	NA	0.0005497	NA	NA	0.02747	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Rhodocyclales>Rhodocyclaceae"
"uncultured Rhodocyclaceae bacterium"	"S"	151985	24	12	NA	4	NA	24	NA	1	NA	NA	24	NA	0.02637	0.005984	NA	0.002452	NA	0.01234	NA	0.0005497	NA	NA	0.02637	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Rhodocyclales>Rhodocyclaceae>environmental&nbsp;samples"
"uncultured bacterium H12"	"S"	90634	1	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001099	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Rhodocyclales>Rhodocyclaceae>environmental&nbsp;samples"
"unclassified Rhodocyclaceae"	"-"	75788	5	3	NA	2	NA	1	NA	NA	NA	NA	5	NA	0.005494	0.001496	NA	0.001226	NA	0.0005142	NA	NA	NA	NA	0.005494	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Rhodocyclales>Rhodocyclaceae"
"denitrifying bacterium 72Chol"	"S"	75789	1	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	0.0004986	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Rhodocyclales>Rhodocyclaceae>unclassified&nbsp;Rhodocyclaceae"
"Rhodocyclaceae bacterium RR38"	"S"	268400	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004986	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Rhodocyclales>Rhodocyclaceae>unclassified&nbsp;Rhodocyclaceae"
"Rhodocyclaceae bacterium ICHIDE16"	"S"	1816649	2	1	NA	NA	NA	1	NA	NA	NA	NA	2	NA	0.002198	0.0004986	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Rhodocyclales>Rhodocyclaceae>unclassified&nbsp;Rhodocyclaceae"
"Denitromonas"	"G"	139331	3	1	NA	NA	NA	3	NA	NA	NA	NA	1	NA	0.001543	0.0004986	NA	NA	NA	0.001543	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Rhodocyclales>Rhodocyclaceae"
"environmental samples"	"-"	380004	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005142	0.0004986	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Rhodocyclales>Rhodocyclaceae>Denitromonas"
"uncultured Denitromonas sp."	"S"	380005	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005142	0.0004986	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Rhodocyclales>Rhodocyclaceae>Denitromonas>environmental&nbsp;samples"
"Azovibrio"	"G"	146935	1	1	NA	1	NA	NA	NA	NA	NA	NA	1	NA	0.001099	0.0004986	NA	0.000613	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Rhodocyclales>Rhodocyclaceae"
"environmental samples"	"-"	502053	1	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001099	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Rhodocyclales>Rhodocyclaceae>Azovibrio"
"uncultured Azovibrio sp."	"S"	502054	1	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001099	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Rhodocyclales>Rhodocyclaceae>Azovibrio>environmental&nbsp;samples"
"Azonexaceae"	"F"	2008795	16	9	1	13	NA	8	NA	NA	NA	NA	16	NA	0.01758	0.004488	0.01356	0.007968	NA	0.004113	NA	NA	NA	NA	0.01758	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Rhodocyclales"
"Dechloromonas"	"G"	73029	12	5	NA	9	NA	5	NA	NA	NA	NA	12	NA	0.01319	0.002493	NA	0.005517	NA	0.002571	NA	NA	NA	NA	0.01319	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Rhodocyclales>Azonexaceae"
"environmental samples"	"-"	171718	10	5	NA	9	NA	5	NA	NA	NA	NA	10	NA	0.01099	0.002493	NA	0.005517	NA	0.002571	NA	NA	NA	NA	0.01099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Rhodocyclales>Azonexaceae>Dechloromonas"
"uncultured Dechloromonas sp."	"S"	171719	10	5	NA	9	NA	5	NA	NA	NA	NA	10	NA	0.01099	0.002493	NA	0.005517	NA	0.002571	NA	NA	NA	NA	0.01099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Rhodocyclales>Azonexaceae>Dechloromonas>environmental&nbsp;samples"
"Ferribacterium"	"G"	88875	3	3	NA	1	NA	NA	NA	NA	NA	NA	1	NA	0.001496	0.001496	NA	0.000613	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Rhodocyclales>Azonexaceae"
"Ferribacterium limneticum"	"S"	76259	3	3	NA	1	NA	NA	NA	NA	NA	NA	1	NA	0.001496	0.001496	NA	0.000613	NA	NA	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Rhodocyclales>Azonexaceae>Ferribacterium"
"Azonexus"	"G"	146936	2	1	NA	1	NA	2	NA	NA	NA	NA	1	NA	0.001099	0.0004986	NA	0.000613	NA	0.001028	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Rhodocyclales>Azonexaceae"
"Azonexus sp. HME6654"	"S"	869393	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004986	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Rhodocyclales>Azonexaceae>Azonexus"
"Nitrosomonadales"	"O"	32003	182	35	3	20	NA	182	NA	4	NA	NA	165	NA	0.1813	0.01745	0.04068	0.01226	NA	0.09358	NA	0.002199	NA	NA	0.1813	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria"
"Methylophilaceae"	"F"	32011	80	8	2	6	NA	52	NA	2	NA	NA	80	NA	0.08791	0.003989	0.02712	0.003678	NA	0.02674	NA	0.001099	NA	NA	0.08791	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Nitrosomonadales"
"Methylophilus"	"G"	16	44	3	1	3	NA	20	NA	1	NA	NA	44	NA	0.04835	0.001496	0.01356	0.001839	NA	0.01028	NA	0.0005497	NA	NA	0.04835	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Nitrosomonadales>Methylophilaceae"
"Methylophilus methylotrophus"	"S"	17	10	1	1	2	NA	8	NA	NA	NA	NA	10	NA	0.01356	0.0004986	0.01356	0.001226	NA	0.004113	NA	NA	NA	NA	0.01099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Nitrosomonadales>Methylophilaceae>Methylophilus"
"environmental samples"	"-"	54520	22	1	NA	NA	NA	9	NA	1	NA	NA	22	NA	0.02418	0.0004986	NA	NA	NA	0.004628	NA	0.0005497	NA	NA	0.02418	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Nitrosomonadales>Methylophilaceae>Methylophilus"
