"name"	"taxRank"	"taxID"	"Max"	"centrifuge_16s_classification_august_BC01.cladeReads"	"centrifuge_16s_classification_august_BC02.cladeReads"	"centrifuge_16s_classification_august_BC03.cladeReads"	"centrifuge_16s_classification_august_BC04.cladeReads"	"centrifuge_16s_classification_august_BC05.cladeReads"	"centrifuge_16s_classification_august_BC06.cladeReads"	"centrifuge_16s_classification_august_BC07.cladeReads"	"centrifuge_16s_classification_august_BC08.cladeReads"	"centrifuge_16s_classification_august_BC09.cladeReads"	"centrifuge_16s_classification_august_BC10.cladeReads"	"centrifuge_16s_classification_august_BC11.cladeReads"	"centrifuge_16s_classification_august_BC12.cladeReads"	"Max.1"	"centrifuge_16s_classification_august_BC01.cladeReads.."	"centrifuge_16s_classification_august_BC02.cladeReads.."	"centrifuge_16s_classification_august_BC03.cladeReads.."	"centrifuge_16s_classification_august_BC04.cladeReads.."	"centrifuge_16s_classification_august_BC05.cladeReads.."	"centrifuge_16s_classification_august_BC06.cladeReads.."	"centrifuge_16s_classification_august_BC07.cladeReads.."	"centrifuge_16s_classification_august_BC08.cladeReads.."	"centrifuge_16s_classification_august_BC09.cladeReads.."	"centrifuge_16s_classification_august_BC10.cladeReads.."	"centrifuge_16s_classification_august_BC11.cladeReads.."	"centrifuge_16s_classification_august_BC12.cladeReads.."	"lineage"
"Hirschia maritima"	"S"	1121961	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0002848	0.0002848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Hyphomonadaceae>Hirschia"
"Hirschia maritima DSM 19733"	"-"	551275	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0002848	0.0002848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Hyphomonadaceae>Hirschia>Hirschia&nbsp;maritima"
"Maricaulis"	"G"	74317	1	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.001874	0.0002848	0.001874	NA	NA	NA	0.0001031	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Hyphomonadaceae"
"Maricaulis sp. DY14"	"S"	1267767	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001874	0.0002848	0.001874	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Hyphomonadaceae>Maricaulis"
"unclassified Rhodobacterales"	"-"	285892	2	1	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	0.001293	0.0002848	NA	NA	NA	NA	NA	NA	NA	NA	0.001293	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales"
"Rhodobacterales bacterium B5 ZZ-2008"	"S"	547527	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0002848	0.0002848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>unclassified&nbsp;Rhodobacterales"
"environmental samples"	"-"	47925	1343	1343	170	NA	1	67	52	94	12	NA	801	59	83	0.518	0.3825	0.3186	NA	0.07289	0.006853	0.005359	0.01164	0.0006796	NA	0.518	0.006187	0.1669	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria"
"uncultured Alphaproteobacteria bacterium"	"S"	91750	1303	1303	169	NA	1	65	49	80	12	NA	768	52	81	0.4967	0.3711	0.3168	NA	0.07289	0.006648	0.00505	0.009903	0.0006796	NA	0.4967	0.005453	0.1629	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>environmental&nbsp;samples"
"uncultured bacterium mle1-20"	"S"	137395	6	6	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	0.001709	0.001709	NA	NA	NA	NA	NA	NA	NA	NA	0.001293	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>environmental&nbsp;samples"
"uncultured sludge bacterium A26"	"S"	117473	6	2	NA	NA	NA	1	1	6	NA	NA	1	3	NA	0.0007427	0.0005696	NA	NA	NA	0.0001023	0.0001031	0.0007427	NA	NA	0.0006467	0.0003146	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>environmental&nbsp;samples"
"uncultured Pietermaritzburg bacterium Y14-4"	"S"	147201	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005696	0.0005696	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>environmental&nbsp;samples"
"uncultured sludge bacterium A28b"	"S"	117441	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0002848	0.0002848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>environmental&nbsp;samples"
"uncultured sludge bacterium A7"	"S"	117449	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0002848	0.0002848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>environmental&nbsp;samples"
"uncultured sludge bacterium A27"	"S"	117457	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.002011	0.0002848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.002011	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>environmental&nbsp;samples"
"uncultured sludge bacterium A15b"	"S"	117468	1	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	0.0006467	0.0002848	NA	NA	NA	NA	NA	NA	NA	NA	0.0006467	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>environmental&nbsp;samples"
"uncultured bacterium mle1-44"	"S"	137396	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0002848	0.0002848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>environmental&nbsp;samples"
"uncultured Green Bay ferromanganous micronodule bacterium MNC12"	"S"	140605	2	1	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	0.001293	0.0002848	NA	NA	NA	NA	NA	NA	NA	NA	0.001293	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>environmental&nbsp;samples"
"uncultured Pietermaritzburg bacterium Y17-2"	"S"	147202	2	1	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	0.001293	0.0002848	NA	NA	NA	NA	NA	NA	NA	NA	0.001293	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>environmental&nbsp;samples"
"Rhizobiales"	"O"	356	1279	668	113	NA	NA	288	212	562	166	1	614	240	1279	2.572	0.1903	0.2118	NA	NA	0.02946	0.02185	0.06957	0.009401	0.1199	0.3971	0.02517	2.572	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria"
"Rhizobiaceae"	"F"	82115	166	166	35	NA	NA	24	25	67	6	NA	162	30	48	0.1048	0.04728	0.0656	NA	NA	0.002455	0.002577	0.008294	0.0003398	NA	0.1048	0.003146	0.09653	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales"
"Rhizobium/Agrobacterium group"	"-"	227290	118	101	27	NA	NA	15	13	44	3	NA	118	19	37	0.07632	0.02877	0.05061	NA	NA	0.001534	0.00134	0.005447	0.0001699	NA	0.07632	0.001992	0.07441	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae"
"Rhizobium"	"G"	379	91	75	21	NA	NA	7	9	23	2	NA	91	10	29	0.05885	0.02136	0.03936	NA	NA	0.000716	0.0009276	0.002847	0.0001133	NA	0.05885	0.001049	0.05832	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group"
"Rhizobium leguminosarum"	"S"	384	24	24	3	NA	NA	NA	NA	2	NA	NA	15	1	2	0.009701	0.006836	0.005623	NA	NA	NA	NA	0.0002476	NA	NA	0.009701	0.0001049	0.004022	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Rhizobium"
"Rhizobium leguminosarum bv. viciae"	"-"	387	1	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	0.002011	0.0002848	NA	NA	NA	NA	NA	NA	NA	NA	0.0006467	NA	0.002011	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Rhizobium>Rhizobium&nbsp;leguminosarum"
"environmental samples"	"-"	129696	9	8	3	NA	NA	1	1	1	NA	NA	9	NA	NA	0.005821	0.002279	0.005623	NA	NA	0.0001023	0.0001031	0.0001238	NA	NA	0.005821	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Rhizobium"
"uncultured Rhizobium sp."	"S"	155567	9	8	3	NA	NA	1	1	1	NA	NA	9	NA	NA	0.005821	0.002279	0.005623	NA	NA	0.0001023	0.0001031	0.0001238	NA	NA	0.005821	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Rhizobium>environmental&nbsp;samples"
"Rhizobium sp. MS6"	"S"	1365161	8	7	1	NA	NA	NA	NA	NA	NA	NA	8	NA	NA	0.005174	0.001994	0.001874	NA	NA	NA	NA	NA	NA	NA	0.005174	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Rhizobium"
"Rhizobium sp."	"S"	391	6	4	NA	NA	NA	NA	NA	4	NA	NA	5	2	6	0.01207	0.001139	NA	NA	NA	NA	NA	0.0004952	NA	NA	0.003234	0.0002097	0.01207	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Rhizobium"
"Rhizobium etli"	"S"	29449	4	2	2	NA	NA	NA	NA	NA	NA	NA	4	1	3	0.006033	0.0005696	0.003749	NA	NA	NA	NA	NA	NA	NA	0.002587	0.0001049	0.006033	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Rhizobium"
"Rhizobium sp. PDA-1"	"S"	170520	7	2	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	7	0.01408	0.0005696	NA	NA	NA	NA	NA	NA	NA	NA	0.0006467	NA	0.01408	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Rhizobium"
"Rhizobium sp. SAM1"	"S"	1842039	2	2	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005696	0.0005696	NA	NA	NA	NA	0.0001031	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Rhizobium"
"Rhizobium phaseoli"	"S"	396	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0002848	0.0002848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Rhizobium"
"Rhizobium aggregatum"	"S"	34013	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0002848	0.0002848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Rhizobium"
"Rhizobium mongolense"	"S"	57676	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0002848	0.0002848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Rhizobium"
"Rhizobium sp. SH2672"	"S"	61014	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0002848	0.0002848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Rhizobium"
"Rhizobium sp. NK-4"	"S"	208244	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0002848	0.0002848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Rhizobium"
"Rhizobium daejeonense"	"S"	240521	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0002848	0.0002848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Rhizobium"
"Rhizobium sp. CCBAU 01012"	"S"	255160	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0002848	0.0002848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Rhizobium"
"Rhizobium sp. CU-A1"	"S"	319651	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0002848	0.0002848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Rhizobium"
"Rhizobium sp. CCBAU 05134"	"S"	417738	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0002848	0.0002848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Rhizobium"
"Rhizobium sp. Alm-5"	"S"	441609	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0002848	0.0002848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Rhizobium"
"Rhizobium sp. PG10"	"S"	630521	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0002848	0.0002848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Rhizobium"
"Rhizobium sp. SPC RN2"	"S"	637921	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0002848	0.0002848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Rhizobium"
"Rhizobium sp. MSAP_L2"	"S"	1006901	1	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	0.0006467	0.0002848	NA	NA	NA	NA	NA	NA	NA	NA	0.0006467	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Rhizobium"
"Rhizobium sp. IMCC12680"	"S"	1029620	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0002848	0.0002848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Rhizobium"
"Rhizobium alvei"	"S"	1132659	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0002848	0.0002848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Rhizobium"
"Rhizobium sp. LAR06"	"S"	1214229	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0002848	0.0002848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Rhizobium"
"Rhizobium straminoryzae"	"S"	1387186	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001874	0.0002848	0.001874	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Rhizobium"
"Rhizobium sp. S16"	"S"	1387978	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0002848	0.0002848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Rhizobium"
"Rhizobium sp. MDbc385"	"S"	1463151	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0002848	0.0002848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Rhizobium"
"Rhizobium sp. FYRM16"	"S"	1472054	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0002848	0.0002848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Rhizobium"
"Rhizobium ecuadorense"	"S"	1671795	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.002011	0.0002848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.002011	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Rhizobium"
"Rhizobium sp. 1B"	"S"	1739886	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0002848	0.0002848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Rhizobium"
"Rhizobium sp. C-1-32"	"S"	1770512	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0002848	0.0002848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Rhizobium"
"Agrobacterium"	"G"	357	22	22	6	NA	NA	5	1	9	1	NA	20	4	7	0.01408	0.006266	0.01125	NA	NA	0.0005114	0.0001031	0.001114	5.663e-05	NA	0.01293	0.0004195	0.01408	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group"
"Agrobacterium tumefaciens complex"	"S"	1183400	15	13	3	NA	NA	4	NA	3	1	NA	15	4	1	0.009701	0.003703	0.005623	NA	NA	0.0004091	NA	0.0003714	5.663e-05	NA	0.009701	0.0004195	0.002011	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Agrobacterium"
"Agrobacterium tumefaciens"	"S"	358	15	13	3	NA	NA	4	NA	3	1	NA	15	4	1	0.009701	0.003703	0.005623	NA	NA	0.0004091	NA	0.0003714	5.663e-05	NA	0.009701	0.0004195	0.002011	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Agrobacterium>Agrobacterium&nbsp;tumefaciens&nbsp;complex"
"environmental samples"	"-"	67768	3	2	NA	NA	NA	NA	NA	3	NA	NA	1	NA	NA	0.0006467	0.0005696	NA	NA	NA	NA	NA	0.0003714	NA	NA	0.0006467	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Agrobacterium"
"uncultured Agrobacterium sp."	"S"	157277	3	2	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	0.0005696	0.0005696	NA	NA	NA	NA	NA	0.0003714	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Agrobacterium>environmental&nbsp;samples"
"Agrobacterium sp. IrT-JG14-33"	"S"	133845	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.002011	0.0005696	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.002011	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Agrobacterium"
"Agrobacterium rhizogenes"	"S"	359	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001874	0.0002848	0.001874	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Agrobacterium"
"Agrobacterium sp."	"S"	361	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0002848	0.0002848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Agrobacterium"
"Agrobacterium vitis"	"S"	373	2	1	2	NA	NA	NA	NA	NA	NA	NA	1	NA	1	0.003749	0.0002848	0.003749	NA	NA	NA	NA	NA	NA	NA	0.0006467	NA	0.002011	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Agrobacterium"
"Agrobacterium vitis pv. musae"	"-"	1385422	1	1	1	NA	NA	NA	NA	NA	NA	NA	1	NA	1	0.002011	0.0002848	0.001874	NA	NA	NA	NA	NA	NA	NA	0.0006467	NA	0.002011	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Agrobacterium>Agrobacterium&nbsp;vitis"
"Agrobacterium sp. TPN3"	"S"	626477	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0.004022	0.0002848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.004022	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Agrobacterium"
"Agrobacterium sp. N15"	"S"	690122	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0002848	0.0002848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Agrobacterium"
"Neorhizobium"	"G"	1525371	3	2	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	0.00194	0.0005696	NA	NA	NA	NA	NA	NA	NA	NA	0.00194	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group"
"Neorhizobium galegae"	"S"	399	1	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	0.0006467	0.0002848	NA	NA	NA	NA	NA	NA	NA	NA	0.0006467	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Neorhizobium"
"Neorhizobium huautlense"	"S"	67774	2	1	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	0.001293	0.0002848	NA	NA	NA	NA	NA	NA	NA	NA	0.001293	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Neorhizobium"
"Liberibacter"	"G"	34019	34	34	5	NA	NA	NA	NA	NA	NA	NA	13	NA	NA	0.009684	0.009684	0.009372	NA	NA	NA	NA	NA	NA	NA	0.008408	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae"
"Candidatus Liberibacter sp. (ex Acizzia solanicola)"	"S"	1968796	15	15	2	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	0.004272	0.004272	0.003749	NA	NA	NA	NA	NA	NA	NA	0.002587	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Liberibacter"
"Liberibacter crescens"	"S"	1273132	7	7	1	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	0.001994	0.001994	0.001874	NA	NA	NA	NA	NA	NA	NA	0.001293	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Liberibacter"
