"name"	"taxRank"	"taxID"	"Max"	"kraken2_16s_classification_june_BC01.cladeReads"	"kraken2_16s_classification_june_BC02.cladeReads"	"kraken2_16s_classification_june_BC03.cladeReads"	"kraken2_16s_classification_june_BC04.cladeReads"	"kraken2_16s_classification_june_BC05.cladeReads"	"kraken2_16s_classification_june_BC06.cladeReads"	"kraken2_16s_classification_june_BC08.cladeReads"	"kraken2_16s_classification_june_BC09.cladeReads"	"kraken2_16s_classification_june_BC10.cladeReads"	"kraken2_16s_classification_june_BC11.cladeReads"	"kraken2_16s_classification_june_BC12.cladeReads"	"Max.1"	"kraken2_16s_classification_june_BC01.cladeReads.."	"kraken2_16s_classification_june_BC02.cladeReads.."	"kraken2_16s_classification_june_BC03.cladeReads.."	"kraken2_16s_classification_june_BC04.cladeReads.."	"kraken2_16s_classification_june_BC05.cladeReads.."	"kraken2_16s_classification_june_BC06.cladeReads.."	"kraken2_16s_classification_june_BC08.cladeReads.."	"kraken2_16s_classification_june_BC09.cladeReads.."	"kraken2_16s_classification_june_BC10.cladeReads.."	"kraken2_16s_classification_june_BC11.cladeReads.."	"kraken2_16s_classification_june_BC12.cladeReads.."	"lineage"
"Azospirillaceae"	"F"	25947	27	9	1	4	NA	18	NA	1	NA	NA	27	NA	0.02967	0.004488	0.01356	0.002452	NA	0.009255	NA	0.0005497	NA	NA	0.02967	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Azospirillales"
"Niveispirillum"	"G"	25951	12	5	NA	1	NA	11	NA	NA	NA	NA	12	NA	0.01319	0.002493	NA	0.000613	NA	0.005656	NA	NA	NA	NA	0.01319	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Azospirillales>Azospirillaceae"
"Azospirillum"	"G"	25948	12	4	1	1	NA	5	NA	1	NA	NA	12	NA	0.01356	0.001995	0.01356	0.000613	NA	0.002571	NA	0.0005497	NA	NA	0.01319	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Azospirillales>Azospirillaceae"
"Azospirillales Incertae Sedis"	"F"	25955	5	5	NA	5	NA	1	NA	NA	NA	NA	NA	NA	0.003065	0.002493	NA	0.003065	NA	0.0005142	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Azospirillales"
"Stella"	"G"	25956	5	5	NA	5	NA	1	NA	NA	NA	NA	NA	NA	0.003065	0.002493	NA	0.003065	NA	0.0005142	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Azospirillales>Azospirillales&nbsp;Incertae&nbsp;Sedis"
"Micavibrionales"	"O"	25998	20	13	NA	11	NA	7	NA	NA	NA	NA	20	NA	0.02198	0.006482	NA	0.006742	NA	0.003599	NA	NA	NA	NA	0.02198	NA	"Bacteria>Proteobacteria>Alphaproteobacteria"
"uncultured"	"F"	26002	16	10	NA	10	NA	6	NA	NA	NA	NA	16	NA	0.01758	0.004986	NA	0.00613	NA	0.003085	NA	NA	NA	NA	0.01758	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Micavibrionales"
"Micavibrionaceae"	"F"	25999	3	3	NA	1	NA	1	NA	NA	NA	NA	2	NA	0.002198	0.001496	NA	0.000613	NA	0.0005142	NA	NA	NA	NA	0.002198	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Micavibrionales"
"uncultured"	"G"	26001	3	3	NA	1	NA	1	NA	NA	NA	NA	2	NA	0.002198	0.001496	NA	0.000613	NA	0.0005142	NA	NA	NA	NA	0.002198	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Micavibrionales>Micavibrionaceae"
"uncultured"	"O"	26269	19	8	NA	7	NA	10	NA	NA	NA	NA	19	NA	0.02088	0.003989	NA	0.004291	NA	0.005142	NA	NA	NA	NA	0.02088	NA	"Bacteria>Proteobacteria>Alphaproteobacteria"
"Tistrellales"	"O"	26262	8	8	NA	3	NA	5	NA	NA	NA	NA	8	NA	0.008791	0.003989	NA	0.001839	NA	0.002571	NA	NA	NA	NA	0.008791	NA	"Bacteria>Proteobacteria>Alphaproteobacteria"
"Geminicoccaceae"	"F"	26263	8	8	NA	3	NA	5	NA	NA	NA	NA	7	NA	0.007692	0.003989	NA	0.001839	NA	0.002571	NA	NA	NA	NA	0.007692	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Tistrellales"
"Candidatus Alysiosphaera"	"G"	26264	8	8	NA	3	NA	5	NA	NA	NA	NA	7	NA	0.007692	0.003989	NA	0.001839	NA	0.002571	NA	NA	NA	NA	0.007692	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Tistrellales>Geminicoccaceae"
"Dongiales"	"O"	25975	7	4	NA	4	NA	2	NA	NA	NA	NA	7	NA	0.007692	0.001995	NA	0.002452	NA	0.001028	NA	NA	NA	NA	0.007692	NA	"Bacteria>Proteobacteria>Alphaproteobacteria"
"Dongiaceae"	"F"	25976	7	4	NA	4	NA	2	NA	NA	NA	NA	7	NA	0.007692	0.001995	NA	0.002452	NA	0.001028	NA	NA	NA	NA	0.007692	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Dongiales"
"Dongia"	"G"	25977	7	4	NA	4	NA	2	NA	NA	NA	NA	7	NA	0.007692	0.001995	NA	0.002452	NA	0.001028	NA	NA	NA	NA	0.007692	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Dongiales>Dongiaceae"
"SAR11 clade"	"O"	2808	4	4	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.001995	0.001995	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria"
"Clade I"	"F"	26228	2	2	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0009973	0.0009973	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>SAR11&nbsp;clade"
"Clade Ia"	"G"	26229	2	2	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0009973	0.0009973	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>SAR11&nbsp;clade>Clade&nbsp;I"
"Clade III"	"F"	26233	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004986	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>SAR11&nbsp;clade"
"Micropepsales"	"O"	26003	9	3	NA	1	NA	2	NA	NA	NA	NA	9	NA	0.00989	0.001496	NA	0.000613	NA	0.001028	NA	NA	NA	NA	0.00989	NA	"Bacteria>Proteobacteria>Alphaproteobacteria"
"Micropepsaceae"	"F"	26004	9	3	NA	1	NA	2	NA	NA	NA	NA	9	NA	0.00989	0.001496	NA	0.000613	NA	0.001028	NA	NA	NA	NA	0.00989	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Micropepsales"
"uncultured"	"G"	26007	8	3	NA	1	NA	2	NA	NA	NA	NA	8	NA	0.008791	0.001496	NA	0.000613	NA	0.001028	NA	NA	NA	NA	0.008791	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Micropepsales>Micropepsaceae"
"Holosporales"	"O"	25986	3	2	NA	1	NA	3	NA	NA	NA	NA	NA	NA	0.001543	0.0009973	NA	0.000613	NA	0.001543	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria"
"Holosporaceae"	"F"	25987	3	2	NA	1	NA	3	NA	NA	NA	NA	NA	NA	0.001543	0.0009973	NA	0.000613	NA	0.001543	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Holosporales"
"uncultured"	"G"	25992	2	2	NA	1	NA	2	NA	NA	NA	NA	NA	NA	0.001028	0.0009973	NA	0.000613	NA	0.001028	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Holosporales>Holosporaceae"
"Parvibaculales"	"O"	26016	2	2	NA	1	NA	NA	NA	NA	NA	NA	2	NA	0.002198	0.0009973	NA	0.000613	NA	NA	NA	NA	NA	NA	0.002198	NA	"Bacteria>Proteobacteria>Alphaproteobacteria"
"OCS116 clade"	"F"	26017	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004986	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Parvibaculales"
"Parvibaculaceae"	"F"	26019	1	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	0.0004986	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Parvibaculales"
"Parvibaculum"	"G"	26022	1	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	0.0004986	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Parvibaculales>Parvibaculaceae"
"Thalassobaculales"	"O"	26252	5	2	NA	NA	NA	5	NA	NA	NA	NA	1	NA	0.002571	0.0009973	NA	NA	NA	0.002571	NA	NA	NA	NA	0.001099	NA	"Bacteria>Proteobacteria>Alphaproteobacteria"
"uncultured"	"F"	26261	2	2	NA	NA	NA	2	NA	NA	NA	NA	1	NA	0.001099	0.0009973	NA	NA	NA	0.001028	NA	NA	NA	NA	0.001099	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Thalassobaculales"
"Sneathiellales"	"O"	2818	6	1	NA	NA	NA	2	NA	NA	NA	NA	6	NA	0.006593	0.0004986	NA	NA	NA	0.001028	NA	NA	NA	NA	0.006593	NA	"Bacteria>Proteobacteria>Alphaproteobacteria"
"Sneathiellaceae"	"F"	2819	6	1	NA	NA	NA	2	NA	NA	NA	NA	6	NA	0.006593	0.0004986	NA	NA	NA	0.001028	NA	NA	NA	NA	0.006593	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Sneathiellales"
"AT-s3-44"	"G"	26236	3	1	NA	NA	NA	2	NA	NA	NA	NA	3	NA	0.003297	0.0004986	NA	NA	NA	0.001028	NA	NA	NA	NA	0.003297	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Sneathiellales>Sneathiellaceae"
"Puniceispirillales"	"O"	26028	3	1	NA	3	NA	NA	NA	NA	NA	NA	2	NA	0.002198	0.0004986	NA	0.001839	NA	NA	NA	NA	NA	NA	0.002198	NA	"Bacteria>Proteobacteria>Alphaproteobacteria"
"EF100-94H03"	"F"	26029	1	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	0.0004986	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Puniceispirillales"
"Kordiimonadales"	"O"	2411	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005142	0.0004986	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria"
"Kordiimonadaceae"	"F"	2412	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004986	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Kordiimonadales"
"Kordiimonas"	"G"	2413	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004986	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Kordiimonadales>Kordiimonadaceae"
"Rhodovibrionales"	"O"	26199	1	1	NA	1	NA	1	NA	NA	NA	NA	NA	NA	0.000613	0.0004986	NA	0.000613	NA	0.0005142	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria"
"Kiloniellaceae"	"F"	26205	1	1	NA	1	NA	1	NA	NA	NA	NA	NA	NA	0.000613	0.0004986	NA	0.000613	NA	0.0005142	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodovibrionales"
"uncultured"	"G"	26211	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005142	0.0004986	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodovibrionales>Kiloniellaceae"
"Deltaproteobacteria"	"C"	3087	284	182	4	254	1	284	NA	4	NA	1	174	1	1.754	0.09075	0.05424	0.1557	0.625	0.146	NA	0.002199	NA	1.754	0.1912	0.5435	"Bacteria>Proteobacteria"
"Myxococcales"	"O"	3210	199	91	1	199	NA	106	NA	NA	NA	NA	86	NA	0.122	0.04538	0.01356	0.122	NA	0.0545	NA	NA	NA	NA	0.0945	NA	"Bacteria>Proteobacteria>Deltaproteobacteria"
"Haliangiaceae"	"F"	3222	149	68	1	149	NA	70	NA	NA	NA	NA	55	NA	0.09133	0.03391	0.01356	0.09133	NA	0.03599	NA	NA	NA	NA	0.06044	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Myxococcales"
"Haliangium"	"G"	3223	149	68	1	149	NA	70	NA	NA	NA	NA	55	NA	0.09133	0.03391	0.01356	0.09133	NA	0.03599	NA	NA	NA	NA	0.06044	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Myxococcales>Haliangiaceae"
"Sandaracinaceae"	"F"	3241	11	7	NA	6	NA	9	NA	NA	NA	NA	11	NA	0.01209	0.00349	NA	0.003678	NA	0.004628	NA	NA	NA	NA	0.01209	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Myxococcales"
"uncultured"	"G"	11491	11	6	NA	4	NA	8	NA	NA	NA	NA	11	NA	0.01209	0.002992	NA	0.002452	NA	0.004113	NA	NA	NA	NA	0.01209	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Myxococcales>Sandaracinaceae"
"Sandaracinus"	"G"	3242	2	1	NA	2	NA	1	NA	NA	NA	NA	NA	NA	0.001226	0.0004986	NA	0.001226	NA	0.0005142	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Myxococcales>Sandaracinaceae"
"P3OB-42"	"F"	11486	9	6	NA	9	NA	5	NA	NA	NA	NA	3	NA	0.005517	0.002992	NA	0.005517	NA	0.002571	NA	NA	NA	NA	0.003297	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Myxococcales"
"Polyangiaceae"	"F"	3236	9	4	NA	9	NA	1	NA	NA	NA	NA	2	NA	0.005517	0.001995	NA	0.005517	NA	0.0005142	NA	NA	NA	NA	0.002198	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Myxococcales"
"Sorangium"	"G"	3239	2	2	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0009973	0.0009973	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Myxococcales>Polyangiaceae"
"Pajaroellobacter"	"G"	26282	3	2	NA	3	NA	NA	NA	NA	NA	NA	1	NA	0.001839	0.0009973	NA	0.001839	NA	NA	NA	NA	NA	NA	0.001099	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Myxococcales>Polyangiaceae"
"Blfdi19"	"F"	11479	5	2	NA	1	NA	5	NA	NA	NA	NA	5	NA	0.005494	0.0009973	NA	0.000613	NA	0.002571	NA	NA	NA	NA	0.005494	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Myxococcales"
"Myxococcaceae"	"F"	3225	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004986	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Myxococcales"
"Myxococcus"	"G"	3227	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004986	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Myxococcales>Myxococcaceae"
"Nannocystaceae"	"F"	3229	6	1	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	0.003678	0.0004986	NA	0.003678	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Myxococcales"
"Nannocystis"	"G"	3231	6	1	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	0.003678	0.0004986	NA	0.003678	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Myxococcales>Nannocystaceae"
"uncultured"	"F"	3245	2	1	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	0.001028	0.0004986	NA	NA	NA	0.001028	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Myxococcales"
"MidBa8"	"F"	11483	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005142	0.0004986	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Myxococcales"
"Bdellovibrionales"	"O"	3091	61	37	NA	16	1	61	NA	2	NA	NA	14	NA	0.625	0.01845	NA	0.009807	0.625	0.03136	NA	0.001099	NA	NA	0.01538	NA	"Bacteria>Proteobacteria>Deltaproteobacteria"
"Bdellovibrionaceae"	"F"	3098	55	27	NA	10	NA	55	NA	2	NA	NA	9	NA	0.02828	0.01346	NA	0.00613	NA	0.02828	NA	0.001099	NA	NA	0.00989	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Bdellovibrionales"
"OM27 clade"	"G"	3100	54	26	NA	10	NA	54	NA	2	NA	NA	9	NA	0.02777	0.01296	NA	0.00613	NA	0.02777	NA	0.001099	NA	NA	0.00989	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Bdellovibrionales>Bdellovibrionaceae"
"Bdellovibrio"	"G"	3099	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005142	0.0004986	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Bdellovibrionales>Bdellovibrionaceae"
"Bacteriovoracaceae"	"F"	3092	10	10	NA	6	1	6	NA	NA	NA	NA	5	NA	0.625	0.004986	NA	0.003678	0.625	0.003085	NA	NA	NA	NA	0.005494	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Bdellovibrionales"
"Peredibacter"	"G"	3096	4	4	NA	2	1	4	NA	NA	NA	NA	2	NA	0.625	0.001995	NA	0.001226	0.625	0.002057	NA	NA	NA	NA	0.002198	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Bdellovibrionales>Bacteriovoracaceae"
"uncultured"	"G"	3097	3	3	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	0.001496	0.001496	NA	NA	NA	0.001028	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Bdellovibrionales>Bacteriovoracaceae"
"Bacteriovorax"	"G"	3093	3	2	NA	2	NA	NA	NA	NA	NA	NA	3	NA	0.003297	0.0009973	NA	0.001226	NA	NA	NA	NA	NA	NA	0.003297	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Bdellovibrionales>Bacteriovoracaceae"
"Halobacteriovorax"	"G"	11474	2	1	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	0.001226	0.0004986	NA	0.001226	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Bdellovibrionales>Bacteriovoracaceae"
"Oligoflexales"	"O"	11497	37	14	1	8	NA	14	NA	NA	NA	NA	37	NA	0.04066	0.006981	0.01356	0.004904	NA	0.007198	NA	NA	NA	NA	0.04066	NA	"Bacteria>Proteobacteria>Deltaproteobacteria"
"0319-6G20"	"F"	14610	20	9	1	5	NA	5	NA	NA	NA	NA	20	NA	0.02198	0.004488	0.01356	0.003065	NA	0.002571	NA	NA	NA	NA	0.02198	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Oligoflexales"
"Oligoflexaceae"	"F"	11498	15	5	NA	3	NA	8	NA	NA	NA	NA	15	NA	0.01648	0.002493	NA	0.001839	NA	0.004113	NA	NA	NA	NA	0.01648	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Oligoflexales"
"uncultured"	"G"	26286	4	4	NA	3	NA	3	NA	NA	NA	NA	3	NA	0.003297	0.001995	NA	0.001839	NA	0.001543	NA	NA	NA	NA	0.003297	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Oligoflexales>Oligoflexaceae"
"Oligoflexus"	"G"	11499	9	1	NA	NA	NA	3	NA	NA	NA	NA	9	NA	0.00989	0.0004986	NA	NA	NA	0.001543	NA	NA	NA	NA	0.00989	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Oligoflexales>Oligoflexaceae"
"Bradymonadales"	"O"	14584	12	12	NA	12	NA	7	NA	NA	NA	NA	4	NA	0.007355	0.005984	NA	0.007355	NA	0.003599	NA	NA	NA	NA	0.004396	NA	"Bacteria>Proteobacteria>Deltaproteobacteria"
"Bradymonadaceae"	"F"	14585	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004986	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Bradymonadales"
"Desulfobacterales"	"O"	3109	11	10	1	6	NA	11	NA	2	NA	1	3	1	1.754	0.004986	0.01356	0.003678	NA	0.005656	NA	0.001099	NA	1.754	0.003297	0.5435	"Bacteria>Proteobacteria>Deltaproteobacteria"
"Desulfobulbaceae"	"F"	3139	6	6	1	1	NA	2	NA	1	NA	NA	2	1	0.5435	0.002992	0.01356	0.000613	NA	0.001028	NA	0.0005497	NA	NA	0.002198	0.5435	"Bacteria>Proteobacteria>Deltaproteobacteria>Desulfobacterales"
"uncultured"	"G"	3151	3	3	NA	NA	NA	1	NA	NA	NA	NA	1	1	0.5435	0.001496	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.001099	0.5435	"Bacteria>Proteobacteria>Deltaproteobacteria>Desulfobacterales>Desulfobulbaceae"
"Desulfobulbus"	"G"	3140	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005142	0.0004986	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Desulfobacterales>Desulfobulbaceae"
"[Desulfobacterium] catecholicum group"	"G"	14592	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004986	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Desulfobacterales>Desulfobulbaceae"
"SEEP-SRB2"	"G"	3149	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004986	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Desulfobacterales>Desulfobulbaceae"
"Desulfobacteraceae"	"F"	3110	9	4	NA	5	NA	9	NA	1	NA	1	1	NA	1.754	0.001995	NA	0.003065	NA	0.004628	NA	0.0005497	NA	1.754	0.001099	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Desulfobacterales"
"Sva0081 sediment group"	"G"	3137	2	2	NA	1	NA	2	NA	NA	NA	NA	NA	NA	0.001028	0.0009973	NA	0.000613	NA	0.001028	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Desulfobacterales>Desulfobacteraceae"
"SEEP-SRB1"	"G"	3136	2	1	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	0.001028	0.0004986	NA	NA	NA	0.001028	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Desulfobacterales>Desulfobacteraceae"
"Desulfatirhabdium"	"G"	3118	2	1	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	0.001028	0.0004986	NA	NA	NA	0.001028	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Desulfobacterales>Desulfobacteraceae"
"Syntrophobacterales"	"O"	3251	26	4	NA	5	NA	26	NA	NA	NA	NA	2	NA	0.01337	0.001995	NA	0.003065	NA	0.01337	NA	NA	NA	NA	0.002198	NA	"Bacteria>Proteobacteria>Deltaproteobacteria"
"Syntrophaceae"	"F"	3252	18	4	NA	5	NA	18	NA	NA	NA	NA	2	NA	0.009255	0.001995	NA	0.003065	NA	0.009255	NA	NA	NA	NA	0.002198	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Syntrophobacterales"
"uncultured"	"G"	3257	3	2	NA	3	NA	3	NA	NA	NA	NA	NA	NA	0.001839	0.0009973	NA	0.001839	NA	0.001543	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Syntrophobacterales>Syntrophaceae"
"Desulfobacca"	"G"	3253	8	1	NA	NA	NA	8	NA	NA	NA	NA	NA	NA	0.004113	0.0004986	NA	NA	NA	0.004113	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Syntrophobacterales>Syntrophaceae"
"Syntrophus"	"G"	3256	5	1	NA	NA	NA	5	NA	NA	NA	NA	1	NA	0.002571	0.0004986	NA	NA	NA	0.002571	NA	NA	NA	NA	0.001099	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Syntrophobacterales>Syntrophaceae"
"NB1-j"	"O"	14609	13	3	NA	NA	NA	13	NA	NA	NA	NA	3	NA	0.006684	0.001496	NA	NA	NA	0.006684	NA	NA	NA	NA	0.003297	NA	"Bacteria>Proteobacteria>Deltaproteobacteria"
"Desulfovibrionales"	"O"	3156	4	2	NA	2	NA	3	NA	NA	NA	NA	4	NA	0.004396	0.0009973	NA	0.001226	NA	0.001543	NA	NA	NA	NA	0.004396	NA	"Bacteria>Proteobacteria>Deltaproteobacteria"
"Desulfohalobiaceae"	"F"	3157	2	1	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	0.001028	0.0004986	NA	NA	NA	0.001028	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Desulfovibrionales"
"uncultured"	"G"	3164	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004986	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Desulfovibrionales>Desulfohalobiaceae"
"Desulfovibrionaceae"	"F"	3169	4	1	NA	2	NA	1	NA	NA	NA	NA	4	NA	0.004396	0.0004986	NA	0.001226	NA	0.0005142	NA	NA	NA	NA	0.004396	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Desulfovibrionales"
"uncultured"	"G"	3175	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004986	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Desulfovibrionales>Desulfovibrionaceae"
"Desulfuromonadales"	"O"	3181	17	2	NA	1	NA	17	NA	NA	NA	NA	7	NA	0.008741	0.0009973	NA	0.000613	NA	0.008741	NA	NA	NA	NA	0.007692	NA	"Bacteria>Proteobacteria>Deltaproteobacteria"
"Desulfuromonadaceae"	"F"	3189	4	1	NA	1	NA	4	NA	NA	NA	NA	NA	NA	0.002057	0.0004986	NA	0.000613	NA	0.002057	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Desulfuromonadales"
"Desulfuromusa"	"G"	3191	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005142	0.0004986	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Desulfuromonadales>Desulfuromonadaceae"
