"name"	"taxRank"	"taxID"	"Max"	"kraken2_16s_k21_classification_june_BC01.cladeReads"	"kraken2_16s_k21_classification_june_BC02.cladeReads"	"kraken2_16s_k21_classification_june_BC03.cladeReads"	"kraken2_16s_k21_classification_june_BC04.cladeReads"	"kraken2_16s_k21_classification_june_BC05.cladeReads"	"kraken2_16s_k21_classification_june_BC06.cladeReads"	"kraken2_16s_k21_classification_june_BC08.cladeReads"	"kraken2_16s_k21_classification_june_BC09.cladeReads"	"kraken2_16s_k21_classification_june_BC10.cladeReads"	"kraken2_16s_k21_classification_june_BC11.cladeReads"	"kraken2_16s_k21_classification_june_BC12.cladeReads"	"Max.1"	"kraken2_16s_k21_classification_june_BC01.cladeReads.."	"kraken2_16s_k21_classification_june_BC02.cladeReads.."	"kraken2_16s_k21_classification_june_BC03.cladeReads.."	"kraken2_16s_k21_classification_june_BC04.cladeReads.."	"kraken2_16s_k21_classification_june_BC05.cladeReads.."	"kraken2_16s_k21_classification_june_BC06.cladeReads.."	"kraken2_16s_k21_classification_june_BC08.cladeReads.."	"kraken2_16s_k21_classification_june_BC09.cladeReads.."	"kraken2_16s_k21_classification_june_BC10.cladeReads.."	"kraken2_16s_k21_classification_june_BC11.cladeReads.."	"kraken2_16s_k21_classification_june_BC12.cladeReads.."	"lineage"
"Phenylobacterium"	"G"	2392	6	5	NA	6	NA	1	NA	NA	NA	NA	3	NA	0.00371	0.002529	NA	0.00371	NA	0.0005394	NA	NA	NA	NA	0.003585	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Caulobacterales>Caulobacteraceae"
"uncultured"	"G"	2393	9	2	NA	2	NA	9	NA	NA	NA	NA	1	NA	0.004855	0.001012	NA	0.001237	NA	0.004855	NA	NA	NA	NA	0.001195	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Caulobacterales>Caulobacteraceae"
"Hyphomonadaceae"	"F"	2394	13	13	NA	1	NA	6	NA	NA	NA	NA	7	NA	0.008366	0.006575	NA	0.0006184	NA	0.003237	NA	NA	NA	NA	0.008366	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Caulobacterales"
"uncultured"	"G"	2407	7	7	NA	1	NA	1	NA	NA	NA	NA	NA	NA	0.00354	0.00354	NA	0.0006184	NA	0.0005394	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Caulobacterales>Hyphomonadaceae"
"Hirschia"	"G"	2399	4	4	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	0.002023	0.002023	NA	NA	NA	0.001079	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Caulobacterales>Hyphomonadaceae"
"Oceanicaulis"	"G"	2403	1	1	NA	NA	NA	1	NA	NA	NA	NA	1	NA	0.001195	0.0005058	NA	NA	NA	0.0005394	NA	NA	NA	NA	0.001195	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Caulobacterales>Hyphomonadaceae"
"UKL13-1"	"G"	25969	3	1	NA	NA	NA	1	NA	NA	NA	NA	3	NA	0.003585	0.0005058	NA	NA	NA	0.0005394	NA	NA	NA	NA	0.003585	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Caulobacterales>Hyphomonadaceae"
"Parvularculaceae"	"F"	25970	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005394	0.0005058	NA	NA	NA	0.0005394	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Caulobacterales"
"Parvularcula"	"G"	25972	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005058	0.0005058	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Caulobacterales>Parvularculaceae"
"Rickettsiales"	"O"	2761	56	56	3	31	NA	41	NA	1	NA	NA	22	NA	0.04248	0.02832	0.04248	0.01917	NA	0.02212	NA	0.0005573	NA	NA	0.02629	NA	"Bacteria>Proteobacteria>Alphaproteobacteria"
"Mitochondria"	"F"	2805	26	26	2	11	NA	18	NA	1	NA	NA	8	NA	0.02832	0.01315	0.02832	0.006802	NA	0.00971	NA	0.0005573	NA	NA	0.009561	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales"
"Rickettsiaceae"	"F"	2781	19	19	1	10	NA	13	NA	NA	NA	NA	2	NA	0.01416	0.00961	0.01416	0.006184	NA	0.007013	NA	NA	NA	NA	0.00239	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales"
"uncultured"	"G"	2785	12	12	NA	3	NA	8	NA	NA	NA	NA	1	NA	0.006069	0.006069	NA	0.001855	NA	0.004315	NA	NA	NA	NA	0.001195	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>Rickettsiaceae"
"Candidatus Megaira"	"G"	26226	4	4	NA	4	NA	2	NA	NA	NA	NA	NA	NA	0.002474	0.002023	NA	0.002474	NA	0.001079	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>Rickettsiaceae"
"Rickettsia"	"G"	2784	3	3	1	3	NA	2	NA	NA	NA	NA	NA	NA	0.01416	0.001517	0.01416	0.001855	NA	0.001079	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>Rickettsiaceae"
"AB1"	"F"	26212	5	4	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	0.003092	0.002023	NA	0.003092	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales"
"Anaplasmataceae"	"F"	2763	4	4	NA	NA	NA	3	NA	NA	NA	NA	2	NA	0.00239	0.002023	NA	NA	NA	0.001618	NA	NA	NA	NA	0.00239	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales"
"Wolbachia"	"G"	2770	2	2	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.001012	0.001012	NA	NA	NA	0.0005394	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>Anaplasmataceae"
"Anaplasma"	"G"	2764	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005058	0.0005058	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>Anaplasmataceae"
"SM2D12"	"F"	2801	9	3	NA	4	NA	4	NA	NA	NA	NA	9	NA	0.01076	0.001517	NA	0.002474	NA	0.002158	NA	NA	NA	NA	0.01076	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales"
"Paracaedibacterales"	"O"	26009	26	20	NA	22	NA	12	NA	NA	NA	NA	26	NA	0.03107	0.01012	NA	0.0136	NA	0.006473	NA	NA	NA	NA	0.03107	NA	"Bacteria>Proteobacteria>Alphaproteobacteria"
"Paracaedibacteraceae"	"F"	26010	26	20	NA	22	NA	12	NA	NA	NA	NA	26	NA	0.03107	0.01012	NA	0.0136	NA	0.006473	NA	NA	NA	NA	0.03107	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Paracaedibacterales"
"uncultured"	"G"	26015	19	10	NA	15	NA	12	NA	NA	NA	NA	19	NA	0.02271	0.005058	NA	0.009276	NA	0.006473	NA	NA	NA	NA	0.02271	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Paracaedibacterales>Paracaedibacteraceae"
"Candidatus Paracaedibacter"	"G"	26014	6	6	NA	4	NA	NA	NA	NA	NA	NA	6	NA	0.007171	0.003035	NA	0.002474	NA	NA	NA	NA	NA	NA	0.007171	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Paracaedibacterales>Paracaedibacteraceae"
"Candidatus Captivus"	"G"	26011	3	3	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	0.001855	0.001517	NA	0.001855	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Paracaedibacterales>Paracaedibacteraceae"
"Candidatus Finniella"	"G"	26012	1	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001195	0.0005058	NA	NA	NA	NA	NA	NA	NA	NA	0.001195	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Paracaedibacterales>Paracaedibacteraceae"
"Acetobacterales"	"O"	25900	34	18	2	12	NA	34	NA	1	NA	NA	34	NA	0.04063	0.009104	0.02832	0.007421	NA	0.01834	NA	0.0005573	NA	NA	0.04063	NA	"Bacteria>Proteobacteria>Alphaproteobacteria"
"Acetobacteraceae"	"F"	25901	34	17	2	12	NA	34	NA	1	NA	NA	32	NA	0.03824	0.008598	0.02832	0.007421	NA	0.01834	NA	0.0005573	NA	NA	0.03824	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Acetobacterales"
"Roseomonas"	"G"	25932	15	7	1	6	NA	15	NA	1	NA	NA	11	NA	0.01416	0.00354	0.01416	0.00371	NA	0.008092	NA	0.0005573	NA	NA	0.01315	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Acetobacterales>Acetobacteraceae"
"uncultured"	"G"	25937	7	4	NA	1	NA	7	NA	NA	NA	NA	7	NA	0.008366	0.002023	NA	0.0006184	NA	0.003776	NA	NA	NA	NA	0.008366	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Acetobacterales>Acetobacteraceae"
"Acetobacter"	"G"	25902	2	2	NA	1	NA	2	NA	NA	NA	NA	2	NA	0.00239	0.001012	NA	0.0006184	NA	0.001079	NA	NA	NA	NA	0.00239	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Acetobacterales>Acetobacteraceae"
"Rhodovastum"	"G"	25930	1	1	NA	1	NA	NA	NA	NA	NA	NA	1	NA	0.001195	0.0005058	NA	0.0006184	NA	NA	NA	NA	NA	NA	0.001195	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Acetobacterales>Acetobacteraceae"
"Acidiphilium"	"G"	25904	4	1	1	1	NA	4	NA	NA	NA	NA	1	NA	0.01416	0.0005058	0.01416	0.0006184	NA	0.002158	NA	NA	NA	NA	0.001195	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Acetobacterales>Acetobacteraceae"
"Rubritepida"	"G"	25933	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005394	0.0005058	NA	NA	NA	0.0005394	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Acetobacterales>Acetobacteraceae"
"Swaminathania"	"G"	25935	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005058	0.0005058	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Acetobacterales>Acetobacteraceae"
"Acetobacterales Incertae Sedis"	"F"	25938	2	1	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	0.00239	0.0005058	NA	NA	NA	NA	NA	NA	NA	NA	0.00239	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Acetobacterales"
"uncultured"	"G"	25941	2	1	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	0.00239	0.0005058	NA	NA	NA	NA	NA	NA	NA	NA	0.00239	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Acetobacterales>Acetobacterales&nbsp;Incertae&nbsp;Sedis"
"Rhodospirillales"	"O"	2667	24	17	1	14	NA	18	NA	1	NA	NA	24	NA	0.02868	0.008598	0.01416	0.008657	NA	0.00971	NA	0.0005573	NA	NA	0.02868	NA	"Bacteria>Proteobacteria>Alphaproteobacteria"
"uncultured"	"F"	26198	12	12	NA	8	NA	4	NA	NA	NA	NA	4	NA	0.006069	0.006069	NA	0.004947	NA	0.002158	NA	NA	NA	NA	0.004781	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales"
"AEGEAN-169 marine group"	"F"	26177	2	2	NA	1	NA	1	NA	NA	NA	NA	2	NA	0.00239	0.001012	NA	0.0006184	NA	0.0005394	NA	NA	NA	NA	0.00239	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales"
"Rhodospirillaceae"	"F"	2717	9	2	1	2	NA	5	NA	NA	NA	NA	9	NA	0.01416	0.001012	0.01416	0.001237	NA	0.002697	NA	NA	NA	NA	0.01076	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales"
"uncultured"	"G"	2755	7	1	NA	2	NA	1	NA	NA	NA	NA	7	NA	0.008366	0.0005058	NA	0.001237	NA	0.0005394	NA	NA	NA	NA	0.008366	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Rhodospirillaceae"
"Candidatus Riegeria"	"G"	2722	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005058	0.0005058	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Rhodospirillaceae"
"Terasakiellaceae"	"F"	26192	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005058	0.0005058	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales"
"uncultured"	"G"	26195	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005058	0.0005058	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Terasakiellaceae"
"Reyranellales"	"O"	26035	15	15	NA	11	NA	3	NA	NA	NA	NA	13	NA	0.01554	0.007587	NA	0.006802	NA	0.001618	NA	NA	NA	NA	0.01554	NA	"Bacteria>Proteobacteria>Alphaproteobacteria"
"Reyranellaceae"	"F"	26036	15	15	NA	11	NA	3	NA	NA	NA	NA	13	NA	0.01554	0.007587	NA	0.006802	NA	0.001618	NA	NA	NA	NA	0.01554	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Reyranellales"
"Reyranella"	"G"	26037	14	14	NA	11	NA	3	NA	NA	NA	NA	12	NA	0.01434	0.007081	NA	0.006802	NA	0.001618	NA	NA	NA	NA	0.01434	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Reyranellales>Reyranellaceae"
"uncultured"	"G"	26038	1	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001195	0.0005058	NA	NA	NA	NA	NA	NA	NA	NA	0.001195	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Reyranellales>Reyranellaceae"
"Azospirillales"	"O"	25946	28	14	1	9	NA	19	NA	1	NA	NA	28	NA	0.03346	0.007081	0.01416	0.005565	NA	0.01025	NA	0.0005573	NA	NA	0.03346	NA	"Bacteria>Proteobacteria>Alphaproteobacteria"
"Azospirillaceae"	"F"	25947	27	9	1	4	NA	18	NA	1	NA	NA	27	NA	0.03227	0.004552	0.01416	0.002474	NA	0.00971	NA	0.0005573	NA	NA	0.03227	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Azospirillales"
"Niveispirillum"	"G"	25951	12	5	NA	1	NA	11	NA	NA	NA	NA	12	NA	0.01434	0.002529	NA	0.0006184	NA	0.005934	NA	NA	NA	NA	0.01434	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Azospirillales>Azospirillaceae"
"Azospirillum"	"G"	25948	12	4	1	1	NA	5	NA	1	NA	NA	12	NA	0.01434	0.002023	0.01416	0.0006184	NA	0.002697	NA	0.0005573	NA	NA	0.01434	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Azospirillales>Azospirillaceae"
"Azospirillales Incertae Sedis"	"F"	25955	5	5	NA	5	NA	1	NA	NA	NA	NA	NA	NA	0.003092	0.002529	NA	0.003092	NA	0.0005394	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Azospirillales"
"Stella"	"G"	25956	5	5	NA	5	NA	1	NA	NA	NA	NA	NA	NA	0.003092	0.002529	NA	0.003092	NA	0.0005394	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Azospirillales>Azospirillales&nbsp;Incertae&nbsp;Sedis"
"Micavibrionales"	"O"	25998	20	13	NA	11	NA	7	NA	NA	NA	NA	20	NA	0.0239	0.006575	NA	0.006802	NA	0.003776	NA	NA	NA	NA	0.0239	NA	"Bacteria>Proteobacteria>Alphaproteobacteria"
"uncultured"	"F"	26002	16	10	NA	10	NA	6	NA	NA	NA	NA	16	NA	0.01912	0.005058	NA	0.006184	NA	0.003237	NA	NA	NA	NA	0.01912	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Micavibrionales"
"Micavibrionaceae"	"F"	25999	3	3	NA	1	NA	1	NA	NA	NA	NA	2	NA	0.00239	0.001517	NA	0.0006184	NA	0.0005394	NA	NA	NA	NA	0.00239	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Micavibrionales"
"uncultured"	"G"	26001	3	3	NA	1	NA	1	NA	NA	NA	NA	2	NA	0.00239	0.001517	NA	0.0006184	NA	0.0005394	NA	NA	NA	NA	0.00239	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Micavibrionales>Micavibrionaceae"
"Tistrellales"	"O"	26262	8	8	NA	3	NA	5	NA	NA	NA	NA	8	NA	0.009561	0.004046	NA	0.001855	NA	0.002697	NA	NA	NA	NA	0.009561	NA	"Bacteria>Proteobacteria>Alphaproteobacteria"
"Geminicoccaceae"	"F"	26263	8	8	NA	3	NA	5	NA	NA	NA	NA	7	NA	0.008366	0.004046	NA	0.001855	NA	0.002697	NA	NA	NA	NA	0.008366	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Tistrellales"
"Candidatus Alysiosphaera"	"G"	26264	8	8	NA	3	NA	5	NA	NA	NA	NA	7	NA	0.008366	0.004046	NA	0.001855	NA	0.002697	NA	NA	NA	NA	0.008366	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Tistrellales>Geminicoccaceae"
"uncultured"	"O"	26269	19	8	NA	7	NA	10	NA	NA	NA	NA	19	NA	0.02271	0.004046	NA	0.004329	NA	0.005394	NA	NA	NA	NA	0.02271	NA	"Bacteria>Proteobacteria>Alphaproteobacteria"
"SAR11 clade"	"O"	2808	4	4	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.002023	0.002023	NA	NA	NA	0.0005394	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria"
"Clade I"	"F"	26228	2	2	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.001012	0.001012	NA	NA	NA	0.0005394	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>SAR11&nbsp;clade"
"Clade Ia"	"G"	26229	2	2	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.001012	0.001012	NA	NA	NA	0.0005394	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>SAR11&nbsp;clade>Clade&nbsp;I"
"Clade III"	"F"	26233	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005058	0.0005058	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>SAR11&nbsp;clade"
"Dongiales"	"O"	25975	7	4	NA	4	NA	2	NA	NA	NA	NA	7	NA	0.008366	0.002023	NA	0.002474	NA	0.001079	NA	NA	NA	NA	0.008366	NA	"Bacteria>Proteobacteria>Alphaproteobacteria"
"Dongiaceae"	"F"	25976	7	4	NA	4	NA	2	NA	NA	NA	NA	7	NA	0.008366	0.002023	NA	0.002474	NA	0.001079	NA	NA	NA	NA	0.008366	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Dongiales"
"Dongia"	"G"	25977	7	4	NA	4	NA	2	NA	NA	NA	NA	7	NA	0.008366	0.002023	NA	0.002474	NA	0.001079	NA	NA	NA	NA	0.008366	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Dongiales>Dongiaceae"
"Micropepsales"	"O"	26003	9	3	NA	1	NA	2	NA	NA	NA	NA	9	NA	0.01076	0.001517	NA	0.0006184	NA	0.001079	NA	NA	NA	NA	0.01076	NA	"Bacteria>Proteobacteria>Alphaproteobacteria"
"Micropepsaceae"	"F"	26004	9	3	NA	1	NA	2	NA	NA	NA	NA	9	NA	0.01076	0.001517	NA	0.0006184	NA	0.001079	NA	NA	NA	NA	0.01076	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Micropepsales"
"uncultured"	"G"	26007	8	3	NA	1	NA	2	NA	NA	NA	NA	8	NA	0.009561	0.001517	NA	0.0006184	NA	0.001079	NA	NA	NA	NA	0.009561	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Micropepsales>Micropepsaceae"
"Thalassobaculales"	"O"	26252	5	2	NA	NA	NA	5	NA	NA	NA	NA	1	NA	0.002697	0.001012	NA	NA	NA	0.002697	NA	NA	NA	NA	0.001195	NA	"Bacteria>Proteobacteria>Alphaproteobacteria"
"uncultured"	"F"	26261	2	2	NA	NA	NA	2	NA	NA	NA	NA	1	NA	0.001195	0.001012	NA	NA	NA	0.001079	NA	NA	NA	NA	0.001195	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Thalassobaculales"
"Parvibaculales"	"O"	26016	2	2	NA	1	NA	NA	NA	NA	NA	NA	2	NA	0.00239	0.001012	NA	0.0006184	NA	NA	NA	NA	NA	NA	0.00239	NA	"Bacteria>Proteobacteria>Alphaproteobacteria"
"Parvibaculaceae"	"F"	26019	1	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.0006184	0.0005058	NA	0.0006184	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Parvibaculales"
"Parvibaculum"	"G"	26022	1	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.0006184	0.0005058	NA	0.0006184	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Parvibaculales>Parvibaculaceae"
"OCS116 clade"	"F"	26017	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005058	0.0005058	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Parvibaculales"
"Holosporales"	"O"	25986	3	2	NA	1	NA	3	NA	NA	NA	NA	NA	NA	0.001618	0.001012	NA	0.0006184	NA	0.001618	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria"
"Holosporaceae"	"F"	25987	3	2	NA	1	NA	3	NA	NA	NA	NA	NA	NA	0.001618	0.001012	NA	0.0006184	NA	0.001618	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Holosporales"
"uncultured"	"G"	25992	2	2	NA	1	NA	2	NA	NA	NA	NA	NA	NA	0.001079	0.001012	NA	0.0006184	NA	0.001079	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Holosporales>Holosporaceae"
"Rhodovibrionales"	"O"	26199	1	1	NA	1	NA	1	NA	NA	NA	NA	NA	NA	0.0006184	0.0005058	NA	0.0006184	NA	0.0005394	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria"
"Kiloniellaceae"	"F"	26205	1	1	NA	1	NA	1	NA	NA	NA	NA	NA	NA	0.0006184	0.0005058	NA	0.0006184	NA	0.0005394	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodovibrionales"
"uncultured"	"G"	26211	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005394	0.0005058	NA	NA	NA	0.0005394	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodovibrionales>Kiloniellaceae"
"Kordiimonadales"	"O"	2411	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0005394	0.0005058	NA	NA	NA	0.0005394	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria"
"Kordiimonadaceae"	"F"	2412	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005058	0.0005058	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Kordiimonadales"
"Kordiimonas"	"G"	2413	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005058	0.0005058	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Kordiimonadales>Kordiimonadaceae"
"Puniceispirillales"	"O"	26028	3	1	NA	3	NA	NA	NA	NA	NA	NA	2	NA	0.00239	0.0005058	NA	0.001855	NA	NA	NA	NA	NA	NA	0.00239	NA	"Bacteria>Proteobacteria>Alphaproteobacteria"
"EF100-94H03"	"F"	26029	1	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.0006184	0.0005058	NA	0.0006184	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Puniceispirillales"
"Sneathiellales"	"O"	2818	6	1	NA	NA	NA	2	NA	NA	NA	NA	6	NA	0.007171	0.0005058	NA	NA	NA	0.001079	NA	NA	NA	NA	0.007171	NA	"Bacteria>Proteobacteria>Alphaproteobacteria"
"Sneathiellaceae"	"F"	2819	6	1	NA	NA	NA	2	NA	NA	NA	NA	6	NA	0.007171	0.0005058	NA	NA	NA	0.001079	NA	NA	NA	NA	0.007171	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Sneathiellales"
"AT-s3-44"	"G"	26236	3	1	NA	NA	NA	2	NA	NA	NA	NA	3	NA	0.003585	0.0005058	NA	NA	NA	0.001079	NA	NA	NA	NA	0.003585	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Sneathiellales>Sneathiellaceae"
"Deltaproteobacteria"	"C"	3087	284	182	4	254	1	284	NA	4	NA	1	174	1	1.754	0.09205	0.05664	0.1571	0.6289	0.1532	NA	0.002229	NA	1.754	0.208	0.5525	"Bacteria>Proteobacteria"
"Myxococcales"	"O"	3210	199	91	1	199	NA	106	NA	NA	NA	NA	86	NA	0.1231	0.04603	0.01416	0.1231	NA	0.05718	NA	NA	NA	NA	0.1028	NA	"Bacteria>Proteobacteria>Deltaproteobacteria"
"Haliangiaceae"	"F"	3222	149	68	1	149	NA	70	NA	NA	NA	NA	55	NA	0.09214	0.03439	0.01416	0.09214	NA	0.03776	NA	NA	NA	NA	0.06573	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Myxococcales"
"Haliangium"	"G"	3223	149	68	1	149	NA	70	NA	NA	NA	NA	55	NA	0.09214	0.03439	0.01416	0.09214	NA	0.03776	NA	NA	NA	NA	0.06573	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Myxococcales>Haliangiaceae"
"Sandaracinaceae"	"F"	3241	11	7	NA	6	NA	9	NA	NA	NA	NA	11	NA	0.01315	0.00354	NA	0.00371	NA	0.004855	NA	NA	NA	NA	0.01315	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Myxococcales"
"uncultured"	"G"	11491	11	6	NA	4	NA	8	NA	NA	NA	NA	11	NA	0.01315	0.003035	NA	0.002474	NA	0.004315	NA	NA	NA	NA	0.01315	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Myxococcales>Sandaracinaceae"
"Sandaracinus"	"G"	3242	2	1	NA	2	NA	1	NA	NA	NA	NA	NA	NA	0.001237	0.0005058	NA	0.001237	NA	0.0005394	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Myxococcales>Sandaracinaceae"
