"name"	"taxRank"	"taxID"	"Max"	"centrifuge_16s_classification_april_BC01.cladeReads"	"centrifuge_16s_classification_april_BC02.cladeReads"	"centrifuge_16s_classification_april_BC04.cladeReads"	"centrifuge_16s_classification_april_BC05.cladeReads"	"centrifuge_16s_classification_april_BC06.cladeReads"	"centrifuge_16s_classification_april_BC07.cladeReads"	"centrifuge_16s_classification_april_BC08.cladeReads"	"centrifuge_16s_classification_april_BC09.cladeReads"	"centrifuge_16s_classification_april_BC10.cladeReads"	"centrifuge_16s_classification_april_BC11.cladeReads"	"centrifuge_16s_classification_april_BC12.cladeReads"	"Max.1"	"centrifuge_16s_classification_april_BC01.cladeReads.."	"centrifuge_16s_classification_april_BC02.cladeReads.."	"centrifuge_16s_classification_april_BC04.cladeReads.."	"centrifuge_16s_classification_april_BC05.cladeReads.."	"centrifuge_16s_classification_april_BC06.cladeReads.."	"centrifuge_16s_classification_april_BC07.cladeReads.."	"centrifuge_16s_classification_april_BC08.cladeReads.."	"centrifuge_16s_classification_april_BC09.cladeReads.."	"centrifuge_16s_classification_april_BC10.cladeReads.."	"centrifuge_16s_classification_april_BC11.cladeReads.."	"centrifuge_16s_classification_april_BC12.cladeReads.."	"lineage"
"Chenopodium quinoa"	"S"	63459	4	NA	NA	1	NA	4	1	NA	1	NA	1	NA	0.001616	NA	NA	0.0002569	NA	0.001616	0.0003595	NA	0.0003734	NA	0.0004029	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Magnoliophyta>Mesangiospermae>eudicotyledons>Gunneridae>Pentapetalae>Caryophyllales>Chenopodiaceae>Chenopodioideae>Atripliceae>Chenopodium"
"PACMAD clade"	"-"	147370	19	NA	NA	19	NA	7	6	1	2	16	7	NA	0.004882	NA	NA	0.004882	NA	0.002829	0.002157	0.000248	0.0007469	0.004387	0.002821	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Magnoliophyta>Mesangiospermae>Liliopsida>Petrosaviidae>commelinids>Poales>Poaceae"
"Panicoideae"	"-"	147369	19	NA	NA	19	NA	7	6	1	2	16	7	NA	0.004882	NA	NA	0.004882	NA	0.002829	0.002157	0.000248	0.0007469	0.004387	0.002821	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Magnoliophyta>Mesangiospermae>Liliopsida>Petrosaviidae>commelinids>Poales>Poaceae>PACMAD&nbsp;clade"
"Panicodae"	"-"	1648036	19	NA	NA	19	NA	3	5	1	1	16	5	NA	0.004882	NA	NA	0.004882	NA	0.001212	0.001798	0.000248	0.0003734	0.004387	0.002015	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Magnoliophyta>Mesangiospermae>Liliopsida>Petrosaviidae>commelinids>Poales>Poaceae>PACMAD&nbsp;clade>Panicoideae"
"Paniceae"	"-"	147428	19	NA	NA	19	NA	3	5	1	1	16	5	NA	0.004882	NA	NA	0.004882	NA	0.001212	0.001798	0.000248	0.0003734	0.004387	0.002015	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Magnoliophyta>Mesangiospermae>Liliopsida>Petrosaviidae>commelinids>Poales>Poaceae>PACMAD&nbsp;clade>Panicoideae>Panicodae"
"Dichantheliinae"	"-"	1648011	19	NA	NA	19	NA	NA	NA	1	NA	16	NA	NA	0.004882	NA	NA	0.004882	NA	NA	NA	0.000248	NA	0.004387	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Magnoliophyta>Mesangiospermae>Liliopsida>Petrosaviidae>commelinids>Poales>Poaceae>PACMAD&nbsp;clade>Panicoideae>Panicodae>Paniceae"
"Dichanthelium"	"G"	161620	19	NA	NA	19	NA	NA	NA	1	NA	16	NA	NA	0.004882	NA	NA	0.004882	NA	NA	NA	0.000248	NA	0.004387	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Magnoliophyta>Mesangiospermae>Liliopsida>Petrosaviidae>commelinids>Poales>Poaceae>PACMAD&nbsp;clade>Panicoideae>Panicodae>Paniceae>Dichantheliinae"
"Dichanthelium oligosanthes"	"S"	888268	19	NA	NA	19	NA	NA	NA	1	NA	16	NA	NA	0.004882	NA	NA	0.004882	NA	NA	NA	0.000248	NA	0.004387	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Magnoliophyta>Mesangiospermae>Liliopsida>Petrosaviidae>commelinids>Poales>Poaceae>PACMAD&nbsp;clade>Panicoideae>Panicodae>Paniceae>Dichantheliinae>Dichanthelium"
"Oryza sativa"	"S"	4530	1	NA	NA	1	NA	1	NA	NA	1	NA	1	NA	0.0004041	NA	NA	0.0002569	NA	0.0004041	NA	NA	0.0003734	NA	0.0004029	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Magnoliophyta>Mesangiospermae>Liliopsida>Petrosaviidae>commelinids>Poales>Poaceae>BOP&nbsp;clade>Oryzoideae>Oryzeae>Oryzinae>Oryza"
"Pinidae"	"-"	3313	17	NA	NA	5	NA	15	13	5	12	4	17	NA	0.00685	NA	NA	0.001285	NA	0.006062	0.004674	0.00124	0.004481	0.001097	0.00685	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Acrogymnospermae"
"Cupressales"	"O"	1446379	4	NA	NA	4	NA	1	NA	NA	NA	1	1	NA	0.001028	NA	NA	0.001028	NA	0.0004041	NA	NA	NA	0.0002742	0.0004029	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Acrogymnospermae>Pinidae"
"Cupressaceae"	"F"	3367	4	NA	NA	4	NA	1	NA	NA	NA	1	NA	NA	0.001028	NA	NA	0.001028	NA	0.0004041	NA	NA	NA	0.0002742	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Acrogymnospermae>Pinidae>Cupressales"
"Papuacedrus"	"G"	103976	4	NA	NA	4	NA	NA	NA	NA	NA	1	NA	NA	0.001028	NA	NA	0.001028	NA	NA	NA	NA	NA	0.0002742	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Acrogymnospermae>Pinidae>Cupressales>Cupressaceae"
"Papuacedrus papuana"	"S"	103977	4	NA	NA	4	NA	NA	NA	NA	NA	1	NA	NA	0.001028	NA	NA	0.001028	NA	NA	NA	NA	NA	0.0002742	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Acrogymnospermae>Pinidae>Cupressales>Cupressaceae>Papuacedrus"
"Pinales"	"O"	1446380	15	NA	NA	1	NA	12	13	5	11	3	15	NA	0.006044	NA	NA	0.0002569	NA	0.004849	0.004674	0.00124	0.004108	0.0008225	0.006044	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Acrogymnospermae>Pinidae"
"Pinaceae"	"F"	3318	15	NA	NA	1	NA	12	13	5	11	3	15	NA	0.006044	NA	NA	0.0002569	NA	0.004849	0.004674	0.00124	0.004108	0.0008225	0.006044	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Acrogymnospermae>Pinidae>Pinales"
"Picea"	"G"	3328	14	NA	NA	1	NA	12	13	5	11	3	14	NA	0.005641	NA	NA	0.0002569	NA	0.004849	0.004674	0.00124	0.004108	0.0008225	0.005641	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Acrogymnospermae>Pinidae>Pinales>Pinaceae"
"Picea glauca"	"S"	3330	14	NA	NA	1	NA	12	13	5	11	3	14	NA	0.005641	NA	NA	0.0002569	NA	0.004849	0.004674	0.00124	0.004108	0.0008225	0.005641	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Acrogymnospermae>Pinidae>Pinales>Pinaceae>Picea"
"Polypodiopsida"	"C"	241806	5	NA	NA	3	NA	5	4	2	2	NA	1	NA	0.002021	NA	NA	0.0007708	NA	0.002021	0.001438	0.000496	0.0007469	NA	0.0004029	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta"
"Polypodiidae"	"-"	1521262	3	NA	NA	2	NA	NA	3	2	NA	NA	NA	NA	0.001079	NA	NA	0.0005139	NA	NA	0.001079	0.000496	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Polypodiopsida"
"Polypodiales"	"O"	3268	2	NA	NA	2	NA	NA	2	NA	NA	NA	NA	NA	0.000719	NA	NA	0.0005139	NA	NA	0.000719	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Polypodiopsida>Polypodiidae"
"Pteridineae"	"-"	2003540	2	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	0.0005139	NA	NA	0.0005139	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Polypodiopsida>Polypodiidae>Polypodiales"
"Pteridaceae"	"F"	13819	2	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	0.0005139	NA	NA	0.0005139	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Polypodiopsida>Polypodiidae>Polypodiales>Pteridineae"
"Vittarioideae"	"-"	29626	2	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	0.0005139	NA	NA	0.0005139	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Polypodiopsida>Polypodiidae>Polypodiales>Pteridineae>Pteridaceae"
"Adiantum"	"G"	13817	2	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	0.0005139	NA	NA	0.0005139	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Polypodiopsida>Polypodiidae>Polypodiales>Pteridineae>Pteridaceae>Vittarioideae"
"Adiantum capillus-veneris"	"S"	13818	2	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	0.0005139	NA	NA	0.0005139	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Polypodiopsida>Polypodiidae>Polypodiales>Pteridineae>Pteridaceae>Vittarioideae>Adiantum"
"Ophioglossidae"	"-"	1521257	5	NA	NA	1	NA	5	1	NA	2	NA	1	NA	0.002021	NA	NA	0.0002569	NA	0.002021	0.0003595	NA	0.0007469	NA	0.0004029	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Polypodiopsida"
"Ophioglossales"	"O"	13827	5	NA	NA	1	NA	5	1	NA	2	NA	1	NA	0.002021	NA	NA	0.0002569	NA	0.002021	0.0003595	NA	0.0007469	NA	0.0004029	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Polypodiopsida>Ophioglossidae"
"Ophioglossaceae"	"F"	13828	5	NA	NA	1	NA	5	1	NA	2	NA	1	NA	0.002021	NA	NA	0.0002569	NA	0.002021	0.0003595	NA	0.0007469	NA	0.0004029	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Polypodiopsida>Ophioglossidae>Ophioglossales"
"Ophioglossoideae"	"-"	1975588	5	NA	NA	1	NA	5	1	NA	2	NA	1	NA	0.002021	NA	NA	0.0002569	NA	0.002021	0.0003595	NA	0.0007469	NA	0.0004029	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Polypodiopsida>Ophioglossidae>Ophioglossales>Ophioglossaceae"
"Ophioglossum"	"G"	13833	5	NA	NA	1	NA	5	1	NA	2	NA	1	NA	0.002021	NA	NA	0.0002569	NA	0.002021	0.0003595	NA	0.0007469	NA	0.0004029	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Polypodiopsida>Ophioglossidae>Ophioglossales>Ophioglossaceae>Ophioglossoideae"
"Lycopodiopsida"	"C"	1521260	10	NA	NA	10	NA	1	1	NA	NA	9	4	NA	0.002569	NA	NA	0.002569	NA	0.0004041	0.0003595	NA	NA	0.002467	0.001612	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta"
"Selaginellales"	"O"	3244	10	NA	NA	10	NA	NA	1	NA	NA	9	3	NA	0.002569	NA	NA	0.002569	NA	NA	0.0003595	NA	NA	0.002467	0.001209	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Lycopodiopsida"
"Selaginellaceae"	"F"	3245	10	NA	NA	10	NA	NA	1	NA	NA	9	3	NA	0.002569	NA	NA	0.002569	NA	NA	0.0003595	NA	NA	0.002467	0.001209	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Lycopodiopsida>Selaginellales"
"Selaginella"	"G"	3246	10	NA	NA	10	NA	NA	1	NA	NA	9	3	NA	0.002569	NA	NA	0.002569	NA	NA	0.0003595	NA	NA	0.002467	0.001209	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Lycopodiopsida>Selaginellales>Selaginellaceae"
"Selaginella uncinata"	"S"	307165	10	NA	NA	10	NA	NA	NA	NA	NA	9	NA	NA	0.002569	NA	NA	0.002569	NA	NA	NA	NA	NA	0.002467	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Lycopodiopsida>Selaginellales>Selaginellaceae>Selaginella"
"Anthocerotophyta"	"-"	13809	6	NA	NA	6	NA	NA	3	NA	1	1	1	NA	0.001542	NA	NA	0.001542	NA	NA	0.001079	NA	0.0003734	0.0002742	0.0004029	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta"
"Anthocerotopsida"	"C"	402688	6	NA	NA	6	NA	NA	3	NA	1	1	1	NA	0.001542	NA	NA	0.001542	NA	NA	0.001079	NA	0.0003734	0.0002742	0.0004029	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Anthocerotophyta"
"Anthocerotidae"	"-"	405585	6	NA	NA	6	NA	NA	NA	NA	NA	1	NA	NA	0.001542	NA	NA	0.001542	NA	NA	NA	NA	NA	0.0002742	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Anthocerotophyta>Anthocerotopsida"
"Anthocerotales"	"O"	13810	6	NA	NA	6	NA	NA	NA	NA	NA	1	NA	NA	0.001542	NA	NA	0.001542	NA	NA	NA	NA	NA	0.0002742	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Anthocerotophyta>Anthocerotopsida>Anthocerotidae"
"Anthocerotaceae"	"F"	13811	6	NA	NA	6	NA	NA	NA	NA	NA	1	NA	NA	0.001542	NA	NA	0.001542	NA	NA	NA	NA	NA	0.0002742	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Anthocerotophyta>Anthocerotopsida>Anthocerotidae>Anthocerotales"
"Anthoceros"	"G"	3233	6	NA	NA	6	NA	NA	NA	NA	NA	1	NA	NA	0.001542	NA	NA	0.001542	NA	NA	NA	NA	NA	0.0002742	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Anthocerotophyta>Anthocerotopsida>Anthocerotidae>Anthocerotales>Anthocerotaceae"
"Anthoceros angustus"	"S"	48387	6	NA	NA	6	NA	NA	NA	NA	NA	1	NA	NA	0.001542	NA	NA	0.001542	NA	NA	NA	NA	NA	0.0002742	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Anthocerotophyta>Anthocerotopsida>Anthocerotidae>Anthocerotales>Anthocerotaceae>Anthoceros"
"Protosiphonales"	"O"	2491657	1	NA	NA	1	NA	NA	NA	1	NA	1	NA	NA	0.0002742	NA	NA	0.0002569	NA	NA	NA	0.000248	NA	0.0002742	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Chlorophyceae"
"Protosiphonaceae"	"F"	2491658	1	NA	NA	1	NA	NA	NA	1	NA	1	NA	NA	0.0002742	NA	NA	0.0002569	NA	NA	NA	0.000248	NA	0.0002742	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Chlorophyceae>Protosiphonales"
"Chlorochytrium"	"G"	1163536	1	NA	NA	1	NA	NA	NA	1	NA	1	NA	NA	0.0002742	NA	NA	0.0002569	NA	NA	NA	0.000248	NA	0.0002742	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Chlorophyceae>Protosiphonales>Protosiphonaceae"
"Chlorochytrium sp. ACKU 222"	"S"	1158274	1	NA	NA	1	NA	NA	NA	1	NA	1	NA	NA	0.0002742	NA	NA	0.0002569	NA	NA	NA	0.000248	NA	0.0002742	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Chlorophyceae>Protosiphonales>Protosiphonaceae>Chlorochytrium"
"Prototheca"	"G"	3110	1	NA	NA	1	NA	1	1	NA	NA	NA	NA	NA	0.0004041	NA	NA	0.0002569	NA	0.0004041	0.0003595	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Trebouxiophyceae>Chlorellales>Chlorellaceae"
"Prototheca wickerhamii"	"S"	3111	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.0002569	NA	NA	0.0002569	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Trebouxiophyceae>Chlorellales>Chlorellaceae>Prototheca"
"Microthamniales"	"O"	42111	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.0002569	NA	NA	0.0002569	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Trebouxiophyceae"
"Fusochloris"	"G"	106202	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.0002569	NA	NA	0.0002569	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Trebouxiophyceae>Microthamniales"
"Fusochloris perforata"	"S"	106203	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.0002569	NA	NA	0.0002569	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Trebouxiophyceae>Microthamniales>Fusochloris"
"Trebouxiophyceae incertae sedis"	"-"	75981	2	NA	NA	1	NA	2	1	NA	NA	NA	1	NA	0.0008082	NA	NA	0.0002569	NA	0.0008082	0.0003595	NA	NA	NA	0.0004029	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Trebouxiophyceae"
"Picochlorum"	"G"	249344	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.0002569	NA	NA	0.0002569	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Trebouxiophyceae>Trebouxiophyceae&nbsp;incertae&nbsp;sedis"
"unclassified Picochlorum"	"-"	2302907	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.0002569	NA	NA	0.0002569	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Trebouxiophyceae>Trebouxiophyceae&nbsp;incertae&nbsp;sedis>Picochlorum"
"Picochlorum sp. SENEW3"	"S"	1470871	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.0002569	NA	NA	0.0002569	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Trebouxiophyceae>Trebouxiophyceae&nbsp;incertae&nbsp;sedis>Picochlorum>unclassified&nbsp;Picochlorum"
"Watanabea clade"	"-"	2511081	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.0002569	NA	NA	0.0002569	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Trebouxiophyceae"
"Jaagichlorella"	"G"	2304164	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.0002569	NA	NA	0.0002569	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Trebouxiophyceae>Watanabea&nbsp;clade"
"Jaagichlorella roystonensis"	"S"	1052852	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.0002569	NA	NA	0.0002569	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Trebouxiophyceae>Watanabea&nbsp;clade>Jaagichlorella"
"Holometabola"	"-"	33392	8	NA	NA	4	NA	NA	1	8	NA	2	NA	NA	0.001984	NA	NA	0.001028	NA	NA	0.0003595	0.001984	NA	0.0005483	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera"
"Coleoptera"	"O"	7041	8	NA	NA	3	NA	NA	NA	8	NA	2	NA	NA	0.001984	NA	NA	0.0007708	NA	NA	NA	0.001984	NA	0.0005483	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola"
"Polyphaga"	"-"	41084	6	NA	NA	2	NA	NA	NA	6	NA	2	NA	NA	0.001488	NA	NA	0.0005139	NA	NA	NA	0.001488	NA	0.0005483	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera"
"Elateriformia"	"-"	41087	5	NA	NA	1	NA	NA	NA	5	NA	2	NA	NA	0.00124	NA	NA	0.0002569	NA	NA	NA	0.00124	NA	0.0005483	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga"
"Elateroidea"	"-"	71193	5	NA	NA	1	NA	NA	NA	5	NA	2	NA	NA	0.00124	NA	NA	0.0002569	NA	NA	NA	0.00124	NA	0.0005483	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Elateriformia"
"Phengodidae"	"F"	94777	5	NA	NA	1	NA	NA	NA	5	NA	2	NA	NA	0.00124	NA	NA	0.0002569	NA	NA	NA	0.00124	NA	0.0005483	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Elateriformia>Elateroidea"
"Phengodinae"	"-"	343732	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.0002569	NA	NA	0.0002569	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Elateriformia>Elateroidea>Phengodidae"
"Cucujiformia"	"-"	41088	1	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	0.0002569	NA	NA	0.0002569	NA	NA	NA	0.000248	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga"
"Tenebrionoidea"	"-"	71527	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.0002569	NA	NA	0.0002569	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Cucujiformia"
