"name"	"taxRank"	"taxID"	"Max"	"kraken2_16s_classification_april_BC01.cladeReads"	"kraken2_16s_classification_april_BC02.cladeReads"	"kraken2_16s_classification_april_BC03.cladeReads"	"kraken2_16s_classification_april_BC04.cladeReads"	"kraken2_16s_classification_april_BC05.cladeReads"	"kraken2_16s_classification_april_BC06.cladeReads"	"kraken2_16s_classification_april_BC07.cladeReads"	"kraken2_16s_classification_april_BC08.cladeReads"	"kraken2_16s_classification_april_BC09.cladeReads"	"kraken2_16s_classification_april_BC10.cladeReads"	"kraken2_16s_classification_april_BC11.cladeReads"	"kraken2_16s_classification_april_BC12.cladeReads"	"Max.1"	"kraken2_16s_classification_april_BC01.cladeReads.."	"kraken2_16s_classification_april_BC02.cladeReads.."	"kraken2_16s_classification_april_BC03.cladeReads.."	"kraken2_16s_classification_april_BC04.cladeReads.."	"kraken2_16s_classification_april_BC05.cladeReads.."	"kraken2_16s_classification_april_BC06.cladeReads.."	"kraken2_16s_classification_april_BC07.cladeReads.."	"kraken2_16s_classification_april_BC08.cladeReads.."	"kraken2_16s_classification_april_BC09.cladeReads.."	"kraken2_16s_classification_april_BC10.cladeReads.."	"kraken2_16s_classification_april_BC11.cladeReads.."	"kraken2_16s_classification_april_BC12.cladeReads.."	"lineage"
"Solibacterales"	"O"	24430	101	6	NA	101	26	NA	21	16	2	7	19	2	NA	0.03804	0.03757	NA	0.03804	0.006681	NA	0.008486	0.005752	0.000496	0.002614	0.005209	0.0008059	NA	"Bacteria>Acidobacteria>Acidobacteriia"
"Solibacteraceae (Subgroup 3)"	"F"	24431	101	6	NA	101	26	NA	21	16	2	7	19	2	NA	0.03804	0.03757	NA	0.03804	0.006681	NA	0.008486	0.005752	0.000496	0.002614	0.005209	0.0008059	NA	"Bacteria>Acidobacteria>Acidobacteriia>Solibacterales"
"Bryobacter"	"G"	24434	51	3	NA	51	12	NA	9	4	1	1	10	NA	NA	0.01921	0.01879	NA	0.01921	0.003083	NA	0.003637	0.001438	0.000248	0.0003734	0.002742	NA	NA	"Bacteria>Acidobacteria>Acidobacteriia>Solibacterales>Solibacteraceae&nbsp;(Subgroup&nbsp;3)"
"Paludibaculum"	"G"	24439	30	2	NA	30	5	NA	2	3	NA	1	NA	1	NA	0.01252	0.01252	NA	0.0113	0.001285	NA	0.0008082	0.001079	NA	0.0003734	NA	0.0004029	NA	"Bacteria>Acidobacteria>Acidobacteriia>Solibacterales>Solibacteraceae&nbsp;(Subgroup&nbsp;3)"
"Candidatus Solibacter"	"G"	24435	11	1	NA	11	6	NA	6	5	NA	3	8	NA	NA	0.006262	0.006262	NA	0.004143	0.001542	NA	0.002425	0.001798	NA	0.00112	0.002193	NA	NA	"Bacteria>Acidobacteria>Acidobacteriia>Solibacterales>Solibacteraceae&nbsp;(Subgroup&nbsp;3)"
"Holophagae"	"C"	372	52	3	1	17	36	NA	11	13	1	4	52	3	NA	0.01879	0.01879	0.005223	0.006402	0.00925	NA	0.004445	0.004674	0.000248	0.001494	0.01426	0.001209	NA	"Bacteria>Acidobacteria"
"Subgroup 7"	"O"	396	19	2	NA	6	10	NA	4	1	1	2	19	2	NA	0.01252	0.01252	NA	0.00226	0.002569	NA	0.001616	0.0003595	0.000248	0.0007469	0.005209	0.0008059	NA	"Bacteria>Acidobacteria>Holophagae"
"Holophagales"	"O"	383	33	1	NA	11	26	NA	7	10	NA	1	33	1	NA	0.009047	0.006262	NA	0.004143	0.006681	NA	0.002829	0.003595	NA	0.0003734	0.009047	0.0004029	NA	"Bacteria>Acidobacteria>Holophagae"
"Holophagaceae"	"F"	384	33	1	NA	11	26	NA	7	10	NA	1	33	1	NA	0.009047	0.006262	NA	0.004143	0.006681	NA	0.002829	0.003595	NA	0.0003734	0.009047	0.0004029	NA	"Bacteria>Acidobacteria>Holophagae>Holophagales"
"uncultured"	"G"	388	14	1	NA	2	9	NA	1	NA	NA	NA	14	1	NA	0.006262	0.006262	NA	0.0007532	0.002313	NA	0.0004041	NA	NA	NA	0.003838	0.0004029	NA	"Bacteria>Acidobacteria>Holophagae>Holophagales>Holophagaceae"
"Subgroup 6"	"C"	14196	286	3	NA	55	96	NA	39	36	NA	20	286	19	NA	0.07841	0.01879	NA	0.02071	0.02467	NA	0.01576	0.01294	NA	0.007469	0.07841	0.007656	NA	"Bacteria>Acidobacteria"
"Subgroup 22"	"C"	398	28	1	NA	8	7	NA	11	5	NA	5	28	NA	NA	0.007677	0.006262	NA	0.003013	0.001799	NA	0.004445	0.001798	NA	0.001867	0.007677	NA	NA	"Bacteria>Acidobacteria"
"Thermoanaerobaculia"	"C"	24469	57	1	NA	28	29	NA	8	11	NA	4	57	3	NA	0.01563	0.006262	NA	0.01054	0.007451	NA	0.003233	0.003955	NA	0.001494	0.01563	0.001209	NA	"Bacteria>Acidobacteria"
"Thermoanaerobaculales"	"O"	24470	57	1	NA	28	29	NA	8	11	NA	4	57	3	NA	0.01563	0.006262	NA	0.01054	0.007451	NA	0.003233	0.003955	NA	0.001494	0.01563	0.001209	NA	"Bacteria>Acidobacteria>Thermoanaerobaculia"
"Thermoanaerobaculaceae"	"F"	24471	57	1	NA	28	29	NA	8	11	NA	4	57	3	NA	0.01563	0.006262	NA	0.01054	0.007451	NA	0.003233	0.003955	NA	0.001494	0.01563	0.001209	NA	"Bacteria>Acidobacteria>Thermoanaerobaculia>Thermoanaerobaculales"
"Subgroup 23"	"G"	24474	13	1	NA	5	3	NA	NA	4	NA	NA	13	NA	NA	0.006262	0.006262	NA	0.001883	0.0007708	NA	NA	0.001438	NA	NA	0.003564	NA	NA	"Bacteria>Acidobacteria>Thermoanaerobaculia>Thermoanaerobaculales>Thermoanaerobaculaceae"
"Blastocatellia (Subgroup 4)"	"C"	24446	49	1	NA	39	18	1	30	11	NA	9	49	12	NA	0.04212	0.006262	NA	0.01469	0.004625	0.04212	0.01212	0.003955	NA	0.003361	0.01343	0.004835	NA	"Bacteria>Acidobacteria"
"Pyrinomonadales"	"O"	24462	8	1	NA	8	7	1	4	3	NA	2	6	4	NA	0.04212	0.006262	NA	0.003013	0.001799	0.04212	0.001616	0.001079	NA	0.0007469	0.001645	0.001612	NA	"Bacteria>Acidobacteria>Blastocatellia&nbsp;(Subgroup&nbsp;4)"
"Pyrinomonadaceae"	"F"	24463	8	1	NA	8	7	1	4	3	NA	2	6	4	NA	0.04212	0.006262	NA	0.003013	0.001799	0.04212	0.001616	0.001079	NA	0.0007469	0.001645	0.001612	NA	"Bacteria>Acidobacteria>Blastocatellia&nbsp;(Subgroup&nbsp;4)>Pyrinomonadales"
"RB41"	"G"	24465	8	1	NA	8	7	1	4	3	NA	2	6	4	NA	0.04212	0.006262	NA	0.003013	0.001799	0.04212	0.001616	0.001079	NA	0.0007469	0.001645	0.001612	NA	"Bacteria>Acidobacteria>Blastocatellia&nbsp;(Subgroup&nbsp;4)>Pyrinomonadales>Pyrinomonadaceae"
"Subgroup 25"	"C"	14194	6	1	1	5	3	NA	1	6	NA	4	6	1	NA	0.006262	0.006262	0.005223	0.001883	0.0007708	NA	0.0004041	0.002157	NA	0.001494	0.001645	0.0004029	NA	"Bacteria>Acidobacteria"
"Fibrobacteres"	"P"	1646	313	15	3	69	258	1	142	145	2	125	313	119	NA	0.09393	0.09393	0.01567	0.02599	0.06629	0.04212	0.05738	0.05213	0.000496	0.04668	0.08581	0.04795	NA	"Bacteria"
"Fibrobacteria"	"C"	1647	304	15	3	68	257	1	133	143	2	123	304	117	NA	0.09393	0.09393	0.01567	0.02561	0.06603	0.04212	0.05375	0.05141	0.000496	0.04593	0.08335	0.04714	NA	"Bacteria>Fibrobacteres"
"Fibrobacterales"	"O"	1648	304	15	3	68	257	1	133	143	2	123	304	117	NA	0.09393	0.09393	0.01567	0.02561	0.06603	0.04212	0.05375	0.05141	0.000496	0.04593	0.08335	0.04714	NA	"Bacteria>Fibrobacteres>Fibrobacteria"
"Fibrobacteraceae"	"F"	1654	300	14	2	59	252	NA	122	135	2	117	300	111	NA	0.08766	0.08766	0.01045	0.02222	0.06475	NA	0.0493	0.04854	0.000496	0.04369	0.08225	0.04473	NA	"Bacteria>Fibrobacteres>Fibrobacteria>Fibrobacterales"
"uncultured"	"G"	1659	221	10	NA	42	165	NA	83	99	2	79	221	78	NA	0.06262	0.06262	NA	0.01582	0.0424	NA	0.03354	0.03559	0.000496	0.0295	0.06059	0.03143	NA	"Bacteria>Fibrobacteres>Fibrobacteria>Fibrobacterales>Fibrobacteraceae"
"possible genus 04"	"G"	1656	79	4	2	16	79	NA	39	33	NA	31	71	33	NA	0.02505	0.02505	0.01045	0.006026	0.0203	NA	0.01576	0.01186	NA	0.01158	0.01947	0.0133	NA	"Bacteria>Fibrobacteres>Fibrobacteria>Fibrobacterales>Fibrobacteraceae"
"uncultured"	"F"	25611	1	1	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	0.006262	0.006262	NA	0.0003766	NA	NA	NA	0.0003595	NA	NA	NA	NA	NA	"Bacteria>Fibrobacteres>Fibrobacteria>Fibrobacterales"
"Spirochaetes"	"P"	26899	222	15	7	222	65	1	68	47	4	29	84	44	NA	0.09393	0.09393	0.03656	0.0836	0.0167	0.04212	0.02748	0.0169	0.0009921	0.01083	0.02303	0.01773	NA	"Bacteria"
"Leptospirae"	"C"	26907	179	11	3	179	7	NA	14	7	1	5	6	4	NA	0.06888	0.06888	0.01567	0.06741	0.001799	NA	0.005658	0.002517	0.000248	0.001867	0.001645	0.001612	NA	"Bacteria>Spirochaetes"
"Leptospirales"	"O"	26908	179	11	3	179	7	NA	14	7	1	5	6	4	NA	0.06888	0.06888	0.01567	0.06741	0.001799	NA	0.005658	0.002517	0.000248	0.001867	0.001645	0.001612	NA	"Bacteria>Spirochaetes>Leptospirae"
"Leptospiraceae"	"F"	26909	179	11	3	179	7	NA	14	7	1	5	6	4	NA	0.06888	0.06888	0.01567	0.06741	0.001799	NA	0.005658	0.002517	0.000248	0.001867	0.001645	0.001612	NA	"Bacteria>Spirochaetes>Leptospirae>Leptospirales"
"Leptospira"	"G"	26911	171	9	3	171	6	NA	14	6	NA	3	2	4	NA	0.0644	0.05636	0.01567	0.0644	0.001542	NA	0.005658	0.002157	NA	0.00112	0.0005483	0.001612	NA	"Bacteria>Spirochaetes>Leptospirae>Leptospirales>Leptospiraceae"
"RBG-16-49-21"	"G"	26912	3	1	NA	NA	1	NA	NA	1	1	1	3	NA	NA	0.006262	0.006262	NA	NA	0.0002569	NA	NA	0.0003595	0.000248	0.0003734	0.0008225	NA	NA	"Bacteria>Spirochaetes>Leptospirae>Leptospirales>Leptospiraceae"
"Spirochaetia"	"C"	26917	68	3	4	40	48	1	45	37	2	23	68	35	NA	0.04212	0.01879	0.02089	0.01506	0.01233	0.04212	0.01818	0.0133	0.000496	0.008589	0.01864	0.0141	NA	"Bacteria>Spirochaetes"
"Spirochaetales"	"O"	26921	68	3	4	40	48	1	45	37	2	23	68	34	NA	0.04212	0.01879	0.02089	0.01506	0.01233	0.04212	0.01818	0.0133	0.000496	0.008589	0.01864	0.0137	NA	"Bacteria>Spirochaetes>Spirochaetia"
"Spirochaetaceae"	"F"	26922	68	3	4	40	48	1	45	37	2	23	68	34	NA	0.04212	0.01879	0.02089	0.01506	0.01233	0.04212	0.01818	0.0133	0.000496	0.008589	0.01864	0.0137	NA	"Bacteria>Spirochaetes>Spirochaetia>Spirochaetales"
"Sphaerochaeta"	"G"	26931	1	1	1	NA	1	NA	NA	NA	NA	NA	1	NA	NA	0.006262	0.006262	0.005223	NA	0.0002569	NA	NA	NA	NA	NA	0.0002742	NA	NA	"Bacteria>Spirochaetes>Spirochaetia>Spirochaetales>Spirochaetaceae"
"Spirochaeta 2"	"G"	26932	41	1	1	12	18	NA	25	21	1	8	41	7	NA	0.01124	0.006262	0.005223	0.004519	0.004625	NA	0.0101	0.00755	0.000248	0.002988	0.01124	0.002821	NA	"Bacteria>Spirochaetes>Spirochaetia>Spirochaetales>Spirochaetaceae"
"Treponema 2"	"G"	26935	9	1	1	8	9	1	3	6	1	4	5	7	NA	0.04212	0.006262	0.005223	0.003013	0.002313	0.04212	0.001212	0.002157	0.000248	0.001494	0.001371	0.002821	NA	"Bacteria>Spirochaetes>Spirochaetia>Spirochaetales>Spirochaetaceae"
"MVP-15"	"C"	26916	8	1	NA	2	8	NA	8	2	NA	1	8	3	NA	0.006262	0.006262	NA	0.0007532	0.002056	NA	0.003233	0.000719	NA	0.0003734	0.002193	0.001209	NA	"Bacteria>Spirochaetes"
"Elusimicrobia"	"P"	1632	80	6	NA	57	80	NA	38	21	NA	29	67	21	NA	0.03757	0.03757	NA	0.02147	0.02056	NA	0.01536	0.00755	NA	0.01083	0.01837	0.008462	NA	"Bacteria"
"Elusimicrobia"	"C"	1633	50	3	NA	21	50	NA	9	7	NA	7	29	5	NA	0.01879	0.01879	NA	0.007909	0.01285	NA	0.003637	0.002517	NA	0.002614	0.007951	0.002015	NA	"Bacteria>Elusimicrobia"
"Lineage IV"	"O"	1642	31	2	NA	8	31	NA	9	4	NA	6	29	5	NA	0.01252	0.01252	NA	0.003013	0.007965	NA	0.003637	0.001438	NA	0.002241	0.007951	0.002015	NA	"Bacteria>Elusimicrobia>Elusimicrobia"
"MVP-88"	"O"	1644	17	1	NA	12	17	NA	NA	2	NA	NA	NA	NA	NA	0.006262	0.006262	NA	0.004519	0.004368	NA	NA	0.000719	NA	NA	NA	NA	NA	"Bacteria>Elusimicrobia>Elusimicrobia"
"Lineage IIa"	"C"	25556	29	2	NA	29	12	NA	11	8	NA	12	26	6	NA	0.01252	0.01252	NA	0.01092	0.003083	NA	0.004445	0.002876	NA	0.004481	0.007128	0.002418	NA	"Bacteria>Elusimicrobia"
"Lineage IIc"	"C"	25558	4	1	NA	NA	4	NA	1	2	NA	1	3	4	NA	0.006262	0.006262	NA	NA	0.001028	NA	0.0004041	0.000719	NA	0.0003734	0.0008225	0.001612	NA	"Bacteria>Elusimicrobia"
"Chloroflexi"	"P"	1385	445	5	6	445	161	2	59	88	6	66	293	42	1	0.1776	0.03131	0.03134	0.1676	0.04137	0.08425	0.02384	0.03164	0.001488	0.02465	0.08033	0.01692	0.1776	"Bacteria"
"Chloroflexia"	"C"	1411	138	2	NA	138	23	NA	10	12	NA	10	39	4	1	0.1776	0.01252	NA	0.05197	0.00591	NA	0.004041	0.004314	NA	0.003734	0.01069	0.001612	0.1776	"Bacteria>Chloroflexi"
"Chloroflexales"	"O"	1413	130	2	NA	130	12	NA	7	9	NA	5	19	3	1	0.1776	0.01252	NA	0.04896	0.003083	NA	0.002829	0.003236	NA	0.001867	0.005209	0.001209	0.1776	"Bacteria>Chloroflexi>Chloroflexia"
"Roseiflexaceae"	"F"	1422	127	2	NA	127	4	NA	6	7	NA	5	17	2	1	0.1776	0.01252	NA	0.04783	0.001028	NA	0.002425	0.002517	NA	0.001867	0.004661	0.0008059	0.1776	"Bacteria>Chloroflexi>Chloroflexia>Chloroflexales"
"Kouleothrix"	"G"	25157	94	1	NA	94	1	NA	NA	3	NA	NA	1	NA	1	0.1776	0.006262	NA	0.0354	0.0002569	NA	NA	0.001079	NA	NA	0.0002742	NA	0.1776	"Bacteria>Chloroflexi>Chloroflexia>Chloroflexales>Roseiflexaceae"
"uncultured"	"G"	25158	30	1	NA	30	3	NA	6	4	NA	5	16	2	NA	0.0113	0.006262	NA	0.0113	0.0007708	NA	0.002425	0.001438	NA	0.001867	0.004387	0.0008059	NA	"Bacteria>Chloroflexi>Chloroflexia>Chloroflexales>Roseiflexaceae"
"Anaerolineae"	"C"	1386	270	2	5	270	100	1	37	57	3	34	144	24	NA	0.1017	0.01252	0.02612	0.1017	0.02569	0.04212	0.01495	0.02049	0.0007441	0.0127	0.03948	0.009671	NA	"Bacteria>Chloroflexi"
"Caldilineales"	"O"	25133	110	1	3	110	21	NA	11	12	NA	8	42	6	NA	0.04143	0.006262	0.01567	0.04143	0.005396	NA	0.004445	0.004314	NA	0.002988	0.01151	0.002418	NA	"Bacteria>Chloroflexi>Anaerolineae"
"Caldilineaceae"	"F"	25134	110	1	3	110	21	NA	11	12	NA	8	42	6	NA	0.04143	0.006262	0.01567	0.04143	0.005396	NA	0.004445	0.004314	NA	0.002988	0.01151	0.002418	NA	"Bacteria>Chloroflexi>Anaerolineae>Caldilineales"
"uncultured"	"G"	25137	109	1	3	109	20	NA	11	11	NA	8	39	6	NA	0.04105	0.006262	0.01567	0.04105	0.005139	NA	0.004445	0.003955	NA	0.002988	0.01069	0.002418	NA	"Bacteria>Chloroflexi>Anaerolineae>Caldilineales>Caldilineaceae"
"SJA-15"	"O"	25146	23	1	1	3	4	NA	NA	7	NA	NA	23	1	NA	0.006306	0.006262	0.005223	0.00113	0.001028	NA	NA	0.002517	NA	NA	0.006306	0.0004029	NA	"Bacteria>Chloroflexi>Anaerolineae"
"SHA-26"	"C"	1479	11	1	NA	6	6	NA	1	5	NA	4	11	3	NA	0.006262	0.006262	NA	0.00226	0.001542	NA	0.0004041	0.001798	NA	0.001494	0.003016	0.001209	NA	"Bacteria>Chloroflexi"
"Fusobacteria"	"P"	2203	80	5	2	23	32	NA	41	16	3	68	7	80	NA	0.03224	0.03131	0.01045	0.008662	0.008222	NA	0.01657	0.005752	0.0007441	0.02539	0.001919	0.03224	NA	"Bacteria"
"Fusobacteriia"	"C"	2204	80	5	2	23	32	NA	41	16	3	68	7	80	NA	0.03224	0.03131	0.01045	0.008662	0.008222	NA	0.01657	0.005752	0.0007441	0.02539	0.001919	0.03224	NA	"Bacteria>Fusobacteria"
"Fusobacteriales"	"O"	2205	80	5	2	23	32	NA	41	16	3	68	7	80	NA	0.03224	0.03131	0.01045	0.008662	0.008222	NA	0.01657	0.005752	0.0007441	0.02539	0.001919	0.03224	NA	"Bacteria>Fusobacteria>Fusobacteriia"
"Leptotrichiaceae"	"F"	2215	71	4	2	21	22	NA	35	12	1	53	4	71	NA	0.02861	0.02505	0.01045	0.007909	0.005653	NA	0.01414	0.004314	0.000248	0.01979	0.001097	0.02861	NA	"Bacteria>Fusobacteria>Fusobacteriia>Fusobacteriales"
"uncultured"	"G"	2220	19	3	NA	8	16	NA	7	2	NA	11	4	19	NA	0.01879	0.01879	NA	0.003013	0.004111	NA	0.002829	0.000719	NA	0.004108	0.001097	0.007656	NA	"Bacteria>Fusobacteria>Fusobacteriia>Fusobacteriales>Leptotrichiaceae"
"Hypnocyclicus"	"G"	25680	50	1	2	11	4	NA	26	8	NA	41	NA	50	NA	0.02015	0.006262	0.01045	0.004143	0.001028	NA	0.01051	0.002876	NA	0.01531	NA	0.02015	NA	"Bacteria>Fusobacteria>Fusobacteriia>Fusobacteriales>Leptotrichiaceae"
"Fusobacteriaceae"	"F"	2208	14	1	NA	2	10	NA	6	4	2	14	2	9	NA	0.006262	0.006262	NA	0.0007532	0.002569	NA	0.002425	0.001438	0.000496	0.005228	0.0005483	0.003627	NA	"Bacteria>Fusobacteria>Fusobacteriia>Fusobacteriales"
"Fusobacterium"	"G"	2210	9	1	NA	1	7	NA	5	2	2	9	1	5	NA	0.006262	0.006262	NA	0.0003766	0.001799	NA	0.002021	0.000719	0.000496	0.003361	0.0002742	0.002015	NA	"Bacteria>Fusobacteria>Fusobacteriia>Fusobacteriales>Fusobacteriaceae"
"Dependentiae"	"P"	25541	53	5	1	32	53	NA	31	43	1	29	21	12	NA	0.03131	0.03131	0.005223	0.01205	0.01362	NA	0.01253	0.01546	0.000248	0.01083	0.005757	0.004835	NA	"Bacteria"
"Babeliae"	"C"	25542	53	5	1	32	53	NA	31	43	1	29	21	12	NA	0.03131	0.03131	0.005223	0.01205	0.01362	NA	0.01253	0.01546	0.000248	0.01083	0.005757	0.004835	NA	"Bacteria>Dependentiae"
"Babeliales"	"O"	25543	53	5	1	32	53	NA	31	43	1	29	21	12	NA	0.03131	0.03131	0.005223	0.01205	0.01362	NA	0.01253	0.01546	0.000248	0.01083	0.005757	0.004835	NA	"Bacteria>Dependentiae>Babeliae"
"Vermiphilaceae"	"F"	25548	32	4	1	24	32	NA	17	30	1	19	19	7	NA	0.02505	0.02505	0.005223	0.009038	0.008222	NA	0.00687	0.01079	0.000248	0.007096	0.005209	0.002821	NA	"Bacteria>Dependentiae>Babeliae>Babeliales"
"UBA12409"	"F"	25546	8	1	NA	1	8	NA	7	4	NA	5	NA	1	NA	0.006262	0.006262	NA	0.0003766	0.002056	NA	0.002829	0.001438	NA	0.001867	NA	0.0004029	NA	"Bacteria>Dependentiae>Babeliae>Babeliales"
"Rokubacteria"	"P"	26887	119	4	NA	16	119	NA	8	9	NA	4	53	11	NA	0.03058	0.02505	NA	0.006026	0.03058	NA	0.003233	0.003236	NA	0.001494	0.01453	0.004432	NA	"Bacteria"
"NC10"	"C"	26888	119	4	NA	16	119	NA	8	9	NA	4	53	11	NA	0.03058	0.02505	NA	0.006026	0.03058	NA	0.003233	0.003236	NA	0.001494	0.01453	0.004432	NA	"Bacteria>Rokubacteria"
"Methylomirabilales"	"O"	26889	27	2	NA	12	15	NA	6	3	NA	3	27	8	NA	0.01252	0.01252	NA	0.004519	0.003854	NA	0.002425	0.001079	NA	0.00112	0.007402	0.003224	NA	"Bacteria>Rokubacteria>NC10"
"Methylomirabilaceae"	"F"	26890	27	2	NA	12	15	NA	6	3	NA	3	27	8	NA	0.01252	0.01252	NA	0.004519	0.003854	NA	0.002425	0.001079	NA	0.00112	0.007402	0.003224	NA	"Bacteria>Rokubacteria>NC10>Methylomirabilales"
"Candidatus Methylomirabilis"	"G"	26891	12	1	NA	6	12	NA	3	3	NA	2	8	6	NA	0.006262	0.006262	NA	0.00226	0.003083	NA	0.001212	0.001079	NA	0.0007469	0.002193	0.002418	NA	"Bacteria>Rokubacteria>NC10>Methylomirabilales>Methylomirabilaceae"
"Sh765B-TzT-35"	"G"	26894	15	1	NA	5	2	NA	2	NA	NA	NA	15	NA	NA	0.006262	0.006262	NA	0.001883	0.0005139	NA	0.0008082	NA	NA	NA	0.004112	NA	NA	"Bacteria>Rokubacteria>NC10>Methylomirabilales>Methylomirabilaceae"
"Rokubacteriales"	"O"	26897	104	2	NA	4	104	NA	2	6	NA	1	26	3	NA	0.02672	0.01252	NA	0.001506	0.02672	NA	0.0008082	0.002157	NA	0.0003734	0.007128	0.001209	NA	"Bacteria>Rokubacteria>NC10"
"Hydrogenedentes"	"P"	11400	98	4	NA	98	18	NA	26	13	NA	9	47	3	NA	0.03691	0.02505	NA	0.03691	0.004625	NA	0.01051	0.004674	NA	0.003361	0.01289	0.001209	NA	"Bacteria"
"Hydrogenedentia"	"C"	25702	98	4	NA	98	18	NA	26	13	NA	9	47	3	NA	0.03691	0.02505	NA	0.03691	0.004625	NA	0.01051	0.004674	NA	0.003361	0.01289	0.001209	NA	"Bacteria>Hydrogenedentes"
"Hydrogenedentiales"	"O"	25703	98	4	NA	98	18	NA	26	13	NA	9	47	3	NA	0.03691	0.02505	NA	0.03691	0.004625	NA	0.01051	0.004674	NA	0.003361	0.01289	0.001209	NA	"Bacteria>Hydrogenedentes>Hydrogenedentia"
"Hydrogenedensaceae"	"F"	25704	98	4	NA	98	18	NA	26	13	NA	9	47	3	NA	0.03691	0.02505	NA	0.03691	0.004625	NA	0.01051	0.004674	NA	0.003361	0.01289	0.001209	NA	"Bacteria>Hydrogenedentes>Hydrogenedentia>Hydrogenedentiales"
"Armatimonadetes"	"P"	894	175	4	2	57	66	NA	64	51	NA	15	175	17	2	0.3552	0.02505	0.01045	0.02147	0.01696	NA	0.02586	0.01834	NA	0.005602	0.04798	0.00685	0.3552	"Bacteria"
"Armatimonadia"	"C"	895	115	3	1	29	49	NA	48	44	NA	12	115	13	2	0.3552	0.01879	0.005223	0.01092	0.01259	NA	0.0194	0.01582	NA	0.004481	0.03153	0.005238	0.3552	"Bacteria>Armatimonadetes"
"Armatimonadales"	"O"	896	115	3	1	29	49	NA	48	44	NA	12	115	13	2	0.3552	0.01879	0.005223	0.01092	0.01259	NA	0.0194	0.01582	NA	0.004481	0.03153	0.005238	0.3552	"Bacteria>Armatimonadetes>Armatimonadia"
"Armatimonadaceae"	"F"	897	90	3	1	25	37	NA	42	39	NA	10	90	11	2	0.3552	0.01879	0.005223	0.009415	0.009507	NA	0.01697	0.01402	NA	0.003734	0.02467	0.004432	0.3552	"Bacteria>Armatimonadetes>Armatimonadia>Armatimonadales"
"Armatimonas"	"G"	898	90	3	1	25	37	NA	42	39	NA	10	90	11	2	0.3552	0.01879	0.005223	0.009415	0.009507	NA	0.01697	0.01402	NA	0.003734	0.02467	0.004432	0.3552	"Bacteria>Armatimonadetes>Armatimonadia>Armatimonadales>Armatimonadaceae"
"Fimbriimonadia"	"C"	14237	12	1	NA	12	1	NA	4	1	NA	NA	7	NA	NA	0.006262	0.006262	NA	0.004519	0.0002569	NA	0.001616	0.0003595	NA	NA	0.001919	NA	NA	"Bacteria>Armatimonadetes"
"Fimbriimonadales"	"O"	14238	12	1	NA	12	1	NA	4	1	NA	NA	7	NA	NA	0.006262	0.006262	NA	0.004519	0.0002569	NA	0.001616	0.0003595	NA	NA	0.001919	NA	NA	"Bacteria>Armatimonadetes>Fimbriimonadia"
"Fimbriimonadaceae"	"F"	14239	12	1	NA	12	1	NA	3	1	NA	NA	4	NA	NA	0.006262	0.006262	NA	0.004519	0.0002569	NA	0.001212	0.0003595	NA	NA	0.001097	NA	NA	"Bacteria>Armatimonadetes>Fimbriimonadia>Fimbriimonadales"
"Cloacimonetes"	"P"	11239	11	3	NA	6	7	NA	11	4	1	7	6	4	NA	0.01879	0.01879	NA	0.00226	0.001799	NA	0.004445	0.001438	0.000248	0.002614	0.001645	0.001612	NA	"Bacteria"
"Cloacimonadia"	"C"	25205	11	3	NA	6	7	NA	11	4	1	7	6	4	NA	0.01879	0.01879	NA	0.00226	0.001799	NA	0.004445	0.001438	0.000248	0.002614	0.001645	0.001612	NA	"Bacteria>Cloacimonetes"
"Cloacimonadales"	"O"	25206	11	3	NA	6	7	NA	11	4	1	7	6	4	NA	0.01879	0.01879	NA	0.00226	0.001799	NA	0.004445	0.001438	0.000248	0.002614	0.001645	0.001612	NA	"Bacteria>Cloacimonetes>Cloacimonadia"
"PBS-18"	"F"	25217	7	3	NA	3	NA	NA	7	3	NA	3	2	2	NA	0.01879	0.01879	NA	0.00113	NA	NA	0.002829	0.001079	NA	0.00112	0.0005483	0.0008059	NA	"Bacteria>Cloacimonetes>Cloacimonadia>Cloacimonadales"
"Latescibacteria"	"P"	11403	36	3	NA	27	10	NA	7	5	NA	3	36	5	NA	0.01879	0.01879	NA	0.01017	0.002569	NA	0.002829	0.001798	NA	0.00112	0.00987	0.002015	NA	"Bacteria"
"Latescibacteria"	"C"	25716	10	3	NA	10	3	NA	3	3	NA	NA	4	4	NA	0.01879	0.01879	NA	0.003766	0.0007708	NA	0.001212	0.001079	NA	NA	0.001097	0.001612	NA	"Bacteria>Latescibacteria"
"Latescibacterales"	"O"	25717	10	3	NA	10	3	NA	3	3	NA	NA	4	4	NA	0.01879	0.01879	NA	0.003766	0.0007708	NA	0.001212	0.001079	NA	NA	0.001097	0.001612	NA	"Bacteria>Latescibacteria>Latescibacteria"
"Latescibacteraceae"	"F"	25718	10	3	NA	10	3	NA	3	3	NA	NA	4	4	NA	0.01879	0.01879	NA	0.003766	0.0007708	NA	0.001212	0.001079	NA	NA	0.001097	0.001612	NA	"Bacteria>Latescibacteria>Latescibacteria>Latescibacterales"
"Lentisphaerae"	"P"	2238	350	3	2	24	350	1	24	24	NA	18	41	17	NA	0.08993	0.01879	0.01045	0.009038	0.08993	0.04212	0.009699	0.008629	NA	0.006722	0.01124	0.00685	NA	"Bacteria"
