"name"	"taxRank"	"taxID"	"Max"	"centrifuge_classification_june_BC01.kreport.cladeReads"	"centrifuge_classification_june_BC02.kreport.cladeReads"	"centrifuge_classification_june_BC03.kreport.cladeReads"	"centrifuge_classification_june_BC04.kreport.cladeReads"	"centrifuge_classification_june_BC05.kreport.cladeReads"	"centrifuge_classification_june_BC06.kreport.cladeReads"	"centrifuge_classification_june_BC08.kreport.cladeReads"	"centrifuge_classification_june_BC09.kreport.cladeReads"	"centrifuge_classification_june_BC10.kreport.cladeReads"	"centrifuge_classification_june_BC11.kreport.cladeReads"	"centrifuge_classification_june_BC12.kreport.cladeReads"	"Max.1"	"centrifuge_classification_june_BC01.kreport.cladeReads.."	"centrifuge_classification_june_BC02.kreport.cladeReads.."	"centrifuge_classification_june_BC03.kreport.cladeReads.."	"centrifuge_classification_june_BC04.kreport.cladeReads.."	"centrifuge_classification_june_BC05.kreport.cladeReads.."	"centrifuge_classification_june_BC06.kreport.cladeReads.."	"centrifuge_classification_june_BC08.kreport.cladeReads.."	"centrifuge_classification_june_BC09.kreport.cladeReads.."	"centrifuge_classification_june_BC10.kreport.cladeReads.."	"centrifuge_classification_june_BC11.kreport.cladeReads.."	"centrifuge_classification_june_BC12.kreport.cladeReads.."	"lineage"
"Bacillus cereus"	"S"	1396	5030	778	24	674	NA	545	NA	5030	3	NA	96	NA	2.765	0.3879	0.3255	0.4131	NA	0.2802	NA	2.765	2.752	NA	0.1055	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;cereus&nbsp;group"
"Bacillus anthracis"	"S"	1392	245	172	4	135	NA	105	NA	245	NA	NA	12	NA	0.1347	0.08577	0.05424	0.08275	NA	0.05399	NA	0.1347	NA	NA	0.01319	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;cereus&nbsp;group"
"Bacillus thuringiensis"	"S"	1428	393	70	5	62	NA	53	NA	393	NA	NA	19	NA	0.216	0.0349	0.06781	0.038	NA	0.02725	NA	0.216	NA	NA	0.02088	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;cereus&nbsp;group"
"Bacillus toyonensis"	"S"	155322	21	21	NA	21	NA	12	NA	3	NA	NA	NA	NA	0.01287	0.01047	NA	0.01287	NA	0.00617	NA	0.001649	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;cereus&nbsp;group"
"Bacillus mycoides"	"S"	1405	92	11	1	2	NA	24	NA	92	NA	NA	15	NA	0.05057	0.005485	0.01356	0.001226	NA	0.01234	NA	0.05057	NA	NA	0.01648	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;cereus&nbsp;group"
"Bacillus subtilis group"	"S"	653685	4254	274	10	240	NA	212	NA	4254	NA	NA	61	NA	2.338	0.1366	0.1356	0.1471	NA	0.109	NA	2.338	NA	NA	0.06703	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus"
"Bacillus subtilis"	"S"	1423	1760	212	8	193	NA	167	NA	1760	NA	NA	41	NA	0.9674	0.1057	0.1085	0.1183	NA	0.08587	NA	0.9674	NA	NA	0.04505	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group"
"Bacillus amyloliquefaciens group"	"S"	1938374	1874	61	1	44	NA	44	NA	1874	NA	NA	18	NA	1.03	0.03042	0.01356	0.02697	NA	0.02262	NA	1.03	NA	NA	0.01978	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group"
"Bacillus velezensis"	"S"	492670	1417	47	1	36	NA	36	NA	1417	NA	NA	15	NA	0.7789	0.02344	0.01356	0.02207	NA	0.01851	NA	0.7789	NA	NA	0.01648	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group>Bacillus&nbsp;amyloliquefaciens&nbsp;group"
"Bacillus amyloliquefaciens"	"S"	1390	425	13	NA	8	NA	8	NA	425	NA	NA	3	NA	0.2336	0.006482	NA	0.004904	NA	0.004113	NA	0.2336	NA	NA	0.003297	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group>Bacillus&nbsp;amyloliquefaciens&nbsp;group"
"Bacillus licheniformis"	"S"	1402	301	1	1	NA	NA	1	NA	301	NA	NA	NA	NA	0.1655	0.0004986	0.01356	NA	NA	0.0005142	NA	0.1655	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group"
"Bacillus sp. Lzh-5"	"S"	2049935	3581	125	3	120	NA	108	NA	3581	NA	NA	49	NA	1.968	0.06233	0.04068	0.07355	NA	0.05553	NA	1.968	NA	NA	0.05385	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus"
"Bacillus megaterium"	"S"	1404	151	28	NA	13	NA	7	NA	151	NA	NA	1	NA	0.083	0.01396	NA	0.007968	NA	0.003599	NA	0.083	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus"
"Bacillus flexus"	"S"	86664	214	21	2	35	NA	18	NA	214	NA	NA	12	NA	0.1176	0.01047	0.02712	0.02145	NA	0.009255	NA	0.1176	NA	NA	0.01319	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus"
"Bacillus sp. (in: Bacteria)"	"S"	1409	321	14	NA	6	NA	9	NA	321	NA	NA	NA	NA	0.1764	0.006981	NA	0.003678	NA	0.004628	NA	0.1764	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus"
"Bacillus cohnii"	"S"	33932	169	12	1	8	NA	12	NA	169	NA	NA	2	NA	0.09289	0.005984	0.01356	0.004904	NA	0.00617	NA	0.09289	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus"
"Bacillus beveridgei"	"S"	632773	13	12	NA	13	NA	7	NA	3	NA	NA	NA	NA	0.007968	0.005984	NA	0.007968	NA	0.003599	NA	0.001649	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus"
"Bacillus krulwichiae"	"S"	199441	472	9	NA	17	NA	8	NA	472	NA	NA	1	NA	0.2594	0.004488	NA	0.01042	NA	0.004113	NA	0.2594	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus"
"Bacillus pumilus"	"S"	1408	36	5	NA	5	NA	NA	NA	36	NA	NA	1	NA	0.01979	0.002493	NA	0.003065	NA	NA	NA	0.01979	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus"
"Bacillus lehensis"	"S"	300825	56	3	NA	NA	NA	6	NA	56	NA	NA	NA	NA	0.03078	0.001496	NA	NA	NA	0.003085	NA	0.03078	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus"
"Bacillus coagulans"	"S"	1398	82	2	NA	NA	NA	1	NA	82	NA	NA	1	NA	0.04507	0.0009973	NA	NA	NA	0.0005142	NA	0.04507	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus"
"Bacillus simplex"	"S"	1478	2	2	NA	2	NA	2	NA	2	NA	NA	2	NA	0.002198	0.0009973	NA	0.001226	NA	0.001028	NA	0.001099	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus"
"Bacillus altitudinis complex"	"-"	1792192	30	2	NA	1	NA	1	NA	30	NA	NA	NA	NA	0.01649	0.0009973	NA	0.000613	NA	0.0005142	NA	0.01649	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus"
"Bacillus altitudinis"	"S"	293387	30	2	NA	1	NA	1	NA	30	NA	NA	NA	NA	0.01649	0.0009973	NA	0.000613	NA	0.0005142	NA	0.01649	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;altitudinis&nbsp;complex"
"Bacillus endophyticus"	"S"	135735	19	1	NA	NA	NA	1	NA	19	NA	NA	NA	NA	0.01044	0.0004986	NA	NA	NA	0.0005142	NA	0.01044	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus"
"Bacillus weihaiensis"	"S"	1547283	53	1	NA	NA	NA	1	NA	53	NA	NA	NA	NA	0.02913	0.0004986	NA	NA	NA	0.0005142	NA	0.02913	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus"
"Bacillus sp. X1(2014)"	"S"	1565991	29	1	NA	NA	NA	1	NA	29	NA	NA	NA	NA	0.01594	0.0004986	NA	NA	NA	0.0005142	NA	0.01594	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus"
"Bacillus sp. BH072"	"S"	1570330	126	1	NA	NA	NA	NA	NA	126	NA	NA	NA	NA	0.06926	0.0004986	NA	NA	NA	NA	NA	0.06926	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus"
"Bacillus sp. HBCD-sjtu"	"S"	2053832	8	1	NA	NA	NA	NA	NA	8	NA	NA	NA	NA	0.004397	0.0004986	NA	NA	NA	NA	NA	0.004397	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus"
"Geobacillus"	"G"	129337	402	156	7	137	NA	146	NA	402	1	NA	25	1	0.9174	0.07779	0.09493	0.08397	NA	0.07507	NA	0.221	0.9174	NA	0.02747	0.5435	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Geobacillus thermoleovorans group"	"S"	1505648	271	121	5	100	NA	102	NA	271	1	NA	14	1	0.9174	0.06033	0.06781	0.0613	NA	0.05245	NA	0.149	0.9174	NA	0.01538	0.5435	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Geobacillus"
"Geobacillus thermocatenulatus"	"S"	33938	265	117	5	98	NA	102	NA	265	1	NA	12	1	0.9174	0.05834	0.06781	0.06007	NA	0.05245	NA	0.1457	0.9174	NA	0.01319	0.5435	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Geobacillus>Geobacillus&nbsp;thermoleovorans&nbsp;group"
"Geobacillus kaustophilus"	"S"	1462	4	4	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	0.001995	0.001995	NA	0.001226	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Geobacillus>Geobacillus&nbsp;thermoleovorans&nbsp;group"
"Geobacillus sp. GHH01"	"S"	1233873	32	26	1	23	NA	32	NA	29	NA	NA	7	NA	0.01645	0.01296	0.01356	0.0141	NA	0.01645	NA	0.01594	NA	NA	0.007692	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Geobacillus"
"Geobacillus thermodenitrificans"	"S"	33940	16	9	NA	14	NA	11	NA	16	NA	NA	3	NA	0.008795	0.004488	NA	0.008581	NA	0.005656	NA	0.008795	NA	NA	0.003297	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Geobacillus"
"Amphibacillus"	"G"	29331	19	19	NA	13	NA	6	NA	14	NA	NA	1	NA	0.009474	0.009474	NA	0.007968	NA	0.003085	NA	0.007695	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Amphibacillus xylanus"	"S"	1449	19	19	NA	13	NA	6	NA	14	NA	NA	1	NA	0.009474	0.009474	NA	0.007968	NA	0.003085	NA	0.007695	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Amphibacillus"
"Anoxybacillus"	"G"	150247	75	16	2	9	NA	19	NA	75	1	NA	4	NA	0.9174	0.007978	0.02712	0.005517	NA	0.009769	NA	0.04123	0.9174	NA	0.004396	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Anoxybacillus gonensis"	"S"	198467	26	15	2	9	NA	14	NA	26	NA	NA	NA	NA	0.02712	0.00748	0.02712	0.005517	NA	0.007198	NA	0.01429	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Anoxybacillus"
"Anoxybacillus sp. B7M1"	"S"	1490057	18	1	NA	NA	NA	4	NA	18	NA	NA	3	NA	0.009894	0.0004986	NA	NA	NA	0.002057	NA	0.009894	NA	NA	0.003297	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Anoxybacillus"
"Salimicrobium"	"G"	351195	20	4	NA	2	NA	NA	NA	20	NA	NA	1	NA	0.01099	0.001995	NA	0.001226	NA	NA	NA	0.01099	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Salimicrobium jeotgali"	"S"	1230341	20	4	NA	2	NA	NA	NA	20	NA	NA	1	NA	0.01099	0.001995	NA	0.001226	NA	NA	NA	0.01099	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Salimicrobium"
"Lentibacillus"	"G"	175304	2	2	NA	2	NA	NA	NA	1	NA	NA	NA	NA	0.001226	0.0009973	NA	0.001226	NA	NA	NA	0.0005497	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Lentibacillus amyloliquefaciens"	"S"	1472767	2	2	NA	2	NA	NA	NA	1	NA	NA	NA	NA	0.001226	0.0009973	NA	0.001226	NA	NA	NA	0.0005497	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Lentibacillus"
"Virgibacillus"	"G"	84406	298	1	NA	NA	NA	3	NA	298	NA	NA	1	NA	0.1638	0.0004986	NA	NA	NA	0.001543	NA	0.1638	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Virgibacillus necropolis"	"S"	163877	268	1	NA	NA	NA	2	NA	268	NA	NA	NA	NA	0.1473	0.0004986	NA	NA	NA	0.001028	NA	0.1473	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Virgibacillus"
"Staphylococcaceae"	"F"	90964	9900	354	11	250	2	462	NA	9900	NA	NA	180	2	5.442	0.1765	0.1492	0.1532	1.25	0.2376	NA	5.442	NA	NA	0.1978	1.087	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales"
"Staphylococcus"	"G"	1279	9221	295	7	224	2	299	NA	9221	NA	NA	95	2	5.069	0.1471	0.09493	0.1373	1.25	0.1537	NA	5.069	NA	NA	0.1044	1.087	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Staphylococcaceae"
"Staphylococcus aureus"	"S"	1280	3362	117	6	78	2	89	NA	3362	NA	NA	30	NA	1.848	0.05834	0.08137	0.04781	1.25	0.04576	NA	1.848	NA	NA	0.03297	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus"
"Staphylococcus argenteus"	"S"	985002	669	100	NA	80	NA	66	NA	669	NA	NA	12	NA	0.3677	0.04986	NA	0.04904	NA	0.03394	NA	0.3677	NA	NA	0.01319	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus"
"Staphylococcus sp. AntiMn-1"	"S"	1715860	791	31	NA	13	NA	64	NA	791	NA	NA	32	NA	0.4348	0.01546	NA	0.007968	NA	0.03291	NA	0.4348	NA	NA	0.03516	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus"
"Staphylococcus lugdunensis"	"S"	28035	910	16	1	11	NA	17	NA	910	NA	NA	7	NA	0.5002	0.007978	0.01356	0.006742	NA	0.008741	NA	0.5002	NA	NA	0.007692	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus"
"Staphylococcus cohnii"	"S"	29382	61	9	NA	9	NA	8	NA	61	NA	NA	NA	NA	0.03353	0.004488	NA	0.005517	NA	0.004113	NA	0.03353	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus"
"Staphylococcus hyicus"	"S"	1284	50	4	NA	14	NA	1	NA	50	NA	NA	NA	NA	0.02748	0.001995	NA	0.008581	NA	0.0005142	NA	0.02748	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus"
"Staphylococcus pseudintermedius"	"S"	283734	36	4	NA	4	NA	3	NA	36	NA	NA	3	NA	0.01979	0.001995	NA	0.002452	NA	0.001543	NA	0.01979	NA	NA	0.003297	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus"
"Staphylococcus schleiferi"	"S"	1295	39	3	NA	1	NA	39	NA	33	NA	NA	NA	NA	0.02005	0.001496	NA	0.000613	NA	0.02005	NA	0.01814	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus"
"Staphylococcus succinus"	"S"	61015	86	2	NA	NA	NA	NA	NA	86	NA	NA	NA	NA	0.04727	0.0009973	NA	NA	NA	NA	NA	0.04727	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus"
"Staphylococcus simiae"	"S"	308354	143	2	NA	NA	NA	NA	NA	143	NA	NA	NA	1	0.5435	0.0009973	NA	NA	NA	NA	NA	0.0786	NA	NA	NA	0.5435	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus"
"Staphylococcus simulans"	"S"	1286	122	1	NA	NA	NA	NA	NA	122	NA	NA	NA	NA	0.06706	0.0004986	NA	NA	NA	NA	NA	0.06706	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus"
"Staphylococcus xylosus"	"S"	1288	2	1	NA	1	NA	2	NA	2	NA	NA	NA	NA	0.001099	0.0004986	NA	0.000613	NA	0.001028	NA	0.001099	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus"
"Staphylococcus saprophyticus"	"S"	29385	223	1	NA	3	NA	2	NA	223	NA	NA	3	NA	0.1226	0.0004986	NA	0.001839	NA	0.001028	NA	0.1226	NA	NA	0.003297	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus"
"Staphylococcus capitis"	"S"	29388	145	1	NA	2	NA	2	NA	145	NA	NA	NA	1	0.5435	0.0004986	NA	0.001226	NA	0.001028	NA	0.0797	NA	NA	NA	0.5435	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus"
"Staphylococcus piscifermentans"	"S"	70258	33	1	NA	NA	NA	1	NA	33	NA	NA	NA	NA	0.01814	0.0004986	NA	NA	NA	0.0005142	NA	0.01814	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus"
"Auricoccucs"	"G"	2005363	275	35	4	17	NA	148	NA	275	NA	NA	78	NA	0.1512	0.01745	0.05424	0.01042	NA	0.0761	NA	0.1512	NA	NA	0.08571	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Staphylococcaceae"
"Auricoccus indicus"	"S"	1849491	275	35	4	17	NA	148	NA	275	NA	NA	78	NA	0.1512	0.01745	0.05424	0.01042	NA	0.0761	NA	0.1512	NA	NA	0.08571	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Staphylococcaceae>Auricoccucs"
"Macrococcus"	"G"	69965	125	19	NA	9	NA	12	NA	125	NA	NA	6	NA	0.06871	0.009474	NA	0.005517	NA	0.00617	NA	0.06871	NA	NA	0.006593	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Staphylococcaceae"
"Macrococcus sp. IME1552"	"S"	1898474	26	18	NA	8	NA	10	NA	26	NA	NA	5	NA	0.01429	0.008975	NA	0.004904	NA	0.005142	NA	0.01429	NA	NA	0.005494	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Staphylococcaceae>Macrococcus"
"Salinicoccus"	"G"	45669	97	3	NA	NA	NA	3	NA	97	NA	NA	1	NA	0.05332	0.001496	NA	NA	NA	0.001543	NA	0.05332	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Staphylococcaceae"
"Salinicoccus halodurans"	"S"	407035	97	3	NA	NA	NA	3	NA	97	NA	NA	1	NA	0.05332	0.001496	NA	NA	NA	0.001543	NA	0.05332	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Staphylococcaceae>Salinicoccus"
"Listeriaceae"	"F"	186820	6407	185	8	150	NA	161	2	6407	NA	NA	43	NA	3.522	0.09225	0.1085	0.09194	NA	0.08278	1.351	3.522	NA	NA	0.04725	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales"
"Listeria"	"G"	1637	6118	179	8	145	NA	159	1	6118	NA	NA	43	NA	3.363	0.08926	0.1085	0.08888	NA	0.08175	0.6757	3.363	NA	NA	0.04725	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Listeriaceae"
"Listeria monocytogenes"	"S"	1639	5659	169	8	132	NA	141	1	5659	NA	NA	42	NA	3.111	0.08427	0.1085	0.08091	NA	0.0725	0.6757	3.111	NA	NA	0.04615	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Listeriaceae>Listeria"
"Listeria innocua"	"S"	1642	27	6	NA	9	NA	10	NA	27	NA	NA	NA	NA	0.01484	0.002992	NA	0.005517	NA	0.005142	NA	0.01484	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Listeriaceae>Listeria"
"Listeria welshimeri"	"S"	1643	193	4	NA	3	NA	3	NA	193	NA	NA	NA	NA	0.1061	0.001995	NA	0.001839	NA	0.001543	NA	0.1061	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Listeriaceae>Listeria"
"Brochothrix"	"G"	2755	286	6	NA	5	NA	2	1	286	NA	NA	NA	NA	0.6757	0.002992	NA	0.003065	NA	0.001028	0.6757	0.1572	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Listeriaceae"
"Brochothrix thermosphacta"	"S"	2756	286	6	NA	5	NA	2	1	286	NA	NA	NA	NA	0.6757	0.002992	NA	0.003065	NA	0.001028	0.6757	0.1572	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Listeriaceae>Brochothrix"
"Thermoactinomycetaceae"	"F"	186824	182	166	4	126	NA	94	NA	182	NA	NA	12	NA	0.1	0.08277	0.05424	0.07723	NA	0.04833	NA	0.1	NA	NA	0.01319	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales"
