"name"	"taxRank"	"taxID"	"Max"	"centrifuge_16s_classification_april_BC01.cladeReads"	"centrifuge_16s_classification_april_BC02.cladeReads"	"centrifuge_16s_classification_april_BC03.cladeReads"	"centrifuge_16s_classification_april_BC04.cladeReads"	"centrifuge_16s_classification_april_BC05.cladeReads"	"centrifuge_16s_classification_april_BC06.cladeReads"	"centrifuge_16s_classification_april_BC07.cladeReads"	"centrifuge_16s_classification_april_BC08.cladeReads"	"centrifuge_16s_classification_april_BC09.cladeReads"	"centrifuge_16s_classification_april_BC10.cladeReads"	"centrifuge_16s_classification_april_BC11.cladeReads"	"centrifuge_16s_classification_april_BC12.cladeReads"	"Max.1"	"centrifuge_16s_classification_april_BC01.cladeReads.."	"centrifuge_16s_classification_april_BC02.cladeReads.."	"centrifuge_16s_classification_april_BC03.cladeReads.."	"centrifuge_16s_classification_april_BC04.cladeReads.."	"centrifuge_16s_classification_april_BC05.cladeReads.."	"centrifuge_16s_classification_april_BC06.cladeReads.."	"centrifuge_16s_classification_april_BC07.cladeReads.."	"centrifuge_16s_classification_april_BC08.cladeReads.."	"centrifuge_16s_classification_april_BC09.cladeReads.."	"centrifuge_16s_classification_april_BC10.cladeReads.."	"centrifuge_16s_classification_april_BC11.cladeReads.."	"centrifuge_16s_classification_april_BC12.cladeReads.."	"lineage"
"Caulobacter"	"G"	75	9	NA	NA	2	9	NA	2	3	NA	NA	3	NA	NA	0.002413	NA	NA	0.0007901	0.002413	NA	0.0008493	0.001142	NA	NA	0.0008662	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Caulobacterales>Caulobacteraceae"
"environmental samples"	"-"	131546	7	NA	NA	1	7	NA	NA	NA	NA	NA	NA	NA	NA	0.001877	NA	NA	0.0003951	0.001877	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Caulobacterales>Caulobacteraceae>Caulobacter"
"uncultured Caulobacter sp."	"S"	158749	7	NA	NA	1	7	NA	NA	NA	NA	NA	NA	NA	NA	0.001877	NA	NA	0.0003951	0.001877	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Caulobacterales>Caulobacteraceae>Caulobacter>environmental&nbsp;samples"
"environmental samples"	"-"	395522	1	NA	NA	1	1	NA	NA	NA	NA	NA	1	NA	NA	0.0003951	NA	NA	0.0003951	0.0002681	NA	NA	NA	NA	NA	0.0002887	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Caulobacterales"
"uncultured Caulobacterales bacterium"	"S"	395523	1	NA	NA	1	1	NA	NA	NA	NA	NA	1	NA	NA	0.0003951	NA	NA	0.0003951	0.0002681	NA	NA	NA	NA	NA	0.0002887	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Caulobacterales>environmental&nbsp;samples"
"unclassified Alphaproteobacteria"	"-"	82117	42	NA	NA	3	42	NA	5	7	NA	2	11	1	NA	0.01126	NA	NA	0.001185	0.01126	NA	0.002123	0.002666	NA	0.0007568	0.003176	0.0004342	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria"
"unclassified Alphaproteobacteria (miscellaneous)"	"-"	33807	42	NA	NA	3	42	NA	5	7	NA	2	11	1	NA	0.01126	NA	NA	0.001185	0.01126	NA	0.002123	0.002666	NA	0.0007568	0.003176	0.0004342	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>unclassified&nbsp;Alphaproteobacteria"
"magnetic coccus MP17"	"S"	43945	1	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	0.0003951	NA	NA	0.0003951	0.0002681	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>unclassified&nbsp;Alphaproteobacteria>unclassified&nbsp;Alphaproteobacteria&nbsp;(miscellaneous)"
"alpha proteobacterium A4"	"S"	540967	18	NA	NA	1	18	NA	3	2	NA	2	1	NA	NA	0.004826	NA	NA	0.0003951	0.004826	NA	0.001274	0.0007616	NA	0.0007568	0.0002887	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>unclassified&nbsp;Alphaproteobacteria>unclassified&nbsp;Alphaproteobacteria&nbsp;(miscellaneous)"
"alpha proteobacterium S-15"	"S"	877486	18	NA	NA	1	18	NA	2	1	NA	NA	5	1	NA	0.004826	NA	NA	0.0003951	0.004826	NA	0.0008493	0.0003808	NA	NA	0.001444	0.0004342	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>unclassified&nbsp;Alphaproteobacteria>unclassified&nbsp;Alphaproteobacteria&nbsp;(miscellaneous)"
"Rickettsiales"	"O"	766	29	NA	NA	2	29	NA	3	NA	NA	2	5	2	NA	0.007774	NA	NA	0.0007901	0.007774	NA	0.001274	NA	NA	0.0007568	0.001444	0.0008684	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria"
"Anaplasmataceae"	"F"	942	24	NA	NA	1	24	NA	1	NA	NA	2	2	NA	NA	0.006434	NA	NA	0.0003951	0.006434	NA	0.0004247	NA	NA	0.0007568	0.0005774	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales"
"Anaplasma"	"G"	768	24	NA	NA	1	24	NA	NA	NA	NA	2	2	NA	NA	0.006434	NA	NA	0.0003951	0.006434	NA	NA	NA	NA	0.0007568	0.0005774	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>Anaplasmataceae"
"environmental samples"	"-"	319050	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0003951	NA	NA	0.0003951	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>Anaplasmataceae>Anaplasma"
"uncultured Anaplasma sp."	"S"	319051	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0003951	NA	NA	0.0003951	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>Anaplasmataceae>Anaplasma>environmental&nbsp;samples"
"Rhodothalassiales"	"O"	1544799	2	NA	NA	2	1	NA	NA	NA	NA	NA	1	NA	NA	0.0007901	NA	NA	0.0007901	0.0002681	NA	NA	NA	NA	NA	0.0002887	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria"
"Rhodothalassiaceae"	"F"	1544800	2	NA	NA	2	1	NA	NA	NA	NA	NA	1	NA	NA	0.0007901	NA	NA	0.0007901	0.0002681	NA	NA	NA	NA	NA	0.0002887	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodothalassiales"
"Rhodothalassium"	"G"	85273	2	NA	NA	2	1	NA	NA	NA	NA	NA	1	NA	NA	0.0007901	NA	NA	0.0007901	0.0002681	NA	NA	NA	NA	NA	0.0002887	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodothalassiales>Rhodothalassiaceae"
"Rhodothalassium salexigens"	"S"	1086	1	NA	NA	1	1	NA	NA	NA	NA	NA	1	NA	NA	0.0003951	NA	NA	0.0003951	0.0002681	NA	NA	NA	NA	NA	0.0002887	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodothalassiales>Rhodothalassiaceae>Rhodothalassium"
"Rhodothalassium sp. JA563"	"S"	872951	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0003951	NA	NA	0.0003951	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodothalassiales>Rhodothalassiaceae>Rhodothalassium"
"Burkholderia pseudomallei MSHR4375"	"-"	1434199	3	NA	NA	1	1	NA	1	NA	3	NA	NA	NA	NA	0.000776	NA	NA	0.0003951	0.0002681	NA	0.0004247	NA	0.000776	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Burkholderia>pseudomallei&nbsp;group>Burkholderia&nbsp;pseudomallei"
"Burkholderia sp. CB2"	"S"	222601	12	NA	NA	2	1	NA	1	4	NA	1	12	2	NA	0.003465	NA	NA	0.0007901	0.0002681	NA	0.0004247	0.001523	NA	0.0003784	0.003465	0.0008684	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Burkholderia"
"Burkholderia sp. RKJ 800"	"S"	867600	2	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0007901	NA	NA	0.0007901	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Burkholderia"
"Burkholderia sp. SOD-7"	"S"	180546	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0003951	NA	NA	0.0003951	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Burkholderia"
"Burkholderia sp. DF5EH4"	"S"	314635	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0003951	NA	NA	0.0003951	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Burkholderia"
"Burkholderia sp. YI019A"	"S"	488744	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0003951	NA	NA	0.0003951	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Burkholderia"
"Burkholderia sp. SY15"	"S"	588993	1	NA	NA	1	NA	NA	NA	1	NA	NA	1	NA	NA	0.0003951	NA	NA	0.0003951	NA	NA	NA	0.0003808	NA	NA	0.0002887	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Burkholderia"
"Burkholderia sp. PE-IT04"	"S"	1086525	1	NA	NA	1	1	NA	NA	NA	NA	NA	1	NA	NA	0.0003951	NA	NA	0.0003951	0.0002681	NA	NA	NA	NA	NA	0.0002887	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Burkholderia"
"Burkholderia sp. URHA0054"	"S"	1298859	1	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	0.0003951	NA	NA	0.0003951	0.0002681	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Burkholderia"
"Burkholderia sp. TV27Nov"	"S"	1491905	1	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	0.0003951	NA	NA	0.0003951	NA	NA	NA	NA	NA	NA	0.0002887	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Burkholderia"
"Burkholderia sp. CRM30"	"S"	1853174	1	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	0.0003951	NA	NA	0.0003951	NA	NA	NA	0.0003808	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Burkholderia"
"Cupriavidus"	"G"	106589	8	NA	NA	7	4	NA	1	7	NA	5	8	NA	NA	0.002765	NA	NA	0.002765	0.001072	NA	0.0004247	0.002666	NA	0.001892	0.00231	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae"
"Cupriavidus sp. UYMM14A"	"S"	1647632	5	NA	NA	5	NA	NA	NA	2	NA	NA	1	NA	NA	0.001975	NA	NA	0.001975	NA	NA	NA	0.0007616	NA	NA	0.0002887	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Cupriavidus"
"Cupriavidus basilensis"	"S"	68895	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0003951	NA	NA	0.0003951	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Cupriavidus"
"Cupriavidus pauculus"	"S"	82633	3	NA	NA	1	1	NA	NA	1	NA	3	3	NA	NA	0.001135	NA	NA	0.0003951	0.0002681	NA	NA	0.0003808	NA	0.001135	0.0008662	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Cupriavidus"
"Ralstonia sp. 1-1"	"S"	269146	1	NA	NA	1	1	NA	1	NA	NA	NA	NA	NA	NA	0.0004247	NA	NA	0.0003951	0.0002681	NA	0.0004247	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Ralstonia"
"Ralstonia sp. KACC 91255"	"S"	942514	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0003951	NA	NA	0.0003951	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Ralstonia"
"Polynucleobacter"	"G"	44013	4	NA	NA	2	NA	NA	NA	3	NA	2	4	3	NA	0.001303	NA	NA	0.0007901	NA	NA	NA	0.001142	NA	0.0007568	0.001155	0.001303	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae"
"Polynucleobacter cosmopolitanus"	"S"	351345	4	NA	NA	2	NA	NA	NA	3	NA	2	4	3	NA	0.001303	NA	NA	0.0007901	NA	NA	NA	0.001142	NA	0.0007568	0.001155	0.001303	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Polynucleobacter"
"Paraburkholderia fungorum"	"S"	134537	1	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	0.0003951	NA	NA	0.0003951	NA	NA	NA	NA	NA	NA	0.0002887	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Paraburkholderia"
"Paraburkholderia terrae"	"S"	311230	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0003951	NA	NA	0.0003951	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Paraburkholderia"
"Paraburkholderia terrae NBRC 100964"	"-"	1218084	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0003951	NA	NA	0.0003951	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Paraburkholderia>Paraburkholderia&nbsp;terrae"
"Hydrogenophaga"	"G"	47420	22	NA	NA	22	3	NA	4	7	NA	7	17	5	NA	0.008692	NA	NA	0.008692	0.0008043	NA	0.001699	0.002666	NA	0.002649	0.004908	0.002171	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"environmental samples"	"-"	199682	18	NA	NA	18	2	NA	4	5	NA	7	17	4	NA	0.007111	NA	NA	0.007111	0.0005362	NA	0.001699	0.001904	NA	0.002649	0.004908	0.001737	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Hydrogenophaga"
"uncultured Hydrogenophaga sp."	"S"	199683	18	NA	NA	18	2	NA	4	5	NA	7	17	4	NA	0.007111	NA	NA	0.007111	0.0005362	NA	0.001699	0.001904	NA	0.002649	0.004908	0.001737	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Hydrogenophaga>environmental&nbsp;samples"
"Hydrogenophaga sp. YED6-4"	"S"	217061	4	NA	NA	4	1	NA	NA	1	NA	NA	NA	NA	NA	0.00158	NA	NA	0.00158	0.0002681	NA	NA	0.0003808	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Hydrogenophaga"
"Polaromonas sp. TmT2-45-1"	"S"	1259553	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0003951	NA	NA	0.0003951	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Polaromonas"
"Comamonas"	"G"	283	17	NA	NA	4	5	NA	1	7	1	3	17	5	NA	0.004908	NA	NA	0.00158	0.00134	NA	0.0004247	0.002666	0.0002587	0.001135	0.004908	0.002171	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Comamonas kerstersii"	"S"	225992	3	NA	NA	3	NA	NA	1	2	NA	NA	2	NA	NA	0.001185	NA	NA	0.001185	NA	NA	0.0004247	0.0007616	NA	NA	0.0005774	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Comamonas serinivorans"	"S"	1082851	2	NA	NA	1	NA	NA	NA	NA	NA	NA	2	1	NA	0.0005774	NA	NA	0.0003951	NA	NA	NA	NA	NA	NA	0.0005774	0.0004342	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Acidovorax sp."	"S"	1872122	2	NA	NA	1	1	NA	NA	2	NA	2	2	2	NA	0.0008684	NA	NA	0.0003951	0.0002681	NA	NA	0.0007616	NA	0.0007568	0.0005774	0.0008684	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Variovorax"	"G"	34072	5	NA	NA	2	3	NA	1	NA	NA	NA	5	1	NA	0.001444	NA	NA	0.0007901	0.0008043	NA	0.0004247	NA	NA	NA	0.001444	0.0004342	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"environmental samples"	"-"	62669	2	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0007901	NA	NA	0.0007901	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"uncultured Variovorax sp."	"S"	114708	2	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0007901	NA	NA	0.0007901	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax>environmental&nbsp;samples"
"environmental samples"	"-"	128082	8	NA	NA	2	3	NA	1	3	NA	NA	8	1	NA	0.00231	NA	NA	0.0007901	0.0008043	NA	0.0004247	0.001142	NA	NA	0.00231	0.0004342	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"uncultured Comamonadaceae bacterium"	"S"	165437	8	NA	NA	2	3	NA	1	3	NA	NA	8	1	NA	0.00231	NA	NA	0.0007901	0.0008043	NA	0.0004247	0.001142	NA	NA	0.00231	0.0004342	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>environmental&nbsp;samples"
"Limnohabitans"	"G"	665874	4	NA	NA	2	1	NA	2	2	NA	NA	4	NA	NA	0.001155	NA	NA	0.0007901	0.0002681	NA	0.0008493	0.0007616	NA	NA	0.001155	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"environmental samples"	"-"	768542	2	NA	NA	1	NA	NA	2	NA	NA	NA	2	NA	NA	0.0008493	NA	NA	0.0003951	NA	NA	0.0008493	NA	NA	NA	0.0005774	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Limnohabitans"
"uncultured Limnohabitans sp."	"S"	768543	2	NA	NA	1	NA	NA	2	NA	NA	NA	2	NA	NA	0.0008493	NA	NA	0.0003951	NA	NA	0.0008493	NA	NA	NA	0.0005774	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Limnohabitans>environmental&nbsp;samples"
"Limnohabitans sp."	"S"	1907725	2	NA	NA	1	1	NA	NA	2	NA	NA	2	NA	NA	0.0007616	NA	NA	0.0003951	0.0002681	NA	NA	0.0007616	NA	NA	0.0005774	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Limnohabitans"
"Rhodoferax"	"G"	28065	3	NA	NA	1	NA	NA	1	3	NA	1	2	NA	NA	0.001142	NA	NA	0.0003951	NA	NA	0.0004247	0.001142	NA	0.0003784	0.0005774	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Rhodoferax fermentans"	"S"	28066	3	NA	NA	1	NA	NA	1	3	NA	1	2	NA	NA	0.001142	NA	NA	0.0003951	NA	NA	0.0004247	0.001142	NA	0.0003784	0.0005774	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Delftia"	"G"	80865	2	NA	NA	1	2	NA	NA	NA	NA	1	1	2	NA	0.0008684	NA	NA	0.0003951	0.0005362	NA	NA	NA	NA	0.0003784	0.0002887	0.0008684	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Delftia sp. 6Y7"	"S"	1157500	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0003951	NA	NA	0.0003951	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Delftia"
"Schlegelella"	"G"	215579	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0003951	NA	NA	0.0003951	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"environmental samples"	"-"	337520	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0003951	NA	NA	0.0003951	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Schlegelella"
"uncultured Schlegelella sp."	"S"	337521	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0003951	NA	NA	0.0003951	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Schlegelella>environmental&nbsp;samples"
"Pelomonas"	"G"	335058	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0003951	NA	NA	0.0003951	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Pelomonas sp. 7B-411"	"S"	1391338	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0003951	NA	NA	0.0003951	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Pelomonas"
"Verminephrobacter"	"G"	364316	24	NA	NA	1	24	NA	3	3	NA	NA	8	4	NA	0.006434	NA	NA	0.0003951	0.006434	NA	0.001274	0.001142	NA	NA	0.00231	0.001737	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"environmental samples"	"-"	565224	23	NA	NA	1	23	NA	3	3	NA	NA	8	4	NA	0.006166	NA	NA	0.0003951	0.006166	NA	0.001274	0.001142	NA	NA	0.00231	0.001737	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Verminephrobacter"
"uncultured Verminephrobacter sp."	"S"	565225	23	NA	NA	1	23	NA	3	3	NA	NA	8	4	NA	0.006166	NA	NA	0.0003951	0.006166	NA	0.001274	0.001142	NA	NA	0.00231	0.001737	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Verminephrobacter>environmental&nbsp;samples"
"Kinneretia"	"G"	683756	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0003951	NA	NA	0.0003951	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Kinneretia sp. THG-SQI4"	"S"	1591109	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0003951	NA	NA	0.0003951	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Kinneretia"
"Herbaspirillum seropedicae"	"S"	964	7	NA	NA	6	2	NA	1	2	NA	7	1	2	NA	0.002649	NA	NA	0.00237	0.0005362	NA	0.0004247	0.0007616	NA	0.002649	0.0002887	0.0008684	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Oxalobacteraceae>Herbaspirillum"
"Massilia dura"	"S"	321982	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0003951	NA	NA	0.0003951	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Oxalobacteraceae>Massilia"
"Janthinobacterium sp. IMCC12694"	"S"	1029608	3	NA	NA	1	1	NA	NA	NA	NA	NA	NA	3	NA	0.001303	NA	NA	0.0003951	0.0002681	NA	NA	NA	NA	NA	NA	0.001303	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Oxalobacteraceae>Janthinobacterium"
"Janthinobacterium sp. SMN 33.6"	"S"	1241809	4	NA	NA	1	NA	NA	NA	4	NA	NA	3	1	NA	0.001523	NA	NA	0.0003951	NA	NA	NA	0.001523	NA	NA	0.0008662	0.0004342	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Oxalobacteraceae>Janthinobacterium"
