"name"	"taxRank"	"taxID"	"Max"	"centrifuge_16s_classification_june_BC01.cladeReads"	"centrifuge_16s_classification_june_BC02.cladeReads"	"centrifuge_16s_classification_june_BC03.cladeReads"	"centrifuge_16s_classification_june_BC04.cladeReads"	"centrifuge_16s_classification_june_BC05.cladeReads"	"centrifuge_16s_classification_june_BC06.cladeReads"	"centrifuge_16s_classification_june_BC07.cladeReads"	"centrifuge_16s_classification_june_BC08.cladeReads"	"centrifuge_16s_classification_june_BC09.cladeReads"	"centrifuge_16s_classification_june_BC11.cladeReads"	"centrifuge_16s_classification_june_BC12.cladeReads"	"Max.1"	"centrifuge_16s_classification_june_BC01.cladeReads.."	"centrifuge_16s_classification_june_BC02.cladeReads.."	"centrifuge_16s_classification_june_BC03.cladeReads.."	"centrifuge_16s_classification_june_BC04.cladeReads.."	"centrifuge_16s_classification_june_BC05.cladeReads.."	"centrifuge_16s_classification_june_BC06.cladeReads.."	"centrifuge_16s_classification_june_BC07.cladeReads.."	"centrifuge_16s_classification_june_BC08.cladeReads.."	"centrifuge_16s_classification_june_BC09.cladeReads.."	"centrifuge_16s_classification_june_BC11.cladeReads.."	"centrifuge_16s_classification_june_BC12.cladeReads.."	"lineage"
"Sporolactobacillaceae"	"F"	186821	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004991	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales"
"Sporolactobacillus"	"G"	2077	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004991	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Sporolactobacillaceae"
"Sporolactobacillus sp. 22-1-A"	"S"	743738	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004991	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Sporolactobacillaceae>Sporolactobacillus"
"Thermoactinomycetaceae"	"F"	186824	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004991	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales"
"Thermoflavimicrobium"	"G"	292636	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004991	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Thermoactinomycetaceae"
"environmental samples"	"-"	889294	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004991	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Thermoactinomycetaceae>Thermoflavimicrobium"
"uncultured Thermoflavimicrobium sp."	"S"	889295	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004991	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Thermoactinomycetaceae>Thermoflavimicrobium>environmental&nbsp;samples"
"Lactobacillales"	"O"	186826	156	7	1	8	NA	7	NA	NA	156	NA	6	NA	0.08581	0.003494	0.01425	0.004926	NA	0.003639	NA	NA	0.08581	NA	0.006719	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli"
"Streptococcaceae"	"F"	1300	5	3	NA	5	NA	2	NA	NA	5	NA	NA	NA	0.003079	0.001497	NA	0.003079	NA	0.00104	NA	NA	0.00275	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales"
"Streptococcus"	"G"	1301	5	3	NA	5	NA	2	NA	NA	5	NA	NA	NA	0.003079	0.001497	NA	0.003079	NA	0.00104	NA	NA	0.00275	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Streptococcaceae"
"Streptococcus sp. C2I5"	"S"	990521	5	3	NA	5	NA	2	NA	NA	3	NA	NA	NA	0.003079	0.001497	NA	0.003079	NA	0.00104	NA	NA	0.00165	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Lactobacillaceae"	"F"	33958	150	3	1	3	NA	4	NA	NA	150	NA	4	NA	0.08251	0.001497	0.01425	0.001847	NA	0.002079	NA	NA	0.08251	NA	0.004479	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales"
"Lactobacillus"	"G"	1578	55	3	1	3	NA	4	NA	NA	55	NA	3	NA	0.03025	0.001497	0.01425	0.001847	NA	0.002079	NA	NA	0.03025	NA	0.00336	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae"
"Lactobacillus plantarum"	"S"	1590	48	3	1	2	NA	2	NA	NA	48	NA	3	NA	0.0264	0.001497	0.01425	0.001232	NA	0.00104	NA	NA	0.0264	NA	0.00336	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus"
"Carnobacteriaceae"	"F"	186828	1	1	NA	NA	NA	1	NA	NA	1	NA	NA	NA	0.0005501	0.0004991	NA	NA	NA	0.0005199	NA	NA	0.0005501	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales"
"Trichococcus"	"G"	82802	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004991	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Carnobacteriaceae"
"Trichococcus flocculiformis"	"S"	82803	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004991	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Carnobacteriaceae>Trichococcus"
"Clostridia"	"C"	186801	13	11	NA	4	NA	8	NA	NA	13	NA	5	NA	0.007151	0.00549	NA	0.002463	NA	0.004159	NA	NA	0.007151	NA	0.005599	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes"
"Clostridiales"	"O"	186802	13	9	NA	4	NA	8	NA	NA	13	NA	4	NA	0.007151	0.004492	NA	0.002463	NA	0.004159	NA	NA	0.007151	NA	0.004479	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia"
"Peptococcaceae"	"F"	186807	5	5	NA	2	NA	1	NA	NA	2	NA	NA	NA	0.002495	0.002495	NA	0.001232	NA	0.0005199	NA	NA	0.0011	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales"
"Desulfotomaculum"	"G"	1562	5	5	NA	2	NA	1	NA	NA	1	NA	NA	NA	0.002495	0.002495	NA	0.001232	NA	0.0005199	NA	NA	0.0005501	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Peptococcaceae"
"Desulfotomaculum sp. NA401"	"S"	303206	4	4	NA	1	NA	1	NA	NA	1	NA	NA	NA	0.001996	0.001996	NA	0.0006158	NA	0.0005199	NA	NA	0.0005501	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Peptococcaceae>Desulfotomaculum"
"environmental samples"	"-"	118325	1	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.0006158	0.0004991	NA	0.0006158	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Peptococcaceae>Desulfotomaculum"
"uncultured Desulfotomaculum sp."	"S"	157294	1	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.0006158	0.0004991	NA	0.0006158	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Peptococcaceae>Desulfotomaculum>environmental&nbsp;samples"
"Clostridiaceae"	"F"	31979	3	2	NA	1	NA	2	NA	NA	3	NA	1	NA	0.00165	0.0009982	NA	0.0006158	NA	0.00104	NA	NA	0.00165	NA	0.00112	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales"
"Clostridium"	"G"	1485	2	2	NA	1	NA	NA	NA	NA	2	NA	1	NA	0.00112	0.0009982	NA	0.0006158	NA	NA	NA	NA	0.0011	NA	0.00112	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae"
"environmental samples"	"-"	59619	2	2	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0009982	0.0009982	NA	NA	NA	NA	NA	NA	0.0005501	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium"
"uncultured Clostridium sp."	"S"	59620	2	2	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0009982	0.0009982	NA	NA	NA	NA	NA	NA	0.0005501	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium>environmental&nbsp;samples"
"Ruminococcaceae"	"F"	541000	4	1	NA	1	NA	2	NA	NA	4	NA	NA	NA	0.0022	0.0004991	NA	0.0006158	NA	0.00104	NA	NA	0.0022	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales"
"environmental samples"	"-"	541002	4	1	NA	1	NA	NA	NA	NA	4	NA	NA	NA	0.0022	0.0004991	NA	0.0006158	NA	NA	NA	NA	0.0022	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"uncultured Ruminococcaceae bacterium"	"S"	541003	4	1	NA	1	NA	NA	NA	NA	4	NA	NA	NA	0.0022	0.0004991	NA	0.0006158	NA	NA	NA	NA	0.0022	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae>environmental&nbsp;samples"
"Halanaerobiales"	"O"	53433	2	2	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.00112	0.0009982	NA	NA	NA	NA	NA	NA	NA	NA	0.00112	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia"
"Halobacteroidaceae"	"F"	53434	2	2	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.00112	0.0009982	NA	NA	NA	NA	NA	NA	NA	NA	0.00112	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Halanaerobiales"
"Orenia"	"G"	46468	2	2	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.00112	0.0009982	NA	NA	NA	NA	NA	NA	NA	NA	0.00112	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Halanaerobiales>Halobacteroidaceae"
"Orenia sivashensis"	"S"	96940	2	2	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.00112	0.0009982	NA	NA	NA	NA	NA	NA	NA	NA	0.00112	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Halanaerobiales>Halobacteroidaceae>Orenia"
"environmental samples"	"-"	47928	4	2	NA	2	NA	3	NA	NA	4	NA	1	NA	0.0022	0.0009982	NA	0.001232	NA	0.00156	NA	NA	0.0022	NA	0.00112	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes"
"uncultured Firmicutes bacterium"	"S"	344338	3	2	NA	2	NA	3	NA	NA	3	NA	NA	NA	0.00165	0.0009982	NA	0.001232	NA	0.00156	NA	NA	0.00165	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>environmental&nbsp;samples"
"Actinobacteria"	"P"	201174	131	55	1	25	NA	45	NA	NA	63	NA	131	NA	0.1467	0.02745	0.01425	0.01539	NA	0.02339	NA	NA	0.03466	NA	0.1467	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group"
"Actinobacteria"	"C"	1760	121	53	1	24	NA	42	NA	NA	62	NA	121	NA	0.1355	0.02645	0.01425	0.01478	NA	0.02183	NA	NA	0.03411	NA	0.1355	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria"
"Streptosporangiales"	"O"	85012	20	20	NA	10	NA	7	NA	NA	7	NA	7	NA	0.009982	0.009982	NA	0.006158	NA	0.003639	NA	NA	0.003851	NA	0.007839	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria"
"Thermomonosporaceae"	"F"	2012	20	20	NA	10	NA	7	NA	NA	7	NA	4	NA	0.009982	0.009982	NA	0.006158	NA	0.003639	NA	NA	0.003851	NA	0.004479	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptosporangiales"
"Actinomadura"	"G"	1988	20	20	NA	10	NA	7	NA	NA	7	NA	4	NA	0.009982	0.009982	NA	0.006158	NA	0.003639	NA	NA	0.003851	NA	0.004479	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptosporangiales>Thermomonosporaceae"
"Actinomadura viridilutea"	"S"	58112	20	20	NA	10	NA	7	NA	NA	7	NA	3	NA	0.009982	0.009982	NA	0.006158	NA	0.003639	NA	NA	0.003851	NA	0.00336	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptosporangiales>Thermomonosporaceae>Actinomadura"
"environmental samples"	"-"	35766	18	4	NA	2	NA	5	NA	NA	5	NA	18	NA	0.02016	0.001996	NA	0.001232	NA	0.002599	NA	NA	0.00275	NA	0.02016	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria"
"uncultured actinobacterium"	"S"	152507	18	4	NA	2	NA	5	NA	NA	5	NA	18	NA	0.02016	0.001996	NA	0.001232	NA	0.002599	NA	NA	0.00275	NA	0.02016	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>environmental&nbsp;samples"
"Streptomycetales"	"O"	85011	8	4	NA	NA	NA	5	NA	NA	7	NA	8	NA	0.008959	0.001996	NA	NA	NA	0.002599	NA	NA	0.003851	NA	0.008959	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria"
"Streptomycetaceae"	"F"	2062	8	4	NA	NA	NA	5	NA	NA	7	NA	8	NA	0.008959	0.001996	NA	NA	NA	0.002599	NA	NA	0.003851	NA	0.008959	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales"
"Streptomyces"	"G"	1883	7	4	NA	NA	NA	5	NA	NA	7	NA	7	NA	0.007839	0.001996	NA	NA	NA	0.002599	NA	NA	0.003851	NA	0.007839	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae"
"Streptomyces sp. PsTaAH155"	"S"	1533788	3	2	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	0.00156	0.0009982	NA	NA	NA	0.00156	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Streptomyces sp. B23"	"S"	333735	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004991	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Streptomyces sp. 250"	"S"	573538	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004991	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Micrococcales"	"O"	85006	11	3	NA	3	NA	11	NA	NA	4	NA	10	NA	0.0112	0.001497	NA	0.001847	NA	0.005719	NA	NA	0.0022	NA	0.0112	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria"
"Micrococcaceae"	"F"	1268	9	2	NA	2	NA	9	NA	NA	2	NA	6	NA	0.006719	0.0009982	NA	0.001232	NA	0.004679	NA	NA	0.0011	NA	0.006719	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales"
"Micrococcus"	"G"	1269	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004991	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Micrococcaceae"
"Micrococcus sp. Anmon8"	"S"	1551718	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004991	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Micrococcaceae>Micrococcus"
"Kocuria"	"G"	57493	1	1	NA	1	NA	NA	NA	NA	1	NA	NA	NA	0.0006158	0.0004991	NA	0.0006158	NA	NA	NA	NA	0.0005501	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Micrococcaceae"
"Kocuria rosea"	"S"	1275	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004991	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Micrococcaceae>Kocuria"
"Microbacteriaceae"	"F"	85023	2	1	NA	NA	NA	1	NA	NA	NA	NA	2	NA	0.00224	0.0004991	NA	NA	NA	0.0005199	NA	NA	NA	NA	0.00224	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales"
"Microbacterium"	"G"	33882	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004991	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae"
"Microbacterium hominis"	"S"	162426	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004991	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae>Microbacterium"
"Corynebacteriales"	"O"	85007	4	3	NA	NA	NA	2	NA	NA	4	NA	4	NA	0.004479	0.001497	NA	NA	NA	0.00104	NA	NA	0.0022	NA	0.004479	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria"
"Corynebacteriaceae"	"F"	1653	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004991	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales"
"Corynebacterium"	"G"	1716	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004991	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Corynebacteriaceae"
"environmental samples"	"-"	88601	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004991	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Corynebacteriaceae>Corynebacterium"
"uncultured Corynebacterium sp."	"S"	159447	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004991	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Corynebacteriaceae>Corynebacterium>environmental&nbsp;samples"
"Mycobacteriaceae"	"F"	1762	2	1	NA	NA	NA	2	NA	NA	1	NA	2	NA	0.00224	0.0004991	NA	NA	NA	0.00104	NA	NA	0.0005501	NA	0.00224	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales"
"Mycobacterium"	"G"	1763	2	1	NA	NA	NA	2	NA	NA	1	NA	2	NA	0.00224	0.0004991	NA	NA	NA	0.00104	NA	NA	0.0005501	NA	0.00224	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Mycobacteriaceae"
"Mycobacterium gordonae"	"S"	1778	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004991	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Mycobacteriaceae>Mycobacterium"
"Gordoniaceae"	"F"	85026	1	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.00112	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	0.00112	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales"
"Gordonia"	"G"	2053	1	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.00112	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	0.00112	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Gordoniaceae"
"Gordonia amarae"	"S"	36821	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004991	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Gordoniaceae>Gordonia"
"Frankiales"	"O"	85013	3	3	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.001497	0.001497	NA	0.0006158	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria"
"Frankiaceae"	"F"	74712	2	2	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.0009982	0.0009982	NA	0.0006158	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Frankiales"
"Frankia"	"G"	1854	2	2	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.0009982	0.0009982	NA	0.0006158	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Frankiales>Frankiaceae"
"Frankia sp."	"S"	1855	2	2	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.0009982	0.0009982	NA	0.0006158	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Frankiales>Frankiaceae>Frankia"
"Cryptosporangiaceae"	"F"	622454	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004991	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Frankiales"
"Cryptosporangium"	"G"	65502	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004991	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Frankiales>Cryptosporangiaceae"
"Cryptosporangium japonicum"	"S"	80872	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004991	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Frankiales>Cryptosporangiaceae>Cryptosporangium"
"unclassified Actinobacteria (class)"	"-"	52018	5	1	NA	NA	NA	NA	NA	NA	1	NA	5	NA	0.005599	0.0004991	NA	NA	NA	NA	NA	NA	0.0005501	NA	0.005599	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria"
"unclassified Actinobacteria (class) (miscellaneous)"	"-"	78537	5	1	NA	NA	NA	NA	NA	NA	1	NA	5	NA	0.005599	0.0004991	NA	NA	NA	NA	NA	NA	0.0005501	NA	0.005599	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>unclassified&nbsp;Actinobacteria&nbsp;(class)"
"actinobacterium MSI70"	"S"	480482	5	1	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	0.005599	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	0.005599	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>unclassified&nbsp;Actinobacteria&nbsp;(class)>unclassified&nbsp;Actinobacteria&nbsp;(class)&nbsp;(miscellaneous)"
"Micromonosporales"	"O"	85008	3	1	NA	NA	NA	1	NA	NA	NA	NA	3	NA	0.00336	0.0004991	NA	NA	NA	0.0005199	NA	NA	NA	NA	0.00336	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria"
