"name"	"taxRank"	"taxID"	"Max"	"centrifuge_classification_june_BC01.cladeReads"	"centrifuge_classification_june_BC02.cladeReads"	"centrifuge_classification_june_BC03.cladeReads"	"centrifuge_classification_june_BC04.cladeReads"	"centrifuge_classification_june_BC05.cladeReads"	"centrifuge_classification_june_BC06.cladeReads"	"centrifuge_classification_june_BC07.cladeReads"	"centrifuge_classification_june_BC08.cladeReads"	"centrifuge_classification_june_BC09.cladeReads"	"centrifuge_classification_june_BC10.cladeReads"	"centrifuge_classification_june_BC11.cladeReads"	"centrifuge_classification_june_BC12.cladeReads"	"Max.1"	"centrifuge_classification_june_BC01.cladeReads.."	"centrifuge_classification_june_BC02.cladeReads.."	"centrifuge_classification_june_BC03.cladeReads.."	"centrifuge_classification_june_BC04.cladeReads.."	"centrifuge_classification_june_BC05.cladeReads.."	"centrifuge_classification_june_BC06.cladeReads.."	"centrifuge_classification_june_BC07.cladeReads.."	"centrifuge_classification_june_BC08.cladeReads.."	"centrifuge_classification_june_BC09.cladeReads.."	"centrifuge_classification_june_BC10.cladeReads.."	"centrifuge_classification_june_BC11.cladeReads.."	"centrifuge_classification_june_BC12.cladeReads.."	"lineage"
"Clostridium baratii"	"S"	1561	4	2	NA	2	NA	2	NA	NA	2	NA	NA	4	NA	0.004479	0.0009982	NA	0.001232	NA	0.00104	NA	NA	0.0011	NA	NA	0.004479	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium"
"Clostridium aceticum"	"S"	84022	2	2	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	0.00112	0.0009982	NA	0.0006158	NA	NA	NA	NA	NA	NA	NA	0.00112	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium"
"Clostridium estertheticum"	"S"	238834	10	2	NA	2	NA	10	NA	NA	NA	NA	NA	NA	NA	0.005199	0.0009982	NA	0.001232	NA	0.005199	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium"
"Clostridium estertheticum subsp. estertheticum"	"-"	1552	10	2	NA	2	NA	10	NA	NA	NA	NA	NA	NA	NA	0.005199	0.0009982	NA	0.001232	NA	0.005199	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium>Clostridium&nbsp;estertheticum"
"Clostridium sp. BNL1100"	"S"	755731	2	2	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0009982	0.0009982	NA	0.0006158	NA	0.0005199	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium"
"Clostridium pasteurianum"	"S"	1501	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004991	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium"
"Clostridium tyrobutyricum"	"S"	1519	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.00112	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00112	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium"
"Clostridium saccharobutylicum"	"S"	169679	3	1	NA	NA	NA	3	NA	NA	1	NA	NA	1	NA	0.00156	0.0004991	NA	NA	NA	0.00156	NA	NA	0.0005501	NA	NA	0.00112	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium"
"Clostridium sp. SY8519"	"S"	1042156	2	1	NA	2	NA	1	NA	NA	1	NA	NA	NA	NA	0.001232	0.0004991	NA	0.001232	NA	0.0005199	NA	NA	0.0005501	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium"
"Clostridium bornimense"	"S"	1216932	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.00112	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00112	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium"
"Clostridium sp. JN-9"	"S"	2507159	4	1	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	0.002079	0.0004991	NA	NA	NA	0.002079	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium"
"Alkaliphilus"	"G"	114627	3	3	NA	2	NA	1	NA	NA	NA	1	NA	NA	NA	0.8333	0.001497	NA	0.001232	NA	0.0005199	NA	NA	NA	0.8333	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae"
"Alkaliphilus metalliredigens"	"S"	208226	3	3	NA	2	NA	1	NA	NA	NA	NA	NA	NA	NA	0.001497	0.001497	NA	0.001232	NA	0.0005199	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Alkaliphilus"
"Alkaliphilus metalliredigens QYMF"	"-"	293826	3	3	NA	2	NA	1	NA	NA	NA	NA	NA	NA	NA	0.001497	0.001497	NA	0.001232	NA	0.0005199	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Alkaliphilus>Alkaliphilus&nbsp;metalliredigens"
"Geosporobacter"	"G"	390805	2	1	NA	1	NA	1	NA	NA	NA	NA	NA	2	NA	0.00224	0.0004991	NA	0.0006158	NA	0.0005199	NA	NA	NA	NA	NA	0.00224	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae"
"Geosporobacter ferrireducens"	"S"	1424294	2	1	NA	1	NA	1	NA	NA	NA	NA	NA	2	NA	0.00224	0.0004991	NA	0.0006158	NA	0.0005199	NA	NA	NA	NA	NA	0.00224	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Geosporobacter"
"Mordavella"	"G"	1981033	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.00112	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00112	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae"
"Mordavella sp. Marseille-P3756"	"S"	2086584	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.00112	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00112	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Mordavella"
"Lachnospiraceae"	"F"	186803	44	44	1	14	NA	29	NA	NA	29	1	NA	41	1	0.8333	0.02196	0.01425	0.008621	NA	0.01508	NA	NA	0.01595	0.8333	NA	0.04591	0.5952	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales"
"Blautia"	"G"	572511	18	18	1	6	NA	6	NA	NA	3	1	NA	9	NA	0.8333	0.008983	0.01425	0.003695	NA	0.003119	NA	NA	0.00165	0.8333	NA	0.01008	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Blautia sp. N6H1-15"	"S"	1912897	12	12	1	3	NA	2	NA	NA	3	NA	NA	NA	NA	0.01425	0.005989	0.01425	0.001847	NA	0.00104	NA	NA	0.00165	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae>Blautia"
"Blautia sp. YL58"	"S"	1796616	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.00112	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00112	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae>Blautia"
"Anaerostipes"	"G"	207244	10	10	NA	2	NA	6	NA	NA	3	NA	NA	3	NA	0.004991	0.004991	NA	0.001232	NA	0.003119	NA	NA	0.00165	NA	NA	0.00336	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Anaerostipes hadrus"	"S"	649756	10	10	NA	2	NA	6	NA	NA	3	NA	NA	3	NA	0.004991	0.004991	NA	0.001232	NA	0.003119	NA	NA	0.00165	NA	NA	0.00336	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae>Anaerostipes"
"Cellulosilyticum"	"G"	698776	7	7	NA	1	NA	4	NA	NA	5	NA	NA	2	NA	0.003494	0.003494	NA	0.0006158	NA	0.002079	NA	NA	0.00275	NA	NA	0.00224	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Cellulosilyticum lentocellum"	"S"	29360	2	2	NA	1	NA	NA	NA	NA	2	NA	NA	NA	NA	0.0011	0.0009982	NA	0.0006158	NA	NA	NA	NA	0.0011	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae>Cellulosilyticum"
"Cellulosilyticum lentocellum DSM 5427"	"-"	642492	2	2	NA	1	NA	NA	NA	NA	2	NA	NA	NA	NA	0.0011	0.0009982	NA	0.0006158	NA	NA	NA	NA	0.0011	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae>Cellulosilyticum>Cellulosilyticum&nbsp;lentocellum"
"Lachnoclostridium"	"G"	1506553	13	3	NA	1	NA	4	NA	NA	NA	NA	NA	13	1	0.5952	0.001497	NA	0.0006158	NA	0.002079	NA	NA	NA	NA	NA	0.01456	0.5952	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"[Clostridium] saccharolyticum"	"S"	84030	2	2	NA	NA	NA	2	NA	NA	NA	NA	NA	2	NA	0.00224	0.0009982	NA	NA	NA	0.00104	NA	NA	NA	NA	NA	0.00224	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae>Lachnoclostridium"
"[Clostridium] saccharolyticum WM1"	"-"	610130	2	2	NA	NA	NA	2	NA	NA	NA	NA	NA	2	NA	0.00224	0.0009982	NA	NA	NA	0.00104	NA	NA	NA	NA	NA	0.00224	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae>Lachnoclostridium>[Clostridium]&nbsp;saccharolyticum"
"Lachnoclostridium phytofermentans"	"S"	66219	2	1	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	0.00104	0.0004991	NA	NA	NA	0.00104	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae>Lachnoclostridium"
"Lachnoclostridium phytofermentans ISDg"	"-"	357809	2	1	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	0.00104	0.0004991	NA	NA	NA	0.00104	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae>Lachnoclostridium>Lachnoclostridium&nbsp;phytofermentans"
"Roseburia"	"G"	841	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.00112	0.0009982	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00112	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Roseburia hominis"	"S"	301301	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.00112	0.0009982	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00112	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae>Roseburia"
"Roseburia hominis A2-183"	"-"	585394	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.00112	0.0009982	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00112	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae>Roseburia>Roseburia&nbsp;hominis"
"unclassified Lachnospiraceae"	"-"	186928	12	2	NA	2	NA	7	NA	NA	11	NA	NA	12	NA	0.01344	0.0009982	NA	0.001232	NA	0.003639	NA	NA	0.006051	NA	NA	0.01344	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"[Eubacterium] rectale"	"S"	39491	5	1	NA	NA	NA	3	NA	NA	NA	NA	NA	5	NA	0.005599	0.0004991	NA	NA	NA	0.00156	NA	NA	NA	NA	NA	0.005599	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae>unclassified&nbsp;Lachnospiraceae"
"[Eubacterium] rectale ATCC 33656"	"-"	515619	5	1	NA	NA	NA	3	NA	NA	NA	NA	NA	5	NA	0.005599	0.0004991	NA	NA	NA	0.00156	NA	NA	NA	NA	NA	0.005599	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae>unclassified&nbsp;Lachnospiraceae>[Eubacterium]&nbsp;rectale"
"Lachnospiraceae bacterium Choco86"	"S"	2109690	3	1	NA	1	NA	3	NA	NA	NA	NA	NA	2	NA	0.00224	0.0004991	NA	0.0006158	NA	0.00156	NA	NA	NA	NA	NA	0.00224	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae>unclassified&nbsp;Lachnospiraceae"
"Anaerotignum"	"G"	2039240	3	2	NA	NA	NA	1	NA	NA	3	NA	NA	NA	NA	0.00165	0.0009982	NA	NA	NA	0.0005199	NA	NA	0.00165	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Anaerotignum propionicum"	"S"	28446	3	2	NA	NA	NA	1	NA	NA	3	NA	NA	NA	NA	0.00165	0.0009982	NA	NA	NA	0.0005199	NA	NA	0.00165	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae>Anaerotignum"
"Anaerotignum propionicum DSM 1682"	"-"	991789	3	2	NA	NA	NA	1	NA	NA	3	NA	NA	NA	NA	0.00165	0.0009982	NA	NA	NA	0.0005199	NA	NA	0.00165	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae>Anaerotignum>Anaerotignum&nbsp;propionicum"
"unclassified Clostridiales"	"-"	186813	41	41	NA	12	NA	24	NA	NA	35	NA	NA	18	NA	0.02046	0.02046	NA	0.007389	NA	0.01248	NA	NA	0.01925	NA	NA	0.02016	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales"
"unclassified Clostridiales (miscellaneous)"	"-"	39779	40	40	NA	12	NA	24	NA	NA	35	NA	NA	16	NA	0.01996	0.01996	NA	0.007389	NA	0.01248	NA	NA	0.01925	NA	NA	0.01792	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>unclassified&nbsp;Clostridiales"
"Clostridiales bacterium 70B-A"	"S"	2173034	39	39	NA	12	NA	24	NA	NA	35	NA	NA	12	NA	0.01946	0.01946	NA	0.007389	NA	0.01248	NA	NA	0.01925	NA	NA	0.01344	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>unclassified&nbsp;Clostridiales>unclassified&nbsp;Clostridiales&nbsp;(miscellaneous)"
"Clostridiales bacterium CCNA10"	"S"	2109688	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	0.004479	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.004479	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>unclassified&nbsp;Clostridiales>unclassified&nbsp;Clostridiales&nbsp;(miscellaneous)"
"Intestinimonas"	"G"	1392389	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	0.00224	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00224	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>unclassified&nbsp;Clostridiales"
"Intestinimonas butyriciproducens"	"S"	1297617	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	0.00224	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00224	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>unclassified&nbsp;Clostridiales>Intestinimonas"
"Eubacteriaceae"	"F"	186806	35	30	NA	11	NA	24	NA	NA	35	NA	NA	5	NA	0.01925	0.01497	NA	0.006773	NA	0.01248	NA	NA	0.01925	NA	NA	0.005599	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales"
"Acetobacterium"	"G"	33951	28	28	NA	10	NA	20	NA	NA	NA	NA	NA	3	NA	0.01397	0.01397	NA	0.006158	NA	0.0104	NA	NA	NA	NA	NA	0.00336	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Eubacteriaceae"
"Acetobacterium woodii"	"S"	33952	28	28	NA	10	NA	20	NA	NA	NA	NA	NA	3	NA	0.01397	0.01397	NA	0.006158	NA	0.0104	NA	NA	NA	NA	NA	0.00336	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Eubacteriaceae>Acetobacterium"
"Acetobacterium woodii DSM 1030"	"-"	931626	28	28	NA	10	NA	20	NA	NA	NA	NA	NA	3	NA	0.01397	0.01397	NA	0.006158	NA	0.0104	NA	NA	NA	NA	NA	0.00336	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Eubacteriaceae>Acetobacterium>Acetobacterium&nbsp;woodii"
"Eubacterium"	"G"	1730	31	2	NA	1	NA	3	NA	NA	31	NA	NA	2	NA	0.01705	0.0009982	NA	0.0006158	NA	0.00156	NA	NA	0.01705	NA	NA	0.00224	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Eubacteriaceae"
"Eubacterium limosum"	"S"	1736	29	1	NA	NA	NA	NA	NA	NA	29	NA	NA	NA	NA	0.01595	0.0004991	NA	NA	NA	NA	NA	NA	0.01595	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Eubacteriaceae>Eubacterium"
"Ruminococcaceae"	"F"	541000	51	26	2	19	NA	26	NA	NA	7	NA	NA	51	NA	0.05711	0.01298	0.02849	0.0117	NA	0.01352	NA	NA	0.003851	NA	NA	0.05711	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales"
"Ruminococcus"	"G"	1263	21	21	2	14	NA	11	NA	NA	4	NA	NA	2	NA	0.02849	0.01048	0.02849	0.008621	NA	0.005719	NA	NA	0.0022	NA	NA	0.00224	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Ruminococcus bicirculans"	"S"	1160721	18	18	2	11	NA	8	NA	NA	3	NA	NA	NA	NA	0.02849	0.008983	0.02849	0.006773	NA	0.004159	NA	NA	0.00165	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae>Ruminococcus"
"Ruminococcus albus"	"S"	1264	3	2	NA	3	NA	1	NA	NA	NA	NA	NA	2	NA	0.00224	0.0009982	NA	0.001847	NA	0.0005199	NA	NA	NA	NA	NA	0.00224	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae>Ruminococcus"
"Ruminococcus albus 7 = DSM 20455"	"-"	697329	3	2	NA	3	NA	1	NA	NA	NA	NA	NA	2	NA	0.00224	0.0009982	NA	0.001847	NA	0.0005199	NA	NA	NA	NA	NA	0.00224	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae>Ruminococcus>Ruminococcus&nbsp;albus"
"Ethanoligenens"	"G"	253238	2	2	NA	1	NA	NA	NA	NA	1	NA	NA	2	NA	0.00224	0.0009982	NA	0.0006158	NA	NA	NA	NA	0.0005501	NA	NA	0.00224	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Ethanoligenens harbinense"	"S"	253239	2	2	NA	1	NA	NA	NA	NA	1	NA	NA	2	NA	0.00224	0.0009982	NA	0.0006158	NA	NA	NA	NA	0.0005501	NA	NA	0.00224	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae>Ethanoligenens"
"Flavonifractor"	"G"	946234	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004991	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Flavonifractor plautii"	"S"	292800	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004991	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae>Flavonifractor"
"Caproiciproducens"	"G"	1738645	6	1	NA	NA	NA	3	NA	NA	NA	NA	NA	6	NA	0.006719	0.0004991	NA	NA	NA	0.00156	NA	NA	NA	NA	NA	0.006719	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Caproiciproducens sp. NJN-50"	"S"	2507162	6	1	NA	NA	NA	3	NA	NA	NA	NA	NA	6	NA	0.006719	0.0004991	NA	NA	NA	0.00156	NA	NA	NA	NA	NA	0.006719	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae>Caproiciproducens"
"Heliobacteriaceae"	"F"	31984	15	13	NA	15	NA	11	NA	NA	NA	NA	NA	NA	NA	0.009237	0.006488	NA	0.009237	NA	0.005719	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales"
"Heliobacterium"	"G"	2697	15	13	NA	15	NA	11	NA	NA	NA	NA	NA	NA	NA	0.009237	0.006488	NA	0.009237	NA	0.005719	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Heliobacteriaceae"
"Heliobacterium modesticaldum"	"S"	35701	15	13	NA	15	NA	11	NA	NA	NA	NA	NA	NA	NA	0.009237	0.006488	NA	0.009237	NA	0.005719	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Heliobacteriaceae>Heliobacterium"
"Heliobacterium modesticaldum Ice1"	"-"	498761	15	13	NA	15	NA	11	NA	NA	NA	NA	NA	NA	NA	0.009237	0.006488	NA	0.009237	NA	0.005719	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Heliobacteriaceae>Heliobacterium>Heliobacterium&nbsp;modesticaldum"
"Hungateiclostridiaceae"	"F"	2304686	11	11	NA	7	NA	7	NA	NA	NA	NA	NA	4	NA	0.00549	0.00549	NA	0.00431	NA	0.003639	NA	NA	NA	NA	NA	0.004479	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales"
"Fastidiosipila"	"G"	236752	3	3	NA	3	NA	2	NA	NA	NA	NA	NA	NA	NA	0.001847	0.001497	NA	0.001847	NA	0.00104	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Hungateiclostridiaceae"
"Fastidiosipila sanguinis"	"S"	236753	3	3	NA	3	NA	2	NA	NA	NA	NA	NA	NA	NA	0.001847	0.001497	NA	0.001847	NA	0.00104	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Hungateiclostridiaceae>Fastidiosipila"
"Hungateiclostridium"	"G"	2304692	3	3	NA	NA	NA	3	NA	NA	NA	NA	NA	2	NA	0.00224	0.001497	NA	NA	NA	0.00156	NA	NA	NA	NA	NA	0.00224	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Hungateiclostridiaceae"
"Hungateiclostridium thermocellum"	"S"	1515	2	2	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0009982	0.0009982	NA	NA	NA	0.0005199	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Hungateiclostridiaceae>Hungateiclostridium"
