"name"	"taxRank"	"taxID"	"Max"	"kraken2_16s_classification_april_BC01.cladeReads"	"kraken2_16s_classification_april_BC02.cladeReads"	"kraken2_16s_classification_april_BC03.cladeReads"	"kraken2_16s_classification_april_BC04.cladeReads"	"kraken2_16s_classification_april_BC05.cladeReads"	"kraken2_16s_classification_april_BC06.cladeReads"	"kraken2_16s_classification_april_BC07.cladeReads"	"kraken2_16s_classification_april_BC08.cladeReads"	"kraken2_16s_classification_april_BC09.cladeReads"	"kraken2_16s_classification_april_BC10.cladeReads"	"kraken2_16s_classification_april_BC11.cladeReads"	"kraken2_16s_classification_april_BC12.cladeReads"	"Max.1"	"kraken2_16s_classification_april_BC01.cladeReads.."	"kraken2_16s_classification_april_BC02.cladeReads.."	"kraken2_16s_classification_april_BC03.cladeReads.."	"kraken2_16s_classification_april_BC04.cladeReads.."	"kraken2_16s_classification_april_BC05.cladeReads.."	"kraken2_16s_classification_april_BC06.cladeReads.."	"kraken2_16s_classification_april_BC07.cladeReads.."	"kraken2_16s_classification_april_BC08.cladeReads.."	"kraken2_16s_classification_april_BC09.cladeReads.."	"kraken2_16s_classification_april_BC10.cladeReads.."	"kraken2_16s_classification_april_BC11.cladeReads.."	"kraken2_16s_classification_april_BC12.cladeReads.."	"lineage"
"Devosiaceae"	"F"	26055	2449	15	5	456	2449	3	95	285	3	127	923	85	1	0.7026	0.1051	0.03076	0.1932	0.7026	0.2636	0.04196	0.1155	0.0007849	0.05004	0.2911	0.03881	0.271	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales"
"Devosia"	"G"	26058	2251	15	5	403	2251	3	89	269	3	117	853	83	1	0.6458	0.1051	0.03076	0.1708	0.6458	0.2636	0.03931	0.109	0.0007849	0.0461	0.269	0.0379	0.271	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Devosiaceae"
"Rhizobiales Incertae Sedis"	"F"	2530	2453	11	4	588	2453	2	104	248	5	51	879	44	NA	0.7037	0.07711	0.0246	0.2491	0.7037	0.1757	0.04594	0.1005	0.001308	0.0201	0.2772	0.02009	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales"
"uncultured"	"G"	14525	1605	10	2	424	1605	1	72	181	4	23	539	31	NA	0.4605	0.0701	0.0123	0.1796	0.4605	0.08787	0.0318	0.07336	0.001046	0.009063	0.17	0.01416	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiales&nbsp;Incertae&nbsp;Sedis"
"Nordella"	"G"	2534	372	1	NA	92	372	1	17	33	NA	11	182	9	NA	0.1067	0.00701	NA	0.03898	0.1067	0.08787	0.007509	0.01337	NA	0.004334	0.0574	0.00411	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiales&nbsp;Incertae&nbsp;Sedis"
"Xanthobacteraceae"	"F"	2545	3166	6	9	902	3166	1	137	286	1	123	1294	81	NA	0.9083	0.04206	0.05536	0.3822	0.9083	0.08787	0.06051	0.1159	0.0002616	0.04847	0.4081	0.03699	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales"
"Bradyrhizobium"	"G"	26151	1363	4	4	513	1363	1	52	117	1	44	521	41	NA	0.391	0.02804	0.0246	0.2174	0.391	0.08787	0.02297	0.04742	0.0002616	0.01734	0.1643	0.01872	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Xanthobacteraceae"
"uncultured"	"G"	2554	887	1	1	128	887	NA	34	72	NA	43	393	13	NA	0.2545	0.00701	0.006151	0.05423	0.2545	NA	0.01502	0.02918	NA	0.01694	0.124	0.005936	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Xanthobacteraceae"
"Pseudolabrys"	"G"	2550	224	1	2	30	224	NA	18	28	NA	11	74	10	NA	0.06426	0.00701	0.0123	0.01271	0.06426	NA	0.00795	0.01135	NA	0.004334	0.02334	0.004566	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Xanthobacteraceae"
"Methyloligellaceae"	"F"	26071	616	2	2	66	616	NA	16	46	1	19	271	12	NA	0.1767	0.01402	0.0123	0.02796	0.1767	NA	0.007067	0.01864	0.0002616	0.007487	0.08547	0.005479	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales"
"uncultured"	"G"	26075	500	2	2	51	500	NA	12	37	1	18	211	10	NA	0.1434	0.01402	0.0123	0.02161	0.1434	NA	0.0053	0.015	0.0002616	0.007093	0.06655	0.004566	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Methyloligellaceae"
"A0839"	"F"	2423	133	1	NA	69	133	NA	13	8	NA	2	58	11	NA	0.03816	0.00701	NA	0.02924	0.03816	NA	0.005742	0.003242	NA	0.0007881	0.01829	0.005023	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales"
"Rickettsiales"	"O"	2761	2124	25	4	221	2124	2	235	268	4	217	173	148	NA	0.6094	0.1752	0.0246	0.09364	0.6094	0.1757	0.1038	0.1086	0.001046	0.0855	0.05456	0.06758	NA	"Bacteria>Proteobacteria>Alphaproteobacteria"
"SM2D12"	"F"	2801	727	8	1	77	727	NA	108	126	NA	113	105	86	NA	0.2086	0.05608	0.006151	0.03262	0.2086	NA	0.0477	0.05107	NA	0.04453	0.03312	0.03927	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales"
"Rickettsiaceae"	"F"	2781	451	7	2	60	451	NA	46	61	2	31	7	24	NA	0.1294	0.04907	0.0123	0.02542	0.1294	NA	0.02032	0.02472	0.0005232	0.01221	0.002208	0.01096	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales"
"Candidatus Megaira"	"G"	26226	150	3	NA	18	150	NA	14	26	NA	11	1	6	NA	0.04303	0.02103	NA	0.007627	0.04303	NA	0.006184	0.01054	NA	0.004334	0.0003154	0.00274	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>Rickettsiaceae"
"uncultured"	"G"	2785	219	2	2	24	219	NA	22	25	NA	12	2	10	NA	0.06283	0.01402	0.0123	0.01017	0.06283	NA	0.009717	0.01013	NA	0.004728	0.0006308	0.004566	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>Rickettsiaceae"
"Rickettsia"	"G"	2784	59	2	NA	16	59	NA	7	8	2	5	3	6	NA	0.01693	0.01402	NA	0.006779	0.01693	NA	0.003092	0.003242	0.0005232	0.00197	0.0009462	0.00274	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>Rickettsiaceae"
"Mitochondria"	"F"	2805	752	6	1	56	752	2	59	57	2	52	42	33	NA	0.2157	0.04206	0.006151	0.02373	0.2157	0.1757	0.02606	0.0231	0.0005232	0.02049	0.01325	0.01507	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales"
"AB1"	"F"	26212	65	2	NA	14	65	NA	6	16	NA	8	5	3	NA	0.01865	0.01402	NA	0.005932	0.01865	NA	0.00265	0.006485	NA	0.003152	0.001577	0.00137	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales"
"Midichloriaceae"	"F"	26213	42	1	NA	9	42	NA	6	2	NA	1	5	1	NA	0.01205	0.00701	NA	0.003813	0.01205	NA	0.00265	0.0008106	NA	0.000394	0.001577	0.0004566	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales"
"Candidatus Midichloria"	"G"	26220	16	1	NA	3	16	NA	NA	NA	NA	NA	NA	NA	NA	0.00701	0.00701	NA	0.001271	0.00459	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>Midichloriaceae"
"Anaplasmataceae"	"F"	2763	13	1	NA	1	13	NA	6	2	NA	5	5	NA	NA	0.00701	0.00701	NA	0.0004237	0.00373	NA	0.00265	0.0008106	NA	0.00197	0.001577	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales"
"Wolbachia"	"G"	2770	7	1	NA	NA	7	NA	1	NA	NA	2	2	NA	NA	0.00701	0.00701	NA	NA	0.002008	NA	0.0004417	NA	NA	0.0007881	0.0006308	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>Anaplasmataceae"
"Paracaedibacterales"	"O"	26009	971	19	6	277	971	1	452	671	2	206	396	177	1	0.2786	0.1332	0.03691	0.1174	0.2786	0.08787	0.1996	0.272	0.0005232	0.08117	0.1249	0.08082	0.271	"Bacteria>Proteobacteria>Alphaproteobacteria"
"Paracaedibacteraceae"	"F"	26010	971	19	6	277	971	1	452	671	2	206	396	177	1	0.2786	0.1332	0.03691	0.1174	0.2786	0.08787	0.1996	0.272	0.0005232	0.08117	0.1249	0.08082	0.271	"Bacteria>Proteobacteria>Alphaproteobacteria>Paracaedibacterales"
"uncultured"	"G"	26015	813	16	6	231	813	1	441	640	2	196	374	171	1	0.271	0.1122	0.03691	0.09787	0.2332	0.08787	0.1948	0.2594	0.0005232	0.07723	0.118	0.07808	0.271	"Bacteria>Proteobacteria>Alphaproteobacteria>Paracaedibacterales>Paracaedibacteraceae"
"Candidatus Paracaedibacter"	"G"	26014	99	3	NA	33	99	NA	9	22	NA	7	17	5	NA	0.0284	0.02103	NA	0.01398	0.0284	NA	0.003975	0.008917	NA	0.002758	0.005362	0.002283	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Paracaedibacterales>Paracaedibacteraceae"
"Caulobacterales"	"O"	2386	6571	18	6	782	6571	3	363	580	5	362	1965	242	NA	1.885	0.1262	0.03691	0.3313	1.885	0.2636	0.1603	0.2351	0.001308	0.1426	0.6198	0.1105	NA	"Bacteria>Proteobacteria>Alphaproteobacteria"
"Caulobacteraceae"	"F"	2387	5945	13	6	614	5945	2	324	553	5	355	1924	240	NA	1.706	0.09113	0.03691	0.2602	1.706	0.1757	0.1431	0.2241	0.001308	0.1399	0.6068	0.1096	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Caulobacterales"
"Brevundimonas"	"G"	2390	3200	10	3	372	3200	1	199	313	3	224	1234	130	NA	0.9181	0.0701	0.01845	0.1576	0.9181	0.08787	0.0879	0.1269	0.0007849	0.08826	0.3892	0.05936	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Caulobacterales>Caulobacteraceae"
"Phenylobacterium"	"G"	2392	517	1	NA	68	517	1	22	37	NA	18	137	23	NA	0.1483	0.00701	NA	0.02881	0.1483	0.08787	0.009717	0.015	NA	0.007093	0.04321	0.0105	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Caulobacterales>Caulobacteraceae"
"Caulobacter"	"G"	2391	1471	1	3	113	1471	NA	73	143	NA	71	360	58	NA	0.422	0.00701	0.01845	0.04788	0.422	NA	0.03224	0.05796	NA	0.02798	0.1135	0.02648	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Caulobacterales>Caulobacteraceae"
"Hyphomonadaceae"	"F"	2394	612	5	NA	165	612	1	38	26	NA	7	38	1	NA	0.1756	0.03505	NA	0.06991	0.1756	0.08787	0.01678	0.01054	NA	0.002758	0.01199	0.0004566	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Caulobacterales"
"uncultured"	"G"	2407	92	2	NA	92	63	NA	11	3	NA	1	15	NA	NA	0.03898	0.01402	NA	0.03898	0.01807	NA	0.004859	0.001216	NA	0.000394	0.004731	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Caulobacterales>Hyphomonadaceae"
"Hirschia"	"G"	2399	15	1	NA	15	14	NA	3	NA	NA	1	1	NA	NA	0.00701	0.00701	NA	0.006355	0.004017	NA	0.001325	NA	NA	0.000394	0.0003154	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Caulobacterales>Hyphomonadaceae"
"SWB02"	"G"	25968	10	1	NA	5	10	NA	NA	NA	NA	NA	2	NA	NA	0.00701	0.00701	NA	0.002118	0.002869	NA	NA	NA	NA	NA	0.0006308	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Caulobacterales>Hyphomonadaceae"
"UKL13-1"	"G"	25969	510	1	NA	52	510	1	24	21	NA	4	18	1	NA	0.1463	0.00701	NA	0.02203	0.1463	0.08787	0.0106	0.008511	NA	0.001576	0.005677	0.0004566	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Caulobacterales>Hyphomonadaceae"
"Micavibrionales"	"O"	25998	401	9	3	237	401	2	99	134	NA	106	164	115	1	0.271	0.06309	0.01845	0.1004	0.115	0.1757	0.04373	0.05431	NA	0.04177	0.05173	0.05251	0.271	"Bacteria>Proteobacteria>Alphaproteobacteria"
"uncultured"	"F"	26002	262	7	3	217	262	2	79	121	NA	92	144	105	1	0.271	0.04907	0.01845	0.09194	0.07517	0.1757	0.03489	0.04904	NA	0.03625	0.04542	0.04795	0.271	"Bacteria>Proteobacteria>Alphaproteobacteria>Micavibrionales"
"Micavibrionaceae"	"F"	25999	134	2	NA	20	134	NA	18	13	NA	13	19	9	NA	0.03844	0.01402	NA	0.008474	0.03844	NA	0.00795	0.005269	NA	0.005122	0.005993	0.00411	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Micavibrionales"
"uncultured"	"G"	26001	134	2	NA	20	134	NA	18	13	NA	13	19	9	NA	0.03844	0.01402	NA	0.008474	0.03844	NA	0.00795	0.005269	NA	0.005122	0.005993	0.00411	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Micavibrionales>Micavibrionaceae"
"Rhodospirillales"	"O"	2667	1479	6	1	280	1479	2	64	103	4	70	161	71	NA	0.4243	0.04206	0.006151	0.1186	0.4243	0.1757	0.02827	0.04175	0.001046	0.02758	0.05078	0.03242	NA	"Bacteria>Proteobacteria>Alphaproteobacteria"
"uncultured"	"F"	26198	948	6	NA	213	948	1	42	51	2	45	58	43	NA	0.272	0.04206	NA	0.09025	0.272	0.08787	0.01855	0.02067	0.0005232	0.01773	0.01829	0.01963	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales"
"Azospirillales"	"O"	25946	268	5	1	213	268	NA	15	21	1	8	39	8	3	0.813	0.03505	0.006151	0.09025	0.07689	NA	0.006625	0.008511	0.0002616	0.003152	0.0123	0.003653	0.813	"Bacteria>Proteobacteria>Alphaproteobacteria"
"Azospirillales Incertae Sedis"	"F"	25955	186	3	NA	186	100	NA	4	4	1	2	14	NA	3	0.813	0.02103	NA	0.07881	0.02869	NA	0.001767	0.001621	0.0002616	0.0007881	0.004416	NA	0.813	"Bacteria>Proteobacteria>Alphaproteobacteria>Azospirillales"
"Stella"	"G"	25956	186	3	NA	186	100	NA	4	4	1	2	14	NA	3	0.813	0.02103	NA	0.07881	0.02869	NA	0.001767	0.001621	0.0002616	0.0007881	0.004416	NA	0.813	"Bacteria>Proteobacteria>Alphaproteobacteria>Azospirillales>Azospirillales&nbsp;Incertae&nbsp;Sedis"
"Azospirillaceae"	"F"	25947	166	2	1	27	166	NA	11	17	NA	6	24	6	NA	0.04762	0.01402	0.006151	0.01144	0.04762	NA	0.004859	0.00689	NA	0.002364	0.00757	0.00274	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Azospirillales"
"Azospirillum"	"G"	25948	96	2	1	15	96	NA	5	4	NA	4	6	5	NA	0.02754	0.01402	0.006151	0.006355	0.02754	NA	0.002208	0.001621	NA	0.001576	0.001892	0.002283	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Azospirillales>Azospirillaceae"
"Holosporales"	"O"	25986	70	5	1	54	70	NA	8	5	NA	3	17	6	NA	0.03505	0.03505	0.006151	0.02288	0.02008	NA	0.003534	0.002027	NA	0.001182	0.005362	0.00274	NA	"Bacteria>Proteobacteria>Alphaproteobacteria"
"Holosporaceae"	"F"	25987	70	5	1	54	70	NA	8	5	NA	3	17	6	NA	0.03505	0.03505	0.006151	0.02288	0.02008	NA	0.003534	0.002027	NA	0.001182	0.005362	0.00274	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Holosporales"
"uncultured"	"G"	25992	55	3	1	44	55	NA	6	5	NA	2	16	5	NA	0.02103	0.02103	0.006151	0.01864	0.01578	NA	0.00265	0.002027	NA	0.0007881	0.005046	0.002283	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Holosporales>Holosporaceae"
"Candidatus Bealeia"	"G"	25988	10	2	NA	10	9	NA	1	NA	NA	NA	1	NA	NA	0.01402	0.01402	NA	0.004237	0.002582	NA	0.0004417	NA	NA	NA	0.0003154	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Holosporales>Holosporaceae"
"Acetobacterales"	"O"	25900	658	4	1	106	658	NA	39	39	1	13	176	8	NA	0.1888	0.02804	0.006151	0.04491	0.1888	NA	0.01723	0.01581	0.0002616	0.005122	0.05551	0.003653	NA	"Bacteria>Proteobacteria>Alphaproteobacteria"
"Acetobacteraceae"	"F"	25901	640	4	1	104	640	NA	35	39	1	12	173	8	NA	0.1836	0.02804	0.006151	0.04406	0.1836	NA	0.01546	0.01581	0.0002616	0.004728	0.05456	0.003653	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Acetobacterales"
"Roseomonas"	"G"	25932	311	1	NA	57	311	NA	17	27	NA	3	109	2	NA	0.08922	0.00701	NA	0.02415	0.08922	NA	0.007509	0.01094	NA	0.001182	0.03438	0.0009132	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Acetobacterales>Acetobacteraceae"
"Roseococcus"	"G"	25931	31	1	NA	NA	31	NA	NA	2	NA	NA	3	NA	NA	0.008894	0.00701	NA	NA	0.008894	NA	NA	0.0008106	NA	NA	0.0009462	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Acetobacterales>Acetobacteraceae"
"Acetobacter"	"G"	25902	19	1	NA	4	19	NA	5	1	NA	2	3	NA	NA	0.00701	0.00701	NA	0.001695	0.005451	NA	0.002208	0.0004053	NA	0.0007881	0.0009462	NA	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Acetobacterales>Acetobacteraceae"
"uncultured"	"G"	25937	173	1	NA	24	173	NA	7	3	1	5	24	4	NA	0.04963	0.00701	NA	0.01017	0.04963	NA	0.003092	0.001216	0.0002616	0.00197	0.00757	0.001826	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Acetobacterales>Acetobacteraceae"
"Elsterales"	"O"	25978	84	2	NA	5	84	NA	3	4	NA	6	28	5	NA	0.0241	0.01402	NA	0.002118	0.0241	NA	0.001325	0.001621	NA	0.002364	0.008831	0.002283	NA	"Bacteria>Proteobacteria>Alphaproteobacteria"
"uncultured"	"F"	25985	41	1	NA	5	41	NA	2	3	NA	NA	23	2	NA	0.01176	0.00701	NA	0.002118	0.01176	NA	0.0008834	0.001216	NA	NA	0.007254	0.0009132	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Elsterales"
"Elsteraceae"	"F"	25979	43	1	NA	NA	43	NA	1	1	NA	5	5	2	NA	0.01234	0.00701	NA	NA	0.01234	NA	0.0004417	0.0004053	NA	0.00197	0.001577	0.0009132	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Elsterales"
"Elstera"	"G"	25981	27	1	NA	NA	27	NA	NA	1	NA	4	2	2	NA	0.007746	0.00701	NA	NA	0.007746	NA	NA	0.0004053	NA	0.001576	0.0006308	0.0009132	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Elsterales>Elsteraceae"
"Reyranellales"	"O"	26035	437	2	1	303	437	NA	28	23	1	12	159	8	NA	0.1284	0.01402	0.006151	0.1284	0.1254	NA	0.01237	0.009322	0.0002616	0.004728	0.05015	0.003653	NA	"Bacteria>Proteobacteria>Alphaproteobacteria"
"Reyranellaceae"	"F"	26036	437	2	1	303	437	NA	28	23	1	12	159	8	NA	0.1284	0.01402	0.006151	0.1284	0.1254	NA	0.01237	0.009322	0.0002616	0.004728	0.05015	0.003653	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Reyranellales"
"Reyranella"	"G"	26037	309	2	1	299	309	NA	20	17	1	8	120	8	NA	0.1267	0.01402	0.006151	0.1267	0.08865	NA	0.008834	0.00689	0.0002616	0.003152	0.03785	0.003653	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Reyranellales>Reyranellaceae"
"uncultured"	"O"	26269	219	2	NA	63	219	NA	13	13	NA	2	48	6	NA	0.06283	0.01402	NA	0.02669	0.06283	NA	0.005742	0.005269	NA	0.0007881	0.01514	0.00274	NA	"Bacteria>Proteobacteria>Alphaproteobacteria"
"Micropepsales"	"O"	26003	542	1	NA	63	542	NA	32	36	NA	30	119	6	NA	0.1555	0.00701	NA	0.02669	0.1555	NA	0.01413	0.01459	NA	0.01182	0.03753	0.00274	NA	"Bacteria>Proteobacteria>Alphaproteobacteria"
"Micropepsaceae"	"F"	26004	542	1	NA	63	542	NA	32	36	NA	30	119	6	NA	0.1555	0.00701	NA	0.02669	0.1555	NA	0.01413	0.01459	NA	0.01182	0.03753	0.00274	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Micropepsales"
"uncultured"	"G"	26007	539	1	NA	62	539	NA	31	35	NA	30	117	6	NA	0.1546	0.00701	NA	0.02627	0.1546	NA	0.01369	0.01419	NA	0.01182	0.0369	0.00274	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Micropepsales>Micropepsaceae"
"Dongiales"	"O"	25975	188	1	NA	44	188	NA	9	5	NA	6	35	2	NA	0.05394	0.00701	NA	0.01864	0.05394	NA	0.003975	0.002027	NA	0.002364	0.01104	0.0009132	NA	"Bacteria>Proteobacteria>Alphaproteobacteria"
"Dongiaceae"	"F"	25976	188	1	NA	44	188	NA	9	5	NA	6	35	2	NA	0.05394	0.00701	NA	0.01864	0.05394	NA	0.003975	0.002027	NA	0.002364	0.01104	0.0009132	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Dongiales"
"Dongia"	"G"	25977	188	1	NA	44	188	NA	9	5	NA	6	35	2	NA	0.05394	0.00701	NA	0.01864	0.05394	NA	0.003975	0.002027	NA	0.002364	0.01104	0.0009132	NA	"Bacteria>Proteobacteria>Alphaproteobacteria>Dongiales>Dongiaceae"
"Deltaproteobacteria"	"C"	3087	14405	225	41	9770	14405	14	1292	1156	15	586	3882	446	NA	4.14	1.577	0.2522	4.14	4.133	1.23	0.5707	0.4685	0.003924	0.2309	1.224	0.2037	NA	"Bacteria>Proteobacteria"
"Myxococcales"	"O"	3210	8400	110	15	8400	3317	4	453	357	5	170	2221	106	NA	3.559	0.7711	0.09227	3.559	0.9516	0.3515	0.2001	0.1447	0.001308	0.06699	0.7005	0.0484	NA	"Bacteria>Proteobacteria>Deltaproteobacteria"
"Haliangiaceae"	"F"	3222	7024	75	11	7024	412	2	243	214	1	85	1457	42	NA	2.976	0.5257	0.06766	2.976	0.1182	0.1757	0.1073	0.08673	0.0002616	0.03349	0.4595	0.01918	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Myxococcales"
"Haliangium"	"G"	3223	7024	75	11	7024	412	2	243	214	1	85	1457	42	NA	2.976	0.5257	0.06766	2.976	0.1182	0.1757	0.1073	0.08673	0.0002616	0.03349	0.4595	0.01918	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Myxococcales>Haliangiaceae"
"Polyangiaceae"	"F"	3236	354	9	NA	354	121	NA	17	16	NA	2	87	NA	NA	0.15	0.06309	NA	0.15	0.03471	NA	0.007509	0.006485	NA	0.0007881	0.02744	NA	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Myxococcales"
"Pajaroellobacter"	"G"	26282	120	3	NA	120	61	NA	9	10	NA	NA	26	NA	NA	0.05084	0.02103	NA	0.05084	0.0175	NA	0.003975	0.004053	NA	NA	0.0082	NA	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Myxococcales>Polyangiaceae"
"uncultured"	"G"	3240	142	3	NA	142	16	NA	5	1	NA	NA	15	NA	NA	0.06017	0.02103	NA	0.06017	0.00459	NA	0.002208	0.0004053	NA	NA	0.004731	NA	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Myxococcales>Polyangiaceae"
"Polyangium"	"G"	11490	43	1	NA	43	14	NA	2	1	NA	NA	11	NA	NA	0.01822	0.00701	NA	0.01822	0.004017	NA	0.0008834	0.0004053	NA	NA	0.003469	NA	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Myxococcales>Polyangiaceae"
"Byssovorax"	"G"	3237	5	1	NA	5	3	NA	NA	NA	NA	NA	2	NA	NA	0.00701	0.00701	NA	0.002118	0.0008607	NA	NA	NA	NA	NA	0.0006308	NA	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Myxococcales>Polyangiaceae"
"Sandaracinaceae"	"F"	3241	1049	5	2	121	1049	1	55	33	1	35	236	20	NA	0.301	0.03505	0.0123	0.05127	0.301	0.08787	0.02429	0.01337	0.0002616	0.01379	0.07443	0.009132	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Myxococcales"
"uncultured"	"G"	11491	1042	4	2	104	1042	1	50	30	1	33	228	20	NA	0.2989	0.02804	0.0123	0.04406	0.2989	0.08787	0.02208	0.01216	0.0002616	0.013	0.07191	0.009132	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Myxococcales>Sandaracinaceae"
"Sandaracinus"	"G"	3242	17	1	NA	17	7	NA	4	3	NA	2	8	NA	NA	0.007203	0.00701	NA	0.007203	0.002008	NA	0.001767	0.001216	NA	0.0007881	0.002523	NA	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Myxococcales>Sandaracinaceae"
"Nannocystaceae"	"F"	3229	346	5	NA	346	50	NA	8	3	2	1	42	3	NA	0.1466	0.03505	NA	0.1466	0.01434	NA	0.003534	0.001216	0.0005232	0.000394	0.01325	0.00137	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Myxococcales"
"Nannocystis"	"G"	3231	336	5	NA	336	50	NA	6	3	1	1	39	3	NA	0.1424	0.03505	NA	0.1424	0.01434	NA	0.00265	0.001216	0.0002616	0.000394	0.0123	0.00137	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Myxococcales>Nannocystaceae"
"P3OB-42"	"F"	11486	207	4	1	80	207	1	21	14	1	5	32	4	NA	0.08787	0.02804	0.006151	0.0339	0.05939	0.08787	0.009276	0.005674	0.0002616	0.00197	0.01009	0.001826	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Myxococcales"
"mle1-27"	"F"	3244	148	3	NA	148	65	NA	7	6	NA	2	13	NA	NA	0.06271	0.02103	NA	0.06271	0.01865	NA	0.003092	0.002432	NA	0.0007881	0.0041	NA	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Myxococcales"
"Blfdi19"	"F"	11479	435	3	NA	48	435	NA	35	19	NA	7	36	13	NA	0.1248	0.02103	NA	0.02034	0.1248	NA	0.01546	0.007701	NA	0.002758	0.01135	0.005936	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Myxococcales"
"Phaselicystidaceae"	"F"	3234	122	1	NA	122	73	NA	7	2	NA	1	28	4	NA	0.05169	0.00701	NA	0.05169	0.02094	NA	0.003092	0.0008106	NA	0.000394	0.008831	0.001826	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Myxococcales"
"Phaselicystis"	"G"	3235	122	1	NA	122	73	NA	7	2	NA	1	28	4	NA	0.05169	0.00701	NA	0.05169	0.02094	NA	0.003092	0.0008106	NA	0.000394	0.008831	0.001826	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Myxococcales>Phaselicystidaceae"
"BIrii41"	"F"	11478	451	1	1	18	451	NA	24	24	NA	26	131	14	NA	0.1294	0.00701	0.006151	0.007627	0.1294	NA	0.0106	0.009727	NA	0.01024	0.04132	0.006393	NA	"Bacteria>Proteobacteria>Deltaproteobacteria>Myxococcales"
